<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MMTXW.US,60,20251215,160000,0.18,0.18,0.15,0.15,1100,0
MMTXW.US,60,20251215,170000,0.18,0.18,0.15,0.15,50000,0
MMTXW.US,60,20251215,180000,0.15,0.15,0.134701,0.134701,4000,0
MMTXW.US,60,20251215,190000,0.14,0.14,0.14,0.14,300,0
MMTXW.US,60,20251215,220000,0.124,0.124,0.1101,0.1101,4000,0
MMTXW.US,60,20251217,170000,0.1341,0.1341,0.11,0.11,2200,0
MMTXW.US,60,20251218,180000,0.101,0.101,0.1,0.1,5100,0
MMTXW.US,60,20251218,190000,0.1,0.11,0.1,0.11,6800,0
MMTXW.US,60,20251218,220000,0.11,0.11,0.1,0.1,13200,0
MMTXW.US,60,20251219,180000,0.0947,0.0947,0.07,0.07,700,0
MMTXW.US,60,20251219,190000,0.1,0.1,0.1,0.1,5000,0
MMTXW.US,60,20251223,180000,0.1,0.1,0.09,0.09,8000,0
MMTXW.US,60,20251226,170000,0.09,0.09,0.08,0.0801,37015,0
MMTXW.US,60,20251226,210000,0.1,0.1,0.1,0.1,200,0
MMTXW.US,60,20251226,220000,0.1,0.1,0.1,0.1,200,0
