<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MNDY.US,60,20240411,160000,200.92,202.31,198.94,201.178,27946,0
MNDY.US,60,20240411,170000,200.64,200.96,198.61,199.225,55597,0
MNDY.US,60,20240411,180000,199.19,199.58,197.52,199.44,42871,0
MNDY.US,60,20240411,190000,199.44,200.23,198.2,198.3,44441,0
MNDY.US,60,20240411,200000,198.475,201.195,198.03,201.195,48229,0
MNDY.US,60,20240411,210000,201.04,201.7,199.99,200.07,46267,0
MNDY.US,60,20240411,220000,200.03,200.8,199.5,200.19,136829,0
MNDY.US,60,20240412,160000,196.58,198.0156,195.76,197.72,21942,0
MNDY.US,60,20240412,170000,197.27,198.41,196,196.285,28367,0
MNDY.US,60,20240412,180000,196.2296,197.22,195.87,196.81,22995,0
MNDY.US,60,20240412,190000,196.705,196.73,194.62,194.9447,70595,0
MNDY.US,60,20240412,200000,194.91,195.075,192.69,193.89,75695,0
MNDY.US,60,20240412,210000,193.67,194.61,193.52,193.93,43779,0
MNDY.US,60,20240412,220000,193.75,193.86,191.92,192.87,140542,0
MNDY.US,60,20240415,160000,193.61,195.17,191.19,192.19,28568,0
MNDY.US,60,20240415,170000,192.27,192.65,188.18,188.27,44003,0
MNDY.US,60,20240415,180000,188.24,189.26,186.64,187.8,67529,0
MNDY.US,60,20240415,190000,187.74,187.78,185.19,186.96,37070,0
MNDY.US,60,20240415,200000,186.9133,186.9133,184.895,185.465,90588,0
MNDY.US,60,20240415,210000,185.465,185.68,184.5,184.51,45984,0
MNDY.US,60,20240415,220000,184.58,185.21,183.93,184.14,101194,0
MNDY.US,60,20240416,160000,182.49,184.885,182.49,184.555,26370,0
MNDY.US,60,20240416,170000,184.5,186.43,183.97,185.94,68702,0
MNDY.US,60,20240416,180000,186.025,188.575,185.935,187.925,69267,0
MNDY.US,60,20240416,190000,187.84,187.85,186.41,186.75,48233,0
MNDY.US,60,20240416,200000,186.79,186.84,184.925,186.34,52746,0
MNDY.US,60,20240416,210000,186.37,188.43,185.91,187.99,71498,0
MNDY.US,60,20240416,220000,187.99,189.23,187.58,187.98,176074,0
MNDY.US,60,20240417,160000,187.92,188.8,186.4663,187.235,15968,0
MNDY.US,60,20240417,170000,186.72,187.3486,184,184.72,16790,0
MNDY.US,60,20240417,180000,185.04,186.38,185.04,185.3979,20732,0
MNDY.US,60,20240417,190000,185.17,185.425,183.6675,184.6,18412,0
MNDY.US,60,20240417,200000,184.47,186.25,184.47,185.78,18888,0
MNDY.US,60,20240417,210000,185.5,186.211,184.8901,185.11,13306,0
MNDY.US,60,20240417,220000,184.95,185.65,184.45,184.76,104093,0
MNDY.US,60,20240418,160000,187.1,187.1,183.045,183.57,26837,0
MNDY.US,60,20240418,170000,183.56,189.67,183.01,188.02,94947,0
MNDY.US,60,20240418,180000,187.965,188.94,187.45,188.23,27740,0
MNDY.US,60,20240418,190000,188.205,190.61,188.205,189.01,61254,0
MNDY.US,60,20240418,200000,189.18,189.57,186.9,187.69,84888,0
MNDY.US,60,20240418,210000,187.62,187.67,186.175,186.79,69577,0
MNDY.US,60,20240418,220000,186.785,187.55,184.92,185.02,134575,0
MNDY.US,60,20240419,160000,185.57,185.57,181.27,183.9,48601,0
MNDY.US,60,20240419,170000,183.885,183.885,178.625,179.68,91652,0
MNDY.US,60,20240419,180000,179.5,180.25,178.395,179.825,43941,0
MNDY.US,60,20240419,190000,179.97,180.095,178.16,179.225,40255,0
MNDY.US,60,20240419,200000,179.05,181.56,178.28,181.08,77942,0
MNDY.US,60,20240419,210000,180.995,181.005,178.295,178.975,69697,0
MNDY.US,60,20240419,220000,179.01,179.6,177.33,178.07,154028,0
MNDY.US,60,20240422,160000,179.26,180.26,177.54,177.65,29059,0
MNDY.US,60,20240422,170000,177.71,179.23,175.93,176.165,59988,0
MNDY.US,60,20240422,180000,176.235,177.72,174.75,177.495,46658,0
MNDY.US,60,20240422,190000,177.53,180.22,177.18,179.97,45228,0
MNDY.US,60,20240422,200000,180.075,183.57,180.075,183.5144,42292,0
MNDY.US,60,20240422,210000,183.57,184.29,182.86,183.5,68502,0
MNDY.US,60,20240422,220000,183.44,183.47,180.92,181.89,153427,0
MNDY.US,60,20240423,160000,183.1,187.39,181.68,187.25,59096,0
MNDY.US,60,20240423,170000,187.12,188.52,184.9,186.905,66836,0
MNDY.US,60,20240423,180000,187.03,187.91,185.89,185.96,41863,0
MNDY.US,60,20240423,190000,185.94,186.39,185.085,185.37,15635,0
MNDY.US,60,20240423,200000,185.25,186.145,185.13,185.75,28656,0
MNDY.US,60,20240423,210000,185.76,187.99,185.56,187.43,87453,0
MNDY.US,60,20240423,220000,187.4525,187.73,183.99,184.69,138211,0
MNDY.US,60,20240424,160000,186.92,189.6,186.92,187.82,29605,0
MNDY.US,60,20240424,170000,187.995,188.85,186.41,187.01,58094,0
MNDY.US,60,20240424,180000,187.1725,187.1725,184.55,184.79,31768,0
MNDY.US,60,20240424,190000,184.57,186.29,183.86,186.2,21782,0
MNDY.US,60,20240424,200000,186.4,187.84,186.3,187.3,11616,0
MNDY.US,60,20240424,210000,187.64,187.7,186.905,186.965,38587,0
MNDY.US,60,20240424,220000,186.93,187.78,186.85,187.25,119127,0
MNDY.US,60,20240425,160000,181.86,182.48,180.68,182.005,16389,0
MNDY.US,60,20240425,170000,182.24,183.7899,181.65,181.94,26802,0
MNDY.US,60,20240425,180000,181.835,182.705,181.83,182.53,32666,0
MNDY.US,60,20240425,190000,182.51,183.95,182.08,183.95,17295,0
MNDY.US,60,20240425,200000,183.895,185.233,183.836,184.87,14947,0
MNDY.US,60,20240425,210000,185.165,185.66,183.93,184.41,10891,0
MNDY.US,60,20240425,220000,184.69,185.905,184.59,185.2,89897,0
MNDY.US,60,20240426,160000,187.21,188.99,185.9,188.31,21413,0
MNDY.US,60,20240426,170000,188.385,189.29,187.45,189.15,24722,0
MNDY.US,60,20240426,180000,188.8409,190.765,188.425,190.34,85745,0
MNDY.US,60,20240426,190000,190.4996,190.4996,189.18,189.817,27687,0
MNDY.US,60,20240426,200000,189.89,190.52,188.93,189.99,34496,0
MNDY.US,60,20240426,210000,189.925,190.91,189.53,190.91,60160,0
MNDY.US,60,20240426,220000,190.695,190.87,189.54,190.4,242852,0
MNDY.US,60,20240429,160000,191.35,192.725,189.33,190.49,12104,0
MNDY.US,60,20240429,170000,190.9,192.765,190.75,191.49,25296,0
MNDY.US,60,20240429,180000,191.55,193.43,190.75,192.69,31686,0
MNDY.US,60,20240429,190000,192.73,193.21,192.48,192.825,23500,0
MNDY.US,60,20240429,200000,192.825,193.06,191.555,192.26,26500,0
MNDY.US,60,20240429,210000,191.99,192.29,191.28,191.57,66230,0
MNDY.US,60,20240429,220000,191.685,192.81,190.51,192.8,159989,0
MNDY.US,60,20240430,160000,194.2,200.35,193.905,199.51,71574,0
MNDY.US,60,20240430,170000,199.195,199.41,194.715,195.495,134585,0
MNDY.US,60,20240430,180000,195.42,195.57,191.735,193.13,89037,0
MNDY.US,60,20240430,190000,193.31,193.31,190.79,191,46473,0
MNDY.US,60,20240430,200000,191,191.28,189.37,190.205,41408,0
MNDY.US,60,20240430,210000,190.3,191.545,190.05,190.36,53706,0
MNDY.US,60,20240430,220000,190.49,190.96,188.645,189.34,151057,0
MNDY.US,60,20240501,160000,187.29,188.925,184.335,185.14,67766,0
MNDY.US,60,20240501,170000,184.74,185.3,183.2646,183.93,85293,0
MNDY.US,60,20240501,180000,184.16,186,183.29,185.315,68666,0
MNDY.US,60,20240501,190000,185.27,186.78,183.735,186.22,42174,0
MNDY.US,60,20240501,200000,186.36,187.97,185.35,187.32,45928,0
MNDY.US,60,20240501,210000,186.87,192.33,186.87,191.9257,89556,0
MNDY.US,60,20240501,220000,192.25,192.94,189.72,189.82,135922,0
MNDY.US,60,20240502,160000,190.38,191.29,179.855,180.63,63564,0
MNDY.US,60,20240502,170000,180.81,183.385,179.02,182.905,90013,0
MNDY.US,60,20240502,180000,183.385,183.78,182.47,183.61,64062,0
