<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MRNO.US,60,20240411,160000,11.29,11.29,10.2073,10.2073,1414,0
MRNO.US,60,20240411,170000,10.8183,10.8183,10.8183,10.8183,100,0
MRNO.US,60,20240411,180000,10.25,10.7,10.25,10.69,1600,0
MRNO.US,60,20240411,190000,10.7,10.71,10.7,10.71,200,0
MRNO.US,60,20240411,200000,10.51,10.51,10.51,10.51,200,0
MRNO.US,60,20240411,210000,10.51,10.9,10.51,10.9,4578,0
MRNO.US,60,20240411,220000,11.25,11.33,10.55,10.93,5534,0
MRNO.US,60,20240412,170000,10.35,10.93,10.35,10.93,2742,0
MRNO.US,60,20240412,180000,10.96,10.96,10.96,10.96,100,0
MRNO.US,60,20240412,190000,11.11,11.11,10.6,10.6,5661,0
MRNO.US,60,20240412,200000,10.503,10.85,10.503,10.85,3698,0
MRNO.US,60,20240412,210000,10.8,10.8,10.8,10.8,200,0
MRNO.US,60,20240412,220000,10.88,11.5,10.51,10.86,10509,0
MRNO.US,60,20240415,160000,10.25,11.06,10.25,11,4700,0
MRNO.US,60,20240415,170000,11.2,11.5,11.002,11.2178,4603,0
MRNO.US,60,20240415,190000,11.22,11.22,11,11,200,0
MRNO.US,60,20240415,220000,11.0027,11.0027,10.97,10.97,1200,0
MRNO.US,60,20240416,160000,10.78,10.85,10.66,10.76,2446,0
MRNO.US,60,20240416,170000,10.788,11,10.77,11,6494,0
MRNO.US,60,20240416,180000,11.11,11.72,11.05,11.32,20212,0
MRNO.US,60,20240416,190000,11.31,11.4,11.2,11.2,6799,0
MRNO.US,60,20240416,200000,11.29,11.29,11.28,11.28,200,0
MRNO.US,60,20240416,210000,11.28,11.43,11.18,11.43,3192,0
MRNO.US,60,20240416,220000,11.16,11.2,10.69,10.81,14586,0
MRNO.US,60,20240417,160000,10.67,10.875,10.67,10.875,300,0
MRNO.US,60,20240417,170000,10.79,10.89,10.61,10.61,4488,0
MRNO.US,60,20240417,180000,10.45,10.45,10.4206,10.4206,200,0
MRNO.US,60,20240417,210000,10.4706,10.5,10.2506,10.2506,600,0
MRNO.US,60,20240417,220000,10.26,11,9.75,10.5,19428,0
MRNO.US,60,20240418,160000,10.35,11.05,10.2,10.85,7299,0
MRNO.US,60,20240418,170000,10.2,10.49,9.98,9.98,10165,0
MRNO.US,60,20240418,180000,10.06,10.25,8.12,8.785,43608,0
MRNO.US,60,20240418,190000,9.42,9.9511,8.8843,9.75,11997,0
MRNO.US,60,20240418,200000,9.175,9.21,8.795,8.7955,1800,0
MRNO.US,60,20240418,210000,8.97,9.3,8.01,8.2,32170,0
MRNO.US,60,20240418,220000,8.23,8.5,7.22,7.22,3869,0
MRNO.US,60,20240419,160000,7.07,7.07,7.07,7.07,252,0
MRNO.US,60,20240419,170000,7.45,8.28,7.27,8.23,13734,0
MRNO.US,60,20240419,180000,8.28,8.6,7.875,7.98,21170,0
MRNO.US,60,20240419,190000,8.35,8.35,7.98,8.2149,2789,0
MRNO.US,60,20240419,200000,8.08,8.2041,7.93,8.01,4072,0
MRNO.US,60,20240419,210000,7.99,8.0732,7.9,7.98,1756,0
MRNO.US,60,20240419,220000,8,8.01,7.73,7.73,1218,0
MRNO.US,60,20240422,170000,7.95,8.39,7.75,8.39,1500,0
MRNO.US,60,20240422,180000,8,8.998,8,8.1705,17759,0
MRNO.US,60,20240422,190000,8.18,8.6317,8.18,8.5,3000,0
MRNO.US,60,20240422,220000,8.47,8.5,8.24,8.24,919,0
MRNO.US,60,20240423,160000,8.31,8.31,8.24,8.24,314,0
MRNO.US,60,20240423,170000,8.32,10.2,8.32,8.6,10497,0
MRNO.US,60,20240423,180000,8.65,8.87,8.1601,8.5,4526,0
MRNO.US,60,20240423,190000,8.5,8.52,8.38,8.52,810,0
MRNO.US,60,20240423,200000,8.45,8.5915,8.4,8.4,4967,0
MRNO.US,60,20240423,210000,8.36,8.698,8.31,8.32,978,0
MRNO.US,60,20240423,220000,8.39,8.6,8.04,8.04,2999,0
MRNO.US,60,20240424,160000,8.89,9.1,8.49,9.05,9022,0
MRNO.US,60,20240424,170000,8.8,8.964,8.395,8.56,15058,0
MRNO.US,60,20240424,180000,8.41,8.45,8.41,8.41,2054,0
MRNO.US,60,20240424,210000,8.06,8.2643,8.06,8.2643,200,0
MRNO.US,60,20240424,220000,8.08,8.08,7.51,7.53,3377,0
MRNO.US,60,20240425,170000,7.5,7.5,7.5,7.5,200,0
MRNO.US,60,20240425,190000,7.75,8.01,7.51,8.01,6659,0
MRNO.US,60,20240425,210000,8.25,8.25,8.25,8.25,100,0
MRNO.US,60,20240425,220000,8.01,8.01,7.86,7.86,400,0
MRNO.US,60,20240426,160000,7.86,8.18,7.86,8.18,1300,0
MRNO.US,60,20240426,180000,8.07,8.49,7.91,8.49,2313,0
MRNO.US,60,20240426,190000,7.97,8.06,7.97,8.06,200,0
MRNO.US,60,20240426,200000,8,8,8,8,128,0
MRNO.US,60,20240426,210000,8.06,8.17,8.06,8.17,200,0
MRNO.US,60,20240426,220000,8,8.06,7.95,7.97,802,0
MRNO.US,60,20240429,180000,7.89,7.89,7.89,7.89,100,0
MRNO.US,60,20240429,190000,7.89,7.89,7.89,7.89,100,0
MRNO.US,60,20240429,200000,7.77,7.77,7.77,7.77,100,0
MRNO.US,60,20240429,210000,7.77,7.77,7.77,7.77,100,0
MRNO.US,60,20240429,220000,7.97,7.97,7.97,7.97,102,0
MRNO.US,60,20240430,200000,8.87,8.96,8.87,8.95,502,0
MRNO.US,60,20240430,210000,9,9.9,9,9.9,200,0
MRNO.US,60,20240430,220000,9.01,10.02,9.01,10.02,307,0
