<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MRSN.US,60,20240411,160000,93.5,94.75,92,92.875,2333.28,0
MRSN.US,60,20240411,170000,92.875,94,92.125,92.125,4760.36,0
MRSN.US,60,20240411,180000,92,94.25,92,94.25,10095.28,0
MRSN.US,60,20240411,190000,94.25,95.25,92.75,93.5,6266.88,0
MRSN.US,60,20240411,200000,93.2575,95.375,92.875,94.5,6035,0
MRSN.US,60,20240411,210000,94.375,95,92.625,92.625,2817.28,0
MRSN.US,60,20240411,220000,92.5,93.75,92.125,93,12447.64,0
MRSN.US,60,20240412,160000,94.25,97.125,92,95.75,4405.12,0
MRSN.US,60,20240412,170000,96,97.375,95,96.125,6944.08,0
MRSN.US,60,20240412,180000,96.25,97,95.5,96.5,3891.36,0
MRSN.US,60,20240412,190000,96.5,96.5,94.75,94.75,3839.68,0
MRSN.US,60,20240412,200000,94.7525,95.25,93.5,94.875,4170.84,0
MRSN.US,60,20240412,210000,94.75,95.5,94,94.25,3389.8,0
MRSN.US,60,20240412,220000,94.375,95.5,93,95,14442.96,0
MRSN.US,60,20240415,160000,95,96.5,93.0025,96.25,2074.56,0
MRSN.US,60,20240415,170000,96.5,97.75,95,96.875,5053.4,0
MRSN.US,60,20240415,180000,96.875,98.25,96.75,98,4197.16,0
MRSN.US,60,20240415,190000,98.125,99,97.5,98.375,6263.28,0
MRSN.US,60,20240415,200000,98.25,98.5,96.5,97.125,2707.84,0
MRSN.US,60,20240415,210000,97.125,97.125,94.25,94.5,3321.12,0
MRSN.US,60,20240415,220000,94.3125,94.75,93.25,94.75,6909.36,0
MRSN.US,60,20240416,160000,93.25,94,92.75,94,1040.8,0
MRSN.US,60,20240416,170000,94.125,95,93.75,94.375,1552.52,0
MRSN.US,60,20240416,180000,94.25,95.125,93.75,93.75,1430.88,0
MRSN.US,60,20240416,190000,93.75,93.75,92.75,93.625,1179.32,0
MRSN.US,60,20240416,200000,93.75,94.375,92.75,94.375,3565.16,0
MRSN.US,60,20240416,210000,94.375,95.125,93.625,94.875,2273.68,0
MRSN.US,60,20240416,220000,94.75,95,93.75,93.75,7621.8,0
MRSN.US,60,20240417,160000,94.5,95.75,93,93,1021.36,0
MRSN.US,60,20240417,170000,93,93.375,92.5,92.75,3491.44,0
MRSN.US,60,20240417,180000,92.75,93,89.5,89.7475,8034.64,0
MRSN.US,60,20240417,190000,89.5,89.625,88,88.5,4081.8,0
MRSN.US,60,20240417,200000,88.375,89.1875,87.625,87.75,2752.44,0
MRSN.US,60,20240417,210000,87.75,88,86.5,86.75,3179.8,0
MRSN.US,60,20240417,220000,86.875,88.5,85,88,63325.76,0
MRSN.US,60,20240418,160000,86,88.96,84.5,88.5,3503.2400000000002,0
MRSN.US,60,20240418,170000,88.25,88.25,86.375,87.25,2923.92,0
MRSN.US,60,20240418,180000,87.125,87.125,86,86.25,1379.8,0
MRSN.US,60,20240418,190000,86.4375,86.5,84.75,85.375,2155.72,0
MRSN.US,60,20240418,200000,85.4375,85.5,84.5,85.125,2992.6,0
MRSN.US,60,20240418,210000,85,85.25,84.25,84.6875,2597.48,0
MRSN.US,60,20240418,220000,84.6875,85.125,82.875,83.375,17943.36,0
MRSN.US,60,20240419,160000,82.75,83.75,80.25,82.5,2976.52,0
MRSN.US,60,20240419,170000,82.625,83.5,81.25,82.375,10007.2,0
MRSN.US,60,20240419,180000,82.375,82.5,80.25,81.25,6852.28,0
MRSN.US,60,20240419,190000,81.5,82,79.5,81.875,8282.32,0
MRSN.US,60,20240419,200000,81.875,83,81.25,81.75,6412.56,0
MRSN.US,60,20240419,210000,81.75,81.75,79.5,80.375,5801.76,0
MRSN.US,60,20240419,220000,80.375,82.625,80.25,81.25,43991.4,0
MRSN.US,60,20240422,160000,82.5,82.5,80.5,81.5,522,0
MRSN.US,60,20240422,170000,81.375,81.5,78.75,79,3512.56,0
MRSN.US,60,20240422,180000,79.125,79.25,76.75,76.8525,4962.16,0
MRSN.US,60,20240422,190000,76.7775,80,76.25,79.375,7519.72,0
MRSN.US,60,20240422,200000,79.5,80.875,79.125,80.375,17934.96,0
MRSN.US,60,20240422,210000,80.25,80.75,79.875,80.125,12572.2,0
MRSN.US,60,20240422,220000,80,80.5,78.75,78.75,18184.56,0
MRSN.US,60,20240423,160000,79.25,81.25,79.25,80.375,840.44,0
MRSN.US,60,20240423,170000,80.5,82.375,79.25,80.125,8042.84,0
MRSN.US,60,20240423,180000,80.25,81.25,79.5,80.125,13129.8,0
MRSN.US,60,20240423,190000,80.125,82.875,80.125,82.375,9137.28,0
MRSN.US,60,20240423,200000,82.375,83,82.25,82.625,2668.16,0
MRSN.US,60,20240423,210000,82.625,82.625,81.5,82.125,3012.96,0
