<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MRTN.US,60,20240411,160000,17.09,17.25,17.06,17.08,21665,0
MRTN.US,60,20240411,170000,17.075,17.18,17.05,17.16,17336,0
MRTN.US,60,20240411,180000,17.15,17.22,17.06,17.21,25473,0
MRTN.US,60,20240411,190000,17.21,17.215,17.15,17.19,9512,0
MRTN.US,60,20240411,200000,17.18,17.255,17.16,17.2,12974,0
MRTN.US,60,20240411,210000,17.21,17.245,17.21,17.22,15566,0
MRTN.US,60,20240411,220000,17.22,17.25,17.15,17.15,61206,0
MRTN.US,60,20240412,160000,17.1,17.12,17.04,17.08,13655,0
MRTN.US,60,20240412,170000,17.07,17.22,17,17.22,19013,0
MRTN.US,60,20240412,180000,17.22,17.25,17.16,17.17,30851,0
MRTN.US,60,20240412,190000,17.16,17.16,17.065,17.07,28153,0
MRTN.US,60,20240412,200000,17.07,17.14,17.07,17.115,20675,0
MRTN.US,60,20240412,210000,17.11,17.16,17.09,17.1,26084,0
MRTN.US,60,20240412,220000,17.09,17.22,17.07,17.14,107197,0
MRTN.US,60,20240415,160000,17.11,17.145,17.03,17.05,17999,0
MRTN.US,60,20240415,170000,17.04,17.04,16.935,17.03,26093,0
MRTN.US,60,20240415,180000,17.03,17.16,17.03,17.15,42050,0
MRTN.US,60,20240415,190000,17.15,17.24,17.14,17.16,44054,0
MRTN.US,60,20240415,200000,17.16,17.16,17.05,17.1,56116,0
MRTN.US,60,20240415,210000,17.105,17.15,17.01,17.01,64076,0
MRTN.US,60,20240415,220000,17.01,17.085,16.98,17,228271,0
MRTN.US,60,20240416,160000,16.84,16.89,16.74,16.74,9447,0
MRTN.US,60,20240416,170000,16.72,16.85,16.72,16.83,14795,0
MRTN.US,60,20240416,180000,16.82,16.9,16.79,16.86,27807,0
MRTN.US,60,20240416,190000,16.86,16.935,16.85,16.87,18867,0
MRTN.US,60,20240416,200000,16.879,16.945,16.81,16.84,51784,0
MRTN.US,60,20240416,210000,16.83,16.91,16.79,16.865,34870,0
MRTN.US,60,20240416,220000,16.86,16.865,16.74,16.74,116215,0
MRTN.US,60,20240417,160000,16.39,16.536,16.38,16.5,38743,0
MRTN.US,60,20240417,170000,16.52,16.52,16.26,16.39,85416,0
MRTN.US,60,20240417,180000,16.41,16.455,16.32,16.44,63133,0
MRTN.US,60,20240417,190000,16.42,16.47,16.345,16.35,30539,0
MRTN.US,60,20240417,200000,16.33,16.395,16.32,16.34,33876,0
MRTN.US,60,20240417,210000,16.33,16.335,16.23,16.24,56280,0
MRTN.US,60,20240417,220000,16.23,16.26,16.15,16.16,163863,0
MRTN.US,60,20240418,160000,16.33,16.38,16.07,16.33,24661,0
MRTN.US,60,20240418,170000,16.32,16.34,16.17,16.19,47509,0
MRTN.US,60,20240418,180000,16.19,16.3,16.18,16.2,42468,0
MRTN.US,60,20240418,190000,16.2,16.211,16.07,16.15,48675,0
