<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NEON.US,60,20240411,160000,1.44,1.49,1.44,1.49,1725,0
NEON.US,60,20240411,170000,1.45,1.48,1.45,1.46,3082,0
NEON.US,60,20240411,190000,1.48,1.4899,1.47,1.47,910,0
NEON.US,60,20240411,200000,1.49,1.5086,1.49,1.5086,1900,0
NEON.US,60,20240411,210000,1.52,1.52,1.5,1.5,492,0
NEON.US,60,20240411,220000,1.5195,1.5195,1.48,1.48,255,0
NEON.US,60,20240412,160000,1.49,1.5,1.475,1.5,5205,0
NEON.US,60,20240412,170000,1.45,1.45,1.45,1.45,2201,0
NEON.US,60,20240412,180000,1.45,1.5,1.45,1.48,2671,0
NEON.US,60,20240412,190000,1.47,1.47,1.47,1.47,200,0
NEON.US,60,20240412,200000,1.48,1.48,1.47,1.47,537,0
NEON.US,60,20240412,210000,1.45,1.45,1.45,1.45,112,0
NEON.US,60,20240412,220000,1.46,1.48,1.45,1.47,1357,0
NEON.US,60,20240415,160000,1.48,1.5,1.475,1.5,10623,0
NEON.US,60,20240415,170000,1.4813,1.49,1.48,1.49,4707,0
NEON.US,60,20240415,180000,1.47,1.4854,1.42,1.48,7926,0
NEON.US,60,20240415,190000,1.45,1.46,1.45,1.46,7036,0
NEON.US,60,20240415,200000,1.45,1.45,1.4,1.4,2800,0
NEON.US,60,20240415,210000,1.41,1.45,1.41,1.4469,1047,0
NEON.US,60,20240415,220000,1.45,1.465,1.45,1.46,809,0
NEON.US,60,20240416,160000,1.45,1.45,1.41,1.4102,3130,0
NEON.US,60,20240416,170000,1.41,1.43,1.41,1.41,5236,0
NEON.US,60,20240416,180000,1.41,1.45,1.41,1.45,582,0
NEON.US,60,20240416,190000,1.414,1.414,1.41,1.41,300,0
NEON.US,60,20240416,200000,1.42,1.42,1.41,1.41,241,0
NEON.US,60,20240416,210000,1.4199,1.42,1.41,1.42,2649,0
NEON.US,60,20240416,220000,1.4266,1.43,1.42,1.42,4393,0
NEON.US,60,20240417,160000,1.41,1.415,1.41,1.41,1243,0
NEON.US,60,20240417,170000,1.41,1.4103,1.4035,1.41,2978,0
NEON.US,60,20240417,180000,1.415,1.415,1.41,1.41,9091,0
NEON.US,60,20240417,190000,1.4,1.41,1.4,1.4,1177,0
NEON.US,60,20240417,200000,1.4068,1.41,1.4,1.4,1397,0
NEON.US,60,20240417,210000,1.4,1.4,1.4,1.4,683,0
NEON.US,60,20240417,220000,1.39,1.3901,1.375,1.375,11520,0
NEON.US,60,20240418,160000,1.38,1.4799,1.38,1.4799,5920,0
NEON.US,60,20240418,170000,1.5,1.68,1.5,1.57,96116,0
NEON.US,60,20240418,180000,1.56,1.57,1.54,1.57,3269,0
NEON.US,60,20240418,190000,1.55,1.62,1.55,1.62,16806,0
