<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NOEMW.US,60,20250117,170000,0.1,0.1,0.1,0.1,60000,0
NOEMW.US,60,20250117,200000,0.112,0.112,0.096298,0.096298,400,0
NOEMW.US,60,20250117,220000,0.1108,0.1108,0.0901,0.11,5339,0
NOEMW.US,60,20250121,170000,0.1096,0.1096,0.1,0.1,400,0
NOEMW.US,60,20250121,180000,0.0902,0.0902,0.0902,0.0902,700,0
NOEMW.US,60,20250122,160000,0.0901,0.0901,0.0901,0.0901,400,0
NOEMW.US,60,20250122,170000,0.0999,0.0999,0.0999,0.0999,100,0
NOEMW.US,60,20250122,220000,0.0872,0.0872,0.0871,0.0871,550,0
NOEMW.US,60,20250123,180000,0.0999,0.0999,0.0999,0.0999,100,0
NOEMW.US,60,20250127,170000,0.0951,0.0951,0.0949,0.0949,400,0
NOEMW.US,60,20250127,180000,0.0802,0.0876,0.0799,0.0799,7600,0
NOEMW.US,60,20250127,190000,0.064,0.08,0.05,0.0715,218099,0
NOEMW.US,60,20250127,200000,0.0773,0.08,0.0773,0.08,200,0
NOEMW.US,60,20250127,210000,0.0799,0.0799,0.0799,0.0799,100,0
NOEMW.US,60,20250128,200000,0.073205,0.073205,0.073205,0.073205,1000,0
NOEMW.US,60,20250128,220000,0.0797,0.0797,0.0797,0.0797,100,0
NOEMW.US,60,20250129,190000,0.07,0.07,0.0502,0.07,900,0
NOEMW.US,60,20250129,210000,0.06,0.062,0.0596,0.0619,1100,0
NOEMW.US,60,20250129,220000,0.07,0.07,0.0699,0.0699,600,0
NOEMW.US,60,20250130,160000,0.07,0.075,0.07,0.07,700,0
NOEMW.US,60,20250130,180000,0.07,0.07,0.07,0.07,300,0
NOEMW.US,60,20250130,190000,0.07,0.07,0.07,0.07,200,0
NOEMW.US,60,20250130,200000,0.07,0.07,0.07,0.07,200,0
NOEMW.US,60,20250130,210000,0.07,0.07,0.07,0.07,258,0
NOEMW.US,60,20250131,220000,0.0541,0.06,0.0502,0.06,2779,0
NOEMW.US,60,20250203,160000,0.104,0.104,0.079,0.079,394,0
NOEMW.US,60,20250203,170000,0.09,0.09,0.09,0.09,100,0
NOEMW.US,60,20250203,220000,0.0601,0.0601,0.0601,0.0601,100,0
NOEMW.US,60,20250204,160000,0.0747,0.0747,0.0747,0.0747,484,0
NOEMW.US,60,20250204,170000,0.07,0.07,0.07,0.07,100,0
NOEMW.US,60,20250204,190000,0.07,0.07,0.07,0.07,118,0
NOEMW.US,60,20250207,210000,0.07,0.07,0.07,0.07,25000,0
NOEMW.US,60,20250207,220000,0.075,0.075,0.075,0.075,100,0
NOEMW.US,60,20250214,170000,0.09,0.09,0.09,0.09,4955,0
NOEMW.US,60,20250214,180000,0.0903,0.0904,0.0903,0.0904,4000,0
NOEMW.US,60,20250214,190000,0.0903,0.0952,0.0903,0.0952,6000,0
NOEMW.US,60,20250214,200000,0.0903,0.0903,0.0903,0.0903,208,0
NOEMW.US,60,20250214,220000,0.0849,0.09,0.0849,0.0899,15000,0
NOEMW.US,60,20250218,160000,0.1,0.1,0.099001,0.099001,1674,0
NOEMW.US,60,20250218,170000,0.1,0.1,0.1,0.1,100,0
NOEMW.US,60,20250218,200000,0.1,0.1,0.1,0.1,100,0
NOEMW.US,60,20250218,220000,0.1,0.1,0.1,0.1,100,0
NOEMW.US,60,20250220,170000,0.1,0.1,0.1,0.1,200,0
NOEMW.US,60,20250220,180000,0.1,0.1,0.1,0.1,300,0
NOEMW.US,60,20250220,190000,0.1,0.1,0.1,0.1,200,0
NOEMW.US,60,20250220,200000,0.09,0.09,0.08,0.08,400,0
NOEMW.US,60,20250220,220000,0.1,0.1,0.1,0.1,228,0
NOEMW.US,60,20250226,160000,0.1,0.1,0.08,0.08,2755,0
NOEMW.US,60,20250226,170000,0.1,0.1,0.1,0.1,100,0
NOEMW.US,60,20250312,150000,0.089999,0.089999,0.089999,0.089999,200,0
NOEMW.US,60,20250312,190000,0.0857,0.09,0.0857,0.0857,9277,0
NOEMW.US,60,20250313,180000,0.085,0.09,0.085,0.0899,78967,0
NOEMW.US,60,20250313,190000,0.0899,0.0899,0.089,0.089,3100,0
NOEMW.US,60,20250317,160000,0.1,0.1,0.1,0.1,9921,0
NOEMW.US,60,20250317,190000,0.1,0.1,0.1,0.1,200,0
NOEMW.US,60,20250317,200000,0.1,0.1,0.1,0.1,173,0
NOEMW.US,60,20250325,160000,0.1015,0.1015,0.1015,0.1015,481,0
NOEMW.US,60,20250401,210000,0.1125,0.1125,0.1125,0.1125,975,0
NOEMW.US,60,20250407,200000,0.1,0.1,0.0899,0.09,2521,0
NOEMW.US,60,20250423,220000,0.09,0.101,0.09,0.1,298500,0
NOEMW.US,60,20250501,160000,0.1239,0.1239,0.1239,0.1239,265,0
NOEMW.US,60,20250501,170000,0.0968,0.0968,0.0968,0.0968,5000,0
NOEMW.US,60,20250507,160000,0.15,0.15,0.097577,0.097577,1400,0
NOEMW.US,60,20250512,220000,0.1,0.1,0.1,0.1,1332,0
NOEMW.US,60,20250514,200000,0.1,0.15,0.1,0.1,13567,0
NOEMW.US,60,20250516,170000,0.0885,0.0885,0.078176,0.08,40411,0
NOEMW.US,60,20250516,180000,0.08,0.08,0.08,0.08,1913,0
NOEMW.US,60,20250516,190000,0.08,0.08,0.08,0.08,100,0
NOEMW.US,60,20250516,200000,0.08,0.0802,0.0799,0.08,18296,0
NOEMW.US,60,20250516,220000,0.08,0.08,0.0799,0.0799,2538,0
NOEMW.US,60,20250519,170000,0.0701,0.0701,0.0699,0.07,7100,0
NOEMW.US,60,20250519,180000,0.0699,0.0699,0.0699,0.0699,100,0
NOEMW.US,60,20250519,190000,0.07,0.07,0.07,0.07,5100,0
NOEMW.US,60,20250519,220000,0.07,0.0749,0.0563,0.0563,3300,0
NOEMW.US,60,20250521,160000,0.0551,0.0551,0.0445,0.045,18200,0
NOEMW.US,60,20250521,170000,0.05,0.0501,0.0499,0.05,31640,0
NOEMW.US,60,20250521,190000,0.05,0.0575,0.0447,0.0575,1100,0
NOEMW.US,60,20250521,210000,0.0649,0.065,0.0649,0.065,800,0
NOEMW.US,60,20250522,190000,0.0749,0.0749,0.0749,0.0749,200,0
NOEMW.US,60,20250522,210000,0.08635,0.0977,0.0525,0.0977,800,0
NOEMW.US,60,20250522,220000,0.09769,0.0977,0.09,0.0977,994,0
NOEMW.US,60,20250523,160000,0.09,0.0982,0.09,0.0968,536,0
NOEMW.US,60,20250523,210000,0.0968,0.0968,0.0968,0.0968,100,0
NOEMW.US,60,20250528,160000,0.0988,0.0988,0.09,0.09,669,0
