<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NTSK.US,60,20250918,190000,23,24.4,21.88,22.195,20757804,0
NTSK.US,60,20250918,200000,22.21,23.1,22.03,22.5225,3129349,0
NTSK.US,60,20250918,210000,22.515,22.75,22,22.225,2335913,0
NTSK.US,60,20250918,220000,22.235,22.99,22.2348,22.49,4830353,0
NTSK.US,60,20250919,160000,24.23,24.23,22.9,23.23,1557225,0
NTSK.US,60,20250919,170000,23.19,25.22,23.19,24.6834,2491979,0
NTSK.US,60,20250919,180000,24.61,24.99,23.76,23.98,824097,0
NTSK.US,60,20250919,190000,23.975,24.6299,23.92,24.3,537153,0
NTSK.US,60,20250919,200000,24.3,25,24,24.85,764575,0
NTSK.US,60,20250919,210000,24.86,25.58,24.61,24.65,1075820,0
NTSK.US,60,20250919,220000,24.675,25.16,24.52,24.815,1160202,0
NTSK.US,60,20250922,160000,25.15,26.15,24.8687,25.5,1212681,0
NTSK.US,60,20250922,170000,25.43,27.75,25.43,26.39,1505721,0
NTSK.US,60,20250922,180000,26.46,26.8999,26.1,26.645,796138,0
NTSK.US,60,20250922,190000,26.65,27.1343,26.48,26.56,689736,0
NTSK.US,60,20250922,200000,26.51,27.99,26.45,27,674481,0
NTSK.US,60,20250922,210000,26.96,27.86,26.8,27.64,650663,0
NTSK.US,60,20250922,220000,27.65,27.73,25.5,25.79,1669289,0
NTSK.US,60,20250923,160000,26.85,27.03,26.26,26.775,555778,0
NTSK.US,60,20250923,170000,26.7505,26.88,25.4,25.4825,707043,0
NTSK.US,60,20250923,180000,25.46,25.51,24.81,24.95,762276,0
NTSK.US,60,20250923,190000,24.96,24.99,24.56,24.69,615186,0
NTSK.US,60,20250923,200000,24.67,24.9876,23.8,23.9503,589020,0
NTSK.US,60,20250923,210000,23.95,24.47,23.67,24.22,799108,0
NTSK.US,60,20250923,220000,24.175,24.69,23.99,24.1,1529738,0
NTSK.US,60,20250924,160000,24.43,25.2,24.02,24.725,712222,0
NTSK.US,60,20250924,170000,24.725,25.05,24.49,24.94,466134,0
NTSK.US,60,20250924,180000,24.94,25.04,24.34,24.49,508160,0
NTSK.US,60,20250924,190000,24.49,24.89,24.4,24.68,339543,0
NTSK.US,60,20250924,200000,24.635,24.8,23.655,24.035,620947,0
NTSK.US,60,20250924,210000,24.035,24.19,23.81,24.02,398243,0
NTSK.US,60,20250924,220000,24.02,24.6,23.24,23.38,4166504,0
NTSK.US,60,20250925,160000,22.8,23,21.71,22.445,841205,0
NTSK.US,60,20250925,170000,22.445,23.24,22.25,23.235,401712,0
NTSK.US,60,20250925,180000,23.2325,23.83,23.12,23.7599,316060,0
NTSK.US,60,20250925,190000,23.75,23.75,23.15,23.15,243124,0
NTSK.US,60,20250925,200000,23.15,23.17,22.85,23.035,309845,0
NTSK.US,60,20250925,210000,23.035,23.06,22.785,22.925,248346,0
NTSK.US,60,20250925,220000,22.92,23.0267,22.64,22.7,606871,0
NTSK.US,60,20250926,160000,22.98,23.2499,22.42,23.105,190128,0
NTSK.US,60,20250926,170000,23.05,23.555,22.5,23.22,409023,0
NTSK.US,60,20250926,180000,23.175,23.7812,23.12,23.3001,198966,0
NTSK.US,60,20250926,190000,23.37,23.44,22.96,23.415,77666,0
NTSK.US,60,20250926,200000,23.415,23.595,23.075,23.155,62495,0
NTSK.US,60,20250926,210000,23.14,23.64,23.14,23.64,100964,0
NTSK.US,60,20250926,220000,23.6348,24.23,23.57,24.23,662544,0
NTSK.US,60,20250929,160000,24.12,24.1931,23.03,23.49,435119,0
