<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NVNI.US,60,20240411,170000,17.6,17.9,17.6,17.6,158.5,0
NVNI.US,60,20240411,180000,17.6,17.6,17.6,17.6,20,0
NVNI.US,60,20240411,220000,18.2,18.2,18.2,18.2,10,0
NVNI.US,60,20240412,170000,17.6,17.6,17.6,17.6,30,0
NVNI.US,60,20240412,180000,17.6,17.6,17.6,17.6,10,0
NVNI.US,60,20240412,190000,17.6,17.6,17.5,17.5,116.80000000000001,0
NVNI.US,60,20240412,220000,16.6,16.6,16.5,16.6,136.3,0
NVNI.US,60,20240415,160000,17.6,17.6,15.4,15.575,1857.9,0
NVNI.US,60,20240415,180000,16.1,16.2,15.4,15.5,707.4,0
NVNI.US,60,20240415,200000,15.6,15.6,15.4,15.4,200,0
NVNI.US,60,20240415,210000,15.5,16.896,13.8,14.9,241.5,0
NVNI.US,60,20240416,180000,14.9,14.9,14.9,14.9,33.2,0
NVNI.US,60,20240417,160000,13.8,13.8,13.8,13.8,31.1,0
NVNI.US,60,20240417,170000,14,14,14,14,10,0
NVNI.US,60,20240417,200000,14,14,14,14,10,0
NVNI.US,60,20240417,210000,14.264,14.264,14.264,14.264,30.6,0
NVNI.US,60,20240417,220000,14,14.4,14,14.4,70.60000000000001,0
NVNI.US,60,20240418,170000,16.5,16.5,16.5,16.5,43.5,0
NVNI.US,60,20240418,190000,15.2,15.2,14,14,30,0
NVNI.US,60,20240419,170000,14.515,14.515,14.515,14.515,13.5,0
NVNI.US,60,20240419,190000,14.001,14.001,14.001,14.001,10,0
NVNI.US,60,20240422,160000,15.1,16.2,15.1,16.2,91.4,0
NVNI.US,60,20240422,170000,14,14,14,14,10,0
NVNI.US,60,20240422,190000,14.1,14.2,14,14,101.4,0
NVNI.US,60,20240422,210000,14,14,14,14,22.700000000000003,0
NVNI.US,60,20240422,220000,14,14,14,14,10,0
NVNI.US,60,20240423,160000,16.3,16.3,16.3,16.3,34.9,0
NVNI.US,60,20240423,170000,15,15,15,15,10,0
NVNI.US,60,20240423,220000,14.6,14.6,14.6,14.6,10,0
NVNI.US,60,20240424,160000,14.5,14.5,14.5,14.5,25.900000000000002,0
NVNI.US,60,20240424,200000,14.501,14.501,14.501,14.501,45,0
NVNI.US,60,20240424,220000,14.7,14.7,14.7,14.7,10,0
NVNI.US,60,20240426,190000,14.5,14.5,14.5,14.5,25,0
NVNI.US,60,20240426,200000,14.743,14.743,14.743,14.743,50,0
