<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NVVE.US,60,20240411,160000,7.035,7.035,6.901,6.903,358.1,0
NVVE.US,60,20240411,170000,6.9455,7.195,6.945,7,1403.7,0
NVVE.US,60,20240411,180000,7.001,7.126,7.001,7.0925,509.2,0
NVVE.US,60,20240411,190000,7.119,7.15,7.036,7.15,568.6,0
NVVE.US,60,20240411,200000,7.38,7.38,7.101,7.186,70,0
NVVE.US,60,20240411,220000,7.23,7.239,7.1,7.101,505.2,0
NVVE.US,60,20240412,160000,7.191,7.191,7.067,7.1,661,0
NVVE.US,60,20240412,170000,7.0999,7.1,7,7.001,1146.5,0
NVVE.US,60,20240412,180000,7.001,7.1,7.001,7.071,2098.8,0
NVVE.US,60,20240412,190000,7.09999,7.09999,7.075,7.075,432.7,0
NVVE.US,60,20240412,200000,7.1,7.1,6.9,6.938,596.6,0
NVVE.US,60,20240412,210000,6.937,6.998,6.937,6.938,343.5,0
NVVE.US,60,20240412,220000,6.938,6.938,6.8,6.921,543.4,0
NVVE.US,60,20240415,160000,7,7.02,6.511,6.957,264.90000000000003,0
NVVE.US,60,20240415,170000,6.8,7.008,6.62,6.849,394.2,0
NVVE.US,60,20240415,180000,6.7,6.849,6.55,6.843,435.6,0
NVVE.US,60,20240415,190000,6.631,6.8,6.63,6.8,316.7,0
NVVE.US,60,20240415,200000,6.798,6.8,6.798,6.8,69.5,0
NVVE.US,60,20240415,210000,6.69999,6.849,6.6,6.6,2665,0
NVVE.US,60,20240415,220000,6.749,6.749,6.6,6.717,1187.8,0
NVVE.US,60,20240416,160000,6.837,6.878,6.778,6.877,478.6,0
NVVE.US,60,20240416,170000,6.889,6.889,6.7,6.787,1305.2,0
NVVE.US,60,20240416,180000,6.7,6.8,6.7,6.8,408.4,0
NVVE.US,60,20240416,190000,6.815,6.815,6.7,6.7,655.9,0
NVVE.US,60,20240416,200000,6.799,6.815,6.7,6.815,709.5,0
NVVE.US,60,20240416,210000,6.801,6.801,6.7,6.7,537.1,0
NVVE.US,60,20240416,220000,6.704,6.748,6.521,6.59932,2662.2,0
NVVE.US,60,20240417,160000,6.849,6.849,6.51,6.51,23.5,0
NVVE.US,60,20240417,170000,6.5,6.7,6.5,6.7,516.7,0
NVVE.US,60,20240417,180000,6.5,6.7,6.5,6.571,195,0
NVVE.US,60,20240417,190000,6.7,6.84,6.571,6.84,491.5,0
NVVE.US,60,20240417,200000,6.66,6.837,6.6,6.837,1491.3000000000002,0
NVVE.US,60,20240417,210000,6.6,6.7,6.6,6.695,317.9,0
NVVE.US,60,20240417,220000,6.602,6.7,6.602,6.603,415.4,0
NVVE.US,60,20240418,160000,6.7,6.7,6.4,6.401,744.4000000000001,0
NVVE.US,60,20240418,170000,6.4001,6.587,6.4001,6.5,122.7,0
NVVE.US,60,20240418,180000,6.499,6.588,6.421,6.588,498.1,0
NVVE.US,60,20240418,190000,6.588,6.7,6.588,6.7,4898,0
NVVE.US,60,20240418,200000,6.602,6.699,6.602,6.602,131.1,0
NVVE.US,60,20240418,210000,6.65,6.695,6.601,6.601,1356.6000000000001,0
NVVE.US,60,20240418,220000,6.602,6.675,6.602,6.606,570,0
NVVE.US,60,20240419,160000,6.8,6.8,6.6368,6.6368,200.60000000000002,0
NVVE.US,60,20240419,170000,6.674,6.8,6.674,6.778,462.1,0
NVVE.US,60,20240419,180000,6.75,6.778,6.701,6.778,269.2,0
NVVE.US,60,20240419,190000,6.75,6.82,6.65,6.82,234.8,0
NVVE.US,60,20240419,200000,6.818,6.82,6.72,6.81,560.3,0
NVVE.US,60,20240419,210000,6.821,6.9,6.821,6.889,80,0
NVVE.US,60,20240419,220000,6.87,6.895,6.82,6.87,213.5,0
NVVE.US,60,20240422,160000,6.87,7,6.8,6.9,948.2,0
NVVE.US,60,20240422,170000,6.8,7.138,6.8,7.09,441.9,0
NVVE.US,60,20240422,180000,6.935,7.5,6.935,7.275,1431.6,0
NVVE.US,60,20240422,190000,7.25,7.395,7.223,7.223,208.6,0
NVVE.US,60,20240422,200000,7.395,7.395,7.29,7.39,285,0
NVVE.US,60,20240422,210000,7.39,7.45,7.05,7.101,2247,0
NVVE.US,60,20240422,220000,7.26,7.386,7.13,7.173,142.3,0
NVVE.US,60,20240423,160000,7.2,7.2,7.2,7.2,147,0
NVVE.US,60,20240423,170000,7.4,7.4,7.211,7.211,259.90000000000003,0
NVVE.US,60,20240423,180000,7.333,7.54308,7.101,7.29,2805.1,0
NVVE.US,60,20240423,190000,7.29,7.29,7,7.2,218.2,0
NVVE.US,60,20240423,200000,7.056,7.16711,7.056,7.067,224.4,0
NVVE.US,60,20240423,210000,7.2,7.201,7.052,7.052,1184.3,0
NVVE.US,60,20240423,220000,7.147,7.28,7.05,7.28,1184.2,0
NVVE.US,60,20240424,160000,7.286,7.5,7.188,7.5,137.3,0
NVVE.US,60,20240424,170000,7.25,7.3,7.1,7.11,786.8,0
NVVE.US,60,20240424,180000,7.12,7.29,7.12,7.29,60,0
NVVE.US,60,20240424,200000,7.4,7.4,7.12,7.4,486.1,0
NVVE.US,60,20240424,210000,7.25,7.4,7.2,7.2,392.2,0
NVVE.US,60,20240424,220000,7.131,7.29,7.13,7.29,417.4,0
NVVE.US,60,20240425,160000,7.256,7.419,7.256,7.2672,687.6,0
NVVE.US,60,20240425,170000,7.4,7.4,7.1,7.138,1739.3,0
NVVE.US,60,20240425,180000,7.139,7.3,7.09,7.09,862.4000000000001,0
NVVE.US,60,20240425,190000,7.4,7.4,7.33431,7.33431,50,0
NVVE.US,60,20240425,200000,7.4,7.4,7.35,7.35,93.7,0
NVVE.US,60,20240425,220000,7.30501,7.399,7.30501,7.39,343.5,0
