<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NXXT.US,60,20240411,170000,5.825,5.825,5.7,5.7,404.8,0
NXXT.US,60,20240411,180000,5.675,5.775,5.6,5.6,2284.4,0
NXXT.US,60,20240411,190000,5.65,5.65,5.5,5.5,415.6,0
NXXT.US,60,20240411,200000,5.5,5.5,5.15,5.175,2073.6,0
NXXT.US,60,20240411,210000,5.2125,5.65,5.2125,5.65,705.2,0
NXXT.US,60,20240411,220000,5.6,5.85,5.55,5.85,3517.2,0
NXXT.US,60,20240412,160000,5.8625,5.8625,5.8625,5.8625,400,0
NXXT.US,60,20240412,170000,5.65025,5.72,5.625,5.72,172,0
NXXT.US,60,20240412,180000,5.70475,5.725,5.7,5.7,650,0
NXXT.US,60,20240412,190000,5.70025,5.85,5.70025,5.85,2160,0
NXXT.US,60,20240412,200000,5.95,5.95,5.875,5.875,159.60000000000002,0
NXXT.US,60,20240412,210000,5.98875,6.05,5.9875,6.05,240,0
NXXT.US,60,20240412,220000,5.85,6.075,5.85,6.075,440,0
NXXT.US,60,20240415,160000,6.05,6.10125,6.05,6.05,548.4,0
NXXT.US,60,20240415,170000,6.075,6.075,6.05,6.05,194.4,0
NXXT.US,60,20240415,180000,6.0125,6.15,6.0125,6.0125,769.2,0
NXXT.US,60,20240415,200000,5.9875,6,5.9875,6,392.40000000000003,0
NXXT.US,60,20240415,210000,6.17475,6.17475,5.875,5.875,880,0
NXXT.US,60,20240415,220000,5.85,5.9125,5.85,5.85,240,0
NXXT.US,60,20240416,160000,5.85,5.954,5.8,5.8,660,0
NXXT.US,60,20240416,170000,5.8,5.85025,5.725,5.8,1130,0
NXXT.US,60,20240416,180000,5.875,5.875,5.75,5.75,1484.8,0
NXXT.US,60,20240416,190000,5.725,5.725,5.575,5.675,3160.8,0
NXXT.US,60,20240416,210000,5.825,5.825,5.825,5.825,92,0
NXXT.US,60,20240417,160000,5.5,5.55,5.375,5.5,2741.2000000000003,0
NXXT.US,60,20240417,170000,5.5115,5.7,5.51,5.66025,3517.2,0
NXXT.US,60,20240417,180000,5.575,5.575,5.5,5.51025,2368.4,0
NXXT.US,60,20240417,190000,5.6,5.75,5.5,5.75,3640.4,0
NXXT.US,60,20240417,200000,5.75,5.875,5.75,5.875,2099.6,0
NXXT.US,60,20240417,210000,5.8,5.8375,5.8,5.8,160,0
NXXT.US,60,20240417,220000,5.8,5.8,5.75,5.75,92.4,0
NXXT.US,60,20240418,160000,5.625,5.625,5.625,5.625,226,0
NXXT.US,60,20240418,170000,5.875,5.875,5.75,5.75,751.2,0
NXXT.US,60,20240418,180000,5.75,5.75,5.75,5.75,40,0
NXXT.US,60,20240418,190000,5.75,5.75,5.75,5.75,40,0
NXXT.US,60,20240418,200000,5.75,5.75,5.625,5.625,200,0
NXXT.US,60,20240418,210000,5.75,5.75,5.75,5.75,40,0
NXXT.US,60,20240418,220000,5.8,5.85,5.775,5.825,172.8,0
NXXT.US,60,20240419,160000,5.875,5.875,5.875,5.875,220,0
NXXT.US,60,20240419,170000,5.825,5.825,5.5,5.5,1199.6,0
NXXT.US,60,20240419,220000,5.875,5.9685,5.80025,5.925,558.4,0
NXXT.US,60,20240422,160000,5.94075,6.25,5.8625,6.1,8742,0
NXXT.US,60,20240422,170000,5.975,6.1125,5.75,5.75,4000.8,0
NXXT.US,60,20240422,180000,5.8,5.8,5.8,5.8,40,0
NXXT.US,60,20240422,210000,5.8,5.9,5.8,5.9,1120,0
NXXT.US,60,20240422,220000,5.9,5.9625,5.725,5.8,3146,0
NXXT.US,60,20240423,170000,5.7625,5.7625,5.75,5.75,226,0
NXXT.US,60,20240423,180000,5.75,5.8,5.65,5.8,759.6,0
NXXT.US,60,20240423,190000,5.9875,5.9875,5.775,5.775,1290.8,0
NXXT.US,60,20240423,200000,5.825,5.825,5.825,5.825,216,0
NXXT.US,60,20240423,220000,5.825,6.025,5.8,6.025,184,0
NXXT.US,60,20240424,160000,6.1,6.175,6.1,6.175,1378.4,0
NXXT.US,60,20240424,170000,6.15,6.15,6.15,6.15,80,0
NXXT.US,60,20240424,180000,6.0625,6.0625,6.0625,6.0625,1000,0
NXXT.US,60,20240424,190000,6.15,6.15,6.15,6.15,400,0
NXXT.US,60,20240424,200000,6.05,6.0625,5.95,5.95,1849.2,0
NXXT.US,60,20240424,210000,5.925,5.925,5.925,5.925,40,0
NXXT.US,60,20240424,220000,6.0875,6.12775,6.0875,6.12775,435.6,0
NXXT.US,60,20240425,160000,6.205,6.205,6.205,6.205,40,0
NXXT.US,60,20240425,170000,6.175,6.20025,6.175,6.2,320,0
NXXT.US,60,20240425,180000,6.225,6.475,6.15,6.475,308.8,0
NXXT.US,60,20240425,190000,6.2125,6.2125,6.2125,6.2125,200,0
NXXT.US,60,20240425,220000,5.925,6.04975,5.925,5.95,480,0
NXXT.US,60,20240426,160000,5.94975,5.95,5.85,5.85,220,0
NXXT.US,60,20240426,170000,5.85025,5.8775,5.8,5.85,1106.8,0
NXXT.US,60,20240426,180000,5.875,6.23825,5.875,6.23825,1427.2,0
NXXT.US,60,20240426,190000,6.175,6.175,5.975,5.975,637.6,0
NXXT.US,60,20240426,200000,5.975,5.975,5.975,5.975,120,0
NXXT.US,60,20240426,210000,5.975,6,5.975,6,120,0
NXXT.US,60,20240426,220000,6.025,6.24975,5.975,6.025,280,0
NXXT.US,60,20240429,160000,6.05,6.05,6.025,6.025,466.40000000000003,0
NXXT.US,60,20240429,170000,5.875,6.0125,5.875,6.0125,221.60000000000002,0
NXXT.US,60,20240429,180000,6.02,6.02,6.02,6.02,100,0
NXXT.US,60,20240429,190000,6.037,6.037,5.95375,5.95375,1901.6000000000001,0
NXXT.US,60,20240429,200000,5.875,5.95,5.875,5.95,80,0
NXXT.US,60,20240429,210000,6.1,6.1,5.915,5.915,381.2,0
NXXT.US,60,20240429,220000,5.925,6.075,5.925,6.075,120,0
NXXT.US,60,20240430,160000,5.9,6.15,5.75,5.75,2800,0
NXXT.US,60,20240430,170000,5.875,5.875,5.8,5.8,140,0
NXXT.US,60,20240430,180000,5.75,5.8125,5.55,5.625,8346,0
NXXT.US,60,20240430,190000,5.625,5.625,5.625,5.625,40,0
NXXT.US,60,20240430,210000,5.8125,5.8125,5.8125,5.8125,40,0
NXXT.US,60,20240430,220000,5.75,5.75025,5.75,5.75025,2419.2000000000003,0
NXXT.US,60,20240501,160000,5.75,5.75,5.675,5.675,80,0
NXXT.US,60,20240501,170000,5.65,5.65,5.625,5.625,120,0
NXXT.US,60,20240501,180000,5.6305,6.175,5.6305,6.125,1316,0
NXXT.US,60,20240501,190000,5.9,6.125,5.675,5.675,333.6,0
NXXT.US,60,20240501,200000,5.675,6.09975,5.675,5.875,960,0
NXXT.US,60,20240501,220000,5.9,5.9,5.9,5.9,200,0
NXXT.US,60,20240502,160000,5.875,5.875,5.875,5.875,180,0
NXXT.US,60,20240502,180000,5.792,6,5.792,5.9,516.4,0
NXXT.US,60,20240502,190000,6.1,6.1,5.975,5.975,80,0
NXXT.US,60,20240502,200000,6,6.55,6,6.25,4746.4,0
NXXT.US,60,20240502,210000,6.275,6.425,6.128,6.425,909.6,0
NXXT.US,60,20240502,220000,6.225,6.775,6.225,6.2295,6638,0
NXXT.US,60,20240503,160000,6.55,6.55,6.55,6.55,50.800000000000004,0
NXXT.US,60,20240503,170000,5.925,6.05,5.9,6,462,0
NXXT.US,60,20240503,180000,6.15,6.15,6.15,6.15,40,0
NXXT.US,60,20240503,190000,6.5,6.5,6.425,6.425,200,0
NXXT.US,60,20240503,200000,6.32425,6.5,6.32425,6.475,560,0
NXXT.US,60,20240503,210000,6.475,6.475,6.475,6.475,47.6,0
NXXT.US,60,20240503,220000,6.325,6.475,6.25,6.475,886.8000000000001,0
NXXT.US,60,20240506,160000,6.2,6.675,6.2,6.6,1111.2,0
NXXT.US,60,20240506,170000,6.7745,6.7745,6.725,6.75,220,0
NXXT.US,60,20240506,180000,6.675,6.7975,6.675,6.7975,414,0
NXXT.US,60,20240506,190000,6.725,6.8,6.675,6.8,796.4,0
NXXT.US,60,20240506,200000,6.7,6.7,6.7,6.7,40,0
NXXT.US,60,20240506,210000,6.65,6.775,6.65,6.775,120,0
NXXT.US,60,20240506,220000,6.775,7,6.775,6.975,2870,0
NXXT.US,60,20240507,160000,6.85,7.5,6.85,7.3,4774,0
NXXT.US,60,20240507,170000,7.175,7.325,7.00025,7.17775,3604.8,0
NXXT.US,60,20240507,180000,7.073,7.54975,7.073,7.54975,2460,0
NXXT.US,60,20240507,190000,7.5,7.5,7.05,7.05,330.40000000000003,0
NXXT.US,60,20240507,200000,7.2,7.29775,7.2,7.29775,440,0
NXXT.US,60,20240507,210000,7.25,7.25,7.12525,7.1495,306.40000000000003,0
NXXT.US,60,20240507,220000,7.175,7.5,7.125,7.125,1342.4,0
NXXT.US,60,20240508,160000,6.9625,6.9625,6.9625,6.9625,40,0
NXXT.US,60,20240508,170000,7,7.118,7,7.118,247.60000000000002,0
NXXT.US,60,20240508,180000,7.12475,7.5235,7.05,7.4,3976.8,0
NXXT.US,60,20240508,190000,7.125,7.125,7.125,7.125,40,0
NXXT.US,60,20240508,200000,7.105,7.125,7.105,7.125,80,0
NXXT.US,60,20240508,210000,7.175,7.175,7.175,7.175,160,0
NXXT.US,60,20240508,220000,7.125,7.125,7.1,7.1,381.6,0
NXXT.US,60,20240509,160000,6.8,6.85,6.8,6.8,192.8,0
NXXT.US,60,20240509,170000,6.8,6.8,6.8,6.8,80,0
NXXT.US,60,20240509,180000,6.825,7.1605,6.825,7.1605,80,0
NXXT.US,60,20240509,220000,6.825,6.85,6.825,6.85,80,0
NXXT.US,60,20240510,160000,6.525,6.525,6.525,6.525,440,0
NXXT.US,60,20240510,170000,6.625,6.625,6.625,6.625,122.80000000000001,0
NXXT.US,60,20240510,180000,6.75,6.93675,6.55,6.625,678,0
NXXT.US,60,20240510,200000,6.675,6.675,6.675,6.675,40,0
NXXT.US,60,20240510,210000,6.672,6.672,6.625,6.625,496.40000000000003,0
NXXT.US,60,20240510,220000,6.625,6.95,6.175,6.175,2520,0
NXXT.US,60,20240513,170000,6.125,6.125,5.625,5.8,1511.2,0
NXXT.US,60,20240513,180000,5.8,5.95,5.5875,5.62475,3654.4,0
NXXT.US,60,20240513,190000,5.7125,5.99975,5.70625,5.875,3649.6,0
NXXT.US,60,20240513,200000,5.875,6,5.875,6,1000,0
NXXT.US,60,20240513,210000,5.9625,6,5.925,5.986,241.6,0
NXXT.US,60,20240513,220000,5.9625,6.775,5.925,6.45,1552.4,0
NXXT.US,60,20240514,160000,6.325,6.435,6.325,6.4255,650,0
NXXT.US,60,20240514,170000,6.55,6.5625,6.45,6.45,440,0
NXXT.US,60,20240514,180000,6.275,6.5625,5.975,6.18875,749.6,0
NXXT.US,60,20240514,190000,6.525,7.24975,6.25,6.625,6886,0
NXXT.US,60,20240514,200000,6.95,6.95,6.9,6.9,437.6,0
NXXT.US,60,20240514,210000,6.7,7.125,6.65,7.075,1111.6000000000001,0
NXXT.US,60,20240514,220000,7.0375,7.0625,6.65,6.65,200,0
NXXT.US,60,20240515,160000,6.65,6.65,5.75,6.325,1468,0
NXXT.US,60,20240515,200000,6.35625,6.35625,6.35625,6.35625,640,0
NXXT.US,60,20240515,210000,6.51775,6.87475,6.51775,6.825,1900,0
NXXT.US,60,20240515,220000,6.4,7.02475,6.275,6.275,1780.8,0
NXXT.US,60,20240516,160000,6.45,6.45,6.45,6.45,43.6,0
NXXT.US,60,20240516,170000,6.3875,6.3875,6.3875,6.3875,3200,0
NXXT.US,60,20240516,180000,6.325,6.325,6.3025,6.3025,153.60000000000002,0
NXXT.US,60,20240516,190000,6.275,6.275,6,6.1555,580.4,0
NXXT.US,60,20240516,210000,6.15,6.375,6.15,6.375,90,0
NXXT.US,60,20240516,220000,6.5,6.625,6.35,6.35,2425.6,0
NXXT.US,60,20240517,170000,6.425,6.73275,6.325,6.73275,160,0
NXXT.US,60,20240517,180000,6.5425,6.775,6.525,6.52525,2104,0
NXXT.US,60,20240517,190000,6.76025,6.76025,6.5,6.5,400,0
NXXT.US,60,20240517,200000,7.10125,7.10125,7.10125,7.10125,120,0
NXXT.US,60,20240517,210000,6.7285,6.7285,6.525,6.52525,575.6,0
NXXT.US,60,20240517,220000,6.65,6.7375,6.525,6.55,2212.4,0
NXXT.US,60,20240520,160000,6.8,6.8,6.8,6.8,40,0
NXXT.US,60,20240520,170000,6.59125,6.59125,6.4,6.5,276,0
NXXT.US,60,20240520,180000,6.5,6.62475,6.25,6.5,2859.6,0
NXXT.US,60,20240520,190000,6.375,6.37525,6.375,6.375,440,0
NXXT.US,60,20240520,200000,6.375,6.375,6.375,6.375,140.4,0
NXXT.US,60,20240520,210000,6.375,6.375,6.375,6.375,40,0
NXXT.US,60,20240520,220000,6.45,6.45,6.25,6.25,760,0
NXXT.US,60,20240521,170000,6.775,6.775,6.3305,6.4375,932.8,0
NXXT.US,60,20240521,180000,6.3375,6.4,6.325,6.325,344.8,0
NXXT.US,60,20240521,190000,6.3,6.375,6.15175,6.375,829.2,0
NXXT.US,60,20240521,200000,6.4,6.4,6.25,6.25,1220,0
NXXT.US,60,20240521,210000,6.275,6.275,6.275,6.275,120,0
NXXT.US,60,20240521,220000,6.5205,6.5205,6.275,6.275,384,0
NXXT.US,60,20240522,160000,6.8535,6.8535,6.8535,6.8535,120,0
NXXT.US,60,20240522,180000,6.54,6.6875,6.54,6.6875,90,0
NXXT.US,60,20240522,190000,6.825,6.825,6.775,6.775,120,0
NXXT.US,60,20240522,210000,6.625,6.625,6.3,6.3,620,0
NXXT.US,60,20240522,220000,6.425,6.6,6.275,6.275,3591.2,0
NXXT.US,60,20240523,160000,6.8,6.84825,6.8,6.84825,440,0
NXXT.US,60,20240523,170000,6.69325,6.69325,6.69325,6.69325,58.800000000000004,0
NXXT.US,60,20240523,180000,6.425,6.425,6.125,6.275,2840,0
NXXT.US,60,20240523,190000,6.575,6.575,6.575,6.575,159.20000000000002,0
NXXT.US,60,20240523,220000,6.275,6.275,6.275,6.275,160,0
NXXT.US,60,20240524,170000,6.3,6.3,6.3,6.3,40,0
NXXT.US,60,20240524,180000,6.16225,6.16225,6.16225,6.16225,40,0
NXXT.US,60,20240524,190000,6.3,6.45,6.175,6.445,360,0
NXXT.US,60,20240524,210000,6.125,6.125,6.125,6.125,43.6,0
