<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OPK.US,60,20240411,160000,1.27,1.29,1.27,1.285,472617,0
OPK.US,60,20240411,170000,1.2821,1.29,1.21,1.2101,679324,0
OPK.US,60,20240411,180000,1.21,1.24,1.21,1.24,632044,0
OPK.US,60,20240411,190000,1.2363,1.24,1.23,1.2396,90317,0
OPK.US,60,20240411,200000,1.235,1.26,1.23,1.26,427146,0
OPK.US,60,20240411,210000,1.26,1.28,1.26,1.275,283242,0
OPK.US,60,20240411,220000,1.275,1.29,1.27,1.29,457706,0
OPK.US,60,20240412,160000,1.26,1.2694,1.24,1.255,459017,0
OPK.US,60,20240412,170000,1.255,1.26,1.25,1.255,371006,0
OPK.US,60,20240412,180000,1.255,1.26,1.23,1.255,606114,0
OPK.US,60,20240412,190000,1.2599,1.26,1.25,1.25,56662,0
OPK.US,60,20240412,200000,1.255,1.26,1.24,1.25,893105,0
OPK.US,60,20240412,210000,1.25,1.26,1.24,1.25,439569,0
OPK.US,60,20240412,220000,1.25,1.2599,1.21,1.23,1165721,0
OPK.US,60,20240415,160000,1.24,1.27,1.23,1.24,396460,0
OPK.US,60,20240415,170000,1.235,1.24,1.21,1.2215,332681,0
OPK.US,60,20240415,180000,1.2247,1.24,1.21,1.235,260845,0
OPK.US,60,20240415,190000,1.235,1.24,1.23,1.24,111294,0
OPK.US,60,20240415,200000,1.23,1.24,1.22,1.24,322437,0
OPK.US,60,20240415,210000,1.24,1.245,1.22,1.24,547599,0
OPK.US,60,20240415,220000,1.2303,1.25,1.23,1.245,1042826,0
OPK.US,60,20240416,160000,1.25,1.25,1.22,1.225,167474,0
OPK.US,60,20240416,170000,1.2212,1.23,1.2,1.205,548259,0
OPK.US,60,20240416,180000,1.21,1.23,1.205,1.22,200676,0
OPK.US,60,20240416,190000,1.22,1.23,1.22,1.22,118833,0
OPK.US,60,20240416,200000,1.225,1.23,1.21,1.22,618109,0
OPK.US,60,20240416,210000,1.22,1.23,1.21,1.22,181575,0
OPK.US,60,20240416,220000,1.22,1.23,1.21,1.21,1379609,0
OPK.US,60,20240417,160000,1.22,1.24,1.22,1.235,102675,0
OPK.US,60,20240417,170000,1.23,1.25,1.23,1.25,356750,0
OPK.US,60,20240417,180000,1.245,1.25,1.21,1.22,524571,0
OPK.US,60,20240417,190000,1.2126,1.23,1.21,1.22,310953,0
OPK.US,60,20240417,200000,1.215,1.25,1.215,1.25,584666,0
OPK.US,60,20240417,210000,1.25,1.26,1.24,1.24,479112,0
OPK.US,60,20240417,220000,1.24,1.26,1.24,1.255,898017,0
OPK.US,60,20240418,160000,1.25,1.26,1.22,1.22,98805,0
OPK.US,60,20240418,170000,1.22,1.23,1.2,1.215,642599,0
OPK.US,60,20240418,180000,1.215,1.25,1.21,1.24,521195,0
OPK.US,60,20240418,190000,1.24,1.25,1.23,1.245,353858,0
OPK.US,60,20240418,200000,1.245,1.25,1.23,1.24,315810,0
OPK.US,60,20240418,210000,1.24,1.245,1.23,1.235,260355,0
OPK.US,60,20240418,220000,1.23,1.25,1.23,1.23,992986,0
OPK.US,60,20240419,160000,1.2,1.2415,1.2,1.235,275025,0
OPK.US,60,20240419,170000,1.235,1.24,1.23,1.24,149787,0
OPK.US,60,20240419,180000,1.24,1.24,1.23,1.235,280529,0
OPK.US,60,20240419,190000,1.2384,1.24,1.22,1.225,224037,0
OPK.US,60,20240419,200000,1.225,1.23,1.22,1.225,107573,0
OPK.US,60,20240419,210000,1.225,1.24,1.22,1.235,563491,0
OPK.US,60,20240419,220000,1.24,1.24,1.22,1.24,522684,0
OPK.US,60,20240422,160000,1.24,1.28,1.24,1.245,258911,0
OPK.US,60,20240422,170000,1.245,1.25,1.23,1.23,86328,0
OPK.US,60,20240422,180000,1.235,1.24,1.23,1.235,93266,0
OPK.US,60,20240422,190000,1.24,1.25,1.235,1.245,193535,0
OPK.US,60,20240422,200000,1.24,1.25,1.2301,1.24,202458,0
OPK.US,60,20240422,210000,1.235,1.24,1.22,1.225,349780,0
OPK.US,60,20240422,220000,1.225,1.23,1.22,1.225,827681,0
OPK.US,60,20240423,160000,1.23,1.25,1.23,1.245,63021,0
OPK.US,60,20240423,170000,1.24,1.26,1.23,1.255,420909,0
OPK.US,60,20240423,180000,1.26,1.26,1.24,1.245,230970,0
OPK.US,60,20240423,190000,1.24,1.25,1.24,1.245,78574,0
OPK.US,60,20240423,200000,1.25,1.25,1.24,1.245,120503,0
OPK.US,60,20240423,210000,1.245,1.25,1.24,1.25,83445,0
OPK.US,60,20240423,220000,1.25,1.25,1.24,1.245,559755,0
