<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OYSE.US,60,20250714,160000,9.975,9.98,9.975,9.98,5161,0
OYSE.US,60,20250714,170000,9.9753,9.9753,9.97,9.97,6000,0
OYSE.US,60,20250714,180000,9.97,9.97,9.97,9.97,1800,0
OYSE.US,60,20250714,200000,9.97,9.97,9.97,9.97,507,0
OYSE.US,60,20250714,210000,9.97,9.97,9.96,9.97,17408,0
OYSE.US,60,20250714,220000,9.965,9.97,9.965,9.97,14515,0
OYSE.US,60,20250715,170000,9.9732,9.9732,9.9732,9.9732,100,0
OYSE.US,60,20250715,180000,9.97,9.97,9.97,9.97,30019,0
OYSE.US,60,20250715,190000,9.97,9.97,9.97,9.97,69981,0
OYSE.US,60,20250715,220000,9.98,9.98,9.98,9.98,5000,0
OYSE.US,60,20250716,160000,10,10,10,10,2600,0
OYSE.US,60,20250716,170000,9.99,9.99,9.985,9.985,3500,0
OYSE.US,60,20250718,160000,10,10,10,10,20000,0
OYSE.US,60,20250718,170000,9.99,10,9.99,10,162000,0
OYSE.US,60,20250718,180000,9.99,9.99,9.99,9.99,238800,0
OYSE.US,60,20250721,220000,10,10,10,10,13860,0
OYSE.US,60,20250723,170000,9.9856,10,9.9856,10,11000,0
OYSE.US,60,20250723,180000,10,10,10,10,8007,0
OYSE.US,60,20250723,210000,10.0367,10.0396,10,10.02,9975,0
OYSE.US,60,20250725,160000,10,10,10,10,10672,0
OYSE.US,60,20250728,210000,9.99,9.99,9.99,9.99,50000,0
OYSE.US,60,20250730,200000,9.9989,9.9989,9.9989,9.9989,1000,0
OYSE.US,60,20250731,190000,9.98,9.98,9.98,9.98,25700,0
OYSE.US,60,20250731,210000,9.99,9.99,9.99,9.99,100,0
OYSE.US,60,20250731,220000,9.98,9.98,9.98,9.98,3300,0
OYSE.US,60,20250801,200000,9.98,9.987,9.98,9.987,1000,0
OYSE.US,60,20250801,220000,9.99,10,9.98,9.99,29384,0
OYSE.US,60,20250805,190000,9.99,9.99,9.9877,9.99,25853,0
OYSE.US,60,20250805,210000,9.99,9.995,9.985,9.99,94913,0
OYSE.US,60,20250805,220000,9.99,9.99,9.99,9.99,100,0
OYSE.US,60,20250806,160000,9.99,9.99,9.99,9.99,9300,0
OYSE.US,60,20250806,170000,9.99,9.99,9.99,9.99,3025,0
OYSE.US,60,20250806,200000,9.98,9.99,9.98,9.9899,1587,0
OYSE.US,60,20250807,160000,10,10,10,10,5000,0
OYSE.US,60,20250807,180000,9.982,9.982,9.982,9.982,1500,0
OYSE.US,60,20250811,170000,9.99,9.99,9.99,9.99,725000,0
OYSE.US,60,20250811,190000,9.99,9.99,9.99,9.99,500000,0
OYSE.US,60,20250811,220000,9.9963,9.9963,9.9963,9.9963,200,0
OYSE.US,60,20250812,160000,9.9951,9.9951,9.99,9.99,1042,0
OYSE.US,60,20250812,200000,10,10,10,10,84427,0
OYSE.US,60,20250812,220000,10,10,9.99,9.99,15201,0
OYSE.US,60,20250813,170000,9.99,9.99,9.99,9.99,800,0
OYSE.US,60,20250813,200000,10.09,10.09,10,10,312,0
OYSE.US,60,20250814,160000,10,10,10,10,10000,0
OYSE.US,60,20250814,180000,10,10,10,10,9000,0
OYSE.US,60,20250814,190000,10,10,9.9987,9.9987,11000,0
OYSE.US,60,20250814,200000,10,10,9.9974,10,42807,0
OYSE.US,60,20250814,210000,10,10,9.9935,10,20600,0
OYSE.US,60,20250814,220000,9.995,10,9.99,9.99,451,0
OYSE.US,60,20250815,170000,10.0205,10.0205,10.0205,10.0205,1000,0
OYSE.US,60,20250815,200000,10.01,10.03,10,10,150300,0
OYSE.US,60,20250815,210000,10,10.01,10,10.01,260,0
OYSE.US,60,20250815,220000,10,10.01,10,10.01,871,0
OYSE.US,60,20250818,180000,10,10,10,10,55550,0
OYSE.US,60,20250818,210000,10,10,10,10,15000,0
OYSE.US,60,20250818,220000,10.01,10.01,10.01,10.01,312,0
OYSE.US,60,20250819,200000,10,10,10,10,100000,0
OYSE.US,60,20250820,170000,10.01,10.03,10.01,10.03,50323,0
OYSE.US,60,20250820,200000,10.03,10.235,10.03,10.235,53650,0
OYSE.US,60,20250820,210000,10.04,10.04,10.03,10.03,707121,0
OYSE.US,60,20250820,220000,10.04,10.04,10.04,10.04,168,0
OYSE.US,60,20250821,160000,10.03,10.03,10.03,10.03,12170,0
OYSE.US,60,20250821,190000,10.035,10.045,10.035,10.045,40100,0
OYSE.US,60,20250821,210000,10.09,10.09,10.03,10.03,24665,0
OYSE.US,60,20250821,220000,10.03,10.03,10.03,10.03,135,0
OYSE.US,60,20250822,170000,10.03,10.03,10.03,10.03,86991,0
