<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
POM.US,60,20251008,180000,4.3,5.0399,3.9,4.22,1190135,0
POM.US,60,20251008,190000,4.22,4.9,4.2,4.66,697479,0
POM.US,60,20251008,200000,4.63,5,4.18,4.24,421578,0
POM.US,60,20251008,210000,4.21,4.74,4.21,4.575,1500070,0
POM.US,60,20251008,220000,4.55,4.57,3.47,4.03,2820790,0
POM.US,60,20251009,160000,3.9,4.78,3.9,4.6,326032,0
POM.US,60,20251009,170000,4.5795,4.75,4.52,4.68,138573,0
POM.US,60,20251009,180000,4.67,4.88,4.61,4.675,159306,0
POM.US,60,20251009,190000,4.62,4.87,4.5401,4.76,97951,0
POM.US,60,20251009,200000,4.7654,4.85,4.6901,4.73,70281,0
POM.US,60,20251009,210000,4.65,4.8,4.65,4.711,26719,0
POM.US,60,20251009,220000,4.725,4.83,4.7,4.77,81696,0
POM.US,60,20251010,160000,4.89,4.8908,4.4,4.47,687688,0
POM.US,60,20251010,170000,4.4928,4.725,4.41,4.54,292008,0
POM.US,60,20251010,180000,4.54,4.68,4.4,4.4,91680,0
POM.US,60,20251010,190000,4.42,4.5,4.11,4.33,335709,0
POM.US,60,20251010,200000,4.33,4.59,4.2601,4.52,77302,0
POM.US,60,20251010,210000,4.53,4.53,4.16,4.22,567251,0
POM.US,60,20251010,220000,4.24,4.37,4.17,4.35,847411,0
POM.US,60,20251013,160000,4.57,4.57,4.07,4.1699,314856,0
POM.US,60,20251013,170000,4.1699,4.19,4.13,4.19,917810,0
POM.US,60,20251013,180000,4.185,4.3189,4.15,4.2,1425695,0
POM.US,60,20251013,190000,4.2,4.4495,4.192,4.34,257893,0
POM.US,60,20251013,200000,4.35,4.5,4.31,4.41,66638,0
POM.US,60,20251013,210000,4.41,4.42,4.35,4.4,25226,0
POM.US,60,20251013,220000,4.39,4.41,4.3,4.4,64290,0
POM.US,60,20251014,160000,4.45,4.58,4.37,4.42,76224,0
POM.US,60,20251014,170000,4.43,4.5,4.4,4.43,149082,0
POM.US,60,20251014,180000,4.4304,4.55,4.42,4.55,127443,0
POM.US,60,20251014,190000,4.55,4.55,4.5,4.5135,27765,0
POM.US,60,20251014,200000,4.51,4.7,4.46,4.6302,2261569,0
POM.US,60,20251014,210000,4.643,4.68,4.55,4.65,29313,0
POM.US,60,20251014,220000,4.64,4.68,4.6,4.6528,56818,0
POM.US,60,20251015,160000,4.7,4.7,4.64,4.6695,135748,0
POM.US,60,20251015,170000,4.68,4.68,4.55,4.56,235654,0
POM.US,60,20251015,180000,4.55,4.5799,4.3,4.405,418636,0
POM.US,60,20251015,190000,4.43,4.68,4.22,4.25,2257537,0
POM.US,60,20251015,200000,4.24,4.36,4.2,4.22,1019094,0
POM.US,60,20251015,210000,4.22,4.7,4.21,4.65,2035133,0
POM.US,60,20251015,220000,4.635,4.69,4.5,4.64,77215,0
POM.US,60,20251016,160000,4.64,4.66,4.31,4.4,536706,0
POM.US,60,20251016,170000,4.3999,4.474564,4.35,4.4,394822,0
POM.US,60,20251016,180000,4.395,4.57,4.32,4.48,207691,0
POM.US,60,20251016,190000,4.48,4.54,4.32,4.4884,905588,0
POM.US,60,20251016,200000,4.5,4.56,4.47,4.53,288855,0
POM.US,60,20251016,210000,4.53,4.54,4.48,4.53,68248,0
POM.US,60,20251016,220000,4.51,4.53,4.35,4.41,106169,0
POM.US,60,20251017,160000,4.4,4.4,4,4,136563,0
POM.US,60,20251017,170000,4.0002,4.2,3.8701,4.12,292046,0
POM.US,60,20251017,180000,4.1211,4.18,4.1209,4.15,20701,0
POM.US,60,20251017,190000,4.1499,4.1499,4.14,4.14,12015,0
POM.US,60,20251017,200000,4.14,4.15,4.14,4.14,7179,0
POM.US,60,20251017,210000,4.15,4.15,4.0314,4.15,45338,0
POM.US,60,20251017,220000,4.09,4.18,4.01,4.18,59706,0
POM.US,60,20251020,160000,4.18,4.3,4.18,4.28,32385,0
POM.US,60,20251020,170000,4.28,4.28,4.1801,4.27,73103,0
POM.US,60,20251020,180000,4.25,4.27,4.22,4.25,25701,0
POM.US,60,20251020,190000,4.25,4.27,4.21,4.225,27639,0
POM.US,60,20251020,200000,4.24,4.28,4.22,4.28,34863,0
POM.US,60,20251020,210000,4.28,4.28,4.2301,4.27,15343,0
POM.US,60,20251020,220000,4.28,4.28,4.22,4.28,20956,0
POM.US,60,20251021,160000,4.22,4.39,4.2,4.3,206262,0
POM.US,60,20251021,170000,4.298,4.37,4.17,4.1765,380391,0
POM.US,60,20251021,180000,4.185,4.22,4.17,4.22,147302,0
POM.US,60,20251021,190000,4.22,4.23,4.17,4.19,68102,0
POM.US,60,20251021,200000,4.21,4.21,4.14,4.14,377007,0
POM.US,60,20251021,210000,4.15,4.29,4.09,4.2,3303715,0
POM.US,60,20251021,220000,4.1803,4.33,4.15,4.3,542638,0
POM.US,60,20251022,160000,4.4,4.55,4.33,4.5056,2639356,0
POM.US,60,20251022,170000,4.51,4.53,4.41,4.4202,1003648,0
POM.US,60,20251022,180000,4.42,4.45,4.24,4.2499,337104,0
POM.US,60,20251022,190000,4.249,4.42,4.249,4.31,90635,0
POM.US,60,20251022,200000,4.31,4.35,4.25,4.3299,92856,0
POM.US,60,20251022,210000,4.3073,4.36,4.29,4.3388,15592,0
POM.US,60,20251022,220000,4.36,4.41,4.3,4.38,90386,0
POM.US,60,20251023,160000,4.5,4.58,4.45,4.54,1221011,0
POM.US,60,20251023,170000,4.55,4.56,4.42,4.5,322661,0
POM.US,60,20251023,180000,4.51,4.52,4.465,4.51,110225,0
POM.US,60,20251023,190000,4.5,4.56,4.45,4.5165,1227497,0
POM.US,60,20251023,200000,4.53,4.53,4.5,4.525,109347,0
POM.US,60,20251023,210000,4.5291,4.53,4.5,4.52,182824,0
POM.US,60,20251023,220000,4.52,4.68,4.51,4.61,221157,0
POM.US,60,20251024,160000,4.71,4.7394,4.46,4.51,326007,0
POM.US,60,20251024,170000,4.49,4.61,4.35,4.47,428921,0
POM.US,60,20251024,180000,4.4805,4.5199,4.45,4.5199,65396,0
POM.US,60,20251024,190000,4.5,4.52,4.47,4.5,68453,0
POM.US,60,20251024,200000,4.48,4.5,4.47,4.49,24780,0
POM.US,60,20251024,210000,4.4801,4.63,4.38,4.63,385503,0
POM.US,60,20251024,220000,4.6316,4.66,4.56,4.64,299058,0
POM.US,60,20251027,150000,4.6,4.61,4.52,4.56,280732,0
POM.US,60,20251027,160000,4.56,4.57,4.5201,4.54,180372,0
POM.US,60,20251027,170000,4.5398,4.56,4.4,4.5001,1235515,0
POM.US,60,20251027,180000,4.5,4.58,4.5,4.5702,179467,0
POM.US,60,20251027,190000,4.58,4.7,4.5769,4.6656,177319,0
POM.US,60,20251027,200000,4.6758,4.6899,4.62,4.62,56362,0
POM.US,60,20251027,210000,4.625,4.7,4.6,4.7,189890,0
POM.US,60,20251028,150000,4.7,4.7296,4.5001,4.55,186372,0
POM.US,60,20251028,160000,4.5722,4.63,4.55,4.55,137575,0
POM.US,60,20251028,170000,4.56,4.59,4.5511,4.5511,129010,0
POM.US,60,20251028,180000,4.55,4.6,4.43,4.575,1561654,0
POM.US,60,20251028,190000,4.58,4.72,4.58,4.6901,125625,0
POM.US,60,20251028,200000,4.7165,4.72,4.66,4.67,63748,0
POM.US,60,20251028,210000,4.688,4.8325,4.67,4.82,236725,0
POM.US,60,20251029,150000,4.82,4.88,4.7,4.78,696565,0
POM.US,60,20251029,160000,4.78,4.87,4.75,4.8,256169,0
POM.US,60,20251029,170000,4.8,4.8899,4.798,4.86,120926,0
POM.US,60,20251029,180000,4.86,4.88,4.81,4.88,55449,0
POM.US,60,20251029,190000,4.88,4.88,4.81,4.85,55572,0
POM.US,60,20251029,200000,4.84,4.92,4.83,4.8401,185503,0
POM.US,60,20251029,210000,4.8428,4.94,4.82,4.935,313206,0
POM.US,60,20251030,150000,5,5.1,5,5.0453,772218,0
POM.US,60,20251030,160000,5.04,5.2,5,5.1999,3658199,0
POM.US,60,20251030,170000,5.2,5.21,5.16,5.1913,2210180,0
POM.US,60,20251030,180000,5.195,5.1999,5.14,5.19,241969,0
POM.US,60,20251030,190000,5.19,5.21,5.18,5.2074,158495,0
POM.US,60,20251030,200000,5.205,5.21,5.2,5.21,61876,0
POM.US,60,20251030,210000,5.2032,5.45,5.2,5.43,462580,0
POM.US,60,20251031,150000,5.45,5.525,5.35,5.35,155444,0
POM.US,60,20251031,160000,5.37,5.47,5.36,5.379,138045,0
POM.US,60,20251031,170000,5.375,5.4,5.21,5.4,596326,0
POM.US,60,20251031,180000,5.39,5.49,5.3,5.415,113697,0
POM.US,60,20251031,190000,5.45,5.45,5.35,5.38,51876,0
