<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PPTA.US,60,20240411,160000,6.49,6.49,6.17,6.19,27599,0
PPTA.US,60,20240411,170000,6.1617,6.1617,5.98,6.09,84465,0
PPTA.US,60,20240411,180000,6.0994,6.15,6.07,6.12,19752,0
PPTA.US,60,20240411,190000,6.1201,6.18,6.11,6.165,12809,0
PPTA.US,60,20240411,200000,6.18,6.255,6.18,6.23,6949,0
PPTA.US,60,20240411,210000,6.23,6.25,6.21,6.2439,11769,0
PPTA.US,60,20240411,220000,6.23,6.29,6.21,6.26,37709,0
PPTA.US,60,20240412,160000,6.32,6.39,6.245,6.34,19124,0
PPTA.US,60,20240412,170000,6.31,6.34,6.1302,6.15,18870,0
PPTA.US,60,20240412,180000,6.16,6.17,5.99,6.11,39767,0
PPTA.US,60,20240412,190000,6.14,6.14,5.91,5.97,43641,0
PPTA.US,60,20240412,200000,5.99,6.07,5.91,5.94,27836,0
PPTA.US,60,20240412,210000,5.91,5.91,5.68,5.81,47001,0
PPTA.US,60,20240412,220000,5.8,5.93,5.73,5.92,53946,0
PPTA.US,60,20240415,160000,5.85,5.99,5.68,5.99,60644,0
PPTA.US,60,20240415,170000,5.97,6.16,5.9,6.15,33495,0
PPTA.US,60,20240415,180000,6.15,6.15,6.02,6.14,14654,0
PPTA.US,60,20240415,190000,6.15,6.17,6.06,6.06,21266,0
PPTA.US,60,20240415,200000,6.05,6.06,6,6.01,8452,0
PPTA.US,60,20240415,210000,6.025,6.09,5.98,6.09,19849,0
PPTA.US,60,20240415,220000,6.08,6.2,6.07,6.16,56796,0
PPTA.US,60,20240416,160000,6.1,6.12,5.98,6,16204,0
PPTA.US,60,20240416,170000,5.98,6.035,5.92,6.035,34903,0
PPTA.US,60,20240416,180000,6.05,6.2,6.05,6.16,32893,0
PPTA.US,60,20240416,190000,6.17,6.23,6.14,6.18,4994,0
PPTA.US,60,20240416,200000,6.2,6.22,6.085,6.09,12099,0
PPTA.US,60,20240416,210000,6.09,6.27,6.09,6.23,20461,0
PPTA.US,60,20240416,220000,6.23,6.27,6.18,6.19,34464,0
PPTA.US,60,20240417,160000,6.21,6.4,6.16,6.32,37010,0
PPTA.US,60,20240417,170000,6.3,6.35,6.25,6.28,23069,0
PPTA.US,60,20240417,180000,6.3,6.33,6.19,6.2,20631,0
PPTA.US,60,20240417,190000,6.2,6.2004,6.12,6.18,20464,0
PPTA.US,60,20240417,200000,6.2,6.24,6.15,6.19,12933,0
PPTA.US,60,20240417,210000,6.18,6.21,6.1,6.13,28227,0
PPTA.US,60,20240417,220000,6.135,6.18,6.06,6.15,28683,0
PPTA.US,60,20240418,160000,6.2,6.2,6.0479,6.09,13120,0
PPTA.US,60,20240418,170000,6.1041,6.1041,5.88,5.96,22047,0
PPTA.US,60,20240418,180000,5.96,6.1,5.96,6.04,27236,0
PPTA.US,60,20240418,190000,6.03,6.105,5.9972,6.1,26434,0
PPTA.US,60,20240418,200000,6.105,6.14,6.05,6.07,6788,0
PPTA.US,60,20240418,210000,6.09,6.09,6.04,6.06,5759,0
PPTA.US,60,20240418,220000,6.06,6.165,6.06,6.14,20478,0
PPTA.US,60,20240419,160000,6.07,6.24,6.07,6.2,12246,0
PPTA.US,60,20240419,170000,6.17,6.19,6.1,6.1,5167,0
PPTA.US,60,20240419,180000,6.08,6.1008,6.01,6.03,7901,0
PPTA.US,60,20240419,190000,6.02,6.03,5.9538,5.995,12238,0
PPTA.US,60,20240419,200000,6.01,6.05,5.895,5.92,24178,0
PPTA.US,60,20240419,210000,5.9213,6.01,5.9213,5.99,10332,0
PPTA.US,60,20240419,220000,5.993,6.17,5.993,6.16,42381,0
PPTA.US,60,20240422,160000,6.09,6.12,6.01,6.07,14828,0
PPTA.US,60,20240422,170000,6.07,6.27,6.0105,6.225,37557,0
PPTA.US,60,20240422,180000,6.24,6.25,6.15,6.25,23469,0
PPTA.US,60,20240422,190000,6.26,6.35,6.25,6.35,39185,0
PPTA.US,60,20240422,200000,6.34,6.38,6.31,6.32,11806,0
PPTA.US,60,20240422,210000,6.33,6.33,6.25,6.3,13591,0
PPTA.US,60,20240422,220000,6.2801,6.36,6.28,6.32,24479,0
PPTA.US,60,20240423,160000,6.25,6.4,6.1613,6.33,33063,0
PPTA.US,60,20240423,170000,6.3,6.3,6.1662,6.24,22975,0
PPTA.US,60,20240423,180000,6.23,6.27,6.16,6.19,32380,0
PPTA.US,60,20240423,190000,6.17,6.21,6.17,6.19,6007,0
PPTA.US,60,20240423,200000,6.17,6.198,6.12,6.14,11225,0
PPTA.US,60,20240423,210000,6.15,6.26,6.13,6.26,12288,0
PPTA.US,60,20240423,220000,6.26,6.3,6.24,6.26,42080,0
PPTA.US,60,20240424,160000,6.21,6.235,6.18,6.235,5721,0
PPTA.US,60,20240424,170000,6.23,6.23,6.07,6.12,14077,0
PPTA.US,60,20240424,180000,6.115,6.12,6.011,6.0414,14459,0
PPTA.US,60,20240424,190000,6.09,6.14,6.09,6.14,2740,0
PPTA.US,60,20240424,200000,6.17,6.18,6.12,6.12,6402,0
PPTA.US,60,20240424,210000,6.115,6.14,6.06,6.07,7196,0
PPTA.US,60,20240424,220000,6.07,6.12,5.95,5.96,104954,0
PPTA.US,60,20240425,160000,5.96,5.98,5.7709,5.97,40241,0
PPTA.US,60,20240425,170000,5.91,5.99,5.87,5.87,20187,0
PPTA.US,60,20240425,180000,5.84,5.88,5.82,5.85,18243,0
PPTA.US,60,20240425,190000,5.8694,5.9,5.82,5.88,30645,0
PPTA.US,60,20240425,200000,5.88,6.09,5.84,5.8613,87142,0
PPTA.US,60,20240425,210000,5.86,5.89,5.74,5.78,33569,0
PPTA.US,60,20240425,220000,5.76,5.79,5.7,5.72,54850,0
PPTA.US,60,20240426,160000,5.81,5.94,5.7567,5.9,12094,0
PPTA.US,60,20240426,170000,5.94,5.94,5.85,5.8699,4506,0
PPTA.US,60,20240426,180000,5.93,5.945,5.8626,5.9,1319,0
PPTA.US,60,20240426,190000,5.8928,5.905,5.84,5.84,3927,0
PPTA.US,60,20240426,200000,5.86,5.86,5.79,5.82,5526,0
PPTA.US,60,20240426,210000,5.82,5.8441,5.81,5.83,14131,0
PPTA.US,60,20240426,220000,5.81,5.82,5.77,5.78,49602,0
PPTA.US,60,20240429,160000,5.79,5.8437,5.7,5.72,13933,0
PPTA.US,60,20240429,170000,5.72,5.72,5.624,5.71,32657,0
PPTA.US,60,20240429,180000,5.7139,5.72,5.67,5.675,6697,0
PPTA.US,60,20240429,190000,5.675,5.7399,5.63,5.64,15255,0
PPTA.US,60,20240429,200000,5.62,5.635,5.54,5.57,18308,0
PPTA.US,60,20240429,210000,5.585,5.71,5.57,5.68,14801,0
PPTA.US,60,20240429,220000,5.69,5.69,5.59,5.66,31412,0
PPTA.US,60,20240430,160000,5.52,5.61,5.44,5.5125,20002,0
PPTA.US,60,20240430,170000,5.53,5.53,5.46,5.51,10966,0
PPTA.US,60,20240430,180000,5.505,5.56,5.48,5.55,5669,0
PPTA.US,60,20240430,190000,5.57,5.61,5.5,5.61,18660,0
PPTA.US,60,20240430,200000,5.58,5.59,5.41,5.44,52944,0
PPTA.US,60,20240430,210000,5.43,5.44,5.4,5.41,10406,0
PPTA.US,60,20240430,220000,5.41,5.49,5.39,5.47,36341,0
PPTA.US,60,20240501,160000,5.47,5.5216,5.43,5.46,9063,0
PPTA.US,60,20240501,170000,5.46,5.47,5.31,5.33,15682,0
PPTA.US,60,20240501,180000,5.33,5.34,5.26,5.27,10106,0
PPTA.US,60,20240501,190000,5.26,5.28,5.23,5.28,11633,0
PPTA.US,60,20240501,200000,5.26,5.27,5.25,5.265,1563,0
PPTA.US,60,20240501,210000,5.25,5.4,5.25,5.4,9374,0
PPTA.US,60,20240501,220000,5.38,5.38,5.25,5.27,13773,0
PPTA.US,60,20240502,160000,5.22,5.26,5.2,5.25,5568,0
PPTA.US,60,20240502,170000,5.245,5.27,5.15,5.22,18699,0
PPTA.US,60,20240502,180000,5.2,5.23,5.18,5.2065,5649,0
PPTA.US,60,20240502,190000,5.2107,5.2107,5.18,5.195,3200,0
PPTA.US,60,20240502,200000,5.1924,5.21,5.17,5.21,5798,0
PPTA.US,60,20240502,210000,5.2,5.2,5.09,5.14,36517,0
PPTA.US,60,20240502,220000,5.13,5.21,5.11,5.12,53693,0
PPTA.US,60,20240503,160000,5.22,5.2402,5.1,5.14,9501,0
PPTA.US,60,20240503,170000,5.12,5.12,5.04,5.0899,4630,0
PPTA.US,60,20240503,180000,5.0614,5.073,5,5.07,7074,0
PPTA.US,60,20240503,190000,5.05,5.15,5.05,5.13,11255,0
PPTA.US,60,20240503,200000,5.12,5.27,5.09,5.26,27094,0
PPTA.US,60,20240503,210000,5.27,5.31,5.175,5.1833,21927,0
PPTA.US,60,20240503,220000,5.18,5.205,5.17,5.19,41234,0
PPTA.US,60,20240506,160000,5.17,5.33,5.11,5.26,29564,0
PPTA.US,60,20240506,170000,5.24,5.24,5.15,5.18,35023,0
PPTA.US,60,20240506,180000,5.17,5.25,5.16,5.16,16997,0
PPTA.US,60,20240506,190000,5.165,5.165,5.09,5.12,9024,0
PPTA.US,60,20240506,200000,5.11,5.14,5.07,5.08,14760,0
PPTA.US,60,20240506,210000,5.09,5.09,5.02,5.03,10954,0
PPTA.US,60,20240506,220000,5.03,5.03,5.005,5.01,23192,0
PPTA.US,60,20240507,160000,5,5.06,4.99,5.035,16999,0
PPTA.US,60,20240507,170000,5.03,5.06,5.01,5.03,13116,0
PPTA.US,60,20240507,180000,5.04,5.07,5.02,5.02,18062,0
PPTA.US,60,20240507,190000,5.02,5.03,4.9999,5,11062,0
PPTA.US,60,20240507,200000,4.99,5,4.96,4.98,8700,0
PPTA.US,60,20240507,210000,4.98,4.9999,4.97,4.99,5626,0
PPTA.US,60,20240507,220000,4.985,5.01,4.98,5.01,45018,0
PPTA.US,60,20240508,160000,5.01,5.01,4.9803,4.9803,2457,0
PPTA.US,60,20240508,170000,4.99,5.25,4.99,5.2458,15841,0
PPTA.US,60,20240508,180000,5.2623,5.4,5.26,5.37,21539,0
PPTA.US,60,20240508,190000,5.36,5.36,5.2,5.2,15907,0
PPTA.US,60,20240508,200000,5.2,5.2,5.17,5.19,5670,0
PPTA.US,60,20240508,210000,5.2,5.26,5.1884,5.26,14532,0
PPTA.US,60,20240508,220000,5.2681,5.2681,5.175,5.26,29955,0
PPTA.US,60,20240509,160000,5.3,5.36,5.2819,5.29,7891,0
