<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PRGS.US,60,20240411,160000,50.97,51.3,50.85,51.03,45936,0
PRGS.US,60,20240411,170000,51.04,51.68,51,51.66,29408,0
PRGS.US,60,20240411,180000,51.64,51.96,51.57,51.84,35964,0
PRGS.US,60,20240411,190000,51.87,51.9,51.69,51.8,43040,0
PRGS.US,60,20240411,200000,51.8,52.13,51.76,52.0488,36196,0
PRGS.US,60,20240411,210000,52.06,52.115,51.77,51.77,34751,0
PRGS.US,60,20240411,220000,51.76,51.81,51.57,51.65,72667,0
PRGS.US,60,20240412,160000,51.4,51.6422,51.38,51.46,20856,0
PRGS.US,60,20240412,170000,51.43,51.43,50.98,51.165,23411,0
PRGS.US,60,20240412,180000,51.155,51.35,51.105,51.31,14652,0
PRGS.US,60,20240412,190000,51.31,51.32,51.05,51.05,15744,0
PRGS.US,60,20240412,200000,51.03,51.17,51.03,51.045,20853,0
PRGS.US,60,20240412,210000,51.02,51.215,51,51.12,33352,0
PRGS.US,60,20240412,220000,51.1,51.125,50.81,50.99,66962,0
PRGS.US,60,20240415,160000,51.01,51.11,50.95,51.03,5838,0
PRGS.US,60,20240415,170000,51.04,51.06,50.7,50.795,12756,0
PRGS.US,60,20240415,180000,50.79,51.1199,50.71,51.1199,14827,0
PRGS.US,60,20240415,190000,51.09,51.09,50.82,51.07,11201,0
PRGS.US,60,20240415,200000,51.05,51.13,50.54,50.6,20729,0
PRGS.US,60,20240415,210000,50.6,50.67,50.24,50.255,14360,0
PRGS.US,60,20240415,220000,50.24,50.28,50.04,50.07,79502,0
PRGS.US,60,20240416,160000,49.87,50.155,49.001,49.905,20624,0
PRGS.US,60,20240416,170000,49.85,50.175,49.85,50.15,25627,0
PRGS.US,60,20240416,180000,50.195,50.62,50.195,50.59,28833,0
PRGS.US,60,20240416,190000,50.53,50.75,50.51,50.71,24715,0
PRGS.US,60,20240416,200000,50.67,50.9,50.59,50.81,40171,0
PRGS.US,60,20240416,210000,50.77,51.05,50.65,50.84,19293,0
PRGS.US,60,20240416,220000,50.845,50.87,50.7,50.7,66887,0
PRGS.US,60,20240417,160000,50.86,51.07,50.86,50.875,7173,0
PRGS.US,60,20240417,170000,50.83,50.88,50.53,50.66,27434,0
PRGS.US,60,20240417,180000,50.675,50.74,50.38,50.45,19083,0
PRGS.US,60,20240417,190000,50.44,50.67,50.32,50.605,48199,0
PRGS.US,60,20240417,200000,50.57,50.8,50.56,50.71,25638,0
PRGS.US,60,20240417,210000,50.69,50.7,50.38,50.42,21891,0
PRGS.US,60,20240417,220000,50.4,50.67,50.28,50.59,274476,0
PRGS.US,60,20240418,160000,50.62,50.62,50.17,50.25,3956,0
PRGS.US,60,20240418,170000,50.26,50.68,50.18,50.62,9134,0
PRGS.US,60,20240418,180000,50.62,50.62,50.44,50.47,11712,0
PRGS.US,60,20240418,190000,50.475,50.495,50.23,50.33,10896,0
PRGS.US,60,20240418,200000,50.35,50.37,50.17,50.25,11837,0
PRGS.US,60,20240418,210000,50.25,50.295,50.06,50.2,26600,0
PRGS.US,60,20240418,220000,50.21,50.32,50.16,50.16,45843,0
PRGS.US,60,20240419,160000,50.21,50.46,49.9578,50.4,20739,0
PRGS.US,60,20240419,170000,50.37,50.48,50.26,50.31,34207,0
PRGS.US,60,20240419,180000,50.31,50.31,50.18,50.22,29158,0
PRGS.US,60,20240419,190000,50.235,50.26,50.045,50.16,17131,0
PRGS.US,60,20240419,200000,50.16,50.28,50.11,50.18,9354,0
PRGS.US,60,20240419,210000,50.16,50.23,50,50.18,27260,0
PRGS.US,60,20240419,220000,50.16,50.455,50.1,50.38,72110,0
