<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RAUS.US,60,20250912,160000,25.27,25.27,25.23,25.23,200,0
RAUS.US,60,20250912,170000,25.35,25.35,25.26,25.29,200613,0
RAUS.US,60,20250912,180000,25.3,25.3,25.27,25.28,61549,0
RAUS.US,60,20250912,190000,25.275,25.2998,25.27,25.29,24367,0
RAUS.US,60,20250912,200000,25.29,25.309,25.285,25.29,29384,0
RAUS.US,60,20250912,210000,25.3,25.32,25.3,25.315,29950,0
RAUS.US,60,20250912,220000,25.32,25.32,25.28,25.29,10935,0
RAUS.US,60,20250915,160000,25.61,25.61,25.345,25.39,8789,0
RAUS.US,60,20250915,170000,25.36,25.4024,25.36,25.4,26249,0
RAUS.US,60,20250915,180000,25.4,25.41,25.38,25.4,15924,0
RAUS.US,60,20250915,190000,25.38,25.41,25.38,25.38,9846,0
RAUS.US,60,20250915,200000,25.38,25.38,25.355,25.38,6513,0
RAUS.US,60,20250915,210000,25.37,25.3798,25.35,25.369,4400,0
RAUS.US,60,20250915,220000,25.37,25.38,25.36,25.37,4666,0
RAUS.US,60,20250916,160000,25.69,25.69,25.39,25.4,1658,0
RAUS.US,60,20250916,170000,25.37,25.38,25.36,25.3795,6179,0
RAUS.US,60,20250916,180000,25.35,25.365,25.34,25.35,14004,0
RAUS.US,60,20250916,190000,25.35,25.35,25.35,25.35,300,0
RAUS.US,60,20250916,200000,25.37,25.37,25.37,25.37,848,0
RAUS.US,60,20250916,210000,25.38,25.39,25.38,25.39,2709,0
RAUS.US,60,20250916,220000,25.38,25.38,25.3503,25.37,2738,0
RAUS.US,60,20250917,160000,25.47,25.47,25.36,25.37,5957,0
RAUS.US,60,20250917,170000,25.36,25.36,25.33,25.33,1000,0
RAUS.US,60,20250917,180000,25.3568,25.3568,25.33,25.33,700,0
RAUS.US,60,20250917,190000,25.32,25.32,25.32,25.32,400,0
RAUS.US,60,20250917,200000,25.3116,25.33,25.3116,25.33,4088,0
RAUS.US,60,20250917,210000,25.4588,25.4588,25.18,25.27,10524,0
RAUS.US,60,20250917,220000,25.29,25.39,25.29,25.33,19314,0
RAUS.US,60,20250918,160000,25.41,25.41,25.41,25.41,972,0
RAUS.US,60,20250918,170000,25.4801,25.55,25.4801,25.4856,950,0
RAUS.US,60,20250918,180000,25.48,25.5056,25.45,25.46,4096,0
RAUS.US,60,20250918,190000,25.45,25.505,25.45,25.505,500,0
RAUS.US,60,20250918,200000,25.5,25.505,25.46,25.46,3542,0
RAUS.US,60,20250918,210000,25.47,25.49,25.45,25.47,10665,0
RAUS.US,60,20250918,220000,25.45,25.46,25.44,25.44,2556,0
RAUS.US,60,20250919,160000,25.69,25.69,25.49,25.5133,2150,0
RAUS.US,60,20250919,170000,25.505,25.505,25.49,25.5,1100,0
RAUS.US,60,20250919,180000,25.47,25.47,25.45,25.45,400,0
RAUS.US,60,20250919,190000,25.505,25.53,25.505,25.52,1036,0
RAUS.US,60,20250919,200000,25.52,25.53,25.51,25.53,2287,0
RAUS.US,60,20250919,210000,25.525,25.53,25.525,25.53,460,0
RAUS.US,60,20250919,220000,25.56,25.59,25.56,25.59,2032,0
RAUS.US,60,20250922,160000,25.65,25.65,25.52,25.535,12446,0
RAUS.US,60,20250922,170000,25.54,25.64,25.54,25.64,7456,0
RAUS.US,60,20250922,180000,25.63,25.63,25.615,25.615,2741,0
RAUS.US,60,20250922,190000,25.62,25.6794,25.62,25.6794,3454,0
RAUS.US,60,20250922,200000,25.685,25.685,25.685,25.685,500,0
RAUS.US,60,20250922,220000,25.6994,25.7,25.6994,25.7,600,0
