<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RAVE.US,60,20240411,170000,2.2,2.2,2.17,2.17,300,0
RAVE.US,60,20240411,180000,2.185,2.2,2.17,2.17,1337,0
RAVE.US,60,20240411,190000,2.1705,2.175,2.1608,2.17,3690,0
RAVE.US,60,20240411,200000,2.13,2.15,2.12,2.14,1500,0
RAVE.US,60,20240411,220000,2.12,2.15,2.12,2.13,300,0
RAVE.US,60,20240412,160000,2.18,2.19,2.15,2.15,500,0
RAVE.US,60,20240412,170000,2.155,2.155,2.155,2.155,1000,0
RAVE.US,60,20240412,180000,2.15,2.15,2.14,2.14,932,0
RAVE.US,60,20240412,190000,2.12,2.12,2.12,2.12,286,0
RAVE.US,60,20240412,200000,2.1001,2.12,2.1001,2.12,1081,0
RAVE.US,60,20240412,210000,2.105,2.105,2.08,2.1,5958,0
RAVE.US,60,20240412,220000,2.13,2.14,2.1,2.14,1743,0
RAVE.US,60,20240415,160000,2.09,2.175,2.0801,2.13,6461,0
RAVE.US,60,20240415,170000,2.1285,2.1285,2.08,2.12,3249,0
RAVE.US,60,20240415,180000,2.1,2.1,2.08,2.08,519,0
RAVE.US,60,20240415,190000,2.1,2.1,2.08,2.082,1094,0
RAVE.US,60,20240415,200000,2.0819,2.0819,2.08,2.08,899,0
RAVE.US,60,20240415,210000,2.08,2.08,2.08,2.08,1228,0
RAVE.US,60,20240415,220000,2.06,2.09,2.05,2.06,6898,0
RAVE.US,60,20240416,160000,2.1,2.1,2.0799,2.0799,1926,0
RAVE.US,60,20240416,170000,2.09,2.11,2.09,2.1,912,0
RAVE.US,60,20240416,180000,2.1068,2.1068,2.09,2.09,248,0
RAVE.US,60,20240416,210000,2.12,2.12,2.12,2.12,400,0
RAVE.US,60,20240416,220000,2.11,2.13,2.09,2.13,2640,0
RAVE.US,60,20240417,160000,2.12,2.13,2.12,2.13,1570,0
RAVE.US,60,20240417,180000,2.095,2.095,2.095,2.095,100,0
RAVE.US,60,20240417,200000,2.098,2.1,2.0964,2.1,500,0
RAVE.US,60,20240417,210000,2.098,2.11,1.9805,2.06,35744,0
RAVE.US,60,20240417,220000,2,2.065,2,2.055,1145,0
RAVE.US,60,20240418,160000,2.04,2.05,2.04,2.05,847,0
RAVE.US,60,20240418,170000,2.06,2.06,2.06,2.06,101,0
RAVE.US,60,20240418,180000,2.02,2.02,2.02,2.02,301,0
RAVE.US,60,20240418,190000,2.0499,2.0499,2,2.04,2040,0
RAVE.US,60,20240418,200000,2.05,2.11,2,2.11,11779,0
RAVE.US,60,20240418,210000,2.06,2.085,2,2.085,8267,0
RAVE.US,60,20240418,220000,2.06,2.08,2.06,2.06,867,0
RAVE.US,60,20240419,160000,2.08,2.12,2.08,2.09,3000,0
RAVE.US,60,20240419,170000,2.09,2.09,2.07,2.09,850,0
RAVE.US,60,20240419,180000,2.085,2.085,2.06,2.076,1329,0
RAVE.US,60,20240419,200000,2.085,2.085,2.085,2.085,100,0
RAVE.US,60,20240419,210000,2.072,2.072,2.0201,2.07,1325,0
RAVE.US,60,20240419,220000,2.09,2.09,2.065,2.07,2100,0
RAVE.US,60,20240422,160000,2.12,2.12,2.08,2.0897,1600,0
RAVE.US,60,20240422,170000,2.0701,2.085,2.052,2.085,2223,0
RAVE.US,60,20240422,180000,2.09,2.09,2.09,2.09,300,0
RAVE.US,60,20240422,200000,2.085,2.085,2.02,2.08,32634,0
RAVE.US,60,20240422,210000,2.0507,2.11,2.045,2.11,3162,0
RAVE.US,60,20240422,220000,2.1,2.1,2.085,2.085,3271,0
RAVE.US,60,20240423,160000,2.07,2.14,2.07,2.1117,1786,0
RAVE.US,60,20240423,170000,2.0601,2.08,2.0601,2.08,5000,0
RAVE.US,60,20240423,180000,2.0601,2.08,2.005,2.01,19361,0
RAVE.US,60,20240423,190000,2.04,2.1399,2.01,2.1399,11181,0
RAVE.US,60,20240423,200000,2.104,2.104,2.104,2.104,205,0
RAVE.US,60,20240423,210000,2.0802,2.12,2.07,2.12,11500,0
RAVE.US,60,20240424,160000,2.135,2.135,2.06,2.06,1199,0
RAVE.US,60,20240424,170000,2.05,2.1,2.03,2.1,1789,0
RAVE.US,60,20240424,180000,2.07,2.15,2.05,2.11,14265,0
RAVE.US,60,20240424,190000,2.1,2.15,2.1,2.15,2548,0
RAVE.US,60,20240424,210000,2.12,2.12,2.12,2.12,420,0
RAVE.US,60,20240424,220000,2.12,2.14,2.1,2.1,1831,0
RAVE.US,60,20240425,160000,2.1,2.13,2.1,2.13,667,0
RAVE.US,60,20240425,180000,2.1,2.12,2.1,2.12,341,0
RAVE.US,60,20240425,190000,2.09,2.11,2.09,2.09,709,0
RAVE.US,60,20240425,200000,2.05,2.11,2.05,2.11,900,0
RAVE.US,60,20240425,220000,2.085,2.12,2.0685,2.1,628,0
RAVE.US,60,20240426,160000,2.085,2.085,2.085,2.085,300,0
RAVE.US,60,20240426,180000,2.08,2.09,2.0701,2.09,512,0
RAVE.US,60,20240426,190000,2.08,2.08,2.07,2.07,1304,0
RAVE.US,60,20240426,200000,2.06,2.0996,2.05,2.0996,5926,0
RAVE.US,60,20240429,160000,2.11,2.14,2.11,2.14,2216,0
RAVE.US,60,20240429,170000,2.08,2.08,2.0572,2.08,5350,0
RAVE.US,60,20240429,210000,2.065,2.065,2.0501,2.0501,2000,0
RAVE.US,60,20240429,220000,2.065,2.07,2.0225,2.07,1091,0
RAVE.US,60,20240430,160000,2.07,2.1,2.07,2.1,581,0
RAVE.US,60,20240430,170000,2.01,2.05,1.9597,2.03,6415,0
RAVE.US,60,20240430,180000,2.03,2.07,2,2.02,4019,0
RAVE.US,60,20240430,190000,2.05,2.05,2,2.02,1766,0
RAVE.US,60,20240430,200000,2.02,2.04,2,2.03,2067,0
RAVE.US,60,20240430,210000,2.0666,2.07,2.02,2.06,1295,0
RAVE.US,60,20240430,220000,2.0452,2.0452,2.0452,2.0452,100,0
RAVE.US,60,20240501,160000,2.06,2.06,2.06,2.06,104,0
RAVE.US,60,20240501,170000,2.025,2.05,2.015,2.0336,1478,0
RAVE.US,60,20240501,190000,2.01,2.0199,1.96,2.0199,24797,0
RAVE.US,60,20240501,220000,1.981,2.01,1.981,2.01,242,0
RAVE.US,60,20240502,160000,2.2,2.2,2.2,2.2,218,0
RAVE.US,60,20240502,170000,2.081,2.1,2.081,2.1,1087,0
RAVE.US,60,20240502,180000,2.1,2.12,2.0999,2.12,5533,0
RAVE.US,60,20240502,200000,2.1069,2.1069,2.05,2.05,450,0
RAVE.US,60,20240502,210000,2.11,2.11,2.11,2.11,3738,0
RAVE.US,60,20240502,220000,2.08,2.08,2.08,2.08,100,0
RAVE.US,60,20240503,160000,2.09,2.09,2.0082,2.0082,697,0
RAVE.US,60,20240503,170000,2.09,2.09,2.03,2.03,951,0
RAVE.US,60,20240503,180000,2.03,2.07,2,2.06,4333,0
RAVE.US,60,20240503,190000,2.025,2.025,1.95,1.99,15527,0
RAVE.US,60,20240503,200000,1.979,1.98,1.95,1.9799,3412,0
RAVE.US,60,20240503,210000,1.96,1.985,1.96,1.9833,2687,0
RAVE.US,60,20240503,220000,1.98,2.01,1.97,1.97,3317,0
RAVE.US,60,20240506,160000,2.06,2.06,2.06,2.06,300,0
RAVE.US,60,20240506,170000,1.9382,2.05,1.9382,1.9706,3399,0
RAVE.US,60,20240506,180000,1.95,1.98,1.93,1.9467,4897,0
RAVE.US,60,20240506,190000,1.92,1.938,1.88,1.91,14825,0
RAVE.US,60,20240506,200000,1.88,1.92,1.88,1.91,800,0
RAVE.US,60,20240506,210000,1.8977,1.8977,1.825,1.8965,13677,0
RAVE.US,60,20240506,220000,1.8779,1.88,1.85,1.88,13674,0
RAVE.US,60,20240507,160000,1.87,1.9,1.87,1.9,493,0
RAVE.US,60,20240507,170000,1.91,1.9558,1.91,1.9558,1610,0
RAVE.US,60,20240507,180000,1.9103,1.9103,1.91,1.9102,920,0
RAVE.US,60,20240507,190000,1.8875,1.92,1.8875,1.92,725,0
RAVE.US,60,20240507,200000,1.8902,1.8902,1.875,1.875,870,0
RAVE.US,60,20240507,210000,1.875,1.875,1.84,1.84,3771,0
RAVE.US,60,20240507,220000,1.84,1.86,1.8201,1.86,1553,0
RAVE.US,60,20240508,160000,1.84,1.84,1.84,1.84,1151,0
RAVE.US,60,20240508,170000,1.8489,1.8489,1.8489,1.8489,100,0
RAVE.US,60,20240508,180000,1.8426,1.8426,1.84,1.84,200,0
RAVE.US,60,20240508,190000,1.8384,1.8384,1.8384,1.8384,104,0
RAVE.US,60,20240508,210000,1.8389,1.8389,1.81,1.82,10162,0
RAVE.US,60,20240508,220000,1.815,1.83,1.8001,1.83,4534,0
RAVE.US,60,20240509,160000,1.86,1.87,1.8301,1.8301,2151,0
RAVE.US,60,20240509,170000,1.84,1.84,1.84,1.84,200,0
RAVE.US,60,20240509,180000,1.8498,1.85,1.8379,1.8379,2153,0
RAVE.US,60,20240509,200000,1.85,1.85,1.85,1.85,245,0
RAVE.US,60,20240509,210000,1.85,1.85,1.843,1.843,389,0
RAVE.US,60,20240509,220000,1.84,1.85,1.84,1.85,5057,0
RAVE.US,60,20240510,170000,1.8096,1.83,1.7801,1.83,5476,0
RAVE.US,60,20240510,180000,1.8242,1.8295,1.8242,1.8295,452,0
RAVE.US,60,20240510,190000,1.82,1.8201,1.82,1.8201,302,0
RAVE.US,60,20240510,200000,1.83,1.86,1.83,1.84,8200,0
RAVE.US,60,20240510,210000,1.85,1.85,1.84,1.84,300,0
RAVE.US,60,20240510,220000,1.8303,1.85,1.83,1.85,6541,0
RAVE.US,60,20240513,160000,1.8,1.89,1.8,1.89,795,0
RAVE.US,60,20240513,170000,1.8899,1.8899,1.86,1.86,700,0
RAVE.US,60,20240513,180000,1.82,1.84,1.82,1.84,300,0
RAVE.US,60,20240513,190000,1.82,1.85,1.82,1.85,550,0
RAVE.US,60,20240513,200000,1.85,1.88,1.835,1.88,10542,0
RAVE.US,60,20240513,210000,1.87,1.878,1.87,1.878,1000,0
RAVE.US,60,20240513,220000,1.88,1.89,1.88,1.89,1219,0
RAVE.US,60,20240514,160000,1.9,1.95,1.9,1.94,2487,0
RAVE.US,60,20240514,170000,1.94,1.94,1.9,1.9001,5196,0
RAVE.US,60,20240514,180000,1.84,1.85,1.835,1.85,600,0
RAVE.US,60,20240514,190000,1.8926,1.9,1.8591,1.8591,2900,0
RAVE.US,60,20240514,200000,1.865,1.865,1.865,1.865,700,0
RAVE.US,60,20240514,220000,1.86,1.88,1.86,1.88,546,0
RAVE.US,60,20240515,160000,1.91,1.97,1.8454,1.9,2985,0
RAVE.US,60,20240515,180000,1.88,1.88,1.88,1.88,166,0
RAVE.US,60,20240515,190000,1.88,1.88,1.88,1.88,466,0
RAVE.US,60,20240515,200000,1.885,1.91,1.885,1.89,1500,0
RAVE.US,60,20240515,210000,1.91,1.91,1.91,1.91,500,0
RAVE.US,60,20240515,220000,1.91,1.94,1.91,1.94,978,0
RAVE.US,60,20240516,160000,1.95,1.95,1.94,1.94,1423,0
RAVE.US,60,20240516,170000,1.943,1.943,1.9401,1.9401,538,0
RAVE.US,60,20240516,180000,1.9401,1.95,1.94,1.94,3001,0
RAVE.US,60,20240516,190000,1.9497,1.9498,1.9497,1.9498,1828,0
RAVE.US,60,20240516,200000,1.95,1.95,1.9499,1.95,2768,0
RAVE.US,60,20240516,210000,1.955,1.955,1.955,1.955,200,0
RAVE.US,60,20240516,220000,1.96,1.985,1.96,1.97,5778,0
RAVE.US,60,20240517,170000,1.86,1.95,1.86,1.95,684,0
RAVE.US,60,20240517,180000,1.96,1.96,1.91,1.9438,884,0
RAVE.US,60,20240517,190000,1.9401,1.95,1.94,1.95,700,0
RAVE.US,60,20240517,220000,1.93,1.93,1.93,1.93,576,0
RAVE.US,60,20240520,160000,1.93,1.93,1.9,1.93,504,0
RAVE.US,60,20240520,170000,1.9001,1.95,1.9,1.95,1439,0
RAVE.US,60,20240520,180000,1.96,1.96,1.96,1.96,100,0
RAVE.US,60,20240520,190000,1.94,1.9405,1.9039,1.9039,2734,0
RAVE.US,60,20240520,210000,1.92,1.92,1.92,1.92,200,0
RAVE.US,60,20240520,220000,1.92,1.92,1.92,1.92,122,0
RAVE.US,60,20240521,160000,1.92,1.94,1.9059,1.9059,913,0
RAVE.US,60,20240521,170000,1.84,1.92,1.84,1.92,200,0
RAVE.US,60,20240521,180000,1.9,1.9,1.8662,1.89,2611,0
RAVE.US,60,20240521,190000,1.89,1.91,1.87,1.91,1947,0
RAVE.US,60,20240521,200000,1.9,1.91,1.9,1.91,490,0
RAVE.US,60,20240521,210000,1.9,1.9,1.9,1.9,490,0
RAVE.US,60,20240521,220000,1.865,1.91,1.86,1.91,5982,0
RAVE.US,60,20240522,160000,1.95,1.99,1.95,1.99,1295,0
RAVE.US,60,20240522,170000,1.96,2,1.94,1.96,2434,0
RAVE.US,60,20240522,180000,1.93,1.95,1.93,1.95,690,0
RAVE.US,60,20240522,190000,1.95,1.95,1.95,1.95,150,0
RAVE.US,60,20240522,200000,1.94,1.96,1.94,1.96,742,0
RAVE.US,60,20240522,210000,1.92,1.96,1.92,1.96,300,0
RAVE.US,60,20240522,220000,1.92,1.96,1.87,1.95,1364,0
RAVE.US,60,20240523,160000,1.96,1.96,1.92,1.9201,2407,0
RAVE.US,60,20240523,170000,1.92,1.94,1.92,1.94,300,0
RAVE.US,60,20240523,180000,1.92,1.94,1.92,1.94,600,0
RAVE.US,60,20240523,190000,1.92,1.94,1.92,1.94,854,0
RAVE.US,60,20240523,200000,1.89,1.93,1.89,1.92,3216,0
RAVE.US,60,20240523,210000,1.92,1.95,1.88,1.95,1300,0
RAVE.US,60,20240523,220000,1.9117,1.95,1.9117,1.95,900,0
RAVE.US,60,20240524,160000,1.96,2,1.85,1.99,1116,0
RAVE.US,60,20240524,170000,1.96,2,1.96,2,371,0
RAVE.US,60,20240524,180000,1.97,1.98,1.96,1.98,1000,0
RAVE.US,60,20240524,190000,1.95,1.96,1.945,1.96,1100,0
RAVE.US,60,20240524,210000,1.95,1.97,1.95,1.97,300,0
RAVE.US,60,20240524,220000,1.9401,1.95,1.91,1.91,13918,0
RAVE.US,60,20240528,160000,1.99,1.9999,1.9,1.99,600,0
RAVE.US,60,20240528,180000,1.9513,1.9513,1.9513,1.9513,225,0
RAVE.US,60,20240528,210000,1.9151,1.92,1.9,1.92,2164,0
RAVE.US,60,20240528,220000,1.925,1.925,1.91,1.91,370,0
RAVE.US,60,20240529,170000,1.9049,1.9049,1.83,1.875,16670,0
RAVE.US,60,20240529,180000,1.87,1.87,1.87,1.87,200,0
RAVE.US,60,20240529,190000,1.95,1.95,1.94,1.94,202,0
RAVE.US,60,20240529,200000,1.8799,1.8799,1.8501,1.8501,210,0
RAVE.US,60,20240529,210000,1.8774,1.91,1.86,1.91,3064,0
RAVE.US,60,20240529,220000,1.905,1.905,1.87,1.87,1250,0
RAVE.US,60,20240530,160000,1.88,1.89,1.86,1.86,478,0
RAVE.US,60,20240530,170000,1.85,1.89,1.85,1.882,1572,0
RAVE.US,60,20240530,180000,1.8964,1.9,1.85,1.85,1747,0
RAVE.US,60,20240530,190000,1.88,1.9,1.85,1.8774,937,0
RAVE.US,60,20240530,200000,1.85,1.85,1.85,1.85,100,0
RAVE.US,60,20240530,210000,1.86,1.9,1.85,1.85,1600,0
RAVE.US,60,20240530,220000,1.885,1.93,1.88,1.88,1591,0
RAVE.US,60,20240531,160000,1.86,1.94,1.86,1.93,863,0
RAVE.US,60,20240531,170000,1.8925,1.8925,1.88,1.88,563,0
RAVE.US,60,20240531,180000,1.8998,1.91,1.88,1.9,1924,0
RAVE.US,60,20240531,200000,1.8844,1.9,1.88,1.8989,2005,0
RAVE.US,60,20240531,210000,1.88,1.88,1.88,1.88,271,0
RAVE.US,60,20240531,220000,1.88,1.88,1.88,1.88,3725,0
RAVE.US,60,20240603,160000,1.88,1.935,1.87,1.935,3500,0
RAVE.US,60,20240603,170000,1.8812,1.8812,1.87,1.87,2800,0
RAVE.US,60,20240603,180000,1.9,1.9,1.9,1.9,400,0
RAVE.US,60,20240603,190000,1.87,1.87,1.87,1.87,100,0
RAVE.US,60,20240603,200000,1.87,1.895,1.87,1.87,1491,0
RAVE.US,60,20240603,210000,1.87,1.895,1.87,1.895,1102,0
RAVE.US,60,20240603,220000,1.87,1.9,1.87,1.9,1400,0
RAVE.US,60,20240604,160000,1.91,1.91,1.91,1.91,325,0
RAVE.US,60,20240604,170000,1.89,1.89,1.89,1.89,579,0
RAVE.US,60,20240604,180000,1.85,1.91,1.84,1.88,2020,0
RAVE.US,60,20240604,190000,1.84,1.93,1.84,1.93,864,0
RAVE.US,60,20240604,200000,1.86,1.9,1.86,1.88,500,0
RAVE.US,60,20240604,210000,1.8501,1.88,1.85,1.8501,19919,0
RAVE.US,60,20240604,220000,1.85,1.9152,1.85,1.89,5305,0
RAVE.US,60,20240605,160000,1.86,1.89,1.86,1.89,200,0
RAVE.US,60,20240605,170000,1.84,1.84,1.835,1.835,1985,0
RAVE.US,60,20240605,180000,1.85,1.89,1.84,1.8538,2319,0
RAVE.US,60,20240605,190000,1.85,1.87,1.85,1.86,6300,0
RAVE.US,60,20240605,200000,1.87,1.89,1.87,1.89,500,0
RAVE.US,60,20240605,210000,1.85,1.88,1.85,1.88,600,0
RAVE.US,60,20240605,220000,1.879,1.88,1.84,1.88,867,0
RAVE.US,60,20240606,160000,1.86,1.9199,1.85,1.86,4694,0
RAVE.US,60,20240606,170000,1.865,1.93,1.865,1.8998,3165,0
RAVE.US,60,20240606,180000,1.88,1.8995,1.88,1.8995,3000,0
RAVE.US,60,20240606,190000,1.88,1.88,1.87,1.87,5100,0
RAVE.US,60,20240606,210000,1.86,1.87,1.82,1.8699,5519,0
RAVE.US,60,20240606,220000,1.86,1.87,1.86,1.87,208,0
RAVE.US,60,20240607,160000,1.84,1.88,1.84,1.88,2047,0
RAVE.US,60,20240607,170000,1.8701,1.8701,1.8701,1.8701,2998,0
RAVE.US,60,20240607,180000,1.878,1.878,1.85,1.85,950,0
RAVE.US,60,20240607,200000,1.86,1.86,1.85,1.85,945,0
RAVE.US,60,20240607,210000,1.85,1.8599,1.85,1.8599,8814,0
RAVE.US,60,20240607,220000,1.8599,1.88,1.84,1.88,511,0
RAVE.US,60,20240610,160000,1.84,1.9199,1.82,1.82,2156,0
RAVE.US,60,20240610,170000,1.8109,1.89,1.8,1.8462,2177,0
RAVE.US,60,20240610,180000,1.855,1.87,1.84,1.84,867,0
RAVE.US,60,20240610,190000,1.8581,1.8581,1.811,1.811,1112,0
RAVE.US,60,20240610,200000,1.82,1.88,1.8171,1.85,8418,0
RAVE.US,60,20240610,210000,1.87,1.87,1.82,1.82,554,0
RAVE.US,60,20240610,220000,1.83,1.835,1.83,1.83,1068,0
RAVE.US,60,20240611,160000,1.85,1.85,1.8132,1.84,1160,0
RAVE.US,60,20240611,170000,1.81,1.81,1.81,1.81,304,0
RAVE.US,60,20240611,180000,1.81,1.81,1.81,1.81,100,0
RAVE.US,60,20240611,190000,1.8298,1.8298,1.81,1.81,1100,0
RAVE.US,60,20240611,200000,1.81,1.81,1.81,1.81,100,0
RAVE.US,60,20240611,210000,1.81,1.8279,1.81,1.81,350,0
RAVE.US,60,20240611,220000,1.8126,1.83,1.81,1.83,1380,0
RAVE.US,60,20240612,160000,1.84,1.85,1.81,1.85,4268,0
RAVE.US,60,20240612,170000,1.8299,1.8299,1.8,1.81,3031,0
RAVE.US,60,20240612,180000,1.8,1.815,1.8,1.81,700,0
RAVE.US,60,20240612,190000,1.81,1.81,1.81,1.81,336,0
RAVE.US,60,20240612,200000,1.8139,1.8139,1.81,1.81,671,0
RAVE.US,60,20240612,210000,1.81,1.81,1.78,1.78,15185,0
RAVE.US,60,20240612,220000,1.785,1.84,1.785,1.84,7367,0
RAVE.US,60,20240613,160000,1.86,1.86,1.86,1.86,100,0
RAVE.US,60,20240613,170000,1.84,1.845,1.82,1.82,842,0
RAVE.US,60,20240613,200000,1.83,1.93,1.83,1.93,10441,0
RAVE.US,60,20240613,210000,1.91,1.91,1.86,1.88,1818,0
RAVE.US,60,20240613,220000,1.82,1.88,1.82,1.88,356,0
RAVE.US,60,20240614,160000,1.85,1.87,1.85,1.86,1834,0
RAVE.US,60,20240614,170000,1.82,1.86,1.82,1.85,597,0
RAVE.US,60,20240614,180000,1.89,1.89,1.89,1.89,200,0
RAVE.US,60,20240614,190000,1.86,1.86,1.86,1.86,2100,0
RAVE.US,60,20240614,200000,1.86,1.86,1.8309,1.8309,5598,0
RAVE.US,60,20240614,210000,1.83,1.87,1.83,1.87,2468,0
RAVE.US,60,20240614,220000,1.88,1.88,1.82,1.88,5221,0
RAVE.US,60,20240617,160000,1.84,1.88,1.84,1.88,2207,0
RAVE.US,60,20240617,170000,1.83,1.88,1.83,1.84,900,0
RAVE.US,60,20240617,190000,1.8599,1.8599,1.82,1.8559,3548,0
RAVE.US,60,20240617,200000,1.82,1.835,1.79,1.81,7376,0
RAVE.US,60,20240617,210000,1.79,1.83,1.785,1.83,8195,0
RAVE.US,60,20240617,220000,1.8352,1.88,1.8079,1.87,1111,0
RAVE.US,60,20240618,160000,1.84,1.9,1.84,1.89,984,0
RAVE.US,60,20240618,170000,1.85,1.86,1.81,1.83,6091,0
RAVE.US,60,20240618,180000,1.83,1.89,1.8252,1.89,844,0
RAVE.US,60,20240618,190000,1.83,1.88,1.83,1.83,900,0
RAVE.US,60,20240618,200000,1.825,1.825,1.825,1.825,100,0
RAVE.US,60,20240618,210000,1.82,1.82,1.82,1.82,100,0
RAVE.US,60,20240618,220000,1.82,1.84,1.82,1.82,2351,0
RAVE.US,60,20240620,160000,1.84,1.84,1.82,1.82,497,0
RAVE.US,60,20240620,170000,1.8,1.85,1.8,1.84,1360,0
RAVE.US,60,20240620,180000,1.85,1.87,1.81,1.87,1387,0
RAVE.US,60,20240620,190000,1.85,1.86,1.82,1.86,639,0
RAVE.US,60,20240620,200000,1.82,1.88,1.82,1.88,400,0
RAVE.US,60,20240620,210000,1.88,1.92,1.82,1.86,22777,0
RAVE.US,60,20240620,220000,1.86,1.91,1.855,1.91,2460,0
RAVE.US,60,20240621,160000,1.91,1.92,1.8401,1.8902,6691,0
