<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RAY.US,60,20240515,170000,80,91.04,75.52,80,57760.25,0
RAY.US,60,20240515,180000,80,96.64,73.6,88.8,40340.1875,0
RAY.US,60,20240515,190000,88.8,88.8,70.4,71.36,14864.625,0
RAY.US,60,20240515,200000,70.72,78.3984,70.72,75.04,3007.5,0
RAY.US,60,20240515,210000,74.08,76,64.8,73.12,3885,0
RAY.US,60,20240515,220000,70.4,72,64.32,67.68,14580.3125,0
RAY.US,60,20240516,160000,70.4,76.8,70.4,75.2,4064.6875,0
RAY.US,60,20240516,170000,75.2,85.76,73.6,80.16,10501.125,0
RAY.US,60,20240516,180000,80.88,82.4,80,82.4,2374.375,0
RAY.US,60,20240516,190000,82.24,82.4,80,81.28,2293.875,0
RAY.US,60,20240516,200000,80.4,82.4,80,82.4,719.625,0
RAY.US,60,20240516,210000,82.08,92.32,72.8,73.12,20093.9375,0
RAY.US,60,20240516,220000,72.8,77.6,67.68,70.08,14405,0
RAY.US,60,20240517,160000,75.2,82.56,74.88,77.44,6518.9375,0
RAY.US,60,20240517,170000,78.56,82.56,74.4,75.2,4972.5,0
RAY.US,60,20240517,180000,75.2,79.2,72.48,74.72,3601.0625,0
RAY.US,60,20240517,190000,74.08,74.4,70.08,73.28,6801.4375,0
RAY.US,60,20240517,200000,73.6,73.6,68,68.992,6116.75,0
RAY.US,60,20240517,210000,68.16,68.48,62.56,63.1168,6548.6875,0
RAY.US,60,20240517,220000,62.72,67.04,58.1024,67.04,4985.125,0
RAY.US,60,20240520,160000,69.12,71.6784,67.0656,67.512,1262.9375,0
RAY.US,60,20240520,170000,67.2016,68.32,60.8,63.2,4281.375,0
RAY.US,60,20240520,180000,63.5216,65.28,60.48,61.28,4140.875,0
RAY.US,60,20240520,190000,60.32,63.9968,60,60.96,5600.9375,0
RAY.US,60,20240520,200000,62.2256,62.4,59.84,60,2394.875,0
RAY.US,60,20240520,210000,60,60.9872,58.88,58.88,1366.0625,0
RAY.US,60,20240520,220000,59.936,62.3984,57.76,58.4,2226.625,0
RAY.US,60,20240521,160000,62.2192,62.4,59.2016,60.32,390.5,0
RAY.US,60,20240521,170000,62.0416,62.0416,54.4,54.56,2943.75,0
RAY.US,60,20240521,180000,54.88,55.9984,52.96,55.52,1863.8125,0
RAY.US,60,20240521,190000,55.2,55.84,53.76,55.6784,576.875,0
RAY.US,60,20240521,200000,54.9504,57.84,54.9504,56.6416,536.4375,0
RAY.US,60,20240521,210000,56.64,56.96,54.4,56.96,128.5625,0
RAY.US,60,20240521,220000,56,56.96,56,56.8,526.1875,0
RAY.US,60,20240522,160000,56.16,58.08,51.36,52.0016,488.8125,0
RAY.US,60,20240522,170000,53.504,58.9936,53.504,54.5616,223.625,0
RAY.US,60,20240522,180000,54.88,56.32,52.8,54.56,313.4375,0
RAY.US,60,20240522,190000,54.4608,56,54.4608,56,198,0
RAY.US,60,20240522,200000,54.4,54.72,54.4,54.56,50,0
RAY.US,60,20240522,210000,54.72,57.6,54.72,56.16,61.5625,0
RAY.US,60,20240522,220000,55.1008,56.96,54.88,56.32,148.9375,0
