<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RNGTU.US,60,20251003,170000,10.02,10.04,10.01,10.01,4851703,0
RNGTU.US,60,20251003,180000,10.01,10.02,10,10.01,2172200,0
RNGTU.US,60,20251003,190000,10.01,10.02,10.01,10.01,143023,0
RNGTU.US,60,20251003,200000,10.01,10.02,10.01,10.015,205578,0
RNGTU.US,60,20251003,210000,10.015,10.015,10.01,10.01,487823,0
RNGTU.US,60,20251003,220000,10.01,10.01,10,10,567081,0
RNGTU.US,60,20251006,160000,10.01,10.02,10.01,10.012,33489,0
RNGTU.US,60,20251006,170000,10.02,10.02,10.01,10.02,12941,0
RNGTU.US,60,20251006,180000,10.02,10.02,10.01,10.01,10200,0
RNGTU.US,60,20251006,190000,10.02,10.02,10.01,10.01,200,0
RNGTU.US,60,20251006,200000,10.01,10.02,10.01,10.015,26115,0
RNGTU.US,60,20251006,210000,10.015,10.015,10.015,10.015,200,0
RNGTU.US,60,20251006,220000,10.02,10.02,10.01,10.01,67229,0
RNGTU.US,60,20251007,160000,10.02,10.02,10.01,10.0199,32996,0
RNGTU.US,60,20251007,170000,10.02,10.02,10.015,10.0182,26995,0
RNGTU.US,60,20251007,180000,10.015,10.015,10.01,10.01,1100,0
RNGTU.US,60,20251007,190000,10.01,10.01,10.01,10.01,302,0
RNGTU.US,60,20251007,200000,10.01,10.025,10.01,10.02,53340,0
RNGTU.US,60,20251007,220000,10.015,10.015,10.01,10.01,415199,0
RNGTU.US,60,20251008,160000,10.05,10.05,10.03,10.03,4500,0
RNGTU.US,60,20251008,170000,10.03,10.04,10.03,10.04,9000,0
RNGTU.US,60,20251008,180000,10.04,10.04,10.04,10.04,12100,0
RNGTU.US,60,20251008,190000,10.04,10.04,10.04,10.04,5925,0
RNGTU.US,60,20251008,200000,10.04,10.04,10.04,10.04,600,0
RNGTU.US,60,20251008,220000,10.04,10.04,10.0345,10.04,1200,0
RNGTU.US,60,20251009,160000,10.0377,10.04,10.0377,10.04,1000,0
RNGTU.US,60,20251009,170000,10.0463,10.05,10.04,10.05,2800,0
RNGTU.US,60,20251009,180000,10.045,10.07,10.04,10.07,75383,0
RNGTU.US,60,20251009,190000,10.06,10.06,10.05,10.05,12200,0
RNGTU.US,60,20251009,200000,10.07,10.07,10.07,10.07,100,0
RNGTU.US,60,20251009,220000,10.065,10.065,10.065,10.065,45238,0
RNGTU.US,60,20251010,160000,10.04,10.0989,10.04,10.072,7390,0
RNGTU.US,60,20251010,170000,10.07,10.08,10.06,10.07,67931,0
