<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SAMG.US,60,20240411,170000,14.79,14.81,14.775,14.78,41900,0
SAMG.US,60,20240411,180000,14.67,14.67,14.67,14.67,5500,0
SAMG.US,60,20240411,190000,14.66,14.66,14.64,14.64,400,0
SAMG.US,60,20240411,200000,14.91,14.91,14.77,14.77,2502,0
SAMG.US,60,20240411,210000,14.7955,14.7955,14.7955,14.7955,2070,0
SAMG.US,60,20240411,220000,14.8,14.88,14.77,14.8,5515,0
SAMG.US,60,20240412,160000,14.75,14.97,14.75,14.97,535,0
SAMG.US,60,20240412,170000,14.85,14.85,14.7993,14.7993,4663,0
SAMG.US,60,20240412,180000,14.835,14.92,14.835,14.92,571,0
SAMG.US,60,20240412,190000,14.93,14.93,14.93,14.93,200,0
SAMG.US,60,20240412,200000,14.8302,14.94,14.83,14.94,3240,0
SAMG.US,60,20240412,210000,14.6101,14.6101,14.6101,14.6101,800,0
SAMG.US,60,20240412,220000,14.92,14.92,14.61,14.8,2049,0
SAMG.US,60,20240415,160000,14.79,14.86,14.79,14.86,2251,0
SAMG.US,60,20240415,170000,14.96,14.98,14.96,14.98,636,0
SAMG.US,60,20240415,180000,14.9599,14.99,14.815,14.815,415,0
SAMG.US,60,20240415,190000,14.8,14.8,14.67,14.795,600,0
SAMG.US,60,20240415,200000,14.765,14.765,14.61,14.62,1629,0
SAMG.US,60,20240415,210000,14.6,14.71,14.55,14.69,2300,0
SAMG.US,60,20240415,220000,14.605,14.605,14.5,14.55,2970,0
SAMG.US,60,20240416,160000,14.54,14.54,14.54,14.54,661,0
SAMG.US,60,20240416,170000,14.545,14.545,14.29,14.29,200,0
SAMG.US,60,20240416,180000,14.31,14.5931,14.31,14.4694,520,0
SAMG.US,60,20240416,190000,14.31,14.45,14.3008,14.31,664,0
SAMG.US,60,20240416,200000,14.5,14.5,14.29,14.35,2418,0
SAMG.US,60,20240416,210000,14.3,14.4,14.3,14.3,603,0
SAMG.US,60,20240416,220000,14.38,14.59,14.38,14.55,39514,0
SAMG.US,60,20240417,160000,14.59,14.59,14.59,14.59,301,0
SAMG.US,60,20240417,170000,14.605,14.66,14.585,14.585,5674,0
SAMG.US,60,20240417,180000,14.58,14.58,14.54,14.54,24143,0
SAMG.US,60,20240417,190000,14.42,14.44,13.93,13.93,13995,0
SAMG.US,60,20240417,200000,14.06,14.38,13.98,14.1,2671,0
SAMG.US,60,20240417,210000,14.17,14.21,14.02,14.02,1753,0
SAMG.US,60,20240417,220000,14.05,14.35,14.03,14.11,4996,0
SAMG.US,60,20240418,160000,14.22,14.22,14.22,14.22,410,0
SAMG.US,60,20240418,170000,14.49,14.49,14.25,14.25,299,0
SAMG.US,60,20240418,180000,14.14,14.15,14.14,14.15,200,0
SAMG.US,60,20240418,190000,14.36,14.36,14.16,14.16,436,0
SAMG.US,60,20240418,200000,14.51,14.51,14.51,14.51,564,0
SAMG.US,60,20240418,210000,14.36,14.42,14.2175,14.2175,400,0
SAMG.US,60,20240418,220000,14.28,14.47,14.28,14.35,3591,0
SAMG.US,60,20240419,160000,14.12,14.12,14.12,14.12,1760,0
SAMG.US,60,20240419,170000,14.5561,14.5561,14.5561,14.5561,120,0
SAMG.US,60,20240419,180000,14.3739,14.3739,14.3739,14.3739,121,0
SAMG.US,60,20240419,190000,14.32,14.46,14.2282,14.46,5658,0
SAMG.US,60,20240419,220000,14.22,14.4,14.22,14.4,237,0
SAMG.US,60,20240422,160000,14.77,14.77,14.5095,14.5095,677,0
SAMG.US,60,20240422,180000,14.4,14.68,14.4,14.68,800,0
SAMG.US,60,20240422,190000,14.62,14.76,14.6,14.76,7325,0
SAMG.US,60,20240422,200000,14.725,14.81,14.725,14.75,1176,0
SAMG.US,60,20240422,210000,14.75,14.81,14.73,14.775,1108,0
SAMG.US,60,20240422,220000,14.75,14.89,14.6,14.82,19234,0
SAMG.US,60,20240423,160000,14.535,14.535,14.535,14.535,100,0
SAMG.US,60,20240423,170000,14.8,14.9,14.8,14.9,570,0
SAMG.US,60,20240423,180000,15.1641,15.1641,14.92,14.92,1550,0
SAMG.US,60,20240423,190000,14.99,14.995,14.99,14.995,400,0
SAMG.US,60,20240423,200000,15.08,15.08,15.01,15.0382,1609,0
SAMG.US,60,20240423,210000,15.05,15.05,14.88,14.88,600,0
SAMG.US,60,20240423,220000,14.91,14.94,14.75,14.76,2237,0
SAMG.US,60,20240424,160000,14.64,14.64,14.64,14.64,698,0
SAMG.US,60,20240424,170000,14.68,15.0147,14.52,14.52,1585,0
SAMG.US,60,20240424,180000,14.68,14.68,14.495,14.495,500,0
SAMG.US,60,20240424,190000,14.6,14.68,14.51,14.51,6777,0
SAMG.US,60,20240424,200000,14.52,14.7,14.52,14.6,898,0
SAMG.US,60,20240424,220000,14.705,14.87,14.705,14.75,6273,0
