<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SFM.US,60,20240411,160000,64.66,64.73,63.66,63.84,32367,0
SFM.US,60,20240411,170000,63.79,63.82,63.51,63.76,35179,0
SFM.US,60,20240411,180000,63.78,64.32,63.74,64.31,29712,0
SFM.US,60,20240411,190000,64.33,64.56,64.22,64.445,30652,0
SFM.US,60,20240411,200000,64.435,64.44,64.12,64.165,56248,0
SFM.US,60,20240411,210000,64.175,64.4,64.17,64.31,68501,0
SFM.US,60,20240411,220000,64.315,64.5,64.18,64.4,245755,0
SFM.US,60,20240412,160000,64.04,64.1,62.52,62.88,103016,0
SFM.US,60,20240412,170000,62.85,62.85,61.75,62.56,87833,0
SFM.US,60,20240412,180000,62.58,62.69,62.35,62.5,43871,0
SFM.US,60,20240412,190000,62.47,62.59,62.32,62.48,33061,0
SFM.US,60,20240412,200000,62.48,62.52,62.085,62.239,51170,0
SFM.US,60,20240412,210000,62.27,62.57,62.2,62.48,62567,0
SFM.US,60,20240412,220000,62.47,62.62,62.205,62.5,327789,0
SFM.US,60,20240415,160000,63.16,63.42,62.865,63.145,30399,0
SFM.US,60,20240415,170000,63.12,63.12,62.73,63.05,61248,0
SFM.US,60,20240415,180000,63.05,63.14,62.6,62.83,44883,0
SFM.US,60,20240415,190000,62.815,62.97,62.56,62.56,29138,0
SFM.US,60,20240415,200000,62.55,62.62,62.24,62.46,42754,0
SFM.US,60,20240415,210000,62.4525,62.525,62.3,62.41,38230,0
SFM.US,60,20240415,220000,62.4,62.68,62.3,62.32,159284,0
SFM.US,60,20240416,160000,61.68,62.41,61.61,62.41,32963,0
SFM.US,60,20240416,170000,62.405,62.63,62.22,62.44,92942,0
SFM.US,60,20240416,180000,62.45,62.67,62.44,62.57,34607,0
SFM.US,60,20240416,190000,62.54,62.64,62.27,62.27,36926,0
SFM.US,60,20240416,200000,62.285,62.59,62.06,62.34,58874,0
SFM.US,60,20240416,210000,62.35,62.73,62.33,62.6,32242,0
SFM.US,60,20240416,220000,62.58,62.65,62.26,62.29,211085,0
SFM.US,60,20240417,160000,62.9,62.9,62.45,62.495,31381,0
SFM.US,60,20240417,170000,62.37,62.43,62.02,62.26,54169,0
SFM.US,60,20240417,180000,62.235,62.39,61.71,62,55546,0
SFM.US,60,20240417,190000,61.9925,62.04,61.74,61.81,35456,0
SFM.US,60,20240417,200000,61.78,62.135,61.78,62.115,77169,0
SFM.US,60,20240417,210000,62.11,62.49,62.09,62.215,48903,0
SFM.US,60,20240417,220000,62.219,62.51,61.9325,62.43,193809,0
SFM.US,60,20240418,160000,62.88,63.25,62.715,63.13,27253,0
SFM.US,60,20240418,170000,63.16,63.685,63.16,63.55,45419,0
SFM.US,60,20240418,180000,63.57,63.79,63.47,63.53,46788,0
SFM.US,60,20240418,190000,63.56,63.6,63.17,63.325,40188,0
SFM.US,60,20240418,200000,63.33,63.39,63.04,63.34,123872,0
SFM.US,60,20240418,210000,63.33,63.41,63.245,63.27,74523,0
SFM.US,60,20240418,220000,63.26,63.375,63.05,63.15,174868,0
SFM.US,60,20240419,160000,63.22,64.31,63.16,64.2,51345,0
SFM.US,60,20240419,170000,64.18,64.5,64.05,64.21,94976,0
SFM.US,60,20240419,180000,64.21,64.42,64.01,64.16,48938,0
SFM.US,60,20240419,190000,64.18,64.24,63.77,64.18,60506,0
SFM.US,60,20240419,200000,64.19,64.44,64.15,64.35,62547,0
SFM.US,60,20240419,210000,64.34,64.4,64.16,64.385,62202,0
SFM.US,60,20240419,220000,64.39,65.2,64.33,65.17,277287,0
SFM.US,60,20240422,160000,65.3,66.0794,64.83,65.11,141776,0
SFM.US,60,20240422,170000,65.115,65.3,64.88,65.12,121677,0
SFM.US,60,20240422,180000,65.11,65.34,64.87,65.29,74142,0
SFM.US,60,20240422,190000,65.29,65.8,65.27,65.73,58280,0
SFM.US,60,20240422,200000,65.715,66.145,65.575,66.115,76741,0
SFM.US,60,20240422,210000,66.115,66.18,65.9206,66.18,103744,0
SFM.US,60,20240422,220000,66.175,66.175,65.28,65.43,286113,0
SFM.US,60,20240423,160000,65.28,65.59,64.46,64.75,63694,0
SFM.US,60,20240423,170000,64.78,65.41,64.3116,65.39,96657,0
SFM.US,60,20240423,180000,65.44,65.58,65.12,65.37,36756,0
SFM.US,60,20240423,190000,65.41,65.51,65.27,65.395,46764,0
SFM.US,60,20240423,200000,65.37,65.88,65.36,65.84,42228,0
SFM.US,60,20240423,210000,65.86,65.925,65.55,65.63,76550,0
SFM.US,60,20240423,220000,65.65,65.795,65.42,65.48,221835,0
SFM.US,60,20240424,160000,65.47,65.51,64.69,65.27,90159,0
SFM.US,60,20240424,170000,65.27,65.41,65.06,65.26,187883,0
SFM.US,60,20240424,180000,65.23,65.545,65.2,65.4,102454,0
SFM.US,60,20240424,190000,65.415,65.64,65.38,65.48,169708,0
SFM.US,60,20240424,200000,65.47,65.565,65.055,65.55,40790,0
SFM.US,60,20240424,210000,65.54,65.56,65.35,65.51,35786,0
SFM.US,60,20240424,220000,65.5,65.79,65.45,65.59,323411,0
SFM.US,60,20240425,160000,65.54,65.54,65.07,65.37,28410,0
SFM.US,60,20240425,170000,65.37,65.75,65.07,65.42,113357,0
SFM.US,60,20240425,180000,65.38,65.59,65.31,65.585,37250,0
SFM.US,60,20240425,190000,65.56,65.88,65.54,65.875,48404,0
SFM.US,60,20240425,200000,65.89,65.98,65.46,65.475,280387,0
SFM.US,60,20240425,210000,65.46,66.01,65.4141,65.82,173080,0
SFM.US,60,20240425,220000,65.83,66.05,65.81,65.9,626120,0
SFM.US,60,20240426,160000,65.88,67.65,65.19,67.4,163797,0
SFM.US,60,20240426,170000,67.395,68.01,67.36,67.67,366903,0
SFM.US,60,20240426,180000,67.69,68.01,67.69,67.875,105128,0
SFM.US,60,20240426,190000,67.85,67.88,67.685,67.76,98901,0
SFM.US,60,20240426,200000,67.76,68.0299,67.7,67.835,77497,0
SFM.US,60,20240426,210000,67.82,67.91,67.66,67.68,72322,0
SFM.US,60,20240426,220000,67.68,67.68,66.98,66.98,399364,0
SFM.US,60,20240429,160000,66.98,67.36,66.4,66.885,280698,0
SFM.US,60,20240429,170000,66.8,67.75,66.76,67.38,149648,0
SFM.US,60,20240429,180000,67.39,67.52,67.05,67.3,152312,0
SFM.US,60,20240429,190000,67.31,67.88,67.295,67.79,132015,0
SFM.US,60,20240429,200000,67.772,68.03,67.52,67.92,495722,0
SFM.US,60,20240429,210000,67.93,67.95,67.6,67.7829,84808,0
SFM.US,60,20240429,220000,67.78,67.78,67.4,67.5,478425,0
SFM.US,60,20240430,160000,67.5,67.5,66.9064,67.24,65216,0
SFM.US,60,20240430,170000,67.195,67.24,66.8472,66.98,168338,0
SFM.US,60,20240430,180000,66.935,67.01,66.6,66.84,63331,0
SFM.US,60,20240430,190000,66.87,66.92,66.58,66.765,61135,0
SFM.US,60,20240430,200000,66.765,67.05,66.65,66.73,96997,0
SFM.US,60,20240430,210000,66.735,66.995,66.73,66.92,84490,0
SFM.US,60,20240430,220000,66.93,67.045,65.86,66.06,353631,0
SFM.US,60,20240501,160000,65.82,66.37,64.25,64.37,100311,0
SFM.US,60,20240501,170000,64.43,64.88,64.02,64.57,114362,0
SFM.US,60,20240501,180000,64.55,64.85,64.27,64.4,102940,0
SFM.US,60,20240501,190000,64.4,64.77,64.28,64.52,163745,0
SFM.US,60,20240501,200000,64.5,64.68,64.3,64.48,76701,0
SFM.US,60,20240501,210000,64.485,65.18,64.432,64.98,209567,0
SFM.US,60,20240501,220000,65,65.11,64.23,64.25,344100,0
SFM.US,60,20240502,160000,71.4,73.78,69.96,71.99,446055,0
SFM.US,60,20240502,170000,71.99,73.55,71.81,72.95,639112,0
SFM.US,60,20240502,180000,72.92,73.96,72.78,73.845,212053,0
SFM.US,60,20240502,190000,73.8116,74.03,72.79,72.86,206191,0
SFM.US,60,20240502,200000,72.84,73.2,72.27,72.535,279329,0
SFM.US,60,20240502,210000,72.54,72.8533,72.36,72.49,152377,0
SFM.US,60,20240502,220000,72.49,72.63,71.8505,71.98,748658,0
SFM.US,60,20240503,160000,72.09,73.45,71.91,72.1,97231,0
SFM.US,60,20240503,170000,72.13,72.22,71.15,71.96,204246,0
SFM.US,60,20240503,180000,71.935,73.11,71.87,72.915,162568,0
SFM.US,60,20240503,190000,72.915,73.23,72.53,73.15,73002,0
SFM.US,60,20240503,200000,73.12,73.275,72.76,73.2,64771,0
SFM.US,60,20240503,210000,73.196,73.68,73.12,73.595,90277,0
SFM.US,60,20240503,220000,73.58,74,73.575,73.68,625355,0
SFM.US,60,20240506,160000,74.13,75.2799,73.46,75.11,118653,0
SFM.US,60,20240506,170000,75.12,75.37,74.8,75.1499,158424,0
SFM.US,60,20240506,180000,75.1,75.19,74.69,74.935,86329,0
SFM.US,60,20240506,190000,74.9508,75.31,74.75,75.29,108086,0
SFM.US,60,20240506,200000,75.275,75.54,75.2,75.215,85160,0
SFM.US,60,20240506,210000,75.225,75.305,75.06,75.16,73895,0
SFM.US,60,20240506,220000,75.165,75.24,74.82,75,536982,0
SFM.US,60,20240507,160000,75.1,75.32,74.58,75.07,23609,0
SFM.US,60,20240507,170000,75.09,75.95,74.93,75.87,63119,0
SFM.US,60,20240507,180000,75.835,75.93,75.37,75.47,52921,0
SFM.US,60,20240507,190000,75.49,75.68,75.04,75.075,63153,0
SFM.US,60,20240507,200000,75.1,75.41,75.04,75.0935,38649,0
SFM.US,60,20240507,210000,75.095,75.19,74.91,75.095,52028,0
SFM.US,60,20240507,220000,75.07,75.08,74.45,74.77,226148,0
SFM.US,60,20240508,160000,74.25,74.64,73.663,74.45,51306,0
SFM.US,60,20240508,170000,74.49,74.8,74.26,74.26,83072,0
SFM.US,60,20240508,180000,74.29,74.48,74.05,74.07,61231,0
SFM.US,60,20240508,190000,74.0658,74.22,73.9,73.925,74207,0
SFM.US,60,20240508,200000,73.96,74.02,73.74,73.86,47917,0
SFM.US,60,20240508,210000,73.86,74.39,73.78,74.23,74667,0
SFM.US,60,20240508,220000,74.21,74.92,74.18,74.66,332970,0
SFM.US,60,20240509,160000,74.74,75,74.41,74.44,24683,0
SFM.US,60,20240509,170000,74.43,74.72,73.965,74.62,63349,0
SFM.US,60,20240509,180000,74.6,74.825,74.45,74.795,30323,0
SFM.US,60,20240509,190000,74.785,75.01,74.785,74.935,32908,0
SFM.US,60,20240509,200000,74.959,74.96,74.51,74.6,21616,0
SFM.US,60,20240509,210000,74.6,74.76,74.512,74.57,29004,0
SFM.US,60,20240509,220000,74.55,74.78,74.42,74.59,278215,0
SFM.US,60,20240510,160000,74.59,75.11,74.54,74.985,49996,0
SFM.US,60,20240510,170000,74.94,75.42,74.83,74.96,54213,0
SFM.US,60,20240510,180000,74.97,75.415,74.79,75.36,50333,0
SFM.US,60,20240510,190000,75.345,75.5799,75.28,75.49,34686,0
SFM.US,60,20240510,200000,75.5,75.58,75.26,75.3,42169,0
SFM.US,60,20240510,210000,75.29,75.39,75.23,75.36,44947,0
SFM.US,60,20240510,220000,75.34,75.785,75.24,75.73,245763,0
SFM.US,60,20240513,160000,76.49,76.93,76,76.86,61801,0
SFM.US,60,20240513,170000,76.86,77.17,76.48,76.66,63810,0
SFM.US,60,20240513,180000,76.68,76.86,76.51,76.55,52298,0
SFM.US,60,20240513,190000,76.57,76.63,76.17,76.2,42512,0
SFM.US,60,20240513,200000,76.2,76.45,76.11,76.205,37532,0
SFM.US,60,20240513,210000,76.2188,76.23,75.95,76.14,45013,0
SFM.US,60,20240513,220000,76.1,76.265,76,76.09,279615,0
SFM.US,60,20240514,160000,76.45,76.99,75.52,76.37,39022,0
SFM.US,60,20240514,170000,76.37,76.9,76.23,76.785,81644,0
SFM.US,60,20240514,180000,76.84,77.24,76.62,77.18,66091,0
SFM.US,60,20240514,190000,77.16,77.28,76.54,76.75,101211,0
SFM.US,60,20240514,200000,76.73,76.93,76.67,76.79,47139,0
SFM.US,60,20240514,210000,76.79,76.8,76.54,76.7,47535,0
SFM.US,60,20240514,220000,76.705,77,76.67,76.74,339991,0
SFM.US,60,20240515,160000,76.77,76.86,75.82,76.175,44789,0
SFM.US,60,20240515,170000,76.165,76.71,75.92,76.64,66992,0
SFM.US,60,20240515,180000,76.63,76.8,76.3295,76.46,32965,0
SFM.US,60,20240515,190000,76.45,76.94,76.44,76.875,23873,0
