<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SHFS.US,60,20240411,160000,14.8,15.45,14.8,15.45,21.6,0
SHFS.US,60,20240411,170000,15.3,15.4,15.112,15.112,91.65,0
SHFS.US,60,20240411,190000,15.418,15.9,14.72,15.8,2650,0
SHFS.US,60,20240411,200000,15.799,16.2,15.708,16.196,2143.55,0
SHFS.US,60,20240411,210000,15.85,15.85,15.7,15.85,518.5,0
SHFS.US,60,20240411,220000,15.7,16.5,15.7,16.5,1537.85,0
SHFS.US,60,20240412,160000,16.436,16.6,15.6,15.602,1056.4,0
SHFS.US,60,20240412,170000,16.198,16.198,15.6,15.6,1050,0
SHFS.US,60,20240412,180000,15.602,15.774,15.6,15.75,320,0
SHFS.US,60,20240412,190000,16,16.2,16,16.2,125,0
SHFS.US,60,20240412,200000,15.82,15.82,15.82,15.82,24.700000000000003,0
SHFS.US,60,20240412,210000,16.18,16.198,16.18,16.198,25,0
SHFS.US,60,20240412,220000,15.82,16.01,15.6,16.002,703.25,0
SHFS.US,60,20240415,160000,16.4,16.4,16.4,16.4,28.950000000000003,0
SHFS.US,60,20240415,170000,16.6,16.6,16.6,16.6,5,0
SHFS.US,60,20240415,180000,16.2,16.202,16,16,357.40000000000003,0
SHFS.US,60,20240415,190000,16,16,15.6,15.602,307.25,0
SHFS.US,60,20240415,200000,15.9,16.18,15.9,16.18,25,0
SHFS.US,60,20240415,210000,15.9,15.9,15.9,15.9,50,0
SHFS.US,60,20240415,220000,15.9,16.099,15,15.396,2776.05,0
SHFS.US,60,20240416,160000,15.6,15.798,15.6,15.798,110,0
SHFS.US,60,20240416,170000,15.402,15.6,15.4,15.6,168.85,0
SHFS.US,60,20240416,180000,15.4,15.4,15.4,15.4,38.15,0
SHFS.US,60,20240416,190000,15,15,14.6173,14.998,577.25,0
SHFS.US,60,20240416,210000,15,15,14.2,14.6,1320.05,0
SHFS.US,60,20240416,220000,14.5,14.57,14.5,14.5,618.9,0
SHFS.US,60,20240417,160000,14.4,14.64,14.4,14.638,164.85000000000002,0
SHFS.US,60,20240417,170000,14.636,14.638,14.545,14.638,98.25,0
SHFS.US,60,20240417,180000,14.618,14.618,14.1,14.4,2367.3,0
SHFS.US,60,20240417,190000,14.31,14.31,14,14,544.75,0
SHFS.US,60,20240417,200000,13.882,13.938,13.522,13.598,510,0
SHFS.US,60,20240417,210000,13.596,13.598,13.1,13.502,3226.7,0
SHFS.US,60,20240417,220000,13.502,13.6,13.406,13.548,392.2,0
SHFS.US,60,20240418,160000,13.4,13.832,13.4,13.8,1161.7,0
SHFS.US,60,20240418,170000,13.8,13.8,13.6,13.782,269,0
SHFS.US,60,20240418,180000,13.6,13.698,13.42,13.42,2222.85,0
SHFS.US,60,20240418,190000,13.55,13.7,13.55,13.7,402.9,0
SHFS.US,60,20240418,200000,13.78,14,13.78,14,1460.6,0
SHFS.US,60,20240418,210000,14.198,14.436,14.17,14.272,601.8000000000001,0
SHFS.US,60,20240418,220000,14.598,14.598,14.524,14.562,345,0
