<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SMCI.US,60,20240411,160000,91.2,92.699,90.7193,92.13,3005000,0
SMCI.US,60,20240411,170000,92.08,94.5364,91.712,93.88,5527560,0
SMCI.US,60,20240411,180000,93.909,94.342,93.139,94.103,2797100,0
SMCI.US,60,20240411,190000,94.087,94.4,93.602,93.84,1474980,0
SMCI.US,60,20240411,200000,93.8395,94.273,92.8,93.108,2014260,0
SMCI.US,60,20240411,210000,93.106,93.8,92.5,92.5,1692680,0
SMCI.US,60,20240411,220000,92.505,93.8,92.2,93.717,2214730,0
SMCI.US,60,20240412,160000,92.03,92.499,90.3568,90.7155,2920040,0
SMCI.US,60,20240412,170000,90.794,90.958,89.7,90,3971670,0
SMCI.US,60,20240412,180000,90,91.25,89.936,91.04,2504880,0
SMCI.US,60,20240412,190000,91.088,91.2,90.3,90.383,1224890,0
SMCI.US,60,20240412,200000,90.4252,90.7,89.956,90.201,1241730,0
SMCI.US,60,20240412,210000,90.081,90.437,89.4,89.637,2509210,0
SMCI.US,60,20240412,220000,89.624,89.973,89.4,89.934,2678640,0
SMCI.US,60,20240415,160000,91.2,93.185,89.102,93.1,4464460,0
SMCI.US,60,20240415,170000,93.128,93.636,91.388,91.771,4375170,0
SMCI.US,60,20240415,180000,91.866,93.099,91.4,92.81,2680290,0
SMCI.US,60,20240415,190000,92.764,92.913,90.7,90.83,2318260,0
SMCI.US,60,20240415,200000,90.793,91.3498,89.021,89.65,2899330,0
SMCI.US,60,20240415,210000,89.7,89.7,88.601,88.997,2331340,0
SMCI.US,60,20240415,220000,88.9525,89.101,88.108,88.3,2914240,0
SMCI.US,60,20240416,160000,90.132,92.88,89.3,92.405,5040110,0
SMCI.US,60,20240416,170000,92.4965,93.121,90.713,91.124,5321660,0
SMCI.US,60,20240416,180000,91.144,92.5,91.032,91.121,3909140,0
SMCI.US,60,20240416,190000,91.127,92.7,90.439,92.5495,3426480,0
SMCI.US,60,20240416,200000,92.6,92.745,91.303,92.3795,2823260,0
SMCI.US,60,20240416,210000,92.441,94.574,92.15,94.48,6296400,0
SMCI.US,60,20240416,220000,94.426,98.146,94.4,97.63,11473490,0
SMCI.US,60,20240417,160000,99.2008,102.033,97,98.969,10572100,0
SMCI.US,60,20240417,170000,99,99,95.603,96.9105,8147400,0
SMCI.US,60,20240417,180000,96.824,97.9296,96.414,97.122,4414650,0
SMCI.US,60,20240417,190000,97.023,97.0717,94.941,95.6245,3968210,0
SMCI.US,60,20240417,200000,95.561,97.492,95.411,97.2294,2949020,0
SMCI.US,60,20240417,210000,97.2207,97.719,96.2,96.417,3280510,0
SMCI.US,60,20240417,220000,96.338,96.803,95.282,96.008,5475240,0
SMCI.US,60,20240418,160000,96.188,97.299,91.746,94.1255,4812840,0
SMCI.US,60,20240418,170000,94.039,96.686,93.635,96.376,4439360,0
SMCI.US,60,20240418,180000,96.4,96.922,96.06,96.4516,2494600,0
SMCI.US,60,20240418,190000,96.4786,96.68,95.289,95.378,1995680,0
SMCI.US,60,20240418,200000,95.4315,95.698,93.7072,94.2625,2491250,0
SMCI.US,60,20240418,210000,94.297,94.593,93.365,93.452,1692650,0
SMCI.US,60,20240418,220000,93.547,94.249,92.709,92.848,3459260,0
SMCI.US,60,20240419,160000,87.1,89.083,83.5533,83.8,10236960,0
SMCI.US,60,20240419,170000,83.8575,83.969,79.055,79.793,19197240,0
SMCI.US,60,20240419,180000,79.793,79.989,75.9,76.08,16306340,0
SMCI.US,60,20240419,190000,76.12,76.965,74.051,75.1956,12201150,0
SMCI.US,60,20240419,200000,75.1195,76.499,74.5,74.768,8543230,0
SMCI.US,60,20240419,210000,74.895,74.901,72.031,72.6285,11664450,0
SMCI.US,60,20240419,220000,72.5,72.919,71.095,71.359,12044260,0
SMCI.US,60,20240422,160000,73.2,73.384,69.4,69.45,10297950,0
SMCI.US,60,20240422,170000,69.477,71.191,67.1,69.9,12222050,0
SMCI.US,60,20240422,180000,69.905,70.849,69.31,70.7868,5927250,0
SMCI.US,60,20240422,190000,70.774,71,69.036,70.433,4564100,0
SMCI.US,60,20240422,200000,70.45,71.206,69.703,70.809,4127670,0
SMCI.US,60,20240422,210000,70.804,72.475,70.642,71.723,5575460,0
SMCI.US,60,20240422,220000,71.7225,72.547,71.066,71.702,6693830,0
SMCI.US,60,20240423,160000,73,76.7,71.406,75.591,9955620,0
SMCI.US,60,20240423,170000,75.7,79.337,75.5053,77.957,12387740,0
SMCI.US,60,20240423,180000,77.916,78.29,75.602,75.7352,8678770,0
SMCI.US,60,20240423,190000,75.8,77.089,74.8,75.335,5111650,0
SMCI.US,60,20240423,200000,75.408,76.545,74.7,76.299,4371200,0
SMCI.US,60,20240423,210000,76.229,77.127,76.003,76.8945,3353410,0
SMCI.US,60,20240423,220000,77.014,77.05,75.902,76.148,4037550,0
SMCI.US,60,20240424,160000,78.899,80.699,77.5771,78.361,9232490,0
SMCI.US,60,20240424,170000,78.421,79.3,76.501,76.896,7640800,0
SMCI.US,60,20240424,180000,76.8935,77,74.3,74.517,6407950,0
SMCI.US,60,20240424,190000,74.5333,75.4863,73.705,75.442,4573390,0
SMCI.US,60,20240424,200000,75.4455,76.869,75.001,76.0486,3547320,0
SMCI.US,60,20240424,210000,76.0494,76.055,74.2882,74.3056,2431260,0
SMCI.US,60,20240424,220000,74.287,76.1139,74.287,75.472,4689900,0
SMCI.US,60,20240425,160000,72.596,76.3725,72.112,75.205,4424040,0
SMCI.US,60,20240425,170000,75.3155,76.442,74.6,76.34,4092230,0
SMCI.US,60,20240425,180000,76.274,77.495,76.101,77.159,4126680,0
SMCI.US,60,20240425,190000,77.147,79.0301,76.835,78.662,3163710,0
SMCI.US,60,20240425,200000,78.7005,79.686,78.522,79.085,3542760,0
SMCI.US,60,20240425,210000,79.1308,79.619,78.143,78.801,2819780,0
SMCI.US,60,20240425,220000,78.9845,79.4945,78.5,78.74,4305320,0
SMCI.US,60,20240426,160000,79.922,82.35,78.866,82.2434,6315400,0
SMCI.US,60,20240426,170000,82.1875,84.475,81.6,83.544,9869690,0
SMCI.US,60,20240426,180000,83.544,84.309,82.701,83.555,5185920,0
SMCI.US,60,20240426,190000,83.619,85.614,83.402,85.4575,4797330,0
SMCI.US,60,20240426,200000,85.405,86.1,84.856,84.911,5272730,0
SMCI.US,60,20240426,210000,84.95,85.3421,84.135,84.919,3813070,0
SMCI.US,60,20240426,220000,84.993,85.969,84.801,85.744,6481220,0
SMCI.US,60,20240429,160000,83.9,85.888,83.014,85.417,6155730,0
SMCI.US,60,20240429,170000,85.473,87.8,85,87.211,7672490,0
SMCI.US,60,20240429,180000,87.301,88.074,86.752,87.702,3581830,0
SMCI.US,60,20240429,190000,87.6888,88.861,87.3,88.31,3419730,0
SMCI.US,60,20240429,200000,88.367,89.292,87.838,88.953,3459640,0
SMCI.US,60,20240429,210000,88.8648,89.784,88.5677,89.051,3203420,0
SMCI.US,60,20240429,220000,89,89.2,86.8234,89.035,6368000,0
SMCI.US,60,20240430,160000,87.6,91.084,87.1,90.898,5823550,0
SMCI.US,60,20240430,170000,90.872,91,89.1,89.962,6132610,0
