<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SPIT.US,60,20251009,200000,26.71,26.71,26.6698,26.6698,3267,0
SPIT.US,60,20251013,190000,26.9,26.9,26.9,26.9,100,0
SPIT.US,60,20251015,160000,27.5,27.5,27.5,27.5,100,0
SPIT.US,60,20251015,170000,27.5615,27.6,27.3915,27.45,500,0
SPIT.US,60,20251015,180000,27.5,27.5,27.5,27.5,100,0
SPIT.US,60,20251015,190000,27.4,27.4,27.4,27.4,100,0
SPIT.US,60,20251016,200000,27.4452,27.4452,27.3899,27.3899,9000,0
SPIT.US,60,20251017,180000,26.53,26.68,26.47,26.68,300,0
SPIT.US,60,20251017,190000,26.77,26.77,26.77,26.77,100,0
SPIT.US,60,20251017,200000,26.595,26.595,26.595,26.595,3000,0
SPIT.US,60,20251020,220000,27.3123,27.3123,27.2999,27.3,2547,0
SPIT.US,60,20251021,210000,27.01,27.01,26.95,26.96,2225,0
SPIT.US,60,20251021,220000,27.05,27.05,27.05,27.05,3000,0
SPIT.US,60,20251023,180000,26.801,26.835,26.79,26.835,2241,0
SPIT.US,60,20251023,220000,27.08,27.08,27.06,27.06,2549,0
SPIT.US,60,20251024,160000,27.43,27.43,27.42,27.42,513,0
SPIT.US,60,20251027,150000,27.82,27.82,27.82,27.82,104,0
SPIT.US,60,20251027,160000,27.65,27.65,27.65,27.65,100,0
SPIT.US,60,20251027,170000,27.6208,27.6208,27.6208,27.6208,100,0
SPIT.US,60,20251027,180000,27.57,27.57,27.57,27.57,100,0
SPIT.US,60,20251027,210000,27.62,27.62,27.62,27.62,200,0
SPIT.US,60,20251028,150000,27.79,27.79,27.79,27.79,1314,0
SPIT.US,60,20251028,190000,27.69,27.69,27.68,27.68,1400,0
SPIT.US,60,20251028,210000,27.7,27.7899,27.7,27.7899,3760,0
SPIT.US,60,20251029,160000,28.0431,28.0431,28.0431,28.0431,1937,0
SPIT.US,60,20251029,180000,28.18,28.1801,28.171,28.171,500,0
SPIT.US,60,20251029,210000,28.12,28.12,27.9,28.02,400,0
SPIT.US,60,20251030,150000,28.2,28.2,28.2,28.2,933,0
SPIT.US,60,20251030,180000,28.39,28.4,28.34,28.34,1400,0
SPIT.US,60,20251030,190000,28.23,28.23,28.23,28.23,100,0
SPIT.US,60,20251030,200000,28.19,28.22,28.18,28.18,1200,0
SPIT.US,60,20251031,210000,28.1,28.305,28.09,28.305,1350,0
SPIT.US,60,20251103,160000,28.6,28.6,28.405,28.405,3000,0
SPIT.US,60,20251103,190000,28.35,28.4,28.31,28.4,800,0
SPIT.US,60,20251103,200000,28.27,28.27,28.26,28.26,600,0
SPIT.US,60,20251103,210000,28.3,28.33,28.3,28.32,1600,0
SPIT.US,60,20251103,220000,28.3,28.3,28.3,28.3,200,0
SPIT.US,60,20251104,160000,28,28,27.51,27.51,3436,0
SPIT.US,60,20251104,170000,27.8899,27.91,27.8899,27.91,500,0
SPIT.US,60,20251104,180000,27.78,27.78,27.78,27.78,100,0
SPIT.US,60,20251104,220000,27.61,27.61,27.61,27.61,100,0
SPIT.US,60,20251105,210000,27.799,27.799,27.799,27.799,500,0
SPIT.US,60,20251105,220000,27.8,27.8,27.8,27.8,500,0
SPIT.US,60,20251106,160000,27.761,27.761,27.761,27.761,100,0
SPIT.US,60,20251106,200000,27.39,27.39,27.39,27.39,500,0
SPIT.US,60,20251106,220000,27.51,27.51,27.385,27.385,1000,0
SPIT.US,60,20251107,160000,27,27,26.94,26.95,1200,0
SPIT.US,60,20251111,220000,27.57,27.57,27.57,27.57,100,0
SPIT.US,60,20251113,160000,25.53,25.53,25.14,25.14,4776,0
SPIT.US,60,20251113,190000,24.6055,24.6055,24.52,24.52,610,0
SPIT.US,60,20251113,200000,24.4,24.4,24.31,24.31,4300,0
SPIT.US,60,20251113,210000,24.34,24.34,24.29,24.29,800,0
SPIT.US,60,20251113,220000,24.41,24.41,24.36,24.36,700,0
SPIT.US,60,20251114,170000,24.49,24.51,24.49,24.51,800,0
SPIT.US,60,20251114,180000,24.66,24.87,24.66,24.87,3976,0
SPIT.US,60,20251114,190000,24.81,24.82,24.81,24.82,300,0
SPIT.US,60,20251114,200000,24.69,24.69,24.65,24.65,200,0
SPIT.US,60,20251114,210000,24.68,24.68,24.68,24.68,100,0
SPIT.US,60,20251114,220000,24.49,24.49,24.45,24.45,4729,0
SPIT.US,60,20251117,210000,24.2,24.21,24.2,24.21,945,0
SPIT.US,60,20251118,160000,23.91,24.14,23.91,24.14,8124,0
SPIT.US,60,20251118,180000,24.14,24.14,24.09,24.1,1173,0
SPIT.US,60,20251118,210000,24.34,24.35,24.34,24.35,896,0
SPIT.US,60,20251118,220000,24.27,24.27,24.19,24.19,3000,0
SPIT.US,60,20251119,210000,24.54,24.59,24.54,24.555,3616,0
SPIT.US,60,20251119,220000,24.5999,24.5999,24.5999,24.5999,200,0
SPIT.US,60,20251120,160000,24.5,25.09,24.5,25.09,4470,0
SPIT.US,60,20251121,210000,24.18,24.18,24.18,24.18,2067,0
SPIT.US,60,20251124,220000,25.08,25.08,25.08,25.08,100,0
SPIT.US,60,20251125,170000,25.0699,25.0699,25.005,25.005,300,0
SPIT.US,60,20251125,220000,25.26,25.26,25.26,25.26,177,0
SPIT.US,60,20251126,210000,25.65,25.65,25.65,25.65,400,0
SPIT.US,60,20251201,200000,25.8585,25.8585,25.8585,25.8585,106,0
SPIT.US,60,20251202,160000,26.16,26.16,26.16,26.16,1078,0
SPIT.US,60,20251203,180000,25.9399,25.99,25.9399,25.99,300,0
SPIT.US,60,20251204,190000,26.01,26.78,26,26.78,888,0
SPIT.US,60,20251204,200000,26.79,26.899,26.79,26.8653,1500,0
SPIT.US,60,20251204,220000,26.88,26.88,26.7701,26.7701,1600,0
SPIT.US,60,20251205,170000,26.771,26.88,26.771,26.88,300,0
SPIT.US,60,20251205,220000,26.67,26.67,26.67,26.67,200,0
SPIT.US,60,20251208,160000,27.1,27.1,27.1,27.1,283,0
SPIT.US,60,20251208,170000,26.87,26.87,26.87,26.87,100,0
SPIT.US,60,20251208,190000,26.811,26.811,26.81,26.81,1300,0
SPIT.US,60,20251209,160000,26.9,26.9,26.89,26.89,344,0
SPIT.US,60,20251209,180000,27.085,27.085,27.01,27.0549,600,0
SPIT.US,60,20251209,200000,27.01,27.01,27.01,27.01,100,0
SPIT.US,60,20251209,210000,27.085,27.085,27.085,27.085,244,0
SPIT.US,60,20251210,180000,26.87,26.87,26.87,26.87,100,0
SPIT.US,60,20251210,210000,26.99,26.99,26.99,26.99,100,0
SPIT.US,60,20251210,220000,27.05,27.05,27.05,27.05,100,0
SPIT.US,60,20251211,160000,26.481,26.481,26.48,26.48,1100,0
SPIT.US,60,20251211,170000,26.77,26.83,26.71,26.778,5751,0
SPIT.US,60,20251211,210000,26.93,26.93,26.93,26.93,2116,0
SPIT.US,60,20251212,180000,26.051,26.0949,25.9901,26.03,1876,0
SPIT.US,60,20251212,200000,26.315,26.315,26.315,26.315,380,0
SPIT.US,60,20251212,210000,26.065,26.065,26.065,26.065,115,0
SPIT.US,60,20251215,200000,25.8304,25.8304,25.8304,25.8304,100,0
SPIT.US,60,20251216,160000,25.69,25.69,25.69,25.69,1694,0
SPIT.US,60,20251216,200000,25.45,25.45,25.44,25.44,300,0
SPIT.US,60,20251217,170000,25.79,26.15,25.79,26.15,700,0
SPIT.US,60,20251217,180000,26.16,26.16,25.24,25.24,500,0
SPIT.US,60,20251217,210000,25.03,25.03,25.03,25.03,500,0
SPIT.US,60,20251218,160000,25.31,25.335,25.31,25.335,700,0
SPIT.US,60,20251218,170000,25.42,25.42,25.42,25.42,445,0
SPIT.US,60,20251218,180000,25.34,25.34,25.34,25.34,100,0
SPIT.US,60,20251218,200000,25.36,25.36,25.36,25.36,1000,0
SPIT.US,60,20251218,220000,25.27,25.28,25.27,25.28,200,0
SPIT.US,60,20251219,160000,25.61,25.66,25.6,25.64,3418,0
SPIT.US,60,20251219,190000,25.86,25.86,25.86,25.86,154,0
SPIT.US,60,20251219,200000,25.8804,25.9,25.86,25.9,300,0
SPIT.US,60,20251219,220000,25.91,25.9299,25.91,25.91,4885,0
SPIT.US,60,20251222,160000,26.32,26.32,26.2,26.2528,5392,0
SPIT.US,60,20251222,190000,26.4,26.41,26.4,26.41,400,0
SPIT.US,60,20251222,200000,26.3405,26.36,26.3405,26.36,426,0
SPIT.US,60,20251222,210000,26.38,26.38,26.38,26.38,100,0
SPIT.US,60,20251223,220000,26.38,26.39,26.37,26.37,2600,0
SPIT.US,60,20251224,160000,26.419,26.419,26.398,26.398,369,0
SPIT.US,60,20251224,190000,26.51,26.52,26.5,26.5,1800,0
SPIT.US,60,20251226,160000,26.4,26.4,26.4,26.4,300,0
SPIT.US,60,20251226,170000,26.3262,26.3262,26.3262,26.3262,307,0
SPIT.US,60,20251226,180000,26.409,26.5,26.325,26.4099,11985,0
SPIT.US,60,20251226,190000,26.39,26.39,26.39,26.39,100,0
SPIT.US,60,20251226,210000,26.39,26.43,26.39,26.41,1200,0
SPIT.US,60,20251226,220000,26.4,26.4,26.36,26.36,1300,0
