<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SYPR.US,60,20240411,160000,1.66,1.67,1.66,1.67,1768,0
SYPR.US,60,20240411,190000,1.6893,1.7,1.67,1.67,5500,0
SYPR.US,60,20240411,200000,1.6999,1.6999,1.6999,1.6999,977,0
SYPR.US,60,20240411,210000,1.69,1.6953,1.67,1.67,4323,0
SYPR.US,60,20240411,220000,1.67,1.68,1.67,1.68,9209,0
SYPR.US,60,20240412,160000,1.71,1.71,1.71,1.71,435,0
SYPR.US,60,20240412,180000,1.69,1.6902,1.68,1.6866,3563,0
SYPR.US,60,20240412,190000,1.68,1.68,1.68,1.68,1209,0
SYPR.US,60,20240412,200000,1.68,1.68,1.67,1.68,3102,0
SYPR.US,60,20240412,210000,1.7,1.7,1.69,1.69,450,0
SYPR.US,60,20240412,220000,1.68,1.69,1.68,1.69,308,0
SYPR.US,60,20240415,160000,1.71,1.71,1.6801,1.6801,5728,0
SYPR.US,60,20240415,170000,1.7,1.7,1.685,1.685,7602,0
SYPR.US,60,20240415,180000,1.68,1.6897,1.68,1.6897,1162,0
SYPR.US,60,20240415,190000,1.685,1.685,1.685,1.685,100,0
SYPR.US,60,20240415,200000,1.6898,1.6898,1.68,1.68,8246,0
SYPR.US,60,20240415,210000,1.6795,1.68,1.6795,1.6799,1000,0
SYPR.US,60,20240415,220000,1.69,1.69,1.62,1.66,50622,0
SYPR.US,60,20240416,160000,1.66,1.66,1.66,1.66,355,0
SYPR.US,60,20240416,170000,1.6999,1.7,1.67,1.67,9228,0
SYPR.US,60,20240416,180000,1.6701,1.6828,1.67,1.6828,5790,0
SYPR.US,60,20240416,190000,1.67,1.67,1.67,1.67,700,0
SYPR.US,60,20240416,200000,1.69,1.69,1.68,1.68,2000,0
SYPR.US,60,20240416,210000,1.6985,1.7,1.68,1.69,9049,0
SYPR.US,60,20240416,220000,1.6899,1.7,1.68,1.69,9903,0
SYPR.US,60,20240417,160000,1.7,1.7,1.7,1.7,505,0
SYPR.US,60,20240417,170000,1.68,1.68,1.68,1.68,100,0
SYPR.US,60,20240417,180000,1.68,1.68,1.68,1.68,168,0
SYPR.US,60,20240417,220000,1.68,1.7,1.68,1.7,1150,0
SYPR.US,60,20240418,170000,1.68,1.68,1.68,1.68,200,0
SYPR.US,60,20240418,180000,1.6999,1.6999,1.6999,1.6999,1500,0
SYPR.US,60,20240418,200000,1.6919,1.6919,1.6919,1.6919,1000,0
SYPR.US,60,20240418,210000,1.6801,1.6801,1.64,1.64,27934,0
SYPR.US,60,20240418,220000,1.68,1.69,1.6,1.6101,33335,0
SYPR.US,60,20240419,180000,1.62,1.62,1.62,1.62,100,0
SYPR.US,60,20240419,200000,1.61,1.61,1.59,1.61,14341,0
SYPR.US,60,20240419,210000,1.59,1.6,1.59,1.6,4048,0
SYPR.US,60,20240419,220000,1.6099,1.6099,1.57,1.59,17364,0
SYPR.US,60,20240422,160000,1.571,1.571,1.57,1.57,1195,0
SYPR.US,60,20240422,170000,1.59,1.61,1.59,1.61,1500,0
SYPR.US,60,20240422,180000,1.59,1.63,1.59,1.63,699,0
SYPR.US,60,20240422,190000,1.605,1.605,1.56,1.58,1229,0
SYPR.US,60,20240422,210000,1.595,1.595,1.595,1.595,1109,0
SYPR.US,60,20240422,220000,1.6,1.605,1.5701,1.59,7574,0
SYPR.US,60,20240423,180000,1.57,1.6,1.5652,1.6,3513,0
SYPR.US,60,20240423,200000,1.58,1.59,1.49,1.59,116540,0
SYPR.US,60,20240423,210000,1.565,1.565,1.54,1.55,1000,0
SYPR.US,60,20240423,220000,1.58,1.6399,1.51,1.53,81796,0
SYPR.US,60,20240424,160000,1.52,1.52,1.48,1.48,1382,0
SYPR.US,60,20240424,170000,1.51,1.51,1.47,1.4927,892,0
SYPR.US,60,20240424,180000,1.47,1.48,1.47,1.48,4986,0
SYPR.US,60,20240424,190000,1.4801,1.485,1.48,1.48,1819,0
SYPR.US,60,20240424,200000,1.48,1.48,1.48,1.48,1673,0
SYPR.US,60,20240424,210000,1.48,1.48,1.48,1.48,965,0
SYPR.US,60,20240424,220000,1.47,1.47,1.38,1.42,16827,0
SYPR.US,60,20240425,160000,1.42,1.4261,1.42,1.4261,16758,0
SYPR.US,60,20240425,170000,1.44,1.5,1.435,1.5,7632,0
SYPR.US,60,20240425,180000,1.5,1.5,1.4826,1.4826,1369,0
SYPR.US,60,20240425,190000,1.5,1.5,1.4101,1.42,24415,0
SYPR.US,60,20240425,200000,1.45,1.45,1.45,1.45,100,0
SYPR.US,60,20240425,220000,1.4239,1.4799,1.42,1.42,2081,0
SYPR.US,60,20240426,160000,1.39,1.39,1.31,1.3107,3711,0
SYPR.US,60,20240426,170000,1.3045,1.3499,1.2705,1.2801,19734,0
SYPR.US,60,20240426,180000,1.32,1.44,1.32,1.395,6790,0
SYPR.US,60,20240426,190000,1.43,1.43,1.43,1.43,100,0
SYPR.US,60,20240426,200000,1.37,1.37,1.37,1.37,108,0
SYPR.US,60,20240426,210000,1.38,1.43,1.36,1.43,2032,0
SYPR.US,60,20240426,220000,1.42,1.42,1.4,1.4,763,0
SYPR.US,60,20240429,170000,1.34,1.43,1.3301,1.3801,18714,0
SYPR.US,60,20240429,180000,1.3703,1.4399,1.3657,1.41,5759,0
SYPR.US,60,20240429,190000,1.4189,1.44,1.4189,1.425,2753,0
SYPR.US,60,20240429,200000,1.41,1.41,1.41,1.41,184,0
SYPR.US,60,20240429,220000,1.43,1.44,1.4,1.41,1507,0
SYPR.US,60,20240430,160000,1.49,1.49,1.4263,1.4489,1400,0
