<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TDWDU.US,60,20251110,160000,10.05,10.06,10.04,10.05,26056,0
TDWDU.US,60,20251110,170000,10.05,10.05,10.05,10.05,500,0
TDWDU.US,60,20251110,180000,10.0576,10.0576,10.055,10.055,5810,0
TDWDU.US,60,20251110,190000,10.06,10.06,10.06,10.06,100000,0
TDWDU.US,60,20251110,200000,10.0599,10.06,10.0599,10.06,5400,0
TDWDU.US,60,20251110,210000,10.055,10.06,10.05,10.06,5100,0
TDWDU.US,60,20251110,220000,10.05,10.05,10.04,10.04,4036,0
TDWDU.US,60,20251111,160000,10.05,10.06,10.05,10.05,22955,0
TDWDU.US,60,20251111,170000,10.06,10.06,10.05,10.055,3194,0
TDWDU.US,60,20251111,180000,10.05,10.05,10.045,10.05,1433,0
TDWDU.US,60,20251111,190000,10.05,10.05,10.05,10.05,100,0
TDWDU.US,60,20251111,200000,10.05,10.0599,10.05,10.0599,6032,0
TDWDU.US,60,20251111,210000,10.06,10.06,10.05,10.05,6687,0
TDWDU.US,60,20251111,220000,10.05,10.06,10.05,10.05,1124,0
TDWDU.US,60,20251112,160000,10.04,10.06,10.04,10.06,23159,0
TDWDU.US,60,20251112,170000,10.05,10.06,10.05,10.06,200,0
TDWDU.US,60,20251112,180000,10.05,10.06,10.05,10.06,14542,0
TDWDU.US,60,20251112,190000,10.055,10.06,10.05,10.05,7551,0
TDWDU.US,60,20251112,200000,10.06,10.06,10.05,10.05,7304,0
TDWDU.US,60,20251112,210000,10.05,10.05,10.04,10.045,12057,0
TDWDU.US,60,20251112,220000,10.045,10.045,10.04,10.04,4929,0
TDWDU.US,60,20251113,170000,10.04,10.04,10.04,10.04,2547,0
TDWDU.US,60,20251113,180000,10.04,10.05,10.04,10.04,102594,0
TDWDU.US,60,20251113,190000,10.035,10.035,10.035,10.035,1700,0
TDWDU.US,60,20251113,200000,10.035,10.04,10.035,10.035,8800,0
TDWDU.US,60,20251113,210000,10.035,10.035,10.03,10.03,10778,0
TDWDU.US,60,20251113,220000,10.035,10.035,10.035,10.035,1700,0
TDWDU.US,60,20251114,180000,10.03,10.035,10.03,10.03,9330,0
TDWDU.US,60,20251114,190000,10.03,10.03,10.03,10.03,2127,0
TDWDU.US,60,20251114,200000,10.03,10.035,10.03,10.03,4351,0
TDWDU.US,60,20251114,210000,10.03,10.045,10.03,10.045,107336,0
TDWDU.US,60,20251114,220000,10.04,10.04,10.04,10.04,838,0
TDWDU.US,60,20251117,170000,10.04,10.04,10.04,10.04,3000,0
TDWDU.US,60,20251117,180000,10.04,10.04,10.04,10.04,53300,0
TDWDU.US,60,20251117,200000,10.04,10.04,10.04,10.04,981,0
TDWDU.US,60,20251117,220000,10.04,10.04,10.0336,10.04,3010,0
TDWDU.US,60,20251118,180000,10.0301,10.04,10.0301,10.04,1500,0
TDWDU.US,60,20251118,200000,10.035,10.04,10.035,10.035,10920,0
TDWDU.US,60,20251118,210000,10.035,10.035,10.035,10.035,13361,0
TDWDU.US,60,20251118,220000,10.035,10.035,10.0331,10.035,11203,0
TDWDU.US,60,20251119,160000,10.03,10.031,10.03,10.03,10000,0
TDWDU.US,60,20251119,170000,10.03,10.035,10.03,10.03,4089,0
TDWDU.US,60,20251119,180000,10.03,10.035,10.03,10.031,160301,0
TDWDU.US,60,20251119,190000,10.03,10.04,10.03,10.035,24381,0
TDWDU.US,60,20251119,200000,10.035,10.035,10.03,10.03,3430,0
TDWDU.US,60,20251119,210000,10.03,10.035,10.03,10.03,4407,0
TDWDU.US,60,20251119,220000,10.03,10.05,10.03,10.04,8680,0
TDWDU.US,60,20251120,170000,10.0421,10.0421,10.0421,10.0421,1000,0
TDWDU.US,60,20251120,180000,10.045,10.045,10.045,10.045,250,0
TDWDU.US,60,20251120,190000,10.0416,10.0416,10.0416,10.0416,150,0
TDWDU.US,60,20251120,200000,10.0466,10.0466,10.045,10.045,2200,0
TDWDU.US,60,20251120,210000,10.045,10.045,10.0404,10.0404,1365,0
TDWDU.US,60,20251120,220000,10.045,10.05,10.045,10.045,1297,0
TDWDU.US,60,20251121,190000,10.04,10.04,10.035,10.035,103762,0
TDWDU.US,60,20251121,220000,10.035,10.035,10.035,10.035,9246,0
TDWDU.US,60,20251124,170000,10.04,10.04,10.04,10.04,2000,0
TDWDU.US,60,20251124,200000,10.05,10.05,10.05,10.05,806,0
TDWDU.US,60,20251125,190000,10.045,10.05,10.045,10.05,2370,0
TDWDU.US,60,20251125,220000,10.0414,10.0414,10.0414,10.0414,300,0
TDWDU.US,60,20251126,160000,10.05,10.05,10.05,10.05,600,0
TDWDU.US,60,20251126,170000,10.045,10.045,10.045,10.045,400,0
TDWDU.US,60,20251126,180000,10.045,10.045,10.045,10.045,200,0
TDWDU.US,60,20251126,190000,10.04,10.04,10.04,10.04,11400,0
TDWDU.US,60,20251126,200000,10.04,10.04,10.04,10.04,1217,0
TDWDU.US,60,20251128,190000,10.1,10.1,10.03,10.03,936,0
TDWDU.US,60,20251201,160000,10.04,10.04,10.04,10.04,22900,0
TDWDU.US,60,20251201,170000,10.04,10.04,10.04,10.04,2500,0
TDWDU.US,60,20251201,200000,10.04,10.04,10.04,10.04,50000,0
TDWDU.US,60,20251201,210000,10.03,10.04,10.03,10.04,20167,0
TDWDU.US,60,20251201,220000,10.035,10.035,10.035,10.035,700,0
TDWDU.US,60,20251202,170000,10.03,10.035,10.03,10.03,50512,0
TDWDU.US,60,20251202,180000,10.03,10.03,10.03,10.03,122,0
TDWDU.US,60,20251202,190000,10.03,10.03,10.025,10.025,4100,0
TDWDU.US,60,20251202,200000,10.03,10.03,10.03,10.03,632,0
TDWDU.US,60,20251202,220000,10.0245,10.025,10.02,10.025,136340,0
TDWDU.US,60,20251203,210000,10.03,10.03,10.03,10.03,722,0
TDWDU.US,60,20251203,220000,10.03,10.03,10.0251,10.0251,622,0
TDWDU.US,60,20251204,160000,10.04,10.04,10.04,10.04,5000,0
TDWDU.US,60,20251204,170000,10.035,10.035,10.03,10.03,400,0
TDWDU.US,60,20251204,180000,10.03,10.03,10.03,10.03,16422,0
TDWDU.US,60,20251204,190000,10.03,10.03,10.03,10.03,118365,0
TDWDU.US,60,20251204,200000,10.03,10.03,10.03,10.03,481,0
TDWDU.US,60,20251204,210000,10.0255,10.0255,10.0255,10.0255,800,0
TDWDU.US,60,20251205,180000,10.04,10.04,10.04,10.04,469,0
TDWDU.US,60,20251205,190000,10.03,10.04,10.03,10.03,14642,0
TDWDU.US,60,20251205,200000,10.03,10.03,10.025,10.025,16464,0
TDWDU.US,60,20251208,170000,10.04,10.04,10.03,10.04,13285,0
TDWDU.US,60,20251208,180000,10.035,10.035,10.035,10.035,237,0
TDWDU.US,60,20251208,220000,10.04,10.04,10.035,10.04,177076,0
TDWDU.US,60,20251209,190000,10.04,10.04,10.04,10.04,700,0
TDWDU.US,60,20251210,180000,10.02,10.02,10.02,10.02,2192,0
TDWDU.US,60,20251210,220000,10.02,10.02,10.02,10.02,194,0
TDWDU.US,60,20251211,190000,10.02,10.02,10.02,10.02,4500,0
TDWDU.US,60,20251211,220000,10.02,10.02,10.01,10.01,8607,0
TDWDU.US,60,20251215,180000,10.02,10.02,10.02,10.02,160414,0
TDWDU.US,60,20251215,210000,10.01,10.01,10.01,10.01,126,0
TDWDU.US,60,20251217,220000,10.04,10.04,10.04,10.04,200,0
TDWDU.US,60,20251218,190000,9.9559,10.03,9.9559,10.0299,1200,0
TDWDU.US,60,20251219,160000,10.04,10.04,10.04,10.04,300,0
TDWDU.US,60,20251222,170000,10.03,10.03,10.03,10.03,100,0
TDWDU.US,60,20251223,160000,10.03,10.0828,10.03,10.04,31950,0
TDWDU.US,60,20251223,220000,10.04,10.06,10.04,10.06,74940,0
