<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TH.US,60,20240411,160000,10.83,10.95,10.83,10.88,5949,0
TH.US,60,20240411,170000,10.84,10.93,10.83,10.84,13682,0
TH.US,60,20240411,180000,10.84,10.9,10.83,10.9,13516,0
TH.US,60,20240411,190000,10.895,10.92,10.86,10.87,11720,0
TH.US,60,20240411,200000,10.87,10.91,10.855,10.87,23110,0
TH.US,60,20240411,210000,10.875,10.89,10.85,10.85,25267,0
TH.US,60,20240411,220000,10.85,10.85,10.79,10.82,118486,0
TH.US,60,20240412,160000,10.72,10.84,10.72,10.827,37522,0
TH.US,60,20240412,170000,10.79,10.81,10.76,10.77,17606,0
TH.US,60,20240412,180000,10.76,10.765,10.73,10.735,27289,0
TH.US,60,20240412,190000,10.73,10.73,10.698,10.71,49033,0
TH.US,60,20240412,200000,10.71,10.74,10.645,10.72,57761,0
TH.US,60,20240412,210000,10.715,10.75,10.7,10.71,17036,0
TH.US,60,20240412,220000,10.7,10.73,10.68,10.715,83226,0
TH.US,60,20240415,160000,10.71,10.745,10.67,10.67,20752,0
TH.US,60,20240415,170000,10.7017,10.71,10.66,10.688,8452,0
TH.US,60,20240415,180000,10.68,10.695,10.6569,10.68,10258,0
TH.US,60,20240415,190000,10.68,10.688,10.63,10.63,13225,0
TH.US,60,20240415,200000,10.63,10.66,10.6,10.66,25888,0
TH.US,60,20240415,210000,10.654,10.68,10.62,10.625,22727,0
TH.US,60,20240415,220000,10.61,10.64,10.6,10.63,56934,0
TH.US,60,20240416,160000,10.62,10.64,10.48,10.615,181379,0
TH.US,60,20240416,170000,10.6145,10.65,10.57,10.585,17278,0
TH.US,60,20240416,180000,10.595,10.7,10.58,10.64,49946,0
TH.US,60,20240416,190000,10.635,10.665,10.59,10.6,34209,0
TH.US,60,20240416,200000,10.59,10.64,10.58,10.605,28554,0
TH.US,60,20240416,210000,10.605,10.62,10.59,10.6,35501,0
TH.US,60,20240416,220000,10.595,10.605,10.52,10.535,94774,0
TH.US,60,20240417,160000,10.54,10.65,10.54,10.65,17795,0
TH.US,60,20240417,170000,10.64,10.65,10.6,10.61,19385,0
TH.US,60,20240417,180000,10.62,10.625,10.565,10.595,25522,0
TH.US,60,20240417,190000,10.595,10.605,10.54,10.54,43600,0
TH.US,60,20240417,200000,10.545,10.6084,10.53,10.575,58100,0
TH.US,60,20240417,210000,10.575,10.82,10.57,10.73,173069,0
TH.US,60,20240417,220000,10.72,10.72,10.62,10.65,120005,0
TH.US,60,20240418,160000,10.71,10.71,10.66,10.7,6330,0
TH.US,60,20240418,170000,10.715,10.805,10.71,10.74,18437,0
TH.US,60,20240418,180000,10.75,10.78,10.71,10.72,39368,0
TH.US,60,20240418,190000,10.72,10.78,10.71,10.77,21167,0
TH.US,60,20240418,200000,10.78,10.92,10.78,10.9,70110,0
TH.US,60,20240418,210000,10.89,10.95,10.85,10.95,46420,0
TH.US,60,20240418,220000,10.95,10.98,10.8418,10.88,156476,0
TH.US,60,20240419,160000,10.77,11.068,10.77,11.0668,38894,0
TH.US,60,20240419,170000,11.03,11.08,11,11.0588,43562,0
TH.US,60,20240419,180000,11.05,11.06,11.01,11.06,39487,0
TH.US,60,20240419,190000,11.06,11.06,10.93,10.97,36592,0
TH.US,60,20240419,200000,10.955,10.98,10.9,10.94,24526,0
TH.US,60,20240419,210000,10.95,10.96,10.88,10.88,26947,0
TH.US,60,20240419,220000,10.88,10.93,10.84,10.9,77193,0
TH.US,60,20240422,160000,10.89,10.9,10.77,10.82,8105,0
TH.US,60,20240422,170000,10.82,10.85,10.78,10.84,31641,0
TH.US,60,20240422,180000,10.84,10.84,10.76,10.78,41719,0
TH.US,60,20240422,190000,10.775,10.93,10.71,10.87,85983,0
TH.US,60,20240422,200000,10.87,11.03,10.85,10.965,87960,0
TH.US,60,20240422,210000,10.965,11.04,10.965,11.03,76944,0
TH.US,60,20240422,220000,11.03,11.035,10.901,11,170466,0
TH.US,60,20240423,160000,11,11.08,10.88,11.03,24028,0
TH.US,60,20240423,170000,11.01,11.05,10.8,10.82,67651,0
TH.US,60,20240423,180000,10.82,10.91,10.79,10.83,29338,0
TH.US,60,20240423,190000,10.82,10.96,10.81,10.91,54906,0
TH.US,60,20240423,200000,10.91,10.945,10.9,10.91,32619,0
TH.US,60,20240423,210000,10.92,10.93,10.84,10.85,40444,0
TH.US,60,20240423,220000,10.85,10.9,10.8,10.82,115067,0
TH.US,60,20240424,160000,10.9,11.01,10.89,10.99,37165,0
TH.US,60,20240424,170000,10.99,11.03,10.98,11.02,59447,0
TH.US,60,20240424,180000,11.02,11.025,10.975,10.99,86489,0
TH.US,60,20240424,190000,10.995,11.01,10.96,10.965,71290,0
TH.US,60,20240424,200000,10.96,11.02,10.955,11,40065,0
TH.US,60,20240424,210000,10.995,11,10.97,10.995,36244,0
TH.US,60,20240424,220000,10.99,11.03,10.985,11.01,97452,0
TH.US,60,20240425,160000,10.98,10.99,10.94,10.99,9995,0
TH.US,60,20240425,170000,11,11.06,10.99,11.02,20806,0
TH.US,60,20240425,180000,11.03,11.05,11.01,11.035,26506,0
TH.US,60,20240425,190000,11.03,11.06,11.02,11.02,56805,0
TH.US,60,20240425,200000,11.02,11.05,11,11.05,41136,0
TH.US,60,20240425,210000,11.05,11.115,11.045,11.09,29716,0
TH.US,60,20240425,220000,11.09,11.15,11.06,11.08,126563,0
TH.US,60,20240426,160000,11.15,11.18,11.09,11.178,59580,0
TH.US,60,20240426,170000,11.176,11.18,11.11,11.1101,156961,0
TH.US,60,20240426,180000,11.11,11.13,11.05,11.117,28209,0
TH.US,60,20240426,190000,11.1184,11.14,11.11,11.13,12701,0
TH.US,60,20240426,200000,11.1358,11.16,11.13,11.15,59880,0
TH.US,60,20240426,210000,11.155,11.17,11.14,11.15,53889,0
TH.US,60,20240426,220000,11.14,11.17,11.1,11.12,96356,0
TH.US,60,20240429,160000,11.06,11.128,11.055,11.1,9599,0
TH.US,60,20240429,170000,11.1,11.18,11.1,11.15,87359,0
TH.US,60,20240429,180000,11.15,11.21,11.13,11.21,57498,0
TH.US,60,20240429,190000,11.22,11.35,11.21,11.29,65753,0
TH.US,60,20240429,200000,11.3,11.37,11.28,11.355,37492,0
TH.US,60,20240429,210000,11.36,11.37,11.31,11.36,38690,0
TH.US,60,20240429,220000,11.35,11.36,11.29,11.31,133999,0
TH.US,60,20240430,160000,11.29,11.33,11.16,11.17,16462,0
TH.US,60,20240430,170000,11.17,11.22,11.13,11.19,27977,0
TH.US,60,20240430,180000,11.19,11.205,11.15,11.17,13491,0
TH.US,60,20240430,190000,11.16,11.175,11.13,11.135,15832,0
TH.US,60,20240430,200000,11.135,11.148,11.13,11.14,11090,0
TH.US,60,20240430,210000,11.135,11.21,11.118,11.15,57236,0
TH.US,60,20240430,220000,11.15,11.181,11.11,11.125,134841,0
TH.US,60,20240501,160000,11.1,11.24,11.1,11.15,20111,0
TH.US,60,20240501,170000,11.15,11.16,11.099,11.145,76488,0
TH.US,60,20240501,180000,11.17,11.22,11.14,11.2,10732,0
TH.US,60,20240501,190000,11.2,11.2633,11.185,11.23,7369,0
TH.US,60,20240501,200000,11.23,11.24,11.13,11.13,9514,0
TH.US,60,20240501,210000,11.16,11.22,11.14,11.2,16310,0
TH.US,60,20240501,220000,11.21,11.23,11.09,11.09,109681,0
TH.US,60,20240502,160000,11.14,11.16,11.095,11.125,4694,0
TH.US,60,20240502,170000,11.115,11.14,11.06,11.08,11167,0
TH.US,60,20240502,180000,11.06,11.15,11.06,11.14,16617,0
TH.US,60,20240502,190000,11.13,11.13,11.08,11.12,4752,0
TH.US,60,20240502,200000,11.1102,11.17,11.1102,11.165,33953,0
TH.US,60,20240502,210000,11.16,11.25,11.16,11.21,14198,0
TH.US,60,20240502,220000,11.205,11.26,11.19,11.23,132095,0
TH.US,60,20240503,160000,11.35,11.35,11.23,11.25,32133,0
TH.US,60,20240503,170000,11.225,11.23,11.15,11.165,16853,0
TH.US,60,20240503,180000,11.165,11.23,11.15,11.23,10847,0
TH.US,60,20240503,190000,11.225,11.225,11.16,11.225,35816,0
TH.US,60,20240503,200000,11.225,11.24,11.19,11.21,14064,0
TH.US,60,20240503,210000,11.225,11.225,11.2,11.2,13383,0
TH.US,60,20240503,220000,11.205,11.25,11.19,11.2,50508,0
TH.US,60,20240506,160000,11.19,11.21,11.14,11.19,9876,0
TH.US,60,20240506,170000,11.19,11.21,11.18,11.19,9472,0
TH.US,60,20240506,180000,11.2,11.24,11.18,11.21,22373,0
TH.US,60,20240506,190000,11.2,11.21,11.15,11.152,14830,0
TH.US,60,20240506,200000,11.15,11.2,11.13,11.19,17594,0
TH.US,60,20240506,210000,11.185,11.185,11.14,11.14,11090,0
TH.US,60,20240506,220000,11.15,11.15,11.11,11.125,93063,0
TH.US,60,20240507,160000,11.12,11.18,11.07,11.11,62042,0
TH.US,60,20240507,170000,11.11,11.1795,11.09,11.09,16973,0
TH.US,60,20240507,180000,11.096,11.14,11.096,11.11,14626,0
TH.US,60,20240507,190000,11.12,11.15,11.115,11.115,14767,0
TH.US,60,20240507,200000,11.12,11.15,11.11,11.12,26368,0
TH.US,60,20240507,210000,11.12,11.13,11.07,11.0801,75184,0
TH.US,60,20240507,220000,11.09,11.11,11.04,11.11,48158,0
TH.US,60,20240508,160000,11.39,11.72,11.23,11.59,95022,0
TH.US,60,20240508,170000,11.6,11.76,11.46,11.52,92862,0
TH.US,60,20240508,180000,11.5,11.795,11.46,11.67,112835,0
TH.US,60,20240508,190000,11.66,11.66,11.54,11.545,53562,0
TH.US,60,20240508,200000,11.545,11.59,11.45,11.49,84799,0
TH.US,60,20240508,210000,11.4902,11.505,11.4,11.49,39807,0
TH.US,60,20240508,220000,11.49,11.52,11.42,11.52,139372,0
TH.US,60,20240509,160000,11.72,11.72,11.53,11.626,20001,0
TH.US,60,20240509,170000,11.63,11.6881,11.62,11.65,14677,0
TH.US,60,20240509,180000,11.648,11.72,11.645,11.72,8099,0
TH.US,60,20240509,190000,11.71,11.72,11.69,11.705,9554,0
TH.US,60,20240509,200000,11.705,11.72,11.57,11.575,22253,0
TH.US,60,20240509,210000,11.58,11.65,11.57,11.64,21189,0
