<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TLF.US,60,20240412,220000,4.4751,4.67,4.46,4.67,6325,0
TLF.US,60,20240415,170000,4.64,4.64,4.61,4.61,700,0
TLF.US,60,20240415,210000,4.56,4.6499,4.56,4.56,1653,0
TLF.US,60,20240415,220000,4.56,4.56,4.56,4.56,500,0
TLF.US,60,20240416,190000,4.55,4.55,4.55,4.55,700,0
TLF.US,60,20240416,210000,4.55,4.55,4.55,4.55,500,0
TLF.US,60,20240416,220000,4.56,4.56,4.56,4.56,1700,0
TLF.US,60,20240417,170000,4.6,4.8,4.6,4.66,4567,0
TLF.US,60,20240417,180000,4.73,4.73,4.73,4.73,500,0
TLF.US,60,20240417,190000,4.73,4.73,4.73,4.73,100,0
TLF.US,60,20240417,200000,4.72,4.73,4.72,4.73,200,0
TLF.US,60,20240417,210000,4.71,4.71,4.71,4.71,100,0
TLF.US,60,20240417,220000,4.645,4.645,4.645,4.645,195,0
TLF.US,60,20240418,180000,4.73,4.8,4.73,4.8,3500,0
TLF.US,60,20240418,190000,4.67,4.67,4.66,4.66,200,0
TLF.US,60,20240418,200000,4.67,4.6842,4.65,4.65,5506,0
TLF.US,60,20240418,210000,4.65,4.65,4.65,4.65,842,0
TLF.US,60,20240418,220000,4.61,4.61,4.61,4.61,205,0
TLF.US,60,20240419,170000,4.6001,4.8,4.6001,4.8,2787,0
TLF.US,60,20240419,180000,4.725,4.725,4.7237,4.7237,200,0
TLF.US,60,20240419,190000,4.72,4.72,4.7,4.7,901,0
TLF.US,60,20240419,200000,4.63,4.63,4.62,4.62,1300,0
TLF.US,60,20240419,210000,4.62,4.6641,4.6,4.6641,3484,0
TLF.US,60,20240419,220000,4.61,4.675,4.61,4.65,1500,0
TLF.US,60,20240422,160000,4.57,4.5844,4.57,4.5844,576,0
TLF.US,60,20240422,180000,4.74,4.74,4.74,4.74,1000,0
TLF.US,60,20240422,190000,4.6439,4.73,4.614,4.73,1355,0
TLF.US,60,20240422,220000,4.71,4.71,4.71,4.71,1000,0
TLF.US,60,20240423,160000,4.7499,4.75,4.74,4.7499,2200,0
TLF.US,60,20240423,170000,4.5888,4.6,4.5888,4.6,615,0
TLF.US,60,20240423,180000,4.74,4.74,4.74,4.74,1000,0
TLF.US,60,20240423,200000,4.6677,4.6677,4.6677,4.6677,144,0
TLF.US,60,20240423,210000,4.7,4.7,4.7,4.7,100,0
TLF.US,60,20240424,170000,4.5701,4.5701,4.5701,4.5701,100,0
TLF.US,60,20240424,180000,4.67,4.67,4.67,4.67,200,0
TLF.US,60,20240424,190000,4.73,4.8203,4.73,4.82,3563,0
TLF.US,60,20240424,200000,4.64,4.64,4.64,4.64,250,0
