<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TMUSL.US,60,20250806,160000,25.1,25.1,25.1,25.1,100,0
TMUSL.US,60,20250806,170000,25.1,26,24.74,24.9001,13628,0
TMUSL.US,60,20250806,180000,24.9,24.9,24.8,24.85,5594,0
TMUSL.US,60,20250806,190000,24.83,24.8501,24.83,24.85,2597,0
TMUSL.US,60,20250806,200000,24.88,24.97,24.88,24.9658,6768,0
TMUSL.US,60,20250806,210000,24.975,24.98,24.95,24.98,2400,0
TMUSL.US,60,20250806,220000,25,25.1,25,25.1,5022,0
TMUSL.US,60,20250807,160000,25.05,25.24,25.0434,25.1501,10544,0
TMUSL.US,60,20250807,170000,25.1501,26.4999,25.05,25.08,221329,0
TMUSL.US,60,20250807,180000,25.06,25.17,25.06,25.121,159057,0
TMUSL.US,60,20250807,190000,25.182,25.2,25.125,25.1501,5855,0
TMUSL.US,60,20250807,200000,25.12,25.1692,25.09,25.115,36460,0
TMUSL.US,60,20250807,210000,25.17,25.17,25.1,25.12,10569,0
TMUSL.US,60,20250807,220000,25.12,25.1575,25.1,25.12,291020,0
TMUSL.US,60,20250808,160000,25.12,25.155,25.12,25.15,8500,0
TMUSL.US,60,20250808,170000,25.14,25.14,25.12,25.12,11588,0
TMUSL.US,60,20250808,180000,25.12,25.13,25.06,25.083,7434,0
TMUSL.US,60,20250808,190000,25.08,25.12,25.07,25.07,12285,0
TMUSL.US,60,20250808,200000,25.12,25.12,25.07,25.12,10786,0
TMUSL.US,60,20250808,210000,25.11,25.12,25.08,25.08,625,0
TMUSL.US,60,20250808,220000,25.1,25.53,25.08,25.52,29104,0
TMUSL.US,60,20250811,160000,25.25,25.495,25.25,25.335,7253,0
TMUSL.US,60,20250811,170000,25.3,25.33,25.25,25.33,6150,0
TMUSL.US,60,20250811,180000,25.25,25.4,25.1901,25.39,24516,0
TMUSL.US,60,20250811,190000,25.29,25.39,25.29,25.33,9651,0
TMUSL.US,60,20250811,200000,25.3625,25.3625,25.25,25.335,13500,0
TMUSL.US,60,20250811,210000,25.3,25.345,25.26,25.28,5761,0
TMUSL.US,60,20250811,220000,25.3,25.32,25.25,25.26,10201,0
TMUSL.US,60,20250812,160000,25.24,25.375,25.24,25.34,11419,0
TMUSL.US,60,20250812,170000,25.265,25.3,25.25,25.25,1700,0
TMUSL.US,60,20250812,180000,25.29,25.34,25.2601,25.33,12988,0
TMUSL.US,60,20250812,190000,25.315,25.33,25.29,25.3,10284,0
TMUSL.US,60,20250812,200000,25.33,25.34,25.29,25.33,17233,0
TMUSL.US,60,20250812,210000,25.33,25.41,25.3,25.335,12830,0
TMUSL.US,60,20250812,220000,25.335,25.34,25.28,25.34,9882,0
TMUSL.US,60,20250813,160000,25.31,25.5,25.31,25.34,7621,0
TMUSL.US,60,20250813,170000,25.34,25.355,25.31,25.35,13697,0
TMUSL.US,60,20250813,180000,25.35,25.355,25.31,25.35,14207,0
TMUSL.US,60,20250813,190000,25.35,25.35,25.31,25.35,7515,0
TMUSL.US,60,20250813,200000,25.33,25.35,25.325,25.325,9919,0
