<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TWLVU.US,60,20251212,170000,10,10,9.99,10,2189474,0
TWLVU.US,60,20251212,180000,10.15,10.15,9.98,9.98,1180738,0
TWLVU.US,60,20251212,190000,9.98,9.99,9.98,9.985,467770,0
TWLVU.US,60,20251212,200000,9.98,9.99,9.98,9.985,7487,0
TWLVU.US,60,20251212,210000,9.985,9.99,9.98,9.98,340032,0
TWLVU.US,60,20251212,220000,9.98,10,9.975,10,2074943,0
TWLVU.US,60,20251215,160000,10,10,9.99,9.99,25456,0
TWLVU.US,60,20251215,170000,9.99,9.99,9.985,9.985,27565,0
TWLVU.US,60,20251215,180000,9.983,9.983,9.983,9.983,500,0
TWLVU.US,60,20251215,200000,9.985,9.99,9.98,9.99,1300,0
TWLVU.US,60,20251215,210000,9.98,9.98,9.98,9.98,872,0
TWLVU.US,60,20251215,220000,9.98,9.985,9.98,9.98,20228,0
TWLVU.US,60,20251216,160000,9.99,9.99,9.985,9.985,23266,0
TWLVU.US,60,20251216,170000,9.983,9.983,9.98,9.98,3152,0
TWLVU.US,60,20251216,180000,9.98,9.98,9.98,9.98,41782,0
TWLVU.US,60,20251216,220000,9.975,9.975,9.97,9.97,4599,0
TWLVU.US,60,20251217,160000,9.99,9.99,9.985,9.99,22857,0
TWLVU.US,60,20251217,200000,9.975,9.975,9.97,9.975,11200,0
TWLVU.US,60,20251218,160000,9.9752,9.9752,9.9752,9.9752,1000,0
TWLVU.US,60,20251218,170000,9.97,9.97,9.97,9.97,1000,0
TWLVU.US,60,20251218,180000,9.9715,9.9715,9.9715,9.9715,3500,0
TWLVU.US,60,20251218,190000,9.975,9.975,9.975,9.975,100,0
TWLVU.US,60,20251218,200000,9.97,9.97,9.97,9.97,428,0
TWLVU.US,60,20251218,220000,9.97,9.975,9.97,9.97,15700,0
TWLVU.US,60,20251219,160000,9.98,9.98,9.98,9.98,150000,0
TWLVU.US,60,20251219,180000,9.97,9.97,9.97,9.97,107538,0
TWLVU.US,60,20251219,220000,9.96,9.96,9.96,9.96,42686,0
TWLVU.US,60,20251222,160000,9.97,9.9974,9.97,9.9974,1100,0
TWLVU.US,60,20251223,210000,9.97,9.97,9.97,9.97,2749,0
