<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
USAU.US,60,20240411,160000,4.52,4.769,4.52,4.7109,15169,0
USAU.US,60,20240411,170000,4.7001,4.754,4.6,4.63,8072,0
USAU.US,60,20240411,180000,4.65,4.74,4.5204,4.57,13299,0
USAU.US,60,20240411,190000,4.6292,4.68,4.51,4.52,7694,0
USAU.US,60,20240411,200000,4.5295,4.57,4.51,4.57,3513,0
USAU.US,60,20240411,210000,4.65,4.66,4.59,4.6093,1811,0
USAU.US,60,20240411,220000,4.58,4.65,4.53,4.64,8619,0
USAU.US,60,20240412,160000,4.75,5,4.69,4.9,47667,0
USAU.US,60,20240412,170000,4.925,4.99,4.71,4.89,25254,0
USAU.US,60,20240412,180000,4.89,4.9298,4.67,4.7,15305,0
USAU.US,60,20240412,190000,4.7,4.71,4.45,4.4508,15924,0
USAU.US,60,20240412,200000,4.45,4.4999,4.31,4.466,31889,0
USAU.US,60,20240412,210000,4.35,4.42,4.3201,4.42,12756,0
USAU.US,60,20240412,220000,4.378,4.46,4.26,4.45,15032,0
USAU.US,60,20240415,160000,4.11,4.274,4.01,4.15,23993,0
USAU.US,60,20240415,170000,4.18,4.19,3.88,3.98,47722,0
USAU.US,60,20240415,180000,3.9634,3.98,3.88,3.9592,20753,0
USAU.US,60,20240415,190000,3.952,3.958,3.93,3.93,5327,0
USAU.US,60,20240415,200000,3.91,3.93,3.82,3.87,13382,0
USAU.US,60,20240415,210000,3.87,3.898,3.82,3.898,15200,0
USAU.US,60,20240415,220000,3.88,3.98,3.8501,3.9399,22834,0
USAU.US,60,20240416,160000,3.95,3.95,3.8,3.8,25568,0
USAU.US,60,20240416,170000,3.8444,3.915,3.8,3.8401,9415,0
USAU.US,60,20240416,180000,3.85,3.91,3.8401,3.9082,3391,0
USAU.US,60,20240416,190000,3.875,3.92,3.875,3.9099,3512,0
USAU.US,60,20240416,200000,3.85,3.89,3.8401,3.89,326,0
USAU.US,60,20240416,210000,3.89,3.9099,3.89,3.899,3621,0
USAU.US,60,20240416,220000,3.9,3.9098,3.84,3.9,8103,0
USAU.US,60,20240417,160000,3.92,3.988,3.92,3.988,2175,0
USAU.US,60,20240417,170000,4.01,4.01,3.95,3.97,4629,0
USAU.US,60,20240417,180000,3.98,4.035,3.98,4.02,3887,0
USAU.US,60,20240417,190000,3.95,3.95,3.8124,3.92,8927,0
USAU.US,60,20240417,200000,3.8664,4.0395,3.8664,4.0395,2135,0
USAU.US,60,20240417,210000,4.01,4.085,3.95,4.085,12667,0
USAU.US,60,20240417,220000,3.95,4.09,3.94,3.94,9705,0
USAU.US,60,20240418,160000,4.08,4.08,3.97,4.0284,3903,0
USAU.US,60,20240418,170000,3.9998,4.03,3.94,3.94,5582,0
USAU.US,60,20240418,180000,3.96,4.07,3.92,4.07,6107,0
USAU.US,60,20240418,190000,3.97,4.105,3.97,4.09,6813,0
USAU.US,60,20240418,200000,4.1201,4.17,4.01,4.022,7791,0
USAU.US,60,20240418,210000,4.0797,4.08,4.02,4.04,2427,0
USAU.US,60,20240418,220000,4.02,4.05,4.02,4.02,19381,0
USAU.US,60,20240419,160000,4.1,4.1876,4.04,4.1101,4089,0
USAU.US,60,20240419,170000,4.15,4.25,4.1,4.225,23626,0
USAU.US,60,20240419,180000,4.23,4.34,4.2,4.29,45386,0
USAU.US,60,20240419,190000,4.28,4.3,4.2665,4.2937,13124,0
USAU.US,60,20240419,200000,4.3094,4.417,4.3094,4.41,14274,0
USAU.US,60,20240419,210000,4.404,4.41,4.2541,4.31,30589,0
USAU.US,60,20240419,220000,4.29,4.35,4.25,4.35,22631,0
USAU.US,60,20240422,160000,4.28,4.29,4.1,4.14,37781,0
USAU.US,60,20240422,170000,4.15,4.38,4.14,4.38,21481,0
USAU.US,60,20240422,180000,4.32,4.32,4.17,4.17,8450,0
USAU.US,60,20240422,190000,4.12,4.18,4.0799,4.13,23740,0
