<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VALN.US,60,20240411,160000,8.5,8.83,8.5,8.83,403,0
VALN.US,60,20240411,170000,8.82,8.82,8.585,8.585,230,0
VALN.US,60,20240411,180000,8.5101,8.5101,8.5101,8.5101,200,0
VALN.US,60,20240411,200000,8.54,8.55,8.54,8.55,1190,0
VALN.US,60,20240411,220000,8.52,8.8899,8.52,8.8899,2145,0
VALN.US,60,20240412,160000,8.8,8.8,8.6154,8.66,1614,0
VALN.US,60,20240412,170000,8.6,8.66,8.52,8.55,1737,0
VALN.US,60,20240412,190000,8.54,8.54,8.54,8.54,100,0
VALN.US,60,20240412,200000,8.54,8.645,8.51,8.645,519,0
VALN.US,60,20240412,210000,8.54,8.54,8.54,8.54,100,0
VALN.US,60,20240412,220000,8.51,8.51,8.51,8.51,200,0
VALN.US,60,20240415,160000,8.68,8.68,8.45,8.45,535,0
VALN.US,60,20240415,170000,8.77,8.77,8.77,8.77,150,0
VALN.US,60,20240415,180000,8.51,8.51,8.51,8.51,127,0
VALN.US,60,20240415,200000,8.704,8.704,8.704,8.704,343,0
VALN.US,60,20240415,210000,8.5094,8.68,8.5,8.5,1346,0
VALN.US,60,20240416,160000,8.15,8.15,8.065,8.065,5712,0
VALN.US,60,20240416,170000,8.03,8.12,8.01,8.08,8079,0
VALN.US,60,20240416,180000,8.02,8.03,8.01,8.01,800,0
VALN.US,60,20240416,200000,7.9999,7.9999,7.9999,7.9999,1200,0
VALN.US,60,20240417,180000,7.794,7.794,7.5001,7.5001,200,0
VALN.US,60,20240417,190000,7.755,7.755,7.755,7.755,200,0
VALN.US,60,20240417,210000,7.75,7.75,7.75,7.75,100,0
VALN.US,60,20240418,160000,7.76,7.7702,7.76,7.7702,364,0
VALN.US,60,20240418,170000,7.9,7.9,7.9,7.9,387,0
VALN.US,60,20240418,190000,8.22,8.22,8.22,8.22,250,0
VALN.US,60,20240418,220000,7.8364,8.1299,7.8364,8.1299,443,0
VALN.US,60,20240419,160000,7.82,7.82,7.81,7.81,820,0
VALN.US,60,20240419,170000,7.95,7.96,7.95,7.96,5200,0
VALN.US,60,20240419,180000,7.925,7.925,7.925,7.925,125,0
VALN.US,60,20240419,220000,7.5833,7.5833,7.5833,7.5833,126,0
VALN.US,60,20240422,160000,7.76,7.76,7.76,7.76,200,0
VALN.US,60,20240422,220000,7.92,7.92,7.92,7.92,213,0
VALN.US,60,20240423,170000,7.7427,7.7427,7.7427,7.7427,118,0
VALN.US,60,20240424,160000,7.81,7.81,7.81,7.81,257,0
VALN.US,60,20240424,170000,7.5499,7.5499,7.5499,7.5499,244,0
VALN.US,60,20240424,180000,7.75,7.7506,7.75,7.7506,535,0
VALN.US,60,20240424,210000,7.75,7.75,7.75,7.75,100,0
VALN.US,60,20240425,160000,7.52,7.665,7.28,7.59,17288,0
VALN.US,60,20240425,170000,7.59,7.65,7.53,7.53,6392,0
VALN.US,60,20240425,180000,7.5,7.54,7.5,7.54,11843,0
VALN.US,60,20240425,190000,7.885,7.885,7.885,7.885,100,0
VALN.US,60,20240425,200000,7.99,8,7.61,7.61,433,0
VALN.US,60,20240425,210000,7.63,7.63,7.552,7.552,2018,0
VALN.US,60,20240425,220000,7.55,7.55,7.55,7.55,400,0
VALN.US,60,20240426,160000,7.47,7.47,7.47,7.47,303,0
VALN.US,60,20240426,170000,7.49,7.5,7.49,7.49,7296,0
VALN.US,60,20240426,180000,7.49,7.55,7.49,7.49,6298,0
VALN.US,60,20240426,190000,7.515,7.54,7.515,7.5399,1465,0
VALN.US,60,20240426,210000,7.63,7.65,7.62,7.64,7047,0
VALN.US,60,20240426,220000,7.64,7.795,7.6009,7.6398,12204,0
VALN.US,60,20240429,160000,7.46,7.56,7.3625,7.48,22626,0
VALN.US,60,20240429,170000,7.49,7.55,7.4628,7.49,7751,0
VALN.US,60,20240429,180000,7.52,7.52,7.48,7.49,5800,0
VALN.US,60,20240429,190000,7.5,7.685,7.5,7.685,1178,0
VALN.US,60,20240429,210000,7.5713,7.5713,7.52,7.52,628,0
VALN.US,60,20240429,220000,7.56,7.76,7.52,7.69,1502,0
VALN.US,60,20240430,160000,7.52,7.52,7.36,7.436,9559,0
VALN.US,60,20240430,170000,7.3947,7.407,7.37,7.407,8650,0
VALN.US,60,20240430,180000,7.32,8.05,7.24,7.64,696,0
VALN.US,60,20240430,190000,7.49,7.49,7.49,7.49,3871,0
VALN.US,60,20240430,210000,7.515,7.515,7.515,7.515,100,0
VALN.US,60,20240430,220000,7.4527,7.495,7.4,7.45,5514,0
VALN.US,60,20240501,160000,7.77,7.77,7.77,7.77,4660,0
VALN.US,60,20240501,170000,7.65,7.65,7.65,7.65,452,0
VALN.US,60,20240501,180000,7.48,7.48,7.48,7.48,200,0
VALN.US,60,20240501,190000,7.64,7.64,7.64,7.64,100,0
VALN.US,60,20240501,200000,7.5,7.5,7.49,7.49,1578,0
VALN.US,60,20240501,210000,7.49,7.49,7.49,7.49,825,0
VALN.US,60,20240501,220000,7.55,7.64,7.535,7.57,10357,0
VALN.US,60,20240502,160000,7.37,7.44,7.3,7.364,11542,0
VALN.US,60,20240502,170000,7.37,7.373,7.33,7.33,6613,0
VALN.US,60,20240502,180000,7.3,7.55,7.3,7.55,8148,0
VALN.US,60,20240502,190000,7.46,7.46,7.4009,7.426,8235,0
VALN.US,60,20240502,200000,7.4009,7.426,7.4009,7.426,500,0
VALN.US,60,20240503,160000,7.5,7.5,7.5,7.5,105,0
VALN.US,60,20240503,170000,7.48,7.48,7.48,7.48,100,0
VALN.US,60,20240503,180000,7.52,7.52,7.52,7.52,100,0
VALN.US,60,20240503,220000,7.55,7.71,7.55,7.71,389,0
VALN.US,60,20240506,160000,7.54,7.56,7.54,7.5599,555,0
VALN.US,60,20240506,170000,7.49,7.5224,7.45,7.45,1559,0
VALN.US,60,20240506,180000,7.44,7.44,7.41,7.41,231,0
VALN.US,60,20240506,220000,7.5014,7.5014,7.5,7.5,1600,0
VALN.US,60,20240507,160000,7.31,7.35,7.24,7.28,8518,0
VALN.US,60,20240507,170000,7.2898,7.41,7.2898,7.36,4113,0
VALN.US,60,20240507,180000,7.4,7.5,7.37,7.5,925,0
VALN.US,60,20240507,190000,7.5,7.5,7.37,7.5,1000,0
VALN.US,60,20240507,200000,7.5,7.5,7.5,7.5,500,0
VALN.US,60,20240507,210000,7.5,7.5,7.5,7.5,500,0
VALN.US,60,20240507,220000,7.5,7.5,7.5,7.5,636,0
VALN.US,60,20240508,160000,7.26,7.26,7.12,7.14,6355,0
VALN.US,60,20240508,170000,7.13,7.17,7.08,7.14,5835,0
VALN.US,60,20240508,190000,7.29,7.3,7.281,7.2814,1000,0
VALN.US,60,20240508,210000,7.3,7.3,7.29,7.29,200,0
VALN.US,60,20240508,220000,7.3,7.37,7.24,7.24,2801,0
VALN.US,60,20240509,160000,7.08,7.08,7.035,7.035,366,0
VALN.US,60,20240509,220000,7.1299,7.2176,7.1299,7.2176,500,0
VALN.US,60,20240510,160000,7.19,7.21,7.19,7.2043,398,0
VALN.US,60,20240510,170000,7.1494,7.22,7.1494,7.22,377,0
VALN.US,60,20240510,180000,7.2638,7.29,7.2638,7.29,514,0
VALN.US,60,20240510,210000,7.2804,7.3,7.2804,7.3,1294,0
VALN.US,60,20240510,220000,7.4199,7.4199,7.4198,7.4198,450,0
VALN.US,60,20240513,160000,7.45,7.45,7.45,7.45,144,0
VALN.US,60,20240513,200000,7.3988,7.3988,7.3988,7.3988,250,0
VALN.US,60,20240513,210000,7.4101,7.4101,7.4101,7.4101,125,0
VALN.US,60,20240513,220000,7.54,7.76,7.54,7.61,1384,0
VALN.US,60,20240514,160000,8.0069,8.12,7.945,8.12,1505,0
VALN.US,60,20240514,170000,7.92,7.98,7.92,7.98,300,0
VALN.US,60,20240514,180000,7.894,8.3808,7.88,8.1,1375,0
VALN.US,60,20240514,190000,8.3164,8.3164,8.3164,8.3164,160,0
VALN.US,60,20240514,200000,8.0665,8.0665,8.0665,8.0665,500,0
VALN.US,60,20240514,210000,8.2454,8.2454,7.895,8.0501,5808,0
VALN.US,60,20240514,220000,8.0351,8.135,8.01,8.01,2062,0
VALN.US,60,20240515,160000,8.85,8.88,8.6899,8.6899,2469,0
VALN.US,60,20240515,170000,8.64,8.79,8.53,8.6465,30475,0
VALN.US,60,20240515,190000,8.28,8.71,8.1,8.71,1586,0
VALN.US,60,20240515,210000,8.83,8.8398,8.715,8.715,1312,0
VALN.US,60,20240515,220000,8.715,8.85,8.715,8.85,4031,0
VALN.US,60,20240516,160000,8.9,8.9,8.87,8.87,986,0
VALN.US,60,20240516,170000,8.8998,8.9,8.8998,8.9,509,0
VALN.US,60,20240516,180000,9,9,9,9,199,0
VALN.US,60,20240516,190000,9,9,9,9,166,0
VALN.US,60,20240516,200000,8.8449,8.8449,8.8449,8.8449,1700,0
VALN.US,60,20240516,210000,8.75,8.77,8.75,8.77,400,0
VALN.US,60,20240516,220000,8.815,8.815,8.815,8.815,213,0
VALN.US,60,20240517,160000,9,9,9,9,723,0
VALN.US,60,20240517,170000,8.9713,9,8.88,8.91,1799,0
VALN.US,60,20240517,180000,8.94,8.94,8.8,8.8148,598,0
VALN.US,60,20240517,200000,8.94,8.9655,8.7,8.8999,5392,0
VALN.US,60,20240517,220000,8.9999,8.9999,8.696,8.88,1678,0
VALN.US,60,20240520,160000,8.69,8.69,8.69,8.69,824,0
VALN.US,60,20240520,170000,8.69,8.69,8.5841,8.5841,1137,0
VALN.US,60,20240520,190000,8.8526,8.8526,8.8526,8.8526,1165,0
VALN.US,60,20240520,210000,8.76,8.7744,8.76,8.7744,332,0
VALN.US,60,20240520,220000,8.76,8.84,8.76,8.84,300,0
VALN.US,60,20240521,160000,8.43,8.43,8.43,8.43,1326,0
VALN.US,60,20240521,170000,8.36,8.41,8.2107,8.3293,1121,0
VALN.US,60,20240521,180000,8.2,8.2,8.2,8.2,240,0
VALN.US,60,20240522,160000,8.36,8.535,8.36,8.535,413,0
VALN.US,60,20240522,170000,8.685,8.685,8.685,8.685,350,0
VALN.US,60,20240522,210000,8.7384,8.7384,8.7384,8.7384,200,0
VALN.US,60,20240522,220000,8.45,8.73,8.45,8.73,300,0
VALN.US,60,20240523,160000,8.95,8.95,8.7224,8.8738,4371,0
VALN.US,60,20240523,210000,8.521,8.521,8.521,8.521,288,0
VALN.US,60,20240523,220000,8.61,8.61,8.61,8.61,100,0
VALN.US,60,20240524,180000,8.5485,8.5485,8.48,8.48,450,0
VALN.US,60,20240524,190000,8.38,8.38,8.36,8.36,313,0
VALN.US,60,20240524,200000,8.52,8.52,8.52,8.52,300,0
VALN.US,60,20240528,160000,8.62,8.8057,8.62,8.8057,1312,0
VALN.US,60,20240528,170000,8.69,8.69,8.6506,8.6506,200,0
VALN.US,60,20240528,180000,8.695,8.74,8.695,8.74,500,0
VALN.US,60,20240528,200000,8.7,8.7,8.65,8.65,388,0
VALN.US,60,20240528,210000,8.6522,8.6522,8.6522,8.6522,231,0
VALN.US,60,20240529,170000,8.6662,8.6662,8.6662,8.6662,100,0
VALN.US,60,20240529,180000,8.46,8.4616,8.46,8.4616,308,0
VALN.US,60,20240529,220000,8.89,8.89,8.89,8.89,100,0
VALN.US,60,20240530,160000,9,9,8.8816,8.8816,317,0
VALN.US,60,20240530,170000,8.8721,8.8721,8.8721,8.8721,300,0
VALN.US,60,20240530,180000,8.75,8.75,8.75,8.75,200,0
VALN.US,60,20240530,210000,8.8508,8.8508,8.8508,8.8508,1142,0
VALN.US,60,20240530,220000,8.9,8.9,8.9,8.9,675,0
VALN.US,60,20240531,160000,8.94,8.9497,8.88,8.88,1400,0
VALN.US,60,20240531,170000,8.94,8.94,8.91,8.92,890,0
VALN.US,60,20240531,180000,9.0694,9.0694,9.0694,9.0694,100,0
VALN.US,60,20240531,190000,9.0888,9.0888,9.0704,9.0704,295,0
VALN.US,60,20240531,200000,9.06,9.06,9.06,9.06,100,0
VALN.US,60,20240531,210000,8.96,9.069,8.96,9.069,1100,0
VALN.US,60,20240603,160000,9.12,9.12,9.04,9.12,460,0
VALN.US,60,20240603,170000,9.15,9.4299,9.13,9.4299,500,0
VALN.US,60,20240603,180000,9.21,9.5,8.3201,8.44,3217,0
VALN.US,60,20240603,190000,9.07,9.07,9.07,9.07,219,0
VALN.US,60,20240603,200000,9.08,9.08,9.07,9.07,430,0
VALN.US,60,20240603,220000,9.095,9.095,9.08,9.08,300,0
VALN.US,60,20240604,160000,9.16,9.16,9,9.01,992,0
VALN.US,60,20240604,170000,9.02,9.02,9,9,1269,0
VALN.US,60,20240604,180000,9.02,9.02,8.9604,8.9604,1737,0
VALN.US,60,20240604,190000,8.8336,8.8336,8.8336,8.8336,114,0
VALN.US,60,20240605,160000,8.88,8.88,8.535,8.535,412,0
VALN.US,60,20240605,190000,8.56,8.56,8.56,8.56,250,0
VALN.US,60,20240606,160000,8.48,8.66,8.48,8.66,1022,0
VALN.US,60,20240606,170000,8.535,8.535,8.44,8.44,400,0
VALN.US,60,20240606,180000,8.55,8.55,8.49,8.49,625,0
VALN.US,60,20240606,210000,8.4,8.4001,8.27,8.2835,4848,0
VALN.US,60,20240606,220000,8.31,8.38,8.31,8.38,200,0
VALN.US,60,20240607,160000,8.2,8.2,8.2,8.2,127,0
VALN.US,60,20240607,170000,8.35,8.35,8.35,8.35,595,0
VALN.US,60,20240607,180000,8.35,8.35,8.35,8.35,500,0
VALN.US,60,20240607,210000,8.3837,8.3837,8.3837,8.3837,200,0
VALN.US,60,20240610,160000,8.1,8.1,8.05,8.05,982,0
VALN.US,60,20240610,170000,8.05,8.05,7.98,7.98,978,0
