<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VIOT.US,60,20240411,160000,0.56,0.5611,0.558551,0.561,2875,0
VIOT.US,60,20240411,170000,0.561,0.561,0.561,0.561,1730,0
VIOT.US,60,20240411,180000,0.5612,0.57055,0.5612,0.57055,500,0
VIOT.US,60,20240411,190000,0.5706,0.5706,0.5612,0.5612,600,0
VIOT.US,60,20240411,210000,0.5612,0.5612,0.5612,0.5612,200,0
VIOT.US,60,20240411,220000,0.5612,0.56595,0.5612,0.5613,1498,0
VIOT.US,60,20240412,180000,0.57,0.590001,0.569,0.5827,5352,0
VIOT.US,60,20240412,190000,0.5827,0.5827,0.5721,0.5722,6581,0
VIOT.US,60,20240412,200000,0.581447,0.581447,0.5613,0.5613,3500,0
VIOT.US,60,20240412,220000,0.55,0.5574,0.55,0.55,1292,0
VIOT.US,60,20240415,160000,0.51,0.53,0.51,0.515001,75510,0
VIOT.US,60,20240415,170000,0.539899,0.541,0.52,0.541,3479,0
VIOT.US,60,20240415,180000,0.5301,0.538604,0.53,0.53,2477,0
VIOT.US,60,20240415,190000,0.5211,0.5211,0.5211,0.5211,535,0
VIOT.US,60,20240415,200000,0.5304,0.5304,0.5304,0.5304,1723,0
VIOT.US,60,20240415,220000,0.522,0.5304,0.5211,0.5304,3977,0
VIOT.US,60,20240416,160000,0.5221,0.5221,0.514,0.5141,6500,0
VIOT.US,60,20240416,170000,0.515,0.5201,0.515,0.5201,1015,0
VIOT.US,60,20240416,180000,0.5201,0.5201,0.5201,0.5201,4995,0
VIOT.US,60,20240416,190000,0.5201,0.5229,0.52,0.5229,6150,0
VIOT.US,60,20240416,200000,0.5215,0.5228,0.5215,0.5228,7525,0
VIOT.US,60,20240416,210000,0.5228,0.5228,0.5228,0.5228,1575,0
VIOT.US,60,20240416,220000,0.5228,0.523,0.5228,0.5228,4372,0
VIOT.US,60,20240417,160000,0.521,0.56,0.521,0.56,18603,0
VIOT.US,60,20240417,170000,0.56,0.582951,0.5405,0.56,19856,0
VIOT.US,60,20240417,180000,0.5532,0.5601,0.5405,0.55,9350,0
VIOT.US,60,20240417,190000,0.55,0.55,0.55,0.55,100,0
VIOT.US,60,20240417,200000,0.54,0.54,0.5225,0.539999,2900,0
VIOT.US,60,20240417,220000,0.5402,0.5402,0.54,0.54,2467,0
VIOT.US,60,20240418,170000,0.54,0.57,0.54,0.57,1500,0
VIOT.US,60,20240418,180000,0.5655,0.5763,0.5655,0.5763,2300,0
VIOT.US,60,20240418,190000,0.5763,0.5763,0.5762,0.5763,2000,0
VIOT.US,60,20240418,200000,0.55,0.551,0.5455,0.5455,2155,0
VIOT.US,60,20240418,220000,0.5455,0.5455,0.5455,0.5455,164,0
VIOT.US,60,20240419,170000,0.530201,0.54,0.530201,0.54,17116,0
VIOT.US,60,20240419,180000,0.55,0.552,0.55,0.552,8800,0
VIOT.US,60,20240419,190000,0.5502,0.5503,0.542,0.542,12216,0
VIOT.US,60,20240419,200000,0.54,0.541,0.531,0.531,14000,0
VIOT.US,60,20240419,210000,0.5312,0.54,0.5312,0.54,1998,0
VIOT.US,60,20240419,220000,0.54,0.54,0.5399,0.5399,1000,0
VIOT.US,60,20240422,160000,0.52,0.52,0.503,0.51,7676,0
VIOT.US,60,20240422,170000,0.5101,0.5399,0.51,0.5301,6323,0
VIOT.US,60,20240422,180000,0.518,0.53,0.513,0.513,15000,0
VIOT.US,60,20240422,190000,0.5299,0.5399,0.5299,0.5399,1504,0
VIOT.US,60,20240422,200000,0.5351,0.545,0.5351,0.545,2827,0
VIOT.US,60,20240422,210000,0.535,0.5351,0.5301,0.5351,7700,0
VIOT.US,60,20240422,220000,0.53,0.533,0.53,0.53,6400,0
VIOT.US,60,20240423,160000,0.5105,0.53,0.5105,0.52255,8354,0
VIOT.US,60,20240423,170000,0.53,0.5301,0.5257,0.5301,4623,0
VIOT.US,60,20240423,180000,0.5499,0.57,0.549,0.560101,32509,0
VIOT.US,60,20240423,190000,0.5601,0.5601,0.53,0.53001,18805,0
VIOT.US,60,20240423,200000,0.53,0.54,0.53,0.5302,1368,0
VIOT.US,60,20240423,210000,0.5338,0.5375,0.5304,0.5375,487,0
VIOT.US,60,20240423,220000,0.5375,0.55,0.5374,0.55,13026,0
VIOT.US,60,20240424,160000,0.521,0.5773,0.521,0.551,17360,0
VIOT.US,60,20240424,170000,0.57025,0.57025,0.5636,0.5637,1800,0
VIOT.US,60,20240424,180000,0.5636,0.5637,0.5598,0.5599,4436,0
VIOT.US,60,20240424,190000,0.5565,0.577,0.5565,0.577,10002,0
VIOT.US,60,20240424,200000,0.561801,0.561801,0.561801,0.561801,175,0
VIOT.US,60,20240424,210000,0.5617,0.585,0.5617,0.5771,16970,0
VIOT.US,60,20240424,220000,0.561,0.561,0.561,0.561,300,0
VIOT.US,60,20240425,160000,0.59,0.59,0.58,0.59,23971,0
VIOT.US,60,20240425,170000,0.5851,0.63,0.57,0.58,101133,0
VIOT.US,60,20240425,180000,0.62,0.6277,0.586,0.619,142955,0
VIOT.US,60,20240425,190000,0.625,0.63,0.61,0.615,20869,0
VIOT.US,60,20240425,200000,0.6,0.6001,0.6,0.6,3299,0
VIOT.US,60,20240425,210000,0.601,0.601,0.5939,0.6,21808,0
VIOT.US,60,20240425,220000,0.5939,0.6149,0.58,0.58,36482,0
VIOT.US,60,20240426,160000,0.58,0.61,0.58,0.5801,2302,0
VIOT.US,60,20240426,170000,0.6043,0.6043,0.604,0.6043,3960,0
VIOT.US,60,20240426,180000,0.6043,0.605,0.6042,0.605,2753,0
VIOT.US,60,20240426,190000,0.5962,0.63,0.5962,0.61,131161,0
VIOT.US,60,20240426,200000,0.6007,0.63,0.5991,0.6,31457,0
VIOT.US,60,20240426,210000,0.600201,0.6226,0.60001,0.60001,13349,0
VIOT.US,60,20240426,220000,0.6,0.615,0.6,0.61,16168,0
VIOT.US,60,20240429,160000,0.62,0.63,0.6,0.625,21102,0
VIOT.US,60,20240429,170000,0.614186,0.6729,0.614186,0.6729,22929,0
VIOT.US,60,20240429,180000,0.6102,0.6587,0.6102,0.6293,53404,0
VIOT.US,60,20240429,190000,0.6499,0.666399,0.6293,0.66,44434,0
VIOT.US,60,20240429,200000,0.6509,0.6633,0.6509,0.660201,30040,0
VIOT.US,60,20240429,210000,0.6601,0.7079,0.66,0.6815,81686,0
VIOT.US,60,20240429,220000,0.696,0.709,0.6811,0.6811,10036,0
VIOT.US,60,20240430,160000,0.6811,0.6811,0.6499,0.65,2815,0
VIOT.US,60,20240430,170000,0.65815,0.6781,0.6305,0.6501,92488,0
VIOT.US,60,20240430,180000,0.6508,0.67,0.6508,0.67,3708,0
VIOT.US,60,20240430,190000,0.6699,0.67,0.6698,0.66999,1200,0
VIOT.US,60,20240430,200000,0.67,0.7135,0.6502,0.6889,50219,0
VIOT.US,60,20240430,210000,0.6916,0.7,0.66,0.693,12324,0
VIOT.US,60,20240430,220000,0.6902,0.7135,0.69,0.69,15676,0
