<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VSOL.US,60,20251117,160000,18.15,18.219,18.15,18.219,200,0
VSOL.US,60,20251117,170000,17.84,17.84,17.77,17.77,500,0
VSOL.US,60,20251117,180000,17.649,17.65,17.349,17.599,33050,0
VSOL.US,60,20251117,190000,17.49,17.5,17.0996,17.1,7650,0
VSOL.US,60,20251117,200000,17.2,17.2,16.89,16.89,2413,0
VSOL.US,60,20251117,210000,16.86,16.979,16.78,16.78,12815,0
VSOL.US,60,20251117,220000,16.74,16.8793,16.73,16.82,808,0
VSOL.US,60,20251118,160000,17.98,18.07,17.847,17.847,4719,0
VSOL.US,60,20251118,170000,17.825,18.33,17.74,18.13,30079,0
VSOL.US,60,20251118,180000,18.06,18.3894,17.94,18.2799,95146,0
VSOL.US,60,20251118,190000,18.29,18.29,18.02,18.13,13041,0
VSOL.US,60,20251118,200000,18.1693,18.3299,18.15,18.32,10989,0
VSOL.US,60,20251118,210000,18.305,18.37,18.27,18.3,4191,0
VSOL.US,60,20251118,220000,18.3487,18.39,18.28,18.28,17215,0
VSOL.US,60,20251119,160000,17.64,17.82,17.63,17.7688,17100,0
VSOL.US,60,20251119,170000,17.8425,17.97,17.41,17.44,21468,0
VSOL.US,60,20251119,180000,17.44,17.47,17.2,17.2,9190,0
VSOL.US,60,20251119,190000,17.27,17.27,17,17.1282,7753,0
VSOL.US,60,20251119,200000,17.1,17.1,16.9,16.92,6146,0
VSOL.US,60,20251119,210000,16.98,17.08,16.95,17.06,3200,0
VSOL.US,60,20251119,220000,17.0495,17.28,17.02,17.23,17130,0
VSOL.US,60,20251120,160000,18.25,18.29,18.18,18.25,14662,0
VSOL.US,60,20251120,170000,18.031,18.14,17.9,17.9,8927,0
VSOL.US,60,20251120,180000,17.9,17.92,17.07,17.1099,50971,0
VSOL.US,60,20251120,190000,17.18,17.18,17,17.17,8259,0
VSOL.US,60,20251120,200000,17.23,17.39,17.16,17.16,23731,0
VSOL.US,60,20251120,210000,17.1325,17.36,17.075,17.36,4746,0
VSOL.US,60,20251120,220000,17.305,17.305,17.305,17.305,100,0
VSOL.US,60,20251121,160000,16.39,16.73,16.39,16.71,23299,0
VSOL.US,60,20251121,170000,16.5547,16.59,16.19,16.24,28799,0
VSOL.US,60,20251121,180000,16.2842,16.54,16.01,16.54,29766,0
VSOL.US,60,20251121,190000,16.63,16.84,16.63,16.729,16152,0
VSOL.US,60,20251121,200000,16.73,16.84,16.37,16.81,8423,0
VSOL.US,60,20251121,210000,16.7,16.76,16.566,16.566,860,0
VSOL.US,60,20251121,220000,16.485,16.485,16.4,16.45,10400,0
VSOL.US,60,20251124,160000,16.83,16.89,16.78,16.89,21504,0
VSOL.US,60,20251124,170000,16.935,17.17,16.865,17.09,8764,0
VSOL.US,60,20251124,180000,17.15,17.3875,17.1,17.32,32585,0
VSOL.US,60,20251124,190000,17.37,17.73,17.34,17.65,10530,0
VSOL.US,60,20251124,200000,17.81,17.85,17.74,17.78,5132,0
VSOL.US,60,20251124,210000,17.8172,17.83,17.72,17.73,6138,0
VSOL.US,60,20251124,220000,17.88,18.04,17.88,18.04,30665,0
VSOL.US,60,20251125,160000,17.63,17.63,17.24,17.2992,1894,0
VSOL.US,60,20251125,170000,17.35,17.48,17.3063,17.4541,8895,0
VSOL.US,60,20251125,180000,17.5,17.71,17.4886,17.645,51628,0
VSOL.US,60,20251125,190000,17.65,17.86,17.62,17.79,11101,0
VSOL.US,60,20251125,200000,17.7699,17.8233,17.64,17.64,5039,0
VSOL.US,60,20251125,210000,17.64,17.6404,17.64,17.6404,325,0
VSOL.US,60,20251125,220000,17.68,17.84,17.68,17.84,638,0
VSOL.US,60,20251126,160000,17.77,17.88,17.66,17.7,3198,0
VSOL.US,60,20251126,170000,17.63,17.735,17.62,17.67,3605,0
VSOL.US,60,20251126,180000,17.7,17.8593,17.7,17.76,8263,0
VSOL.US,60,20251126,190000,17.78,18.23,17.78,18.23,900,0
VSOL.US,60,20251126,200000,18.2596,18.7,18.2596,18.7,22904,0
VSOL.US,60,20251126,210000,18.75,18.76,18.6267,18.73,7899,0
VSOL.US,60,20251126,220000,18.6,18.6,18.52,18.54,600,0
VSOL.US,60,20251128,160000,18.62,18.62,18.51,18.51,612,0
VSOL.US,60,20251128,170000,18.47,18.62,18.34,18.35,27012,0
VSOL.US,60,20251128,180000,18.34,18.34,18.05,18.08,6450,0
VSOL.US,60,20251128,190000,17.7794,17.82,17.76,17.8,6000,0
VSOL.US,60,20251201,160000,16.41,16.45,16.32,16.37,5664,0
VSOL.US,60,20251201,170000,16.43,16.46,16,16.2127,25782,0
VSOL.US,60,20251201,180000,16.21,16.225,16.009,16.05,6924,0
VSOL.US,60,20251201,190000,16.06,16.18,16.06,16.16,6863,0
VSOL.US,60,20251201,200000,16.12,16.22,16.05,16.07,3075,0
VSOL.US,60,20251201,210000,16.11,16.125,15.98,16.05,9441,0
VSOL.US,60,20251201,220000,16.1258,16.23,16.095,16.12,9967,0
VSOL.US,60,20251202,160000,17.07,17.105,17.07,17.1,475,0
VSOL.US,60,20251202,170000,17.41,18.08,17.41,17.881,11685,0
VSOL.US,60,20251202,180000,17.92,18.0726,17.86,17.99,28020,0
VSOL.US,60,20251202,190000,18.12,18.225,18.09,18.115,14373,0
VSOL.US,60,20251202,200000,18.13,18.17,18.11,18.16,2600,0
VSOL.US,60,20251202,210000,18.16,18.18,18.155,18.17,2300,0
VSOL.US,60,20251202,220000,18.15,18.15,17.97,18,8500,0
VSOL.US,60,20251203,160000,18.31,18.59,18.19,18.37,10292,0
VSOL.US,60,20251203,170000,18.33,18.36,18.24,18.29,11737,0
VSOL.US,60,20251203,180000,18.21,18.3635,18.1916,18.3399,1600,0
VSOL.US,60,20251203,190000,18.3,18.42,18.3,18.4055,7021,0
VSOL.US,60,20251203,200000,18.43,18.43,18.276,18.276,8638,0
VSOL.US,60,20251203,220000,18.2865,18.4,18.2865,18.4,5621,0
VSOL.US,60,20251204,160000,18.54,18.58,18.37,18.37,9814,0
VSOL.US,60,20251204,170000,18.53,18.7,18.5096,18.575,6729,0
VSOL.US,60,20251204,180000,18.6,18.62,18.491,18.5199,4933,0
VSOL.US,60,20251204,190000,18.469,18.469,18.32,18.44,5457,0
VSOL.US,60,20251204,200000,18.3789,18.4396,18.23,18.23,5925,0
VSOL.US,60,20251204,210000,18.24,18.27,17.91,18.11,2763,0
VSOL.US,60,20251204,220000,18.09,18.22,18.07,18.22,2914,0
VSOL.US,60,20251205,160000,17.63,17.63,17.61,17.61,322,0
VSOL.US,60,20251205,170000,17.71,17.79,17.5901,17.7135,11219,0
VSOL.US,60,20251205,180000,17.53,17.53,17.11,17.12,3899,0
VSOL.US,60,20251205,190000,17.18,17.18,17.09,17.09,546,0
VSOL.US,60,20251205,200000,17.12,17.229,17.12,17.13,2649,0
VSOL.US,60,20251205,210000,17,17.1748,17,17.1748,716,0
VSOL.US,60,20251205,220000,17.2,17.23,17.13,17.21,8400,0
VSOL.US,60,20251208,160000,17.9,18.01,17.82,17.9065,2506,0
VSOL.US,60,20251208,170000,17.8151,17.835,17.57,17.62,5970,0
VSOL.US,60,20251208,180000,17.575,17.71,17.57,17.674,5440,0
VSOL.US,60,20251208,190000,17.66,17.67,17.53,17.63,2600,0
VSOL.US,60,20251208,200000,17.65,17.65,17.27,17.311,4465,0
VSOL.US,60,20251208,210000,17.355,17.465,17.33,17.33,15756,0
VSOL.US,60,20251208,220000,17.345,17.5,17.34,17.41,19479,0
VSOL.US,60,20251209,160000,17.15,17.15,17.15,17.15,160,0
VSOL.US,60,20251209,170000,17.43,17.96,17.3163,17.96,3356,0
VSOL.US,60,20251209,180000,18.069,18.75,18.069,18.69,13342,0
VSOL.US,60,20251209,190000,18.7,18.83,18.58,18.58,18051,0
VSOL.US,60,20251209,200000,18.55,18.57,18.43,18.43,6403,0
VSOL.US,60,20251209,210000,18.5,18.56,18.42,18.48,8511,0
VSOL.US,60,20251209,220000,18.47,18.485,18.13,18.2,9508,0
VSOL.US,60,20251210,160000,17.8194,17.88,17.775,17.775,3380,0
VSOL.US,60,20251210,170000,17.86,17.86,17.74,17.74,500,0
VSOL.US,60,20251210,180000,17.729,17.78,17.729,17.78,940,0
VSOL.US,60,20251210,190000,17.779,17.779,17.765,17.765,600,0
VSOL.US,60,20251210,200000,17.735,18.1,17.735,17.87,4796,0
VSOL.US,60,20251210,210000,17.98,18.09,17.87,18.025,19291,0
VSOL.US,60,20251210,220000,17.98,18.51,17.92,17.98,14904,0
VSOL.US,60,20251211,160000,17.01,17.06,16.8901,16.97,19979,0
VSOL.US,60,20251211,170000,16.93,17.07,16.93,17.03,1300,0
VSOL.US,60,20251211,180000,16.94,16.98,16.94,16.96,3360,0
VSOL.US,60,20251211,190000,17.02,17.21,17.01,17.2,6459,0
VSOL.US,60,20251211,200000,17.19,17.59,17.16,17.43,6030,0
VSOL.US,60,20251211,210000,17.46,17.555,17.37,17.39,37092,0
VSOL.US,60,20251211,220000,17.46,17.77,17.45,17.7104,8727,0
VSOL.US,60,20251212,160000,18.021,18.07,18.02,18.07,10038,0
VSOL.US,60,20251212,170000,17.9578,17.9578,17.61,17.61,2017,0
VSOL.US,60,20251212,180000,17.12,17.2,17.12,17.18,3300,0
VSOL.US,60,20251212,190000,17.22,17.34,17.12,17.17,6428,0
