<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ARKK.US,60,20240411,160000,47.775,47.925,47.29,47.42,836179,0
ARKK.US,60,20240411,170000,47.44,47.44,47,47.12,1353116,0
ARKK.US,60,20240411,180000,47.11,47.645,47.08,47.64,1190187,0
ARKK.US,60,20240411,190000,47.64,47.705,47.58,47.6499,600546,0
ARKK.US,60,20240411,200000,47.6499,48.105,47.58,47.99,1294189,0
ARKK.US,60,20240411,210000,47.985,48.18,47.97,47.985,1049438,0
ARKK.US,60,20240411,220000,47.98,48.24,47.96,48.2,1588202,0
ARKK.US,60,20240412,160000,47.7,47.73,47.27,47.39,1429836,0
ARKK.US,60,20240412,170000,47.39,47.53,47.16,47.17,1086458,0
ARKK.US,60,20240412,180000,47.1789,47.335,47.12,47.21,823336,0
ARKK.US,60,20240412,190000,47.21,47.21,46.92,46.96,811324,0
ARKK.US,60,20240412,200000,46.95,46.99,46.61,46.765,1107220,0
ARKK.US,60,20240412,210000,46.76,46.83,46.38,46.39,1386143,0
ARKK.US,60,20240412,220000,46.385,46.6,46.315,46.53,2833105,0
ARKK.US,60,20240415,160000,46.73,46.73,46.2199,46.32,1214084,0
ARKK.US,60,20240415,170000,46.325,46.33,45.62,45.65,2295482,0
ARKK.US,60,20240415,180000,45.65,45.885,45.52,45.825,1250326,0
ARKK.US,60,20240415,190000,45.82,45.915,45.26,45.29,1327295,0
ARKK.US,60,20240415,200000,45.28,45.36,44.59,44.89,3126520,0
ARKK.US,60,20240415,210000,44.88,44.88,44.45,44.48,1775594,0
ARKK.US,60,20240415,220000,44.47,44.51,44.245,44.38,3454826,0
ARKK.US,60,20240416,160000,43.84,43.97,43.15,43.48,1820218,0
ARKK.US,60,20240416,170000,43.4999,43.89,43.31,43.545,3034453,0
ARKK.US,60,20240416,180000,43.55,43.845,43.52,43.65,1539578,0
ARKK.US,60,20240416,190000,43.65,43.81,43.525,43.77,999104,0
ARKK.US,60,20240416,200000,43.78,43.905,43.38,43.71,2307497,0
ARKK.US,60,20240416,210000,43.7,44.095,43.52,43.82,1817613,0
ARKK.US,60,20240416,220000,43.82,43.86,43.65,43.65,2043302,0
ARKK.US,60,20240417,160000,43.99,44.14,43.64,43.66,1240350,0
ARKK.US,60,20240417,170000,43.67,43.67,43.13,43.3,1935506,0
ARKK.US,60,20240417,180000,43.3,43.51,43.115,43.305,1184342,0
ARKK.US,60,20240417,190000,43.3,43.3,42.8,42.99,1174024,0
ARKK.US,60,20240417,200000,42.99,43.56,42.975,43.55,1742315,0
