<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AVEM.US,60,20240411,160000,58.95,59.01,58.76,58.76,5103,0
AVEM.US,60,20240411,170000,58.75,58.75,58.46,58.47,21631,0
AVEM.US,60,20240411,180000,58.52,58.6599,58.49,58.645,23439,0
AVEM.US,60,20240411,190000,58.675,58.7,58.5324,58.644,19120,0
AVEM.US,60,20240411,200000,58.655,58.85,58.63,58.8038,30452,0
AVEM.US,60,20240411,210000,58.85,58.95,58.78,58.855,56444,0
AVEM.US,60,20240411,220000,58.87,58.9499,58.79,58.88,99589,0
AVEM.US,60,20240412,160000,58.13,58.26,57.95,57.99,13870,0
AVEM.US,60,20240412,170000,57.91,57.91,57.705,57.72,17442,0
AVEM.US,60,20240412,180000,57.6803,57.8399,57.6513,57.82,7435,0
AVEM.US,60,20240412,190000,57.7608,57.8,57.6075,57.63,27063,0
AVEM.US,60,20240412,200000,57.6699,57.69,57.52,57.6212,27820,0
AVEM.US,60,20240412,210000,57.62,57.71,57.5101,57.545,60584,0
AVEM.US,60,20240412,220000,57.49,57.6199,57.47,57.55,108153,0
AVEM.US,60,20240415,160000,57.98,57.98,57.66,57.665,14703,0
AVEM.US,60,20240415,170000,57.6833,57.6833,57.4501,57.48,12544,0
AVEM.US,60,20240415,180000,57.46,57.61,57.41,57.59,78961,0
AVEM.US,60,20240415,190000,57.56,57.6199,57.39,57.43,13756,0
AVEM.US,60,20240415,200000,57.41,57.44,57.06,57.19,13067,0
AVEM.US,60,20240415,210000,57.18,57.18,57.04,57.1,75942,0
AVEM.US,60,20240415,220000,57.107,57.1884,57.02,57.15,79453,0
AVEM.US,60,20240416,160000,56.57,56.57,56.29,56.29,5575,0
AVEM.US,60,20240416,170000,56.325,56.5,56.284,56.36,15178,0
AVEM.US,60,20240416,180000,56.375,56.5019,56.37,56.47,18768,0
AVEM.US,60,20240416,190000,56.43,56.505,56.3801,56.475,10828,0
AVEM.US,60,20240416,200000,56.505,56.52,56.31,56.4,22355,0
AVEM.US,60,20240416,210000,56.405,56.66,56.3779,56.5417,94216,0
AVEM.US,60,20240416,220000,56.54,56.588,56.3974,56.42,78428,0
AVEM.US,60,20240417,160000,56.85,56.87,56.65,56.65,24330,0
AVEM.US,60,20240417,170000,56.64,56.64,56.4701,56.505,21482,0
AVEM.US,60,20240417,180000,56.53,56.6191,56.41,56.46,33136,0
AVEM.US,60,20240417,190000,56.47,56.47,56.26,56.38,64457,0
AVEM.US,60,20240417,200000,56.37,56.6225,56.37,56.62,26469,0
AVEM.US,60,20240417,210000,56.6033,56.72,56.51,56.545,41793,0
AVEM.US,60,20240417,220000,56.52,56.5399,56.4201,56.5,64876,0
AVEM.US,60,20240418,160000,56.75,56.87,56.62,56.71,12818,0
AVEM.US,60,20240418,170000,56.735,56.95,56.71,56.9,28195,0
AVEM.US,60,20240418,180000,56.8607,57.03,56.825,56.84,29209,0
AVEM.US,60,20240418,190000,56.8919,56.8919,56.65,56.68,25895,0
AVEM.US,60,20240418,200000,56.68,56.6999,56.5,56.58,27043,0
AVEM.US,60,20240418,210000,56.615,56.7,56.52,56.6009,58672,0
AVEM.US,60,20240418,220000,56.62,56.73,56.61,56.67,181570,0
AVEM.US,60,20240419,160000,56.47,56.623,56.46,56.525,7749,0
AVEM.US,60,20240419,170000,56.525,56.6,56.4,56.6,18658,0
AVEM.US,60,20240419,180000,56.54,56.63,56.4101,56.4101,30922,0
AVEM.US,60,20240419,190000,56.477,56.5299,56.3,56.52,35176,0
AVEM.US,60,20240419,200000,56.49,56.595,56.45,56.54,21718,0
AVEM.US,60,20240419,210000,56.51,56.56,56.36,56.4786,39023,0
AVEM.US,60,20240419,220000,56.44,56.55,56.35,56.55,53059,0
AVEM.US,60,20240422,160000,56.55,56.6799,56.4683,56.59,13673,0
AVEM.US,60,20240422,170000,56.6346,56.7599,56.5801,56.675,18092,0
AVEM.US,60,20240422,180000,56.68,56.74,56.5801,56.7184,14903,0
AVEM.US,60,20240422,190000,56.7296,56.87,56.7001,56.87,11908,0
AVEM.US,60,20240422,200000,56.855,57.07,56.8201,57.025,28393,0
AVEM.US,60,20240422,210000,57.095,57.1299,56.98,57.0904,39126,0
AVEM.US,60,20240422,220000,57.04,57.1063,56.9106,57.02,53422,0
AVEM.US,60,20240423,160000,57.1,57.3401,57.05,57.335,12504,0
AVEM.US,60,20240423,170000,57.3449,57.4699,57.28,57.37,32198,0
AVEM.US,60,20240423,180000,57.35,57.46,57.2908,57.36,24170,0
AVEM.US,60,20240423,190000,57.36,57.51,57.36,57.47,30974,0
AVEM.US,60,20240423,200000,57.4998,57.5594,57.4301,57.5,46037,0
AVEM.US,60,20240423,210000,57.53,57.5997,57.47,57.56,58459,0
AVEM.US,60,20240423,220000,57.56,57.59,57.48,57.54,70259,0
AVEM.US,60,20240424,160000,57.97,57.97,57.82,57.82,18521,0
AVEM.US,60,20240424,170000,57.785,57.85,57.645,57.7,22592,0
AVEM.US,60,20240424,180000,57.69,57.6903,57.5474,57.59,35320,0
AVEM.US,60,20240424,190000,57.592,57.68,57.565,57.68,27997,0
AVEM.US,60,20240424,200000,57.68,57.78,57.63,57.77,36931,0
AVEM.US,60,20240424,210000,57.76,57.7795,57.6001,57.73,83034,0
AVEM.US,60,20240424,220000,57.73,57.811,57.6957,57.77,148833,0
AVEM.US,60,20240425,160000,57.41,57.4893,57.3,57.41,27006,0
AVEM.US,60,20240425,170000,57.39,57.7699,57.3872,57.61,17720,0
AVEM.US,60,20240425,180000,57.645,57.84,57.645,57.81,20258,0
AVEM.US,60,20240425,190000,57.8045,57.9999,57.76,57.9999,22763,0
AVEM.US,60,20240425,200000,57.98,58.14,57.916,58.045,16313,0
AVEM.US,60,20240425,210000,57.9678,58.12,57.9678,58.0488,44225,0
AVEM.US,60,20240425,220000,58.0375,58.1683,58.0187,58.1,58220,0
AVEM.US,60,20240426,160000,58.65,58.6999,58.56,58.65,6692,0
AVEM.US,60,20240426,170000,58.61,58.6699,58.5106,58.5756,22190,0
AVEM.US,60,20240426,180000,58.58,58.64,58.4701,58.5799,12658,0
AVEM.US,60,20240426,190000,58.53,58.6099,58.4901,58.6099,9143,0
AVEM.US,60,20240426,200000,58.6,58.6889,58.56,58.6716,15189,0
AVEM.US,60,20240426,210000,58.635,58.7137,58.616,58.68,23517,0
AVEM.US,60,20240426,220000,58.7299,58.7299,58.6473,58.7,49160,0
AVEM.US,60,20240429,160000,58.9374,59.014,58.8301,58.935,7821,0
AVEM.US,60,20240429,170000,58.98,59.09,58.945,59.09,10026,0
AVEM.US,60,20240429,180000,59.1193,59.1282,58.99,59.0606,22234,0
AVEM.US,60,20240429,190000,59.06,59.2198,59.05,59.2089,10469,0
AVEM.US,60,20240429,200000,59.2,59.24,59.13,59.1872,44847,0
AVEM.US,60,20240429,210000,59.18,59.24,59.1212,59.205,37775,0
AVEM.US,60,20240429,220000,59.17,59.26,59.02,59.26,130786,0
AVEM.US,60,20240430,160000,58.73,58.89,58.73,58.87,44711,0
AVEM.US,60,20240430,170000,58.87,58.9499,58.7607,58.85,20443,0
AVEM.US,60,20240430,180000,58.82,58.85,58.5979,58.6972,24409,0
AVEM.US,60,20240430,190000,58.6693,58.7099,58.55,58.5861,18652,0
AVEM.US,60,20240430,200000,58.555,58.6586,58.555,58.6124,27638,0
AVEM.US,60,20240430,210000,58.63,58.6615,58.5267,58.545,68096,0
AVEM.US,60,20240430,220000,58.59,58.6184,58.41,58.43,50960,0
AVEM.US,60,20240501,160000,58.42,58.62,58.42,58.46,6240,0
AVEM.US,60,20240501,170000,58.48,58.6,58.42,58.6,39645,0
AVEM.US,60,20240501,180000,58.5799,58.5799,58.4,58.41,23572,0
AVEM.US,60,20240501,190000,58.4,58.5,58.37,58.401,24974,0
AVEM.US,60,20240501,200000,58.415,58.5199,58.37,58.4137,12972,0
AVEM.US,60,20240501,210000,58.6,59.0593,58.4993,59.0591,45735,0
AVEM.US,60,20240501,220000,59.045,59.045,58.39,58.48,266429,0
AVEM.US,60,20240502,160000,59.26,59.269,59.18,59.22,11436,0
AVEM.US,60,20240502,170000,59.19,59.41,59.02,59.41,16756,0
AVEM.US,60,20240502,180000,59.39,59.595,59.38,59.595,15086,0
AVEM.US,60,20240502,190000,59.56,59.69,59.5,59.665,23478,0
AVEM.US,60,20240502,200000,59.6843,59.89,59.6843,59.88,10943,0
AVEM.US,60,20240502,210000,59.91,60.01,59.88,60.0099,60288,0
AVEM.US,60,20240502,220000,59.98,60,59.8089,59.86,87865,0
AVEM.US,60,20240506,160000,60.45,60.46,60.3715,60.4591,14055,0
AVEM.US,60,20240506,170000,60.3816,60.4792,60.345,60.38,12318,0
AVEM.US,60,20240506,180000,60.365,60.43,60.32,60.3979,29364,0
AVEM.US,60,20240506,190000,60.4499,60.46,60.3201,60.3887,14859,0
AVEM.US,60,20240506,200000,60.41,60.4599,60.38,60.43,32305,0
AVEM.US,60,20240506,210000,60.4374,60.4895,60.3701,60.385,24035,0
AVEM.US,60,20240506,220000,60.36,60.4392,60.3101,60.43,80691,0
AVEM.US,60,20240507,160000,60.19,60.19,60.04,60.06,20308,0
AVEM.US,60,20240507,170000,60.01,60.14,60.005,60.14,33604,0
AVEM.US,60,20240507,180000,60.12,60.19,60.12,60.14,35472,0
AVEM.US,60,20240507,190000,60.14,60.16,60.07,60.0853,19823,0
AVEM.US,60,20240507,200000,60.1015,60.12,59.9701,60.015,31939,0
AVEM.US,60,20240507,210000,59.9854,60.03,59.9013,59.98,41146,0
AVEM.US,60,20240507,220000,59.97,60.06,59.9567,59.98,56606,0
AVEM.US,60,20240508,160000,59.7,59.93,59.7,59.93,8563,0
AVEM.US,60,20240508,170000,60,60.0595,59.96,60.015,9435,0
AVEM.US,60,20240508,180000,60.02,60.0278,59.89,59.96,41229,0
AVEM.US,60,20240508,190000,59.9434,60.03,59.9301,59.96,90771,0
AVEM.US,60,20240508,200000,59.96,60.019,59.91,59.9737,42473,0
AVEM.US,60,20240508,210000,59.9943,60.0391,59.92,59.975,36771,0
