<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AVSD.US,60,20240411,180000,55.78,55.78,55.78,55.78,133,0
AVSD.US,60,20240411,210000,56.14,56.14,56.14,56.14,300,0
AVSD.US,60,20240411,220000,56.12,56.12,56.12,56.12,200,0
AVSD.US,60,20240412,180000,55.42,55.42,55.42,55.42,270,0
AVSD.US,60,20240415,210000,55.09,55.09,54.9061,54.9061,2798,0
AVSD.US,60,20240415,220000,54.8216,54.95,54.75,54.8408,1555,0
AVSD.US,60,20240416,200000,54.3088,54.3088,54.3088,54.3088,104,0
AVSD.US,60,20240416,210000,54.46,54.46,54.32,54.32,362,0
AVSD.US,60,20240416,220000,54.3829,54.3829,54.3829,54.3829,237,0
AVSD.US,60,20240417,170000,54.54,54.58,54.54,54.58,595,0
AVSD.US,60,20240417,180000,54.37,54.37,54.33,54.33,290,0
AVSD.US,60,20240417,210000,54.65,54.65,54.65,54.65,207,0
AVSD.US,60,20240418,180000,54.6115,54.7099,54.59,54.6698,3029,0
AVSD.US,60,20240418,190000,54.64,54.64,54.64,54.64,100,0
AVSD.US,60,20240418,220000,54.4,54.4,54.3725,54.3725,260,0
AVSD.US,60,20240419,160000,54.38,54.38,54.38,54.38,138,0
AVSD.US,60,20240419,180000,54.53,54.53,54.53,54.53,583,0
AVSD.US,60,20240419,200000,54.495,54.495,54.495,54.495,450,0
AVSD.US,60,20240419,210000,54.2764,54.2764,54.1201,54.1601,735,0
AVSD.US,60,20240419,220000,54.31,54.3101,54.31,54.3101,1794,0
AVSD.US,60,20240422,180000,54.71,54.71,54.71,54.71,100,0
AVSD.US,60,20240422,220000,54.9536,54.9536,54.9536,54.9536,134,0
AVSD.US,60,20240423,200000,55.4,55.4,55.4,55.4,675,0
AVSD.US,60,20240423,210000,55.4413,55.52,55.4413,55.5,814,0
AVSD.US,60,20240424,180000,55.1,55.14,55.1,55.14,456,0
AVSD.US,60,20240424,210000,55.21,55.21,55.21,55.21,937,0
AVSD.US,60,20240424,220000,55.2138,55.2706,55.2138,55.26,1584,0
AVSD.US,60,20240425,180000,54.87,54.88,54.86,54.88,708,0
AVSD.US,60,20240425,210000,55.08,55.08,55.08,55.08,100,0
AVSD.US,60,20240425,220000,54.9401,55.02,54.9401,55.02,963,0
AVSD.US,60,20240426,170000,55.54,55.54,55.54,55.54,221,0
AVSD.US,60,20240426,180000,55.41,55.41,55.38,55.41,5053,0
