<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AVSE.US,60,20240411,180000,49.46,49.46,49.46,49.46,137,0
AVSE.US,60,20240411,190000,49.57,49.57,49.57,49.57,100,0
AVSE.US,60,20240411,220000,49.671,49.721,49.671,49.721,466,0
AVSE.US,60,20240412,160000,49.07,49.07,49.07,49.07,401,0
AVSE.US,60,20240412,180000,48.81,48.86,48.81,48.86,871,0
AVSE.US,60,20240415,170000,48.605,48.605,48.605,48.605,100,0
AVSE.US,60,20240415,200000,48.37,48.37,48.37,48.37,100,0
AVSE.US,60,20240415,220000,48.23,48.23,48.23,48.23,400,0
AVSE.US,60,20240416,160000,47.61,47.61,47.61,47.61,429,0
AVSE.US,60,20240416,170000,47.54,47.62,47.54,47.62,700,0
AVSE.US,60,20240416,200000,47.6,47.6,47.6,47.6,200,0
AVSE.US,60,20240416,210000,47.71,47.71,47.7,47.7,306,0
AVSE.US,60,20240416,220000,47.63,47.63,47.57,47.57,578,0
AVSE.US,60,20240417,170000,47.66,47.66,47.66,47.66,200,0
AVSE.US,60,20240417,180000,47.6798,47.6798,47.6798,47.6798,420,0
AVSE.US,60,20240417,210000,47.7056,47.7056,47.7056,47.7056,386,0
AVSE.US,60,20240418,160000,47.87,47.87,47.87,47.87,100,0
AVSE.US,60,20240418,190000,47.93,47.93,47.93,47.93,200,0
AVSE.US,60,20240418,200000,47.77,47.77,47.77,47.77,356,0
AVSE.US,60,20240418,220000,47.7816,47.7816,47.7816,47.7816,134,0
AVSE.US,60,20240419,180000,47.74,47.78,47.74,47.78,448,0
AVSE.US,60,20240419,190000,47.58,47.58,47.58,47.58,100,0
AVSE.US,60,20240419,210000,47.57,47.57,47.57,47.57,200,0
AVSE.US,60,20240419,220000,47.67,47.6781,47.6607,47.6781,693,0
AVSE.US,60,20240422,160000,47.65,47.65,47.65,47.65,1051,0
AVSE.US,60,20240422,180000,47.855,47.855,47.855,47.855,282,0
AVSE.US,60,20240422,210000,48.14,48.14,48.14,48.14,575,0
AVSE.US,60,20240422,220000,48.21,48.21,48.21,48.21,130,0
AVSE.US,60,20240423,160000,48.29,48.29,48.29,48.29,100,0
AVSE.US,60,20240423,170000,48.51,48.54,48.485,48.485,346,0
AVSE.US,60,20240423,200000,48.57,48.57,48.57,48.57,300,0
AVSE.US,60,20240424,180000,48.66,48.66,48.64,48.64,274,0
AVSE.US,60,20240424,210000,48.71,48.71,48.71,48.71,1803,0
AVSE.US,60,20240424,220000,48.78,48.8283,48.78,48.8283,333,0
AVSE.US,60,20240425,190000,48.88,48.88,48.88,48.88,100,0
AVSE.US,60,20240425,210000,48.97,48.97,48.97,48.97,100,0
AVSE.US,60,20240425,220000,48.9101,48.99,48.9101,48.99,460,0
AVSE.US,60,20240426,180000,49.52,49.54,49.48,49.48,2158,0
AVSE.US,60,20240426,210000,49.5449,49.5449,49.5449,49.5449,745,0
AVSE.US,60,20240429,200000,49.921,49.921,49.921,49.921,182,0
AVSE.US,60,20240430,160000,49.65,49.65,49.65,49.65,303,0
AVSE.US,60,20240430,180000,49.69,49.69,49.69,49.69,120,0
AVSE.US,60,20240430,210000,49.49,49.49,49.49,49.49,200,0
AVSE.US,60,20240430,220000,49.43,49.43,49.43,49.43,200,0
AVSE.US,60,20240501,160000,49.5,49.5,49.48,49.48,470,0
AVSE.US,60,20240501,170000,49.6,49.6,49.6,49.6,200,0
AVSE.US,60,20240501,180000,49.58,49.58,49.5799,49.5799,210,0
AVSE.US,60,20240501,200000,49.46,49.46,49.46,49.46,106,0
AVSE.US,60,20240501,220000,49.8415,49.8415,49.55,49.55,550,0
AVSE.US,60,20240502,170000,50.1,50.1,50.1,50.1,100,0
AVSE.US,60,20240502,180000,50.43,50.46,50.43,50.45,1852,0
AVSE.US,60,20240506,160000,51.11,51.11,51.11,51.11,138,0
AVSE.US,60,20240506,210000,51.1545,51.1545,51.1545,51.1545,195,0
AVSE.US,60,20240508,160000,50.47,50.47,50.47,50.47,310,0
AVSE.US,60,20240508,180000,50.67,50.67,50.67,50.67,100,0
AVSE.US,60,20240510,160000,50.62,51.25,50.62,51.25,200,0
AVSE.US,60,20240510,170000,51.21,51.21,51.16,51.16,913,0
AVSE.US,60,20240510,180000,51.01,51.01,51.01,51.01,315,0
AVSE.US,60,20240510,210000,51.11,51.11,51.11,51.11,476,0
AVSE.US,60,20240513,160000,51.41,51.41,51.41,51.41,195,0
AVSE.US,60,20240513,170000,51.56,51.56,51.56,51.56,222,0
AVSE.US,60,20240513,180000,51.54,51.54,51.489,51.489,291,0
AVSE.US,60,20240514,160000,51.61,51.61,51.61,51.61,100,0
AVSE.US,60,20240514,180000,51.7,51.7,51.7,51.7,200,0
AVSE.US,60,20240514,190000,51.7,51.7,51.6297,51.635,788,0
AVSE.US,60,20240514,200000,51.7,51.7,51.7,51.7,494,0
AVSE.US,60,20240514,220000,51.695,51.695,51.695,51.695,300,0
AVSE.US,60,20240515,180000,52.41,52.41,52.41,52.41,200,0
AVSE.US,60,20240515,210000,52.29,52.29,52.29,52.29,158,0
AVSE.US,60,20240515,220000,52.3422,52.3422,52.3422,52.3422,114,0
AVSE.US,60,20240516,190000,52.6152,52.63,52.6152,52.63,314,0
AVSE.US,60,20240516,200000,52.68,52.7,52.68,52.6988,2612,0
AVSE.US,60,20240516,210000,52.65,52.699,52.65,52.699,286,0
AVSE.US,60,20240516,220000,52.71,52.71,52.63,52.63,1349,0
AVSE.US,60,20240520,160000,52.7299,52.74,52.7299,52.74,269,0
AVSE.US,60,20240520,180000,52.7,52.7,52.7,52.7,253,0
AVSE.US,60,20240520,190000,52.81,52.81,52.81,52.81,100,0
AVSE.US,60,20240520,220000,52.73,52.79,52.73,52.79,300,0
AVSE.US,60,20240521,160000,52.45,52.45,52.45,52.45,335,0
AVSE.US,60,20240521,180000,52.41,52.41,52.3213,52.3213,1063,0
AVSE.US,60,20240522,190000,52.37,52.38,52.28,52.28,2770,0
AVSE.US,60,20240522,200000,52.3,52.3,52.29,52.29,300,0
AVSE.US,60,20240522,210000,52.17,52.17,52.17,52.17,200,0
AVSE.US,60,20240522,220000,52.14,52.14,52.14,52.14,106,0
AVSE.US,60,20240523,160000,52.51,52.51,52.51,52.51,106,0
AVSE.US,60,20240523,170000,52.08,52.08,52.08,52.08,605,0
AVSE.US,60,20240523,200000,51.96,51.96,51.96,51.96,200,0
AVSE.US,60,20240523,210000,51.83,51.83,51.83,51.83,200,0
AVSE.US,60,20240524,160000,52.19,52.19,52.19,52.19,482,0
AVSE.US,60,20240524,210000,52.18,52.18,52.18,52.18,200,0
AVSE.US,60,20240528,160000,52.46,52.46,52.32,52.32,400,0
AVSE.US,60,20240528,170000,52.32,52.32,52.32,52.32,300,0
AVSE.US,60,20240528,190000,52.2301,52.295,52.2301,52.2592,2350,0
AVSE.US,60,20240528,220000,52.09,52.17,52.0501,52.17,2754,0
AVSE.US,60,20240529,160000,51.58,51.58,51.58,51.58,400,0
AVSE.US,60,20240529,180000,51.49,51.49,51.49,51.49,242,0
AVSE.US,60,20240529,200000,51.4802,51.52,51.4802,51.52,460,0
AVSE.US,60,20240529,210000,51.5325,51.5325,51.5325,51.5325,388,0
AVSE.US,60,20240530,160000,51.23,51.23,51.23,51.23,100,0
AVSE.US,60,20240530,170000,51.34,51.34,51.34,51.34,186,0
AVSE.US,60,20240531,160000,51.04,51.04,51.04,51.04,305,0
AVSE.US,60,20240531,170000,50.76,50.76,50.76,50.76,100,0
AVSE.US,60,20240531,180000,50.69,50.69,50.68,50.68,234,0
AVSE.US,60,20240603,190000,51.21,51.21,51.21,51.21,141,0
AVSE.US,60,20240604,160000,50.58,50.58,50.58,50.58,300,0
AVSE.US,60,20240604,170000,50.51,50.51,50.51,50.51,100,0
AVSE.US,60,20240604,180000,50.41,50.41,50.41,50.41,200,0
AVSE.US,60,20240604,190000,50.31,50.31,50.31,50.31,100,0
AVSE.US,60,20240605,160000,51.03,51.03,51.03,51.03,300,0
AVSE.US,60,20240605,170000,51.11,51.1201,51.11,51.1201,480,0
AVSE.US,60,20240605,180000,51.26,51.26,51.26,51.26,200,0
AVSE.US,60,20240605,200000,51.22,51.22,51.22,51.22,100,0
AVSE.US,60,20240605,220000,51.33,51.33,51.275,51.275,464,0
AVSE.US,60,20240606,180000,51.64,51.66,51.64,51.66,200,0
AVSE.US,60,20240606,210000,51.67,51.67,51.67,51.67,1165,0
AVSE.US,60,20240606,220000,51.65,51.65,51.61,51.61,334,0
AVSE.US,60,20240607,170000,51.58,51.61,51.58,51.61,433,0
AVSE.US,60,20240607,210000,51.255,51.335,51.215,51.2907,8489,0
AVSE.US,60,20240610,160000,51.4,51.4,51.37,51.37,257,0
AVSE.US,60,20240612,180000,51.24,52.09,51.152,52.09,2668,0
AVSE.US,60,20240612,190000,52.08,52.08,52.08,52.08,439,0
AVSE.US,60,20240612,210000,51.97,51.97,51.97,51.97,100,0
AVSE.US,60,20240613,160000,51.98,51.98,51.98,51.98,137,0
AVSE.US,60,20240613,190000,51.713,51.713,51.713,51.713,1165,0
AVSE.US,60,20240613,220000,51.83,51.84,51.8,51.8,1600,0
AVSE.US,60,20240614,180000,51.78,51.78,51.724,51.724,607,0
AVSE.US,60,20240617,170000,51.94,51.94,51.9,51.9,212,0
AVSE.US,60,20240617,180000,51.91,51.96,51.91,51.96,642,0
AVSE.US,60,20240617,190000,51.955,52.03,51.955,52.03,1710,0
AVSE.US,60,20240617,200000,52.15,52.15,52.15,52.15,100,0
AVSE.US,60,20240618,170000,52.68,52.68,52.68,52.68,100,0
AVSE.US,60,20240618,180000,52.58,52.58,52.58,52.58,477,0
AVSE.US,60,20240618,190000,52.68,52.74,52.61,52.63,3635,0
AVSE.US,60,20240618,220000,52.641,52.641,52.641,52.641,125,0
AVSE.US,60,20240620,160000,52.8,52.8,52.69,52.69,381,0
AVSE.US,60,20240620,170000,52.5715,52.5715,52.515,52.515,235,0
AVSE.US,60,20240620,180000,52.42,52.43,52.42,52.43,666,0
AVSE.US,60,20240620,190000,52.31,52.31,52.31,52.31,500,0
AVSE.US,60,20240620,210000,52.41,52.41,52.39,52.39,449,0
AVSE.US,60,20240620,220000,52.48,52.48,52.48,52.48,300,0
AVSE.US,60,20240621,160000,52.35,52.35,52.35,52.35,100,0
AVSE.US,60,20240621,210000,52.28,52.3,52.28,52.3,414,0
AVSE.US,60,20240621,220000,52.24,52.24,52.24,52.24,118,0
AVSE.US,60,20240624,170000,52.18,52.18,52.18,52.18,227,0
AVSE.US,60,20240624,180000,52.06,52.08,52.06,52.08,1696,0
AVSE.US,60,20240624,190000,51.93,51.93,51.93,51.93,100,0
AVSE.US,60,20240624,220000,51.87,51.87,51.87,51.87,300,0
AVSE.US,60,20240625,180000,51.72,51.72,51.6845,51.6845,255,0
AVSE.US,60,20240625,190000,51.62,51.62,51.62,51.62,100,0
AVSE.US,60,20240625,200000,51.78,51.78,51.78,51.78,100,0
AVSE.US,60,20240625,220000,51.83,51.83,51.83,51.83,300,0
AVSE.US,60,20240626,160000,51.62,51.62,51.55,51.58,676,0
AVSE.US,60,20240626,170000,51.5724,51.5724,51.5724,51.5724,425,0
AVSE.US,60,20240626,220000,51.58,51.65,51.58,51.6031,1320,0
AVSE.US,60,20240627,190000,51.6,51.6,51.6,51.6,581,0
AVSE.US,60,20240627,200000,51.55,51.68,51.55,51.68,973,0
AVSE.US,60,20240627,210000,51.59,51.59,51.59,51.59,100,0
AVSE.US,60,20240627,220000,51.67,51.67,51.595,51.595,340,0
AVSE.US,60,20240628,180000,51.95,51.95,51.95,51.95,155,0
