<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BBBI.US,60,20240411,190000,49.14,49.14,49.12,49.12,1000,0
BBBI.US,60,20240412,170000,49.27,49.27,49.27,49.27,200,0
BBBI.US,60,20240412,180000,49.24,49.24,49.24,49.24,100,0
BBBI.US,60,20240412,190000,49.24,49.26,49.24,49.26,5100,0
BBBI.US,60,20240412,200000,49.25,49.25,49.25,49.25,200,0
BBBI.US,60,20240412,210000,49.28,49.28,49.28,49.28,600,0
BBBI.US,60,20240412,220000,49.26,49.26,49.2,49.2,600,0
BBBI.US,60,20240415,160000,48.99,48.99,48.99,48.99,400,0
BBBI.US,60,20240415,170000,48.94,48.94,48.94,48.94,200,0
BBBI.US,60,20240415,180000,48.86,48.86,48.86,48.86,800,0
BBBI.US,60,20240415,190000,48.87,48.87,48.87,48.87,400,0
BBBI.US,60,20240415,200000,48.85,48.85,48.85,48.85,200,0
BBBI.US,60,20240415,210000,48.8,48.81,48.8,48.81,300,0
BBBI.US,60,20240415,220000,48.81,48.81,48.8,48.8,1300,0
BBBI.US,60,20240418,170000,48.84,48.84,48.84,48.84,300,0
BBBI.US,60,20240418,190000,48.79,48.79,48.79,48.79,200,0
BBBI.US,60,20240418,200000,48.79,48.79,48.79,48.79,200,0
BBBI.US,60,20240418,220000,48.79,48.79,48.79,48.79,300,0
BBBI.US,60,20240419,170000,48.88,48.88,48.88,48.88,600,0
BBBI.US,60,20240419,220000,48.83,48.83,48.83,48.83,300,0
BBBI.US,60,20240422,160000,48.82,48.85,48.82,48.85,300,0
BBBI.US,60,20240422,170000,48.86,48.86,48.86,48.86,400,0
BBBI.US,60,20240422,220000,48.94,48.94,48.93,48.93,500,0
BBBI.US,60,20240423,160000,49.03,49.03,49.03,49.03,100,0
BBBI.US,60,20240423,220000,49.06,49.06,49.06,49.06,300,0
BBBI.US,60,20240424,170000,48.87,48.87,48.87,48.87,200,0
BBBI.US,60,20240424,220000,48.92,48.92,48.91,48.92,1600,0
BBBI.US,60,20240425,160000,48.63,48.63,48.63,48.63,200,0
BBBI.US,60,20240425,220000,48.8,48.8,48.8,48.8,300,0
BBBI.US,60,20240426,160000,48.98,49.01,48.98,49.01,500,0
BBBI.US,60,20240426,170000,49.01,49.01,49,49,600,0
BBBI.US,60,20240426,180000,48.96,48.97,48.96,48.97,600,0
BBBI.US,60,20240426,190000,48.97,48.99,48.97,48.99,400,0
BBBI.US,60,20240426,200000,48.98,48.98,48.98,48.98,400,0
BBBI.US,60,20240426,210000,48.96,48.96,48.96,48.96,200,0
BBBI.US,60,20240426,220000,48.95,48.96,48.95,48.96,1900,0
BBBI.US,60,20240429,160000,49.09,49.09,49.09,49.09,300,0
BBBI.US,60,20240429,170000,49.05,49.05,49.05,49.05,200,0
BBBI.US,60,20240429,180000,49.13,49.13,49.13,49.13,600,0
BBBI.US,60,20240429,210000,49.12,49.12,49.12,49.12,200,0
BBBI.US,60,20240429,220000,49.11,49.11,49.09,49.09,500,0
BBBI.US,60,20240430,160000,48.97,48.97,48.97,48.97,200,0
BBBI.US,60,20240430,190000,48.98,48.98,48.98,48.98,200,0
BBBI.US,60,20240430,220000,48.91,48.91,48.91,48.91,800,0
BBBI.US,60,20240501,170000,48.83,48.84,48.82,48.82,3800,0
BBBI.US,60,20240501,200000,48.77,48.77,48.77,48.77,100,0
BBBI.US,60,20240501,210000,48.79,48.79,48.75,48.75,2800,0
BBBI.US,60,20240501,220000,48.89,48.89,48.87,48.87,400,0
BBBI.US,60,20240502,210000,49.15,49.15,49.15,49.15,200,0
BBBI.US,60,20240502,220000,49.16,49.16,49.16,49.16,700,0
BBBI.US,60,20240506,160000,49.49,49.49,49.48,49.49,2600,0
BBBI.US,60,20240506,220000,49.52,49.52,49.52,49.52,300,0
BBBI.US,60,20240507,200000,49.67,49.67,49.63,49.63,500,0
BBBI.US,60,20240507,220000,49.5438,49.5438,49.53,49.53,1068,0
BBBI.US,60,20240508,160000,49.42,49.42,49.42,49.42,101,0
BBBI.US,60,20240510,220000,49.35,49.35,49.35,49.35,303,0
BBBI.US,60,20240513,160000,49.5,49.5,49.5,49.5,600,0
BBBI.US,60,20240513,220000,49.37,49.37,49.37,49.37,103,0
BBBI.US,60,20240514,200000,49.51,49.51,49.51,49.51,200,0
BBBI.US,60,20240516,220000,49.81,49.81,49.8,49.8,1201,0
BBBI.US,60,20240517,180000,49.8,49.8,49.76,49.76,400,0
BBBI.US,60,20240520,160000,49.71,49.71,49.71,49.71,600,0
BBBI.US,60,20240520,170000,49.74,49.74,49.72,49.72,600,0
BBBI.US,60,20240520,220000,49.7,49.7,49.7,49.7,301,0
BBBI.US,60,20240521,190000,49.7901,49.7901,49.7901,49.7901,200,0
BBBI.US,60,20240528,160000,49.729,49.7299,49.64,49.64,1064,0
BBBI.US,60,20240528,190000,49.54,49.55,49.54,49.55,500,0
BBBI.US,60,20240528,220000,49.39,49.39,49.39,49.39,301,0
BBBI.US,60,20240529,170000,49.29,49.29,49.28,49.28,400,0
BBBI.US,60,20240529,220000,49.265,49.28,49.265,49.2732,1500,0
BBBI.US,60,20240531,210000,49.65,49.65,49.65,49.65,200,0
BBBI.US,60,20240531,220000,49.68,49.73,49.68,49.73,1500,0
BBBI.US,60,20240603,160000,49.56,49.56,49.56,49.56,300,0
BBBI.US,60,20240603,170000,49.66,49.67,49.66,49.67,1200,0
BBBI.US,60,20240603,210000,49.7,49.74,49.7,49.73,14422,0
BBBI.US,60,20240604,220000,49.7,49.87,49.7,49.85,1604,0
BBBI.US,60,20240605,160000,49.97,49.97,49.96,49.97,1300,0
BBBI.US,60,20240605,170000,49.8699,49.8699,49.8699,49.8699,100,0
BBBI.US,60,20240605,200000,49.97,49.98,49.97,49.98,6000,0
BBBI.US,60,20240607,180000,50.005,50.005,49.68,49.68,353,0
BBBI.US,60,20240612,210000,50.16,50.17,50.16,50.17,800,0
BBBI.US,60,20240613,180000,50.14,50.14,50.139,50.139,600,0
BBBI.US,60,20240613,200000,50.22,50.22,50.22,50.22,100,0
BBBI.US,60,20240617,220000,50,50,50,50,200,0
BBBI.US,60,20240618,190000,50.1766,50.22,50.1766,50.2199,555,0
BBBI.US,60,20240626,210000,50.06,50.06,49.89,49.89,600,0
BBBI.US,60,20240627,200000,50.03,50.0301,50.03,50.0301,600,0
BBBI.US,60,20240701,160000,49.77,49.77,49.57,49.57,1300,0
BBBI.US,60,20240705,180000,50.1999,50.1999,50.1999,50.1999,100,0
BBBI.US,60,20240711,200000,50.47,50.47,50.47,50.47,200,0
BBBI.US,60,20240715,180000,50.5,50.5,50.5,50.5,1000,0
BBBI.US,60,20240716,220000,50.62,50.66,50.62,50.62,6800,0
BBBI.US,60,20240723,190000,50.45,50.45,50.45,50.45,100,0
BBBI.US,60,20240726,170000,50.5245,50.5245,50.5245,50.5245,478,0
BBBI.US,60,20240726,180000,50.4816,50.4816,50.4816,50.4816,300,0
BBBI.US,60,20240729,200000,50.65,50.65,50.65,50.65,626,0
