<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BKF.US,60,20240412,160000,34.24,34.24,34.24,34.24,406,0
BKF.US,60,20240412,170000,34,34,34,34,200,0
BKF.US,60,20240412,220000,33.86,33.86,33.86,33.86,116,0
BKF.US,60,20240415,160000,33.95,33.95,33.95,33.95,100,0
BKF.US,60,20240415,170000,33.87,33.89,33.85,33.85,400,0
BKF.US,60,20240415,180000,33.86,33.9243,33.86,33.91,1400,0
BKF.US,60,20240415,190000,33.91,33.91,33.85,33.85,200,0
BKF.US,60,20240415,200000,33.82,33.82,33.82,33.82,100,0
BKF.US,60,20240415,210000,33.69,33.71,33.69,33.71,300,0
BKF.US,60,20240415,220000,33.69,33.7,33.69,33.7,300,0
BKF.US,60,20240416,160000,33.53,33.53,33.35,33.35,767,0
BKF.US,60,20240416,170000,33.43,33.44,33.39,33.44,400,0
BKF.US,60,20240416,180000,33.445,33.445,33.445,33.445,100,0
BKF.US,60,20240416,190000,33.46,33.46,33.46,33.46,100,0
BKF.US,60,20240416,200000,33.47,33.47,33.43,33.45,400,0
BKF.US,60,20240416,210000,33.46,33.53,33.46,33.5,500,0
BKF.US,60,20240416,220000,33.46,33.4811,33.45,33.4811,863,0
BKF.US,60,20240417,170000,33.47,33.47,33.47,33.47,300,0
BKF.US,60,20240417,180000,33.46,33.46,33.4401,33.45,700,0
BKF.US,60,20240417,190000,33.44,33.44,33.38,33.38,310,0
BKF.US,60,20240417,200000,33.43,33.49,33.43,33.49,300,0
BKF.US,60,20240417,210000,33.51,33.61,33.51,33.51,3926,0
BKF.US,60,20240417,220000,33.48,33.48,33.47,33.47,200,0
BKF.US,60,20240418,170000,33.68,33.735,33.68,33.735,500,0
BKF.US,60,20240418,180000,33.68,33.68,33.68,33.68,200,0
BKF.US,60,20240418,210000,33.6203,33.6203,33.6203,33.6203,1350,0
BKF.US,60,20240419,170000,33.72,33.72,33.72,33.72,100,0
BKF.US,60,20240419,190000,33.7,33.7,33.7,33.7,100,0
BKF.US,60,20240422,160000,33.95,33.95,33.95,33.95,100,0
BKF.US,60,20240422,190000,34.17,34.17,34.17,34.17,300,0
BKF.US,60,20240422,220000,34.22,34.22,34.22,34.22,100,0
BKF.US,60,20240423,160000,34.3,34.38,34.3,34.38,607,0
BKF.US,60,20240423,170000,34.36,34.42,34.36,34.37,305,0
BKF.US,60,20240423,180000,34.4,34.41,34.39,34.39,315,0
BKF.US,60,20240423,190000,34.4,34.5,34.4,34.5,305,0
BKF.US,60,20240423,200000,34.49,34.5,34.49,34.5,205,0
BKF.US,60,20240423,210000,34.49,34.49,34.49,34.49,315,0
BKF.US,60,20240423,220000,34.49,34.49,34.49,34.49,210,0
BKF.US,60,20240424,160000,34.77,34.77,34.77,34.77,300,0
BKF.US,60,20240424,210000,34.77,34.77,34.7,34.7,1600,0
BKF.US,60,20240424,220000,34.71,34.71,34.71,34.71,100,0
BKF.US,60,20240425,180000,34.7688,34.7688,34.7688,34.7688,288,0
BKF.US,60,20240425,210000,34.9,34.9,34.9,34.9,288,0
BKF.US,60,20240426,160000,35.33,35.4565,35.3,35.4565,1421,0
BKF.US,60,20240426,170000,35.38,35.38,35.38,35.38,100,0
BKF.US,60,20240426,200000,35.35,35.35,35.35,35.35,100,0
BKF.US,60,20240426,210000,35.35,35.35,35.35,35.35,281,0
BKF.US,60,20240426,220000,35.3258,35.3258,35.3258,35.3258,247,0
BKF.US,60,20240429,170000,35.45,35.45,35.45,35.45,100,0
BKF.US,60,20240429,180000,35.4519,35.4601,35.4519,35.4601,900,0
BKF.US,60,20240429,190000,35.5,35.5683,35.5,35.5683,1008,0
BKF.US,60,20240430,160000,35.26,35.26,35.26,35.26,1000,0
BKF.US,60,20240501,190000,35.16,35.235,35.16,35.235,404,0
BKF.US,60,20240501,220000,35.295,35.295,35.295,35.295,567,0
BKF.US,60,20240502,160000,35.92,35.92,35.92,35.92,200,0
BKF.US,60,20240502,170000,36.0685,36.07,36.0685,36.07,600,0
BKF.US,60,20240502,180000,36.225,36.225,36.225,36.225,100,0
BKF.US,60,20240502,190000,36.28,36.28,36.28,36.28,121,0
BKF.US,60,20240502,200000,36.46,36.51,36.46,36.51,200,0
BKF.US,60,20240502,210000,36.5643,36.5643,36.535,36.535,296,0
BKF.US,60,20240502,220000,36.42,36.42,36.42,36.42,697,0
BKF.US,60,20240506,160000,36.48,36.48,36.48,36.48,757,0
BKF.US,60,20240506,190000,36.475,36.475,36.475,36.475,200,0
BKF.US,60,20240506,200000,36.51,36.51,36.5099,36.5099,212,0
BKF.US,60,20240507,170000,36.19,36.19,36.19,36.19,300,0
BKF.US,60,20240507,190000,36.24,36.24,36.2,36.2,1100,0
BKF.US,60,20240507,200000,36.24,36.24,36.2,36.2,400,0
BKF.US,60,20240507,210000,36.2,36.2,36.2,36.2,840,0
BKF.US,60,20240508,180000,36.0699,36.0699,36.0699,36.0699,100,0
BKF.US,60,20240509,170000,36.225,36.225,36.21,36.21,400,0
BKF.US,60,20240509,190000,36.255,36.255,36.246,36.246,200,0
BKF.US,60,20240509,200000,36.27,36.28,36.27,36.2799,543,0
BKF.US,60,20240509,210000,36.28,36.28,36.28,36.28,253,0
BKF.US,60,20240509,220000,36.319,36.319,36.319,36.319,400,0
BKF.US,60,20240510,190000,36.4,36.4,36.4,36.4,608,0
BKF.US,60,20240513,160000,36.73,36.73,36.73,36.73,206,0
BKF.US,60,20240513,210000,36.895,36.895,36.895,36.895,100,0
BKF.US,60,20240514,160000,36.78,36.86,36.78,36.86,1040,0
BKF.US,60,20240514,180000,36.9854,36.9854,36.9854,36.9854,200,0
BKF.US,60,20240514,200000,36.915,36.9594,36.915,36.9586,300,0
BKF.US,60,20240514,210000,36.9285,36.96,36.9,36.96,5963,0
BKF.US,60,20240514,220000,36.88,36.9696,36.88,36.9,1100,0
BKF.US,60,20240515,160000,37.03,37.03,37.03,37.03,849,0
BKF.US,60,20240515,170000,36.8417,36.93,36.8417,36.93,634,0
BKF.US,60,20240515,180000,36.94,37.0729,36.94,37.0729,400,0
BKF.US,60,20240515,190000,37.015,37.09,36.96,37.05,820,0
BKF.US,60,20240515,200000,37.04,37.04,37.02,37.02,289,0
BKF.US,60,20240515,210000,37.04,37.04,37.03,37.03,750,0
BKF.US,60,20240516,160000,37.27,37.27,37.27,37.27,141,0
BKF.US,60,20240516,170000,37.3,37.32,37.28,37.32,7400,0
BKF.US,60,20240516,180000,37.495,37.495,37.44,37.44,206,0
BKF.US,60,20240516,190000,37.4702,37.4702,37.4702,37.4702,100,0
BKF.US,60,20240516,200000,37.49,37.5,37.49,37.49,1000,0
BKF.US,60,20240516,210000,37.52,37.55,37.52,37.55,200,0
BKF.US,60,20240516,220000,37.6,37.6,37.5001,37.5001,699,0
BKF.US,60,20240517,160000,37.63,37.63,37.63,37.63,406,0
BKF.US,60,20240517,170000,37.64,37.64,37.64,37.64,5000,0
BKF.US,60,20240517,180000,37.88,37.88,37.7999,37.805,400,0
BKF.US,60,20240517,190000,37.8,37.8,37.759,37.759,346,0
BKF.US,60,20240517,200000,37.85,37.85,37.8303,37.84,400,0
BKF.US,60,20240517,210000,37.82,37.84,37.82,37.84,400,0
BKF.US,60,20240520,160000,37.73,37.73,37.73,37.73,100,0
BKF.US,60,20240520,170000,37.78,37.78,37.78,37.78,100,0
BKF.US,60,20240520,180000,37.7,37.7,37.7,37.7,100,0
BKF.US,60,20240520,210000,37.645,37.645,37.645,37.645,100,0
BKF.US,60,20240521,160000,37.37,37.37,37.34,37.34,1869,0
BKF.US,60,20240521,170000,37.34,37.34,37.3,37.3101,4490,0
BKF.US,60,20240521,180000,37.324,37.324,37.324,37.324,100,0
BKF.US,60,20240521,190000,37.25,37.25,37.25,37.25,133,0
BKF.US,60,20240521,210000,37.27,37.27,37.26,37.26,420,0
BKF.US,60,20240522,170000,37.1325,37.1325,37.1325,37.1325,100,0
BKF.US,60,20240522,180000,37.0932,37.1225,37.09,37.09,996,0
BKF.US,60,20240522,220000,37.02,37.09,37.02,37.09,747,0
BKF.US,60,20240523,160000,37.09,37.14,37.09,37.14,937,0
BKF.US,60,20240523,180000,36.96,36.96,36.87,36.87,879,0
BKF.US,60,20240524,200000,36.89,36.89,36.89,36.89,325,0
BKF.US,60,20240524,210000,36.89,36.94,36.89,36.94,3034,0
BKF.US,60,20240528,160000,36.89,36.89,36.89,36.89,305,0
BKF.US,60,20240528,170000,36.775,36.775,36.775,36.775,135,0
BKF.US,60,20240528,190000,36.77,36.77,36.72,36.72,786,0
BKF.US,60,20240528,210000,36.7,36.7,36.7,36.7,225,0
BKF.US,60,20240529,180000,36.24,36.24,36.24,36.24,134,0
BKF.US,60,20240530,190000,36.28,36.29,36.28,36.28,2391,0
BKF.US,60,20240530,210000,36.32,36.32,36.32,36.32,100,0
BKF.US,60,20240531,160000,35.94,35.94,35.94,35.94,103,0
