<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BNKU.US,60,20250221,160000,23.17,23.17,23.17,23.17,150,0
BNKU.US,60,20250224,180000,21.8,21.8,21.8,21.8,100,0
BNKU.US,60,20250225,170000,20.8514,20.8514,20.8514,20.8514,150,0
BNKU.US,60,20250226,160000,21.64,21.64,21.64,21.64,100,0
BNKU.US,60,20250228,220000,22.25,22.25,22.25,22.25,722,0
BNKU.US,60,20250303,160000,22.59,22.84,22.59,22.84,400,0
BNKU.US,60,20250303,170000,22.97,22.97,22.7727,22.7727,370,0
BNKU.US,60,20250303,180000,22.31,22.31,22.05,22.05,350,0
BNKU.US,60,20250303,190000,22.45,22.483,22.45,22.4701,572,0
BNKU.US,60,20250304,170000,17.93,17.9393,17.5904,17.61,3388,0
BNKU.US,60,20250304,220000,19.385,19.385,18.054,18.054,2627,0
BNKU.US,60,20250305,160000,18.28,18.28,18.28,18.28,100,0
BNKU.US,60,20250305,170000,18.25,18.25,18.17,18.17,425,0
BNKU.US,60,20250305,180000,17.8,17.8,17.6201,17.6201,3200,0
BNKU.US,60,20250305,190000,17.815,17.99,17.815,17.99,900,0
BNKU.US,60,20250305,200000,17.99,17.99,17.99,17.99,200,0
BNKU.US,60,20250305,220000,18.61,18.61,18.58,18.58,500,0
BNKU.US,60,20250306,160000,17.12,17.5199,17,17.5199,776,0
BNKU.US,60,20250306,170000,17.84,17.84,17.83,17.83,766,0
BNKU.US,60,20250306,180000,17.6,17.6,17.6,17.6,500,0
BNKU.US,60,20250306,190000,17.5,17.5,17.18,17.18,2500,0
BNKU.US,60,20250306,210000,17,17.3772,17,17.3772,1200,0
BNKU.US,60,20250306,220000,16.88,16.88,16.88,16.88,120,0
BNKU.US,60,20250307,170000,16.1,16.24,16.1,16.24,1100,0
BNKU.US,60,20250307,210000,16.928,16.99,16.928,16.99,2250,0
BNKU.US,60,20250307,220000,16.95,16.95,16.895,16.895,999,0
BNKU.US,60,20250310,150000,15.54,15.55,15.53,15.55,700,0
BNKU.US,60,20250310,160000,15.365,15.365,15.04,15.04,538,0
BNKU.US,60,20250310,170000,15.02,15.02,15.02,15.02,549,0
BNKU.US,60,20250310,180000,15,15,14.68,14.68,5002,0
BNKU.US,60,20250310,190000,14.51,14.52,14.19,14.19,1985,0
BNKU.US,60,20250310,200000,14.08,14.08,13.95,13.95,2455,0
BNKU.US,60,20250310,210000,13.94,14.51,13.86,14.47,4887,0
BNKU.US,60,20250311,150000,14.68,14.68,14.6,14.6,1200,0
BNKU.US,60,20250311,160000,14.16,14.17,14.16,14.17,230,0
BNKU.US,60,20250311,170000,14.47,14.47,14.47,14.47,100,0
BNKU.US,60,20250311,180000,14.35,14.35,14.35,14.35,100,0
BNKU.US,60,20250311,190000,14.075,14.075,14.075,14.075,1000,0
BNKU.US,60,20250311,200000,14.51,14.51,14.51,14.51,300,0
BNKU.US,60,20250312,150000,15.16,15.17,14.8391,14.92,3345,0
BNKU.US,60,20250312,160000,14.85,14.85,14.5,14.5001,11514,0
BNKU.US,60,20250312,180000,14.83,14.88,14.83,14.88,4099,0
BNKU.US,60,20250312,190000,14.93,15,14.93,15,350,0
BNKU.US,60,20250312,210000,14.82,14.89,14.75,14.75,6465,0
BNKU.US,60,20250313,150000,14.8,14.8,14.55,14.55,2500,0
BNKU.US,60,20250313,160000,14.7617,14.7617,14.7617,14.7617,200,0
BNKU.US,60,20250313,170000,14.5999,14.5999,14.28,14.28,850,0
BNKU.US,60,20250313,180000,14.249,14.25,14.0265,14.15,2876,0
BNKU.US,60,20250313,190000,14.15,14.15,14.05,14.05,5191,0
BNKU.US,60,20250313,200000,14.16,14.16,14.16,14.16,100,0
BNKU.US,60,20250314,150000,14.75,15.01,14.75,15,2000,0
BNKU.US,60,20250314,160000,14.93,15.07,14.93,15.07,5196,0
BNKU.US,60,20250314,170000,15.325,15.41,15.325,15.35,8115,0
BNKU.US,60,20250314,180000,15.37,15.47,15.37,15.47,548,0
BNKU.US,60,20250314,190000,15.469,15.47,15.469,15.47,870,0
BNKU.US,60,20250314,210000,15.38,15.38,15.38,15.38,162,0
BNKU.US,60,20250317,150000,15.64,15.64,15.57,15.57,520,0
BNKU.US,60,20250317,160000,15.579,15.6,15.5507,15.6,1142,0
BNKU.US,60,20250317,190000,15.91,16.05,15.9,16.05,1565,0
BNKU.US,60,20250317,200000,16.04,16.22,16.04,16.21,300,0
BNKU.US,60,20250317,210000,16.14,16.14,16.08,16.08,1200,0
BNKU.US,60,20250318,190000,15.8394,15.8394,15.8394,15.8394,268,0
BNKU.US,60,20250318,200000,15.8808,15.9,15.8808,15.9,1330,0
BNKU.US,60,20250318,210000,15.87,15.87,15.87,15.87,100,0
BNKU.US,60,20250319,160000,16.18,16.19,16.18,16.19,242,0
BNKU.US,60,20250319,170000,16.29,16.29,16.29,16.29,200,0
BNKU.US,60,20250319,180000,16.55,16.55,16.44,16.44,200,0
BNKU.US,60,20250319,200000,16.27,16.5,16.27,16.5,692,0
BNKU.US,60,20250319,210000,17.16,17.16,16.7,16.7,600,0
BNKU.US,60,20250320,160000,16.95,17.02,16.92,17.02,487,0
BNKU.US,60,20250320,190000,16.869,16.869,16.7126,16.78,908,0
BNKU.US,60,20250320,210000,16.66,16.66,16.66,16.66,106,0
BNKU.US,60,20250321,160000,16.03,16.219,16.03,16.18,2269,0
BNKU.US,60,20250321,170000,16.431,16.5,16.431,16.5,785,0
BNKU.US,60,20250321,180000,16.55,16.55,16.55,16.55,1000,0
BNKU.US,60,20250321,190000,16.75,16.75,16.75,16.75,100,0
BNKU.US,60,20250321,200000,16.78,16.78,16.78,16.78,100,0
BNKU.US,60,20250324,160000,17.8,17.859,17.7101,17.7101,858,0
BNKU.US,60,20250324,180000,17.67,17.67,17.66,17.67,700,0
