<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BULZ.US,60,20240411,160000,134.34,134.69,132.99,133.78,19000,0
BULZ.US,60,20240411,170000,133.44,134.3399,131.35,133.75,20208,0
BULZ.US,60,20240411,180000,133.77,135.67,133.76,135.62,13111,0
BULZ.US,60,20240411,190000,135.62,136.1583,135.01,135.7,14545,0
BULZ.US,60,20240411,200000,135.73,138.62,135.27,138.62,32031,0
BULZ.US,60,20240411,210000,138.53,140.2,138.53,139.55,17735,0
BULZ.US,60,20240411,220000,139.58,140.6987,139.55,140,11357,0
BULZ.US,60,20240412,160000,134.96,135.69,134.27,135.19,24819,0
BULZ.US,60,20240412,170000,135.24,135.27,131.76,131.76,41699,0
BULZ.US,60,20240412,180000,131.8,134.155,131.78,133.59,13163,0
BULZ.US,60,20240412,190000,133.35,133.6,130.575,130.9,12860,0
BULZ.US,60,20240412,200000,130.8899,131.63,130,131.16,25298,0
BULZ.US,60,20240412,210000,130.67,131.64,130,130.28,49624,0
BULZ.US,60,20240412,220000,129.75,131.62,129.71,130.99,57077,0
BULZ.US,60,20240415,160000,132.52,132.52,130,131.98,18102,0
BULZ.US,60,20240415,170000,131.7,132.07,128.7414,129.18,16386,0
BULZ.US,60,20240415,180000,128.775,130.17,128.775,129.98,7851,0
BULZ.US,60,20240415,190000,129.98,130.25,127.21,127.25,6493,0
BULZ.US,60,20240415,200000,127.33,128.132,122,123.11,28600,0
BULZ.US,60,20240415,210000,123.07,123.35,121.8818,122.7,13786,0
BULZ.US,60,20240415,220000,122.05,122.51,121.35,121.95,19085,0
BULZ.US,60,20240416,160000,120.75,122.35,120,122.35,13760,0
BULZ.US,60,20240416,170000,122.07,123.24,120.72,122.08,6731,0
BULZ.US,60,20240416,180000,122.18,123.975,122.17,122.575,9888,0
BULZ.US,60,20240416,190000,122.28,123.4,122.27,123.4,5276,0
BULZ.US,60,20240416,200000,123.15,123.56,121.36,122.92,8225,0
BULZ.US,60,20240416,210000,122.62,125.14,122.35,124.33,10356,0
BULZ.US,60,20240416,220000,124.4,124.4,122.94,122.94,8581,0
BULZ.US,60,20240417,160000,125.05,125.05,122.94,123.035,3538,0
BULZ.US,60,20240417,170000,123.02,123.02,120.7746,121.25,6149,0
BULZ.US,60,20240417,180000,121.46,122.31,119.89,120.04,6972,0
BULZ.US,60,20240417,190000,119.53,119.53,116.5,116.69,10609,0
BULZ.US,60,20240417,200000,116.786,119.53,116.786,119.53,16080,0
BULZ.US,60,20240417,210000,119.27,120.45,118.7065,120.09,4961,0
BULZ.US,60,20240417,220000,118.0541,118.38,117,117,10586,0
BULZ.US,60,20240418,160000,117.16,117.24,113.86,115.66,44480,0
BULZ.US,60,20240418,170000,116,118.82,115.57,118.4801,23082,0
BULZ.US,60,20240418,180000,118.14,119,117.26,117.45,12986,0
BULZ.US,60,20240418,190000,117.48,117.48,115.25,115.73,18075,0
BULZ.US,60,20240418,200000,115.67,115.67,113.76,114.005,31344,0
BULZ.US,60,20240418,210000,113.8,114.94,113.4801,113.4801,8981,0
BULZ.US,60,20240418,220000,113.94,114.92,113.48,113.85,28751,0
BULZ.US,60,20240419,160000,110.65,110.86,108.725,109.44,38910,0
BULZ.US,60,20240419,170000,110.11,110.16,106.94,108.22,60848,0
BULZ.US,60,20240419,180000,108.12,108.12,105.63,105.63,21049,0
BULZ.US,60,20240419,190000,105.6342,106.3199,103.3,105.0345,34286,0
BULZ.US,60,20240419,200000,105.07,105.985,104.84,105.5,14845,0
BULZ.US,60,20240419,210000,105.31,105.31,101.2947,101.805,51523,0
BULZ.US,60,20240419,220000,101.51,102.59,100.55,102.08,51383,0
BULZ.US,60,20240422,160000,104.08,105.5,103.51,104.3,35132,0
BULZ.US,60,20240422,170000,103.8546,104.59,100.5,100.6,20977,0
BULZ.US,60,20240422,180000,100.875,102.6099,100.1614,102.6099,10290,0
BULZ.US,60,20240422,190000,102.9,103.7054,102.4201,102.7199,8938,0
BULZ.US,60,20240422,200000,103.2799,105.75,103.2799,105.4291,23467,0
BULZ.US,60,20240422,210000,105.05,106.385,105.05,105.84,12793,0
BULZ.US,60,20240422,220000,105.67,105.75,104.2599,104.88,10839,0
BULZ.US,60,20240423,160000,106.94,108.75,106.13,108.465,19352,0
BULZ.US,60,20240423,170000,108.59,110.62,107.99,109.345,17426,0
BULZ.US,60,20240423,180000,109.27,110.486,109,109.51,4443,0
BULZ.US,60,20240423,190000,110.11,111,110,110.15,23897,0
BULZ.US,60,20240423,200000,110.07,111.17,110.07,111.0901,3616,0
BULZ.US,60,20240423,210000,111.18,111.84,111.115,111.5207,7410,0
BULZ.US,60,20240423,220000,111.46,111.51,110.86,111.02,9279,0
BULZ.US,60,20240424,160000,116.11,116.55,114.01,114.65,19036,0
BULZ.US,60,20240424,170000,114.81,115.8775,113.425,113.6631,15429,0
BULZ.US,60,20240424,180000,113.61,113.61,110.87,110.87,23255,0
BULZ.US,60,20240424,190000,111.09,111.46,109.89,111.46,4684,0
BULZ.US,60,20240424,200000,111.49,113.23,111.26,113.155,12821,0
BULZ.US,60,20240424,210000,112.82,112.82,111.35,111.6101,5194,0
BULZ.US,60,20240424,220000,111.91,112.91,111.91,112.76,8012,0
BULZ.US,60,20240425,160000,103.29,106.35,102.35,105.7901,42817,0
BULZ.US,60,20240425,170000,105.92,109.13,105.76,106.42,21732,0
BULZ.US,60,20240425,180000,107,107.91,106.72,107.91,19864,0
BULZ.US,60,20240425,190000,108.2339,110.04,108.21,109.8496,8617,0
BULZ.US,60,20240425,200000,109.65,111.47,109.6,111.23,7775,0
BULZ.US,60,20240425,210000,111.16,111.5982,109.875,109.875,8774,0
BULZ.US,60,20240425,220000,110.77,112.35,110.716,111.66,28144,0
BULZ.US,60,20240426,160000,113.88,114.495,111.91,114.37,18552,0
BULZ.US,60,20240426,170000,114.33,116.48,114,116.3148,51670,0
BULZ.US,60,20240426,180000,116.5,117.07,115.72,116.6399,49003,0
BULZ.US,60,20240426,190000,116,116.73,116,116.56,3630,0
BULZ.US,60,20240426,200000,116.935,117.45,116.64,116.64,4475,0
BULZ.US,60,20240426,210000,116.55,116.55,115.3,115.9213,94644,0
BULZ.US,60,20240426,220000,116.01,116.57,116,116.39,8431,0
BULZ.US,60,20240429,160000,119.87,120.1818,116.49,117.7,21594,0
BULZ.US,60,20240429,170000,118.3318,118.65,117.9,118.51,11885,0
BULZ.US,60,20240429,180000,118.225,119.1399,117.5627,119.1399,3040,0
BULZ.US,60,20240429,190000,119.18,120,119.0581,119.365,4499,0
BULZ.US,60,20240429,200000,119.2578,119.95,118.62,119.75,12164,0
BULZ.US,60,20240429,210000,119.11,119.2974,117.99,118.82,5681,0
BULZ.US,60,20240429,220000,118.64,119.17,116.59,119.17,7129,0
BULZ.US,60,20240430,160000,116.96,118.86,116.96,118.7168,4372,0
BULZ.US,60,20240430,170000,118.99,119,117.23,117.68,3203,0
BULZ.US,60,20240430,180000,117.26,117.4683,115.03,115.4499,6237,0
BULZ.US,60,20240430,190000,115.904,116.39,113.93,114.3799,11066,0
BULZ.US,60,20240430,200000,115.0089,115.1101,113.92,115.1101,4918,0
BULZ.US,60,20240430,210000,115.07,115.07,113.82,114.087,3000,0
BULZ.US,60,20240430,220000,114.3,114.3,111.195,111.195,10584,0
BULZ.US,60,20240501,160000,108.51,109.46,108.07,108.77,14292,0
BULZ.US,60,20240501,170000,108.46,108.8,107.06,108.13,9193,0
BULZ.US,60,20240501,180000,107.97,108,105.8241,105.865,14979,0
BULZ.US,60,20240501,190000,105.76,107.27,105.44,106.7875,9516,0
BULZ.US,60,20240501,200000,106.59,107.78,106.0089,107.73,2875,0
BULZ.US,60,20240501,210000,108.12,113.7351,107.59,113.7351,27341,0
BULZ.US,60,20240501,220000,114.7,115.05,106.67,107.04,28900,0
BULZ.US,60,20240502,160000,110.16,110.82,108.32,108.66,30991,0
BULZ.US,60,20240502,170000,108.05,109.24,105.82,109.24,67472,0
BULZ.US,60,20240502,180000,109.2,109.95,108.8,109.23,14003,0
BULZ.US,60,20240502,190000,109.24,109.52,108.54,109.33,17743,0
BULZ.US,60,20240502,200000,109.48,111.14,109.43,110.34,36175,0
BULZ.US,60,20240502,210000,111.16,112.06,110.8401,111.94,7577,0
BULZ.US,60,20240502,220000,111.88,112.17,111.07,111.79,20384,0
BULZ.US,60,20240506,160000,121.59,123.58,120.68,123.46,19303,0
BULZ.US,60,20240506,170000,123.71,124,122.94,123.2299,5416,0
