<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BUSA.US,60,20240411,170000,29.8201,29.8201,29.8201,29.8201,231,0
BUSA.US,60,20240411,180000,29.87,29.87,29.87,29.87,27995,0
BUSA.US,60,20240411,190000,29.94,29.94,29.93,29.9301,626,0
BUSA.US,60,20240411,220000,30.0228,30.0228,29.99,29.99,300,0
BUSA.US,60,20240412,170000,29.8101,29.8101,29.8101,29.8101,326,0
BUSA.US,60,20240412,180000,29.73,29.73,29.71,29.7101,14080,0
BUSA.US,60,20240412,190000,29.73,29.73,29.63,29.6301,800,0
BUSA.US,60,20240412,220000,29.4805,29.55,29.4805,29.55,631,0
BUSA.US,60,20240415,160000,29.86,29.86,29.86,29.86,991,0
BUSA.US,60,20240415,170000,29.701,29.701,29.701,29.701,112,0
BUSA.US,60,20240415,180000,29.64,29.64,29.6307,29.6307,18354,0
BUSA.US,60,20240415,200000,29.5603,29.5603,29.5603,29.5603,254,0
BUSA.US,60,20240415,210000,29.4199,29.4199,29.4199,29.4199,242,0
BUSA.US,60,20240415,220000,29.41,29.42,29.36,29.42,904,0
BUSA.US,60,20240416,160000,29.37,29.3702,29.23,29.23,1874,0
BUSA.US,60,20240416,170000,29.19,29.19,29.175,29.175,258,0
BUSA.US,60,20240416,180000,29.2,29.2,29.2,29.2,45695,0
BUSA.US,60,20240416,190000,29.21,29.23,29.2,29.23,6427,0
BUSA.US,60,20240416,200000,29.27,29.28,29.1601,29.1601,10685,0
BUSA.US,60,20240416,210000,29.28,29.28,29.19,29.27,3544,0
BUSA.US,60,20240416,220000,29.33,29.33,29.33,29.33,200,0
BUSA.US,60,20240417,160000,29.32,29.32,29.32,29.32,175,0
BUSA.US,60,20240417,170000,29.32,29.32,29.25,29.25,28005,0
BUSA.US,60,20240417,180000,29.2257,29.2257,29.2257,29.2257,187,0
BUSA.US,60,20240417,190000,29.11,29.11,29.11,29.11,200,0
BUSA.US,60,20240417,200000,29.19,29.19,29.19,29.19,100,0
BUSA.US,60,20240417,220000,29.1794,29.19,29.16,29.19,5222,0
BUSA.US,60,20240418,170000,29.3,29.36,29.3,29.36,2119,0
BUSA.US,60,20240418,180000,29.37,29.38,29.32,29.32,1186,0
BUSA.US,60,20240418,190000,29.33,29.33,29.23,29.23,29013,0
BUSA.US,60,20240418,200000,29.24,29.24,29.15,29.17,2002,0
BUSA.US,60,20240418,210000,29.18,29.21,29.17,29.18,2076,0
BUSA.US,60,20240418,220000,29.2,29.25,29.19,29.2,4846,0
BUSA.US,60,20240419,160000,29.21,29.41,29.21,29.41,300,0
BUSA.US,60,20240419,170000,29.5,29.5,29.5,29.5,100,0
BUSA.US,60,20240419,180000,29.48,29.4801,29.48,29.4801,1062,0
BUSA.US,60,20240419,190000,29.44,29.5,29.44,29.4881,14098,0
BUSA.US,60,20240419,210000,29.5,29.5001,29.47,29.47,500,0
BUSA.US,60,20240419,220000,29.49,29.51,29.46,29.51,534,0
BUSA.US,60,20240422,160000,29.57,29.57,29.57,29.57,330,0
BUSA.US,60,20240422,170000,29.648,29.648,29.648,29.648,891,0
BUSA.US,60,20240422,180000,29.63,29.63,29.61,29.625,14372,0
BUSA.US,60,20240422,190000,29.7005,29.7005,29.7005,29.7005,324,0
BUSA.US,60,20240422,200000,29.815,29.88,29.8,29.88,700,0
BUSA.US,60,20240422,210000,29.92,29.92,29.8862,29.8862,519,0
BUSA.US,60,20240422,220000,29.89,29.89,29.76,29.76,2641,0
BUSA.US,60,20240423,160000,29.905,29.905,29.785,29.785,200,0
BUSA.US,60,20240423,170000,29.97,29.97,29.97,29.97,100,0
BUSA.US,60,20240423,180000,30.04,30.04,30.02,30.02,19436,0
BUSA.US,60,20240423,200000,30.041,30.0799,30.04,30.0799,2567,0
BUSA.US,60,20240423,210000,30.06,30.0601,30.04,30.04,1183,0
BUSA.US,60,20240423,220000,30.0091,30.0091,29.98,29.995,1214,0
BUSA.US,60,20240424,170000,29.92,29.92,29.9,29.9,24460,0
BUSA.US,60,20240424,190000,29.84,29.84,29.84,29.84,100,0
BUSA.US,60,20240424,200000,29.84,29.84,29.84,29.84,539,0
BUSA.US,60,20240424,210000,29.9,29.9,29.9,29.9,205,0
BUSA.US,60,20240424,220000,29.92,29.97,29.92,29.97,4676,0
BUSA.US,60,20240425,170000,29.5647,29.5647,29.5534,29.56,2484,0
BUSA.US,60,20240425,180000,29.5201,29.58,29.5201,29.58,32434,0
BUSA.US,60,20240425,190000,29.67,29.675,29.67,29.675,400,0
BUSA.US,60,20240425,200000,29.67,29.67,29.64,29.64,11345,0
BUSA.US,60,20240425,210000,29.7,29.7,29.679,29.679,4197,0
BUSA.US,60,20240425,220000,29.7,29.7986,29.7,29.71,5446,0
BUSA.US,60,20240426,160000,29.79,29.79,29.79,29.79,991,0
BUSA.US,60,20240426,170000,29.81,29.8499,29.79,29.79,19316,0
BUSA.US,60,20240426,180000,29.8,29.82,29.76,29.79,18874,0
BUSA.US,60,20240426,200000,29.87,29.89,29.87,29.87,4059,0
BUSA.US,60,20240426,220000,29.89,29.89,29.84,29.84,710,0
BUSA.US,60,20240429,170000,29.8901,29.91,29.8901,29.91,36899,0
BUSA.US,60,20240429,180000,29.91,29.91,29.91,29.91,171,0
BUSA.US,60,20240429,220000,29.85,29.85,29.818,29.82,1369,0
BUSA.US,60,20240430,170000,29.7999,29.7999,29.7999,29.7999,168,0
BUSA.US,60,20240430,180000,29.8,29.8001,29.74,29.75,20230,0
BUSA.US,60,20240430,190000,29.675,29.675,29.675,29.675,136,0
BUSA.US,60,20240430,220000,29.64,29.6467,29.64,29.6467,1426,0
BUSA.US,60,20240501,170000,29.38,29.38,29.36,29.3734,27514,0
BUSA.US,60,20240501,180000,29.3507,29.3507,29.3507,29.3507,140,0
BUSA.US,60,20240501,190000,29.37,29.3701,29.37,29.3701,400,0
BUSA.US,60,20240501,200000,29.37,29.37,29.37,29.37,100,0
BUSA.US,60,20240501,220000,29.64,29.64,29.35,29.35,1200,0
BUSA.US,60,20240502,160000,29.53,29.53,29.53,29.53,500,0
BUSA.US,60,20240502,170000,29.35,29.41,29.35,29.41,26174,0
BUSA.US,60,20240502,180000,29.3798,29.3798,29.3649,29.3649,815,0
BUSA.US,60,20240502,210000,29.46,29.46,29.46,29.46,200,0
BUSA.US,60,20240502,220000,29.49,29.4909,29.42,29.45,1982,0
BUSA.US,60,20240506,170000,29.6695,29.67,29.6695,29.67,22541,0
BUSA.US,60,20240506,190000,29.6273,29.6273,29.6273,29.6273,495,0
BUSA.US,60,20240506,210000,29.69,29.69,29.6701,29.6701,654,0
BUSA.US,60,20240506,220000,29.645,29.645,29.645,29.645,475,0
BUSA.US,60,20240507,170000,29.84,29.84,29.84,29.84,202,0
BUSA.US,60,20240507,180000,29.88,29.8802,29.88,29.88,27791,0
BUSA.US,60,20240507,200000,29.875,29.875,29.875,29.875,264,0
BUSA.US,60,20240507,220000,29.853,29.86,29.85,29.85,1100,0
BUSA.US,60,20240508,160000,29.83,29.83,29.82,29.82,366,0
BUSA.US,60,20240508,170000,29.8996,29.925,29.8996,29.925,384,0
BUSA.US,60,20240508,180000,29.92,29.92,29.9,29.9,24969,0
BUSA.US,60,20240508,190000,29.9,29.9,29.9,29.9,100,0
BUSA.US,60,20240508,200000,29.9,29.9,29.9,29.9,100,0
BUSA.US,60,20240508,220000,29.94,29.9511,29.94,29.95,1083,0
BUSA.US,60,20240509,170000,30,30.0228,30,30.0228,1005,0
BUSA.US,60,20240509,180000,30.0203,30.04,30.01,30.01,33420,0
BUSA.US,60,20240509,210000,30.05,30.05,30.05,30.05,750,0
BUSA.US,60,20240510,160000,30.26,30.26,30.26,30.26,990,0
BUSA.US,60,20240510,170000,30.24,30.24,30.24,30.24,315,0
BUSA.US,60,20240510,180000,30.22,30.22,30.22,30.22,20002,0
BUSA.US,60,20240510,200000,30.1701,30.1846,30.1701,30.1846,654,0
BUSA.US,60,20240510,220000,30.24,30.24,30.2,30.2,978,0
BUSA.US,60,20240513,170000,30.26,30.26,30.22,30.22,17382,0
BUSA.US,60,20240513,190000,30.1521,30.1521,30.1521,30.1521,428,0
BUSA.US,60,20240513,200000,30.12,30.12,30.12,30.12,128,0
BUSA.US,60,20240513,210000,30.14,30.14,30.14,30.14,227,0
BUSA.US,60,20240513,220000,30.1669,30.1669,30.12,30.12,1107,0
BUSA.US,60,20240514,170000,30.2059,30.21,30.2059,30.21,5569,0
BUSA.US,60,20240514,210000,30.1386,30.15,30.135,30.15,900,0
BUSA.US,60,20240514,220000,30.14,30.14,30.14,30.14,364,0
BUSA.US,60,20240515,170000,30.27,30.27,30.27,30.27,2163,0
BUSA.US,60,20240515,180000,30.26,30.28,30.26,30.28,35168,0
BUSA.US,60,20240515,190000,30.26,30.26,30.26,30.26,2397,0
BUSA.US,60,20240515,200000,30.3,30.3,30.28,30.28,261,0
BUSA.US,60,20240515,210000,30.2465,30.2465,30.2465,30.2465,252,0
BUSA.US,60,20240515,220000,30.26,30.32,30.26,30.32,2303,0
BUSA.US,60,20240516,170000,30.2986,30.2986,30.2986,30.2986,626,0
BUSA.US,60,20240516,180000,30.36,30.36,30.36,30.36,23328,0
BUSA.US,60,20240516,210000,30.29,30.2901,30.29,30.2901,2478,0
BUSA.US,60,20240516,220000,30.33,30.33,30.29,30.29,489,0
BUSA.US,60,20240517,160000,30.28,30.28,30.28,30.28,700,0
BUSA.US,60,20240517,170000,30.24,30.2546,30.24,30.2546,200,0
BUSA.US,60,20240517,180000,30.27,30.27,30.27,30.27,28672,0
BUSA.US,60,20240517,200000,30.32,30.32,30.32,30.32,208,0
BUSA.US,60,20240517,210000,30.29,30.2949,30.29,30.2949,698,0
BUSA.US,60,20240517,220000,30.32,30.34,30.32,30.33,1538,0
BUSA.US,60,20240520,160000,30.33,30.33,30.33,30.33,200,0
