<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CLOX.US,60,20240411,160000,25.35,25.38,25.35,25.3799,510,0
CLOX.US,60,20240411,170000,25.36,25.3802,25.36,25.38,1794,0
CLOX.US,60,20240411,180000,25.36,25.375,25.33,25.35,3500,0
CLOX.US,60,20240411,190000,25.32,25.37,25.32,25.35,1542,0
CLOX.US,60,20240411,200000,25.37,25.39,25.37,25.39,365,0
CLOX.US,60,20240411,210000,25.37,25.39,25.3501,25.36,1327,0
CLOX.US,60,20240411,220000,25.36,25.4,25.36,25.4,707,0
CLOX.US,60,20240412,160000,25.34,25.34,25.34,25.34,1003,0
CLOX.US,60,20240412,170000,25.3999,25.4,25.39,25.39,5770,0
CLOX.US,60,20240412,180000,25.4,25.4,25.395,25.395,1489,0
CLOX.US,60,20240412,190000,25.4,25.4,25.4,25.4,2069,0
CLOX.US,60,20240412,200000,25.4,25.4079,25.4,25.4079,240,0
CLOX.US,60,20240412,220000,25.41,25.41,25.4,25.4,4089,0
CLOX.US,60,20240415,160000,25.4,25.4,25.4,25.4,303,0
CLOX.US,60,20240415,170000,25.4005,25.41,25.4005,25.41,324,0
CLOX.US,60,20240415,180000,25.4,25.4,25.331,25.4,6197,0
CLOX.US,60,20240415,190000,25.405,25.405,25.405,25.405,108,0
CLOX.US,60,20240415,220000,25.41,25.42,25.4,25.41,6470,0
CLOX.US,60,20240416,170000,25.3601,25.4,25.3601,25.39,1417,0
CLOX.US,60,20240416,180000,25.39,25.3901,25.39,25.3901,276,0
CLOX.US,60,20240416,190000,25.39,25.41,25.39,25.41,1784,0
CLOX.US,60,20240416,200000,25.41,25.4299,25.41,25.4299,2964,0
CLOX.US,60,20240416,210000,25.42,25.42,25.42,25.42,100,0
CLOX.US,60,20240416,220000,25.42,25.43,25.42,25.43,3849,0
CLOX.US,60,20240417,170000,25.4,25.42,25.4,25.4199,2841,0
CLOX.US,60,20240417,190000,25.4199,25.4199,25.41,25.4101,1036,0
