<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CVMC.US,60,20240412,210000,55,55.005,55,55.005,656,0
CVMC.US,60,20240415,190000,55.14,55.14,54.905,54.93,800,0
CVMC.US,60,20240415,200000,54.88,54.89,54.88,54.89,797,0
CVMC.US,60,20240416,170000,53.9,53.98,53.865,53.98,1000,0
CVMC.US,60,20240416,180000,54.02,54.02,54,54,400,0
CVMC.US,60,20240418,220000,53.7343,53.7343,53.7343,53.7343,100,0
CVMC.US,60,20240424,210000,53.67,54.7102,53.59,54.7102,1922,0
CVMC.US,60,20240502,220000,54.99,55,54.51,54.8,10500,0
CVMC.US,60,20240506,160000,55.66,55.67,55.66,55.66,727,0
CVMC.US,60,20240506,170000,55.6825,55.6825,55.6825,55.6825,1496,0
CVMC.US,60,20240507,160000,56.1,56.1,55.9932,55.9932,1710,0
CVMC.US,60,20240507,180000,56.095,56.1,56.095,56.1,342,0
CVMC.US,60,20240507,200000,56,56,56,56,100,0
CVMC.US,60,20240508,210000,55.96,55.97,55.7569,55.7569,809,0
CVMC.US,60,20240509,160000,55.93,55.93,55.93,55.93,300,0
CVMC.US,60,20240509,190000,56.1173,56.1173,56.1173,56.1173,1130,0
CVMC.US,60,20240509,210000,56.14,56.18,56.14,56.18,11581,0
CVMC.US,60,20240510,220000,56.1836,56.37,56.1836,56.37,979,0
CVMC.US,60,20240515,170000,56.91,56.9101,56.91,56.9101,400,0
CVMC.US,60,20240515,190000,57.095,57.095,57.06,57.0603,444,0
CVMC.US,60,20240515,210000,57.11,57.11,57.06,57.06,1036,0
CVMC.US,60,20240516,180000,57.12,57.13,57.11,57.13,1600,0
CVMC.US,60,20240517,210000,56.69,56.69,56.69,56.69,1006,0
CVMC.US,60,20240517,220000,56.7514,56.78,56.7514,56.7681,563,0
CVMC.US,60,20240520,210000,56.885,56.885,56.885,56.885,203,0
CVMC.US,60,20240520,220000,56.88,56.9,56.88,56.89,1110,0
CVMC.US,60,20240522,160000,56.826,56.826,56.826,56.826,1006,0
CVMC.US,60,20240522,170000,56.78,56.78,56.78,56.78,4268,0
CVMC.US,60,20240522,180000,56.7511,56.7511,56.7511,56.7511,140,0
CVMC.US,60,20240522,200000,56.73,56.73,56.705,56.705,460,0
CVMC.US,60,20240523,190000,56.32,56.32,56.32,56.32,100,0
CVMC.US,60,20240523,210000,55.84,55.84,55.84,55.84,135,0
CVMC.US,60,20240523,220000,55.7659,55.83,55.7659,55.7907,2407,0
CVMC.US,60,20240524,200000,56.29,56.29,56.29,56.29,1153,0
CVMC.US,60,20240528,170000,56.2192,56.2457,56.2192,56.2457,1014,0
CVMC.US,60,20240528,220000,55.81,55.85,55.81,55.84,317,0
CVMC.US,60,20240529,170000,55.34,55.34,55.34,55.34,180,0
CVMC.US,60,20240529,180000,55.22,55.22,55.22,55.22,100,0
CVMC.US,60,20240529,190000,55.2809,55.2809,55.2809,55.2809,433,0
CVMC.US,60,20240529,210000,55.25,55.25,55.25,55.25,418,0
CVMC.US,60,20240529,220000,55.2708,55.2708,55.2708,55.2708,170,0
CVMC.US,60,20240530,210000,55.45,55.47,55.38,55.4167,5819,0
CVMC.US,60,20240530,220000,55.38,55.41,55.38,55.4099,332,0
CVMC.US,60,20240603,160000,55.7256,55.7256,55.7256,55.7256,100,0
CVMC.US,60,20240603,190000,55.04,55.08,55.04,55.08,511,0
CVMC.US,60,20240603,210000,55.1881,55.1881,55.1881,55.1881,308,0
CVMC.US,60,20240604,170000,55.255,55.27,55.255,55.27,379,0
CVMC.US,60,20240605,220000,55.4895,55.51,55.4881,55.4881,931,0
CVMC.US,60,20240606,160000,55.47,55.47,55.47,55.47,104,0
CVMC.US,60,20240606,180000,55.38,55.3801,55.38,55.3801,324,0
CVMC.US,60,20240606,220000,55.34,55.34,55.3399,55.3399,400,0
CVMC.US,60,20240607,160000,55.15,55.15,55.15,55.15,265,0
CVMC.US,60,20240610,170000,54.88,54.8801,54.88,54.8801,400,0
