<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DBEF.US,60,20240411,160000,40.5,40.64,40.42,40.43,47118,0
DBEF.US,60,20240411,170000,40.41,40.41,40.165,40.2517,49210,0
DBEF.US,60,20240411,180000,40.245,40.4,40.245,40.4,43423,0
DBEF.US,60,20240411,190000,40.4,40.43,40.385,40.4122,112897,0
DBEF.US,60,20240411,200000,40.415,40.52,40.39,40.515,88495,0
DBEF.US,60,20240411,210000,40.51,40.58,40.51,40.55,64412,0
DBEF.US,60,20240411,220000,40.555,40.585,40.53,40.54,123422,0
DBEF.US,60,20240412,160000,40.42,40.54,40.4,40.46,86792,0
DBEF.US,60,20240412,170000,40.4,40.43,40.2463,40.2463,104336,0
DBEF.US,60,20240412,180000,40.255,40.3721,40.245,40.349,35978,0
DBEF.US,60,20240412,190000,40.34,40.34,40.21,40.23,122150,0
DBEF.US,60,20240412,200000,40.23,40.23,40.14,40.185,69694,0
DBEF.US,60,20240412,210000,40.19,40.22,40.12,40.12,72847,0
DBEF.US,60,20240412,220000,40.1254,40.18,40.1,40.15,227214,0
DBEF.US,60,20240415,160000,40.64,40.695,40.64,40.66,38748,0
DBEF.US,60,20240415,170000,40.655,40.67,40.43,40.43,82015,0
DBEF.US,60,20240415,180000,40.415,40.465,40.36,40.46,77803,0
DBEF.US,60,20240415,190000,40.46,40.4772,40.325,40.365,63863,0
DBEF.US,60,20240415,200000,40.36,40.37,40.125,40.195,197673,0
DBEF.US,60,20240415,210000,40.19,40.195,40.105,40.1499,97524,0
DBEF.US,60,20240415,220000,40.145,40.15,40.075,40.12,195703,0
DBEF.US,60,20240416,160000,39.85,39.85,39.66,39.7699,51688,0
DBEF.US,60,20240416,170000,39.76,39.835,39.725,39.735,68525,0
DBEF.US,60,20240416,180000,39.73,39.855,39.725,39.81,334022,0
DBEF.US,60,20240416,190000,39.8,39.85,39.765,39.85,274182,0
DBEF.US,60,20240416,200000,39.845,39.88,39.74,39.84,319820,0
