<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DYLG.US,60,20240418,160000,26.9,26.9,26.9,26.9,141,0
DYLG.US,60,20240429,210000,27.0154,27.05,27.0154,27.05,450,0
DYLG.US,60,20240510,220000,27.53,27.53,27.53,27.53,198,0
DYLG.US,60,20240516,210000,27.78,27.78,27.78,27.78,100,0
DYLG.US,60,20240604,190000,26.82,26.8301,26.82,26.83,300,0
DYLG.US,60,20240605,170000,26.88,26.88,26.88,26.88,144,0
DYLG.US,60,20240613,190000,26.8399,26.8399,26.8399,26.8399,200,0
DYLG.US,60,20240614,180000,26.88,26.88,26.88,26.88,700,0
DYLG.US,60,20240620,160000,27.4,27.4,27.4,27.4,100,0
DYLG.US,60,20240620,180000,27.17,27.17,27.17,27.17,200,0
DYLG.US,60,20240620,220000,27.31,27.31,27.31,27.31,100,0
DYLG.US,60,20240717,190000,28.22,28.22,28.203,28.203,200,0
DYLG.US,60,20240717,200000,28.21,28.21,28.21,28.21,200,0
DYLG.US,60,20240717,220000,28.25,28.25,28.25,28.25,200,0
DYLG.US,60,20240802,180000,27.78,27.78,27.2,27.21,3700,0
DYLG.US,60,20240802,190000,27.32,27.32,27.32,27.32,200,0
DYLG.US,60,20240802,220000,27.39,27.39,27.39,27.39,200,0
DYLG.US,60,20240805,160000,26.71,26.71,26.71,26.71,100,0
DYLG.US,60,20240805,220000,26.79,26.79,26.74,26.74,200,0
DYLG.US,60,20240806,160000,26.86,26.86,26.86,26.86,100,0
DYLG.US,60,20240814,190000,27.4,27.64,27.4,27.64,400,0
DYLG.US,60,20240829,210000,28.54,28.54,28.54,28.54,100,0
DYLG.US,60,20240910,180000,28.15,28.15,28.15,28.15,200,0
DYLG.US,60,20240910,190000,28.09,28.09,28.08,28.09,400,0
DYLG.US,60,20241009,200000,29.05,29.07,29.05,29.07,6314,0
DYLG.US,60,20241023,210000,28.8799,28.93,28.8799,28.91,11272,0
DYLG.US,60,20241024,170000,28.94,28.94,28.9399,28.9399,200,0
DYLG.US,60,20241028,190000,28.97,28.97,28.97,28.97,200,0
DYLG.US,60,20241031,200000,28.8799,28.8799,28.65,28.67,400,0
DYLG.US,60,20241104,170000,28.62,28.62,28.61,28.6101,300,0
DYLG.US,60,20241104,190000,28.63,28.63,28.63,28.63,200,0
DYLG.US,60,20241104,200000,28.5858,28.5858,28.5858,28.5858,100,0
DYLG.US,60,20241111,160000,30,30,30,30,985,0
DYLG.US,60,20241114,200000,29.8696,29.87,29.8696,29.87,200,0
DYLG.US,60,20241118,220000,29.72,29.72,29.6,29.6,335,0
DYLG.US,60,20241119,210000,29.56,29.56,29.56,29.56,168,0
DYLG.US,60,20241121,190000,29.7699,29.7699,29.7699,29.7699,800,0
DYLG.US,60,20241122,170000,29.98,29.98,29.8812,29.8812,300,0
DYLG.US,60,20241125,160000,30.23,30.23,30.23,30.23,100,0
DYLG.US,60,20241202,180000,30.29,30.29,30.29,30.29,200,0
DYLG.US,60,20241202,190000,30.27,30.27,30.27,30.27,100,0
DYLG.US,60,20241202,220000,30.3,30.3,30.3,30.3,100,0
DYLG.US,60,20241203,190000,30.27,30.27,30.27,30.27,100,0
DYLG.US,60,20241203,220000,30.27,30.27,30.27,30.27,100,0
DYLG.US,60,20241204,180000,30.36,30.36,30.36,30.36,163,0
DYLG.US,60,20241210,220000,30.09,30.09,30.09,30.09,170,0
DYLG.US,60,20241212,180000,30.05,30.05,30.05,30.05,100,0
DYLG.US,60,20241213,170000,29.96,29.96,29.96,29.96,100,0
DYLG.US,60,20241219,180000,29.15,29.15,29.15,29.15,200,0
DYLG.US,60,20241223,220000,29.55,29.55,29.55,29.55,100,0
DYLG.US,60,20241226,180000,29.77,29.77,29.77,29.77,150,0
DYLG.US,60,20241230,220000,26.11,26.11,26.11,26.11,100,0
DYLG.US,60,20250102,180000,26.076,26.1,26.076,26.1,700,0
DYLG.US,60,20250106,220000,26.12,26.12,26.12,26.12,458,0
DYLG.US,60,20250114,170000,26.05,26.079,26.05,26.071,1452,0
DYLG.US,60,20250114,190000,25.929,25.929,25.929,25.929,100,0
DYLG.US,60,20250115,180000,26.3854,26.3854,26.3854,26.3854,306,0
DYLG.US,60,20250123,160000,26.8599,26.8599,26.8599,26.8599,100,0
DYLG.US,60,20250123,210000,26.959,26.96,26.959,26.9599,3400,0
DYLG.US,60,20250127,190000,26.999,27,26.999,26.9999,1400,0
DYLG.US,60,20250129,210000,27.05,27.05,27.05,27.05,215,0
DYLG.US,60,20250130,180000,27.1,27.1,27.09,27.1,2500,0
DYLG.US,60,20250203,220000,27,27,26.97,26.97,477,0
DYLG.US,60,20250204,180000,27,27,26.9837,26.9837,1870,0
DYLG.US,60,20250204,210000,27.03,27.03,27.029,27.029,700,0
DYLG.US,60,20250204,220000,27.01,27.03,27.01,27.03,200,0
DYLG.US,60,20250205,170000,26.9801,26.9801,26.9801,26.9801,556,0
DYLG.US,60,20250210,220000,26.99,26.99,26.99,26.99,134,0
DYLG.US,60,20250212,170000,26.939,26.939,26.939,26.939,276,0
DYLG.US,60,20250212,190000,27.0022,27.0022,27.0022,27.0022,400,0
DYLG.US,60,20250213,160000,27.05,27.05,27.05,27.05,354,0
DYLG.US,60,20250213,170000,27.01,27.049,27.01,27.049,248,0
DYLG.US,60,20250213,190000,27.05,27.079,27.0499,27.079,2100,0
DYLG.US,60,20250213,220000,27.1599,27.16,27.146,27.16,5460,0
DYLG.US,60,20250214,170000,27.15,27.15,27.15,27.15,368,0
