<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FXP.US,60,20240412,160000,64.1432,67.6571,63.9612,67.6571,671.17066834029,0
FXP.US,60,20240412,170000,68.167,68.5494,68.1668,68.2496,1727.3582258021,0
FXP.US,60,20240412,180000,68.1083,68.1083,68.1083,68.1083,109.84789989202743,0
FXP.US,60,20240412,190000,68.4992,68.7132,68.4992,68.7132,329.54369967608,0
FXP.US,60,20240412,200000,68.6765,68.8771,68.5857,68.8589,3912.2329546546,0
FXP.US,60,20240412,210000,68.7381,69.041,68.7381,69.041,164.77184983804,0
FXP.US,60,20240412,220000,69.314,69.3322,69.314,69.3322,2211.787464325973,0
FXP.US,60,20240415,160000,66.8197,67.3659,66.8197,67.3659,584.9400669250462,0
FXP.US,60,20240415,170000,67.8518,67.8518,67.8518,67.8518,54.923949946013714,0
FXP.US,60,20240415,190000,67.6025,68.1071,67.6025,68.1071,109.84789989202743,0
FXP.US,60,20240415,220000,68.9497,68.9497,68.7556,68.8589,878.78319913622,0
FXP.US,60,20240416,160000,70.006,70.3701,70.006,70.3701,516.285129492529,0
FXP.US,60,20240416,170000,70.0424,70.0424,69.751,69.751,258.1425647462645,0
FXP.US,60,20240416,180000,69.7222,69.7222,69.7222,69.7222,54.923949946013714,0
FXP.US,60,20240416,190000,69.776,69.8056,69.5729,69.5729,318.55890968688,0
FXP.US,60,20240416,220000,69.6781,69.8966,69.6781,69.8966,2106.8827199290863,0
FXP.US,60,20240417,180000,70.3337,70.3337,70.3337,70.3337,54.923949946013714,0
FXP.US,60,20240417,190000,70.3763,70.3763,70.3763,70.3763,54.923949946013714,0
FXP.US,60,20240417,200000,69.9695,69.9695,69.9695,69.9695,82.38592491902058,0
FXP.US,60,20240417,210000,69.9364,69.9364,69.9364,69.9364,164.77184983804116,0
FXP.US,60,20240417,220000,70.1151,70.1151,70.0787,70.0968,4336.245848237783,0
FXP.US,60,20240418,160000,68.2944,68.2944,68.2944,68.2944,105.45398389634636,0
FXP.US,60,20240418,170000,68.1124,68.1124,67.9484,67.9484,181.2490348218453,0
FXP.US,60,20240418,190000,67.7664,67.9322,67.7664,67.823,351.51327965449,0
FXP.US,60,20240418,200000,68.1668,68.1668,68.1668,68.1668,54.923949946013714,0
FXP.US,60,20240418,210000,68.0859,68.0859,68.0396,68.0396,196.078501307269,0
FXP.US,60,20240419,160000,68.4401,68.4401,68.4401,68.4401,54.923949946013714,0
FXP.US,60,20240419,190000,68.6777,68.6777,68.6777,68.6777,54.923949946013714,0
FXP.US,60,20240419,220000,68.0942,68.1124,68.019,68.019,654.1442438570235,0
FXP.US,60,20240422,180000,66.7851,66.8197,66.784,66.7851,452.02410805569,0
FXP.US,60,20240422,190000,66.5857,66.6638,66.5857,66.6638,116.43877388554907,0
FXP.US,60,20240422,200000,66.1296,66.1296,66.1296,66.1296,164.77184983804116,0
FXP.US,60,20240422,220000,65.9639,65.9639,65.9639,65.9639,54.923949946013714,0
FXP.US,60,20240423,160000,64.726,64.726,64.1624,64.1624,694.7879668170737,0
FXP.US,60,20240423,170000,64.1642,64.1796,64.0013,64.1796,2608.8876224357,0
FXP.US,60,20240423,180000,64.2707,64.2707,64.1798,64.1798,274.61974973007,0
FXP.US,60,20240423,190000,63.9612,64.0704,63.9429,64.0339,274.6197497300686,0
FXP.US,60,20240423,200000,63.7991,63.979,63.7991,63.979,131.81747987043,0
FXP.US,60,20240423,220000,63.8793,64.0158,63.8793,64.0158,848.5750266659119,0
FXP.US,60,20240424,160000,61.8673,61.8673,61.5396,61.5396,768.935299244192,0
FXP.US,60,20240424,180000,62.1768,62.1768,62.1768,62.1768,179.60131632346483,0
FXP.US,60,20240424,190000,62.1678,62.2582,62.1678,62.2582,109.84789989203,0
FXP.US,60,20240424,200000,61.9857,61.9857,61.9038,61.9038,591.5309409185678,0
FXP.US,60,20240424,210000,61.8855,61.8855,61.7308,61.7308,161.47641284128,0
FXP.US,60,20240424,220000,61.7217,61.7217,61.5304,61.5304,604.16344940615,0
FXP.US,60,20240425,160000,62.3043,62.3043,61.835,62.0586,508.04653700062687,0
FXP.US,60,20240425,190000,61.1027,61.1027,61.1027,61.1027,54.923949946013714,0
FXP.US,60,20240425,200000,61.1488,61.149,60.7385,60.7385,878.78319913622,0
FXP.US,60,20240425,220000,60.7203,60.8842,60.6839,60.8842,2704.4552953417,0
FXP.US,60,20240426,170000,58.6084,58.8688,58.4877,58.8688,1454.9354340699,0
FXP.US,60,20240426,180000,58.9361,58.9361,58.9361,58.9361,109.84789989202743,0
FXP.US,60,20240426,190000,58.9807,58.9807,58.9807,58.9807,54.923949946013714,0
FXP.US,60,20240426,200000,58.8996,58.8996,58.8996,58.8996,164.77184983804116,0
FXP.US,60,20240426,220000,58.6811,58.7174,58.6266,58.7174,693.14024831869,0
FXP.US,60,20240429,160000,58.2077,58.754,58.2077,58.7358,1098.4789989202743,0
FXP.US,60,20240429,170000,58.6084,58.6084,58.317,58.317,208.71100979485212,0
FXP.US,60,20240429,180000,58.2077,58.2077,58.2077,58.2077,54.923949946013714,0
FXP.US,60,20240429,200000,57.88,57.88,57.8671,57.8671,113.14333688878827,0
FXP.US,60,20240429,220000,57.8072,57.8072,57.5341,57.5341,192.78306431050814,0
FXP.US,60,20240430,180000,59.3912,59.3912,59.3912,59.3912,54.923949946013714,0
FXP.US,60,20240430,190000,59.7099,59.8874,59.7099,59.8874,329.54369967608,0
FXP.US,60,20240430,200000,59.8604,59.8604,59.8604,59.8604,54.923949946013714,0
