<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GMOI.US,60,20241108,160000,24.63,24.63,24.6,24.6,1400,0
GMOI.US,60,20241108,170000,24.65,24.65,24.65,24.65,1000,0
GMOI.US,60,20241108,190000,24.5301,24.5301,24.5301,24.5301,324,0
GMOI.US,60,20241108,210000,24.62,24.62,24.62,24.62,100,0
GMOI.US,60,20241111,180000,24.68,24.68,24.68,24.68,362,0
GMOI.US,60,20241112,160000,24.41,24.42,24.41,24.42,968,0
GMOI.US,60,20241112,170000,24.265,24.27,24.2399,24.24,21323,0
GMOI.US,60,20241112,180000,24.2,24.21,24.2,24.2089,5663,0
GMOI.US,60,20241112,190000,24.21,24.21,24.2,24.2,14362,0
GMOI.US,60,20241112,200000,24.2011,24.209,24.2011,24.2088,19844,0
GMOI.US,60,20241112,210000,24.2097,24.24,24.2097,24.23,6150,0
GMOI.US,60,20241112,220000,24.23,24.24,24.2271,24.24,13004,0
GMOI.US,60,20241113,160000,24.245,24.245,24.01,24.01,6011,0
GMOI.US,60,20241113,170000,24.0001,24.07,24.0001,24.0699,3107,0
GMOI.US,60,20241113,180000,24.0377,24.11,24.0377,24.1084,18635,0
GMOI.US,60,20241113,190000,24.11,24.1294,24.1,24.12,14093,0
GMOI.US,60,20241113,200000,24.1196,24.1199,24.1196,24.1199,2000,0
GMOI.US,60,20241113,210000,24.11,24.11,24.11,24.11,714,0
GMOI.US,60,20241113,220000,24.11,24.17,24.11,24.15,35948,0
GMOI.US,60,20241114,160000,24.28,24.28,24.2098,24.2599,3507,0
GMOI.US,60,20241114,170000,24.26,24.2799,24.2401,24.2799,6290,0
GMOI.US,60,20241114,180000,24.32,24.32,24.26,24.26,5956,0
GMOI.US,60,20241114,190000,24.27,24.28,24.27,24.28,8250,0
GMOI.US,60,20241114,200000,24.29,24.29,24.2701,24.28,2200,0
GMOI.US,60,20241114,210000,24.29,24.31,24.29,24.31,7320,0
GMOI.US,60,20241114,220000,24.28,24.28,24.22,24.22,20125,0
GMOI.US,60,20241115,160000,24.23,24.24,24.2097,24.2097,4752,0
GMOI.US,60,20241115,170000,24.23,24.23,24.21,24.2207,1741,0
GMOI.US,60,20241115,180000,24.23,24.23,24.22,24.22,3600,0
GMOI.US,60,20241115,190000,24.23,24.23,24.2271,24.23,12265,0
GMOI.US,60,20241115,200000,24.225,24.23,24.225,24.23,9324,0
GMOI.US,60,20241115,210000,24.2201,24.23,24.2201,24.23,1700,0
GMOI.US,60,20241115,220000,24.229,24.23,24.22,24.22,15947,0
GMOI.US,60,20241118,170000,24.2786,24.29,24.26,24.26,505,0
GMOI.US,60,20241118,180000,24.38,24.41,24.38,24.4099,4600,0
GMOI.US,60,20241118,190000,24.42,24.48,24.4199,24.48,7296,0
GMOI.US,60,20241118,200000,24.4201,24.48,24.4201,24.46,5360,0
GMOI.US,60,20241118,210000,24.4351,24.45,24.4351,24.45,300,0
GMOI.US,60,20241118,220000,24.46,24.46,24.4599,24.4599,440,0
GMOI.US,60,20241119,160000,24.14,24.16,24.14,24.16,4600,0
GMOI.US,60,20241119,170000,24.19,24.28,24.19,24.28,200,0
GMOI.US,60,20241119,180000,24.31,24.33,24.31,24.3299,13400,0
GMOI.US,60,20241119,190000,24.36,24.36,24.325,24.325,17500,0
GMOI.US,60,20241119,200000,24.31,24.36,24.31,24.36,364,0
GMOI.US,60,20241120,160000,24.21,24.22,24.21,24.22,10000,0
GMOI.US,60,20241120,170000,24.205,24.21,24.2,24.21,3670,0
GMOI.US,60,20241120,190000,24.21,24.21,24.21,24.21,100,0
GMOI.US,60,20241120,200000,24.21,24.21,24.21,24.21,10000,0
GMOI.US,60,20241120,210000,24.21,24.21,24.2052,24.2052,2920,0
GMOI.US,60,20241120,220000,24.2001,24.2001,24.2001,24.2001,400,0
GMOI.US,60,20241121,160000,24.21,24.21,24.2051,24.2051,2816,0
GMOI.US,60,20241121,180000,24.28,24.28,24.275,24.275,275,0
GMOI.US,60,20241121,190000,24.27,24.27,24.2099,24.2099,1800,0
GMOI.US,60,20241121,210000,24.28,24.29,24.25,24.2786,6316,0
GMOI.US,60,20241121,220000,24.2939,24.2939,24.2615,24.2615,2839,0
GMOI.US,60,20241122,160000,24.1,24.17,24.0981,24.1529,3959,0
GMOI.US,60,20241122,170000,24.18,24.19,24.18,24.1899,2549,0
GMOI.US,60,20241122,180000,24.19,24.23,24.1609,24.2129,67588,0
GMOI.US,60,20241122,200000,24.29,24.3,24.2604,24.28,20483,0
GMOI.US,60,20241122,210000,24.27,24.28,24.26,24.26,211744,0
GMOI.US,60,20241122,220000,24.26,24.33,24.26,24.33,14628,0
GMOI.US,60,20241125,160000,24.32,24.34,24.3,24.32,5383,0
GMOI.US,60,20241125,170000,24.3655,24.49,24.3655,24.4392,31324,0
GMOI.US,60,20241125,180000,24.41,24.4199,24.36,24.36,16600,0
GMOI.US,60,20241125,190000,24.3413,24.35,24.3297,24.3499,12001,0
GMOI.US,60,20241125,210000,24.39,24.41,24.39,24.41,300,0
