<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HEDJ.US,60,20240411,160000,47.37,47.37,47.3,47.3,4302,0
HEDJ.US,60,20240411,170000,47.25,47.25,46.9,47.05,40092,0
HEDJ.US,60,20240411,180000,47.12,47.24,47.105,47.24,4675,0
HEDJ.US,60,20240411,190000,47.26,47.28,47.2,47.25,18714,0
HEDJ.US,60,20240411,200000,47.25,47.3999,47.25,47.36,4421,0
HEDJ.US,60,20240411,210000,47.38,47.44,47.35,47.41,12141,0
HEDJ.US,60,20240411,220000,47.415,47.47,47.36,47.36,19671,0
HEDJ.US,60,20240412,160000,47.03,47.15,47,47,3998,0
HEDJ.US,60,20240412,170000,46.97,46.9878,46.7113,46.72,5733,0
HEDJ.US,60,20240412,180000,46.8025,46.985,46.72,46.985,8362,0
HEDJ.US,60,20240412,190000,46.9,47.01,46.75,46.755,38158,0
HEDJ.US,60,20240412,200000,46.755,46.91,46.66,46.73,34606,0
HEDJ.US,60,20240412,210000,46.73,46.79,46.65,46.65,49459,0
HEDJ.US,60,20240412,220000,46.665,46.89,46.65,46.89,39489,0
HEDJ.US,60,20240415,160000,47.51,47.64,47.5,47.56,9594,0
HEDJ.US,60,20240415,170000,47.625,47.625,47.19,47.24,20527,0
HEDJ.US,60,20240415,180000,47.19,47.26,47.08,47.25,32000,0
HEDJ.US,60,20240415,190000,47.22,47.27,47.0619,47.1,9960,0
HEDJ.US,60,20240415,200000,47.08,47.12,46.8418,46.91,15871,0
HEDJ.US,60,20240415,210000,46.91,46.94,46.83,46.87,29690,0
HEDJ.US,60,20240415,220000,46.89,46.89,46.79,46.81,29079,0
HEDJ.US,60,20240416,160000,46.57,46.62,46.39,46.48,12490,0
HEDJ.US,60,20240416,170000,46.46,46.6312,46.3701,46.435,9725,0
HEDJ.US,60,20240416,180000,46.48,46.608,46.435,46.585,20088,0
HEDJ.US,60,20240416,190000,46.59,46.65,46.52,46.65,70081,0
HEDJ.US,60,20240416,200000,46.67,46.7193,46.55,46.58,9014,0
HEDJ.US,60,20240416,210000,46.55,46.7059,46.55,46.7059,8118,0
HEDJ.US,60,20240416,220000,46.66,46.6967,46.59,46.63,5299,0
HEDJ.US,60,20240417,160000,46.98,46.98,46.77,46.8,7169,0
HEDJ.US,60,20240417,170000,46.82,46.83,46.59,46.59,18586,0
HEDJ.US,60,20240417,180000,46.66,46.68,46.57,46.63,7826,0
HEDJ.US,60,20240417,190000,46.59,46.59,46.44,46.5,14094,0
HEDJ.US,60,20240417,200000,46.48,46.64,46.48,46.61,14232,0
HEDJ.US,60,20240417,210000,46.61,46.73,46.56,46.56,16358,0
HEDJ.US,60,20240417,220000,46.57,46.6,46.46,46.53,17188,0
HEDJ.US,60,20240418,160000,46.63,46.72,46.57,46.72,5096,0
HEDJ.US,60,20240418,170000,46.67,46.81,46.67,46.755,3395,0
HEDJ.US,60,20240418,180000,46.8399,46.87,46.76,46.76,3069,0
HEDJ.US,60,20240418,190000,46.83,46.86,46.74,46.74,5744,0
