<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HIBS.US,60,20240411,160000,24.37,24.725,24.34,24.66,55237,0
HIBS.US,60,20240411,170000,24.6325,25.23,24.6314,25.09,53062,0
HIBS.US,60,20240411,180000,25.0813,25.11,24.62,24.62,33490,0
HIBS.US,60,20240411,190000,24.635,24.73,24.6,24.62,17245,0
HIBS.US,60,20240411,200000,24.61,24.69,24.15,24.21,34351,0
HIBS.US,60,20240411,210000,24.23,24.24,24,24.1,20475,0
HIBS.US,60,20240411,220000,24.11,24.16,23.98,24.16,22164,0
HIBS.US,60,20240412,160000,25.04,25.24,24.93,25.12,53043,0
HIBS.US,60,20240412,170000,25.16,25.66,25.16,25.5,48968,0
HIBS.US,60,20240412,180000,25.56,25.57,25.35,25.38,49331,0
HIBS.US,60,20240412,190000,25.4,25.8,25.39,25.74,36781,0
HIBS.US,60,20240412,200000,25.78,26.08,25.72,25.88,52923,0
HIBS.US,60,20240412,210000,25.92,26.05,25.75,26,46137,0
HIBS.US,60,20240412,220000,26.04,26.12,25.83,25.9,59746,0
HIBS.US,60,20240415,160000,24.98,25.19,24.81,25.15,44378,0
HIBS.US,60,20240415,170000,25.08,26,25.08,26,33656,0
HIBS.US,60,20240415,180000,25.99,26.09,25.68,25.7302,101720,0
HIBS.US,60,20240415,190000,25.7,26.2,25.65,26.13,33489,0
HIBS.US,60,20240415,200000,26.25,27.04,26.0999,26.73,49712,0
HIBS.US,60,20240415,210000,26.775,27.17,26.76,27.04,25332,0
HIBS.US,60,20240415,220000,27.06,27.37,26.93,26.98,61124,0
HIBS.US,60,20240416,160000,27.25,27.99,27.25,27.7499,23948,0
HIBS.US,60,20240416,170000,27.8501,27.9694,27.42,27.78,34031,0
HIBS.US,60,20240416,180000,27.79,27.81,27.17,27.1702,22554,0
HIBS.US,60,20240416,190000,27.47,27.53,27.22,27.3,14465,0
HIBS.US,60,20240416,200000,27.2599,27.75,27.2,27.54,17044,0
HIBS.US,60,20240416,210000,27.4825,27.795,27.0432,27.2342,31363,0
HIBS.US,60,20240416,220000,27.33,27.58,27.17,27.57,28066,0
HIBS.US,60,20240417,160000,27.06,27.22,27,27.125,24054,0
HIBS.US,60,20240417,170000,27.1401,27.94,27.1401,27.78,12406,0
HIBS.US,60,20240417,180000,27.75,28.11,27.5099,27.86,21584,0
HIBS.US,60,20240417,190000,27.94,28.35,27.94,28.19,32978,0
HIBS.US,60,20240417,200000,28.21,28.24,27.58,27.5801,64666,0
HIBS.US,60,20240417,210000,27.61,27.86,27.31,27.81,49942,0
HIBS.US,60,20240417,220000,27.86,28.11,27.79,28.11,40885,0
HIBS.US,60,20240418,160000,27.99,28.5886,27.99,28.2065,33041,0
HIBS.US,60,20240418,170000,28.2,28.49,27.51,27.65,42760,0
HIBS.US,60,20240418,180000,27.63,27.72,27.32,27.6601,34292,0
HIBS.US,60,20240418,190000,27.56,28.19,27.55,28.165,29045,0
HIBS.US,60,20240418,200000,28.13,28.59,28.11,28.51,19814,0
HIBS.US,60,20240418,210000,28.49,28.77,28.34,28.63,23155,0
HIBS.US,60,20240418,220000,28.61,28.62,28.32,28.53,28730,0
