<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IAK.US,60,20240411,160000,113.35,113.35,111.89,112.1,7177,0
IAK.US,60,20240411,170000,112.02,112.02,111.1906,111.6158,12724,0
IAK.US,60,20240411,180000,111.6,111.8039,111.49,111.78,10189,0
IAK.US,60,20240411,190000,111.663,111.8177,111.6029,111.6099,3940,0
IAK.US,60,20240411,200000,111.6906,111.77,111.21,111.4,11814,0
IAK.US,60,20240411,210000,111.38,111.81,111.085,111.085,9254,0
IAK.US,60,20240411,220000,111.095,111.26,110.71,110.72,364221,0
IAK.US,60,20240412,160000,110.92,111.8,110.92,111.41,17845,0
IAK.US,60,20240412,170000,111.5,111.5299,110.98,111.03,20750,0
IAK.US,60,20240412,180000,111.05,111.175,110.88,111.16,18872,0
IAK.US,60,20240412,190000,111.15,111.18,110.6,110.735,5271,0
IAK.US,60,20240412,200000,110.772,110.772,110.31,110.63,21849,0
IAK.US,60,20240412,210000,110.61,110.9214,110.61,110.6463,6836,0
IAK.US,60,20240412,220000,110.5,110.79,110.45,110.79,4238,0
IAK.US,60,20240415,160000,112.12,112.41,111.9275,111.93,5309,0
IAK.US,60,20240415,170000,111.69,111.715,111.0984,111.14,4322,0
IAK.US,60,20240415,180000,111.11,111.445,111.06,111.41,3335,0
IAK.US,60,20240415,190000,111.425,111.5,111,111.055,6095,0
IAK.US,60,20240415,200000,111,111,110.41,110.435,4000,0
IAK.US,60,20240415,210000,110.538,110.555,110.13,110.43,22344,0
IAK.US,60,20240415,220000,110.38,110.57,110.13,110.31,13872,0
IAK.US,60,20240416,160000,110.56,110.77,110.2309,110.4834,4802,0
IAK.US,60,20240416,170000,110.19,110.6,110.17,110.2727,30310,0
IAK.US,60,20240416,180000,110.2316,110.595,109.99,110.4,18837,0
IAK.US,60,20240416,190000,110.3711,110.81,110.27,110.76,7895,0
IAK.US,60,20240416,200000,110.64,110.955,110.5774,110.66,9772,0
IAK.US,60,20240416,210000,110.65,110.99,110.41,110.94,13944,0
IAK.US,60,20240416,220000,110.98,111.09,110.59,110.7,19843,0
IAK.US,60,20240417,160000,110.14,110.3099,109.681,110.1887,7181,0
IAK.US,60,20240417,170000,110.1241,110.1241,109.4201,109.5084,3816,0
IAK.US,60,20240417,180000,109.54,109.7499,109.28,109.415,5316,0
IAK.US,60,20240417,190000,109.34,109.34,109.09,109.2021,2180,0
IAK.US,60,20240417,200000,109.2,109.505,109.2,109.505,1231,0
IAK.US,60,20240417,210000,109.7285,109.88,109.51,109.5799,3747,0
IAK.US,60,20240417,220000,109.39,109.5966,109.32,109.54,13964,0
IAK.US,60,20240418,160000,109.94,110.735,109.94,110.52,4376,0
IAK.US,60,20240418,170000,110.73,110.9087,110.49,110.7,3122,0
IAK.US,60,20240418,180000,110.755,110.79,110.515,110.65,9991,0
IAK.US,60,20240418,190000,110.5,110.5963,110.44,110.575,4903,0
IAK.US,60,20240418,200000,110.3,110.48,110.235,110.27,2002,0
IAK.US,60,20240418,210000,110.245,110.47,110.06,110.31,10158,0
IAK.US,60,20240418,220000,110.3675,110.71,110.3675,110.64,21586,0
IAK.US,60,20240419,160000,110.76,111.84,110.76,111.8152,2843,0
IAK.US,60,20240419,170000,111.7904,112.295,111.7904,112.2241,3324,0
IAK.US,60,20240419,180000,112.2261,112.6,112.14,112.5,7864,0
IAK.US,60,20240419,190000,112.515,112.663,112.325,112.65,22552,0
IAK.US,60,20240419,200000,112.6764,112.93,112.6764,112.82,6389,0
IAK.US,60,20240419,210000,112.67,112.74,112.57,112.74,248014,0
IAK.US,60,20240419,220000,112.64,112.9199,112.58,112.89,19210,0
IAK.US,60,20240422,160000,113.3,113.38,112.8466,113.0427,6304,0
IAK.US,60,20240422,170000,113.2,113.43,112.98,113.34,7590,0
IAK.US,60,20240422,180000,113.29,113.38,113.08,113.38,2660,0
IAK.US,60,20240422,190000,113.465,113.6,113.43,113.59,4153,0
IAK.US,60,20240422,200000,113.62,113.98,113.53,113.98,6022,0
IAK.US,60,20240422,210000,114.1469,114.18,113.9,113.94,7096,0
IAK.US,60,20240422,220000,113.96,113.9692,113.4,113.45,22338,0
IAK.US,60,20240423,160000,113.76,114.0919,113.76,113.85,1854,0
IAK.US,60,20240423,170000,113.84,113.96,113.6,113.855,7929,0
IAK.US,60,20240423,180000,113.7999,113.9734,113.78,113.8872,7743,0
IAK.US,60,20240423,190000,114,114,113.915,113.9221,1975,0
IAK.US,60,20240423,200000,113.95,114.1998,113.95,114.0697,2179,0
IAK.US,60,20240423,210000,113.93,113.93,113.681,113.72,4779,0
IAK.US,60,20240423,220000,113.7016,113.77,113.54,113.74,8822,0
IAK.US,60,20240424,160000,113.11,113.18,112.8178,112.8178,2351,0
IAK.US,60,20240424,170000,112.8,113.05,112.8,112.825,4425,0
IAK.US,60,20240424,180000,112.83,112.95,112.7701,112.83,2904,0
IAK.US,60,20240424,190000,113.075,113.075,112.845,112.845,1704,0
IAK.US,60,20240424,200000,112.8957,113.18,112.7901,113.18,5224,0
IAK.US,60,20240424,210000,113.04,113.0985,112.9,113.0985,26621,0
IAK.US,60,20240424,220000,112.94,113.18,112.94,113.17,14528,0
IAK.US,60,20240425,160000,112.84,112.84,112.32,112.32,5177,0
IAK.US,60,20240425,170000,112.2,112.27,111.96,111.96,3739,0
IAK.US,60,20240425,180000,112.1399,112.14,112.0817,112.14,786,0
IAK.US,60,20240425,190000,112.31,112.4692,112.31,112.34,4705,0
IAK.US,60,20240425,200000,112.2246,112.5474,112.19,112.5474,11986,0
IAK.US,60,20240425,210000,112.549,112.549,112.3099,112.3099,903,0
IAK.US,60,20240425,220000,112.7303,112.78,112.5101,112.58,2033,0
IAK.US,60,20240426,160000,112.24,112.24,111.01,111.355,6196,0
IAK.US,60,20240426,170000,111.18,111.55,110.9601,110.9601,9497,0
IAK.US,60,20240426,180000,111.0128,111.04,110.6901,110.9468,6014,0
