<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IDEV.US,60,20240411,160000,66.21,66.21,65.97,65.975,35888,0
IDEV.US,60,20240411,170000,65.885,65.885,65.42,65.515,52446,0
IDEV.US,60,20240411,180000,65.54,65.83,65.54,65.83,47200,0
IDEV.US,60,20240411,190000,65.85,65.89,65.79,65.8651,26865,0
IDEV.US,60,20240411,200000,65.85,66.08,65.81,66.07,73109,0
IDEV.US,60,20240411,210000,66.07,66.208,66.07,66.13,88545,0
IDEV.US,60,20240411,220000,66.13,66.185,66.1,66.12,145045,0
IDEV.US,60,20240412,160000,65.58,65.78,65.5453,65.63,72265,0
IDEV.US,60,20240412,170000,65.55,65.5585,65.295,65.295,88609,0
IDEV.US,60,20240412,180000,65.29,65.47,65.245,65.45,43568,0
IDEV.US,60,20240412,190000,65.44,65.44,65.17,65.2,47323,0
IDEV.US,60,20240412,200000,65.2,65.22,65.04,65.16,57673,0
IDEV.US,60,20240412,210000,65.1301,65.21,64.98,64.98,66758,0
IDEV.US,60,20240412,220000,64.97,65.09,64.935,65.02,149224,0
IDEV.US,60,20240415,160000,65.8,65.815,65.69,65.69,52189,0
IDEV.US,60,20240415,170000,65.71,65.71,65.275,65.275,117887,0
IDEV.US,60,20240415,180000,65.23,65.42,65.1999,65.4,61361,0
IDEV.US,60,20240415,190000,65.3999,65.4457,65.1528,65.21,43985,0
IDEV.US,60,20240415,200000,65.19,65.24,64.77,64.92,64157,0
IDEV.US,60,20240415,210000,64.9015,64.9015,64.75,64.82,52942,0
IDEV.US,60,20240415,220000,64.81,64.835,64.685,64.8,136244,0
IDEV.US,60,20240416,160000,64.28,64.28,64,64.14,47377,0
IDEV.US,60,20240416,170000,64.115,64.26,64.02,64.06,57690,0
IDEV.US,60,20240416,180000,64.075,64.29,64.06,64.21,59539,0
IDEV.US,60,20240416,190000,64.19,64.26,64.1099,64.26,37336,0
IDEV.US,60,20240416,200000,64.25,64.2762,63.95,64.1726,92279,0
IDEV.US,60,20240416,210000,64.19,64.46,64.05,64.35,81416,0
IDEV.US,60,20240416,220000,64.335,64.355,64.125,64.14,216008,0
IDEV.US,60,20240417,160000,64.49,64.55,64.38,64.385,69780,0
IDEV.US,60,20240417,170000,64.39,64.39,64.07,64.125,110257,0
IDEV.US,60,20240417,180000,64.145,64.24,64.055,64.115,87119,0
IDEV.US,60,20240417,190000,64.095,64.105,63.91,63.995,70193,0
IDEV.US,60,20240417,200000,63.985,64.315,63.97,64.31,92039,0
IDEV.US,60,20240417,210000,64.31,64.46,64.2199,64.22,125137,0
IDEV.US,60,20240417,220000,64.2,64.29,64.115,64.2,199384,0
IDEV.US,60,20240418,160000,64.24,64.3033,64.045,64.2,28659,0
IDEV.US,60,20240418,170000,64.2,64.435,64.15,64.345,73852,0
IDEV.US,60,20240418,180000,64.36,64.51,64.3141,64.38,39644,0
IDEV.US,60,20240418,190000,64.38,64.485,64.21,64.21,81726,0
IDEV.US,60,20240418,200000,64.21,64.24,63.9998,64.08,70718,0
IDEV.US,60,20240418,210000,64.07,64.125,63.98,64.0101,95185,0
IDEV.US,60,20240418,220000,64.0117,64.15,64.0117,64.09,124799,0
IDEV.US,60,20240419,160000,64.14,64.33,64.1,64.28,69767,0
IDEV.US,60,20240419,170000,64.25,64.36,64.21,64.29,76029,0
IDEV.US,60,20240419,180000,64.28,64.33,64.2,64.2302,119620,0
IDEV.US,60,20240419,190000,64.225,64.25,63.975,64.185,73087,0
IDEV.US,60,20240419,200000,64.185,64.29,64.14,64.22,148440,0
IDEV.US,60,20240419,210000,64.21,64.21,63.93,64.025,220066,0
IDEV.US,60,20240419,220000,64.025,64.135,63.985,64.13,294866,0
IDEV.US,60,20240422,160000,64.5,64.55,64.39,64.5092,29939,0
IDEV.US,60,20240422,170000,64.505,64.65,64.5,64.575,110723,0
IDEV.US,60,20240422,180000,64.57,64.615,64.44,64.61,122457,0
IDEV.US,60,20240422,190000,64.63,64.73,64.62,64.7018,31415,0
IDEV.US,60,20240422,200000,64.72,64.97,64.7025,64.95,53190,0
IDEV.US,60,20240422,210000,64.95,65.035,64.914,64.955,68822,0
IDEV.US,60,20240422,220000,64.955,64.955,64.7401,64.82,75110,0
IDEV.US,60,20240423,160000,65.01,65.3325,64.8,65.31,38854,0
IDEV.US,60,20240423,170000,65.31,65.46,65.24,65.405,96510,0
IDEV.US,60,20240423,180000,65.38,65.435,65.3039,65.325,85017,0
IDEV.US,60,20240423,190000,65.3429,65.5074,65.3301,65.4775,54143,0
IDEV.US,60,20240423,200000,65.47,65.58,65.46,65.54,42267,0
IDEV.US,60,20240423,210000,65.5533,65.58,65.505,65.54,65375,0
IDEV.US,60,20240423,220000,65.5599,65.5769,65.47,65.5,57924,0
IDEV.US,60,20240424,160000,65.53,65.53,65.38,65.385,48176,0
IDEV.US,60,20240424,170000,65.37,65.46,65.19,65.19,80976,0
IDEV.US,60,20240424,180000,65.185,65.205,65.05,65.08,73227,0
IDEV.US,60,20240424,190000,65.09,65.155,65.06,65.155,50905,0
IDEV.US,60,20240424,200000,65.155,65.335,65.13,65.335,37139,0
IDEV.US,60,20240424,210000,65.32,65.32,65.165,65.195,88715,0
IDEV.US,60,20240424,220000,65.1901,65.345,65.1863,65.3,105251,0
IDEV.US,60,20240425,160000,64.32,64.48,64.29,64.37,68117,0
IDEV.US,60,20240425,170000,64.38,64.71,64.26,64.655,110358,0
IDEV.US,60,20240425,180000,64.655,64.83,64.64,64.83,60898,0
IDEV.US,60,20240425,190000,64.815,64.935,64.77,64.9,57402,0
IDEV.US,60,20240425,200000,64.91,65.08,64.8499,65.06,73327,0
IDEV.US,60,20240425,210000,65.065,65.065,64.92,64.995,129355,0
IDEV.US,60,20240425,220000,65,65.13,64.995,65.05,86720,0
IDEV.US,60,20240426,160000,65.3,65.52,65.3,65.47,43864,0
IDEV.US,60,20240426,170000,65.445,65.55,65.325,65.34,102830,0
IDEV.US,60,20240426,180000,65.36,65.4203,65.285,65.4,46850,0
IDEV.US,60,20240426,190000,65.4,65.525,65.3699,65.52,78645,0
IDEV.US,60,20240426,200000,65.53,65.575,65.505,65.545,32627,0
IDEV.US,60,20240426,210000,65.5482,65.6121,65.52,65.6121,72711,0
IDEV.US,60,20240426,220000,65.61,65.61,65.48,65.54,84519,0
IDEV.US,60,20240429,160000,65.79,65.8025,65.65,65.665,19888,0
IDEV.US,60,20240429,170000,65.67,65.82,65.67,65.815,42993,0
IDEV.US,60,20240429,180000,65.79,65.83,65.76,65.815,56593,0
IDEV.US,60,20240429,190000,65.815,65.97,65.81,65.895,41049,0
IDEV.US,60,20240429,200000,65.895,65.925,65.865,65.88,33054,0
IDEV.US,60,20240429,210000,65.85,65.89,65.725,65.8599,99094,0
IDEV.US,60,20240429,220000,65.85,65.87,65.665,65.87,90897,0
IDEV.US,60,20240430,160000,65.57,65.67,65.5,65.555,73477,0
IDEV.US,60,20240430,170000,65.58,65.73,65.47,65.49,74904,0
IDEV.US,60,20240430,180000,65.46,65.46,65.2137,65.26,85502,0
IDEV.US,60,20240430,190000,65.27,65.275,65.08,65.1515,45371,0
IDEV.US,60,20240430,200000,65.13,65.245,65.11,65.24,47359,0
IDEV.US,60,20240430,210000,65.25,65.26,65.0636,65.09,80289,0
IDEV.US,60,20240430,220000,65.09,65.135,64.895,64.92,850218,0
IDEV.US,60,20240501,160000,64.86,64.9475,64.76,64.8,39625,0
IDEV.US,60,20240501,170000,64.82,64.87,64.72,64.805,126628,0
IDEV.US,60,20240501,180000,64.79,64.8197,64.68,64.69,52924,0
IDEV.US,60,20240501,190000,64.67,64.78,64.64,64.71,53678,0
IDEV.US,60,20240501,200000,64.71,64.8,64.65,64.71,98385,0
IDEV.US,60,20240501,210000,64.71,65.53,64.71,65.5,97702,0
IDEV.US,60,20240501,220000,65.51,65.58,64.795,64.81,109004,0
IDEV.US,60,20240502,160000,65.52,65.52,65.31,65.3597,30848,0
IDEV.US,60,20240502,170000,65.38,65.46,65.14,65.4,79389,0
IDEV.US,60,20240502,180000,65.395,65.495,65.37,65.495,60558,0
IDEV.US,60,20240502,190000,65.495,65.54,65.3931,65.51,42828,0
IDEV.US,60,20240502,200000,65.51,65.63,65.51,65.61,71759,0
IDEV.US,60,20240502,210000,65.61,65.815,65.61,65.81,50226,0
IDEV.US,60,20240502,220000,65.8,65.82,65.64,65.69,96577,0
IDEV.US,60,20240507,160000,67.04,67.07,66.945,66.945,60707,0
IDEV.US,60,20240507,170000,66.945,67.045,66.94,67.025,65749,0
IDEV.US,60,20240507,180000,67.0335,67.115,67.0335,67.0636,65706,0
IDEV.US,60,20240507,190000,67.07,67.115,67.005,67.03,49851,0
IDEV.US,60,20240507,200000,67.035,67.065,66.91,66.91,38053,0
IDEV.US,60,20240507,210000,66.91,66.925,66.8352,66.89,51853,0
IDEV.US,60,20240507,220000,66.895,66.99,66.89,66.96,99212,0
IDEV.US,60,20240508,160000,66.6,66.72,66.58,66.715,54953,0
IDEV.US,60,20240508,170000,66.76,66.855,66.75,66.81,66226,0
IDEV.US,60,20240508,180000,66.8,66.845,66.73,66.81,53241,0
IDEV.US,60,20240508,190000,66.815,66.82,66.74,66.79,23868,0
IDEV.US,60,20240508,200000,66.79,66.8201,66.77,66.82,37887,0
IDEV.US,60,20240508,210000,66.8303,66.86,66.8099,66.81,76497,0
IDEV.US,60,20240508,220000,66.81,66.88,66.78,66.88,92228,0
IDEV.US,60,20240509,160000,66.92,67.08,66.92,67.06,40646,0
IDEV.US,60,20240509,170000,67.06,67.285,67.06,67.21,529631,0
IDEV.US,60,20240509,180000,67.23,67.28,67.133,67.1468,92539,0
IDEV.US,60,20240509,190000,67.1401,67.27,67.1401,67.255,68416,0
IDEV.US,60,20240509,200000,67.255,67.309,67.23,67.265,156831,0
IDEV.US,60,20240509,210000,67.27,67.375,67.255,67.37,130049,0
IDEV.US,60,20240509,220000,67.37,67.4,67.345,67.4,137607,0
IDEV.US,60,20240510,160000,67.66,67.675,67.6199,67.65,20161,0
IDEV.US,60,20240510,170000,67.61,67.65,67.445,67.451,102823,0
IDEV.US,60,20240510,180000,67.46,67.495,67.415,67.495,118734,0
IDEV.US,60,20240510,190000,67.49,67.5099,67.445,67.476,73283,0
IDEV.US,60,20240510,200000,67.48,67.48,67.4225,67.455,114621,0
IDEV.US,60,20240510,210000,67.455,67.455,67.41,67.445,60723,0
