<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ILTB.US,60,20240411,160000,49.32,49.323,49.16,49.16,4897,0
ILTB.US,60,20240411,170000,49.0549,49.08,48.9325,48.99,14379,0
ILTB.US,60,20240411,180000,48.9829,49.029,48.895,49,306431,0
ILTB.US,60,20240411,190000,49.005,49.01,48.93,49.01,16630,0
ILTB.US,60,20240411,200000,48.99,49.14,48.98,49.14,2077,0
ILTB.US,60,20240411,210000,49.2,49.21,49.15,49.15,1804,0
ILTB.US,60,20240411,220000,49.055,49.09,49.01,49.01,3460,0
ILTB.US,60,20240412,160000,49.36,49.36,49.27,49.33,1105,0
ILTB.US,60,20240412,170000,49.4,49.421,49.33,49.34,4473,0
ILTB.US,60,20240412,180000,49.3123,49.3199,49.2001,49.225,3707,0
ILTB.US,60,20240412,190000,49.22,49.275,49.22,49.275,2898,0
ILTB.US,60,20240412,200000,49.29,49.38,49.2601,49.37,7276,0
ILTB.US,60,20240412,210000,49.39,49.39,49.3,49.34,18438,0
ILTB.US,60,20240412,220000,49.3582,49.3582,49.15,49.15,8426,0
ILTB.US,60,20240415,160000,48.77,48.77,48.63,48.65,5621,0
ILTB.US,60,20240415,170000,48.6491,48.65,48.4691,48.58,3064,0
ILTB.US,60,20240415,180000,48.485,48.51,48.36,48.46,32868,0
ILTB.US,60,20240415,190000,48.44,48.5,48.42,48.4308,2178,0
ILTB.US,60,20240415,200000,48.3785,48.47,48.35,48.3994,3656,0
ILTB.US,60,20240415,210000,48.36,48.3799,48.29,48.37,16878,0
ILTB.US,60,20240415,220000,48.33,48.5,48.32,48.5,19741,0
ILTB.US,60,20240416,160000,48.06,48.1099,47.96,48.04,14181,0
ILTB.US,60,20240416,170000,48,48.175,48,48.175,6431,0
ILTB.US,60,20240416,180000,48.15,48.26,48.15,48.26,4952,0
ILTB.US,60,20240416,190000,48.2,48.26,48.15,48.15,36803,0
ILTB.US,60,20240416,200000,48.15,48.21,48.04,48.14,93734,0
ILTB.US,60,20240416,210000,48.11,48.27,48.09,48.19,82256,0
ILTB.US,60,20240416,220000,48.17,48.2288,48.07,48.16,15075,0
ILTB.US,60,20240417,160000,48.57,48.57,48.42,48.42,8187,0
ILTB.US,60,20240417,170000,48.3367,48.44,48.3367,48.41,5918,0
ILTB.US,60,20240417,180000,48.4299,48.47,48.4,48.4654,19787,0
ILTB.US,60,20240417,190000,48.47,48.49,48.44,48.44,3381,0
ILTB.US,60,20240417,200000,48.48,48.6368,48.48,48.63,4315,0
ILTB.US,60,20240417,210000,48.634,48.64,48.6,48.6068,4227,0
ILTB.US,60,20240417,220000,48.62,48.6299,48.54,48.58,4032,0
ILTB.US,60,20240418,160000,48.64,48.64,48.47,48.51,662,0
ILTB.US,60,20240418,170000,48.5489,48.58,48.5,48.52,9090,0
ILTB.US,60,20240418,180000,48.53,48.55,48.44,48.44,199032,0
ILTB.US,60,20240418,190000,48.46,48.46,48.3992,48.3992,609,0
ILTB.US,60,20240418,200000,48.415,48.43,48.34,48.3977,7061,0
ILTB.US,60,20240418,210000,48.37,48.4047,48.34,48.3401,5751,0
ILTB.US,60,20240418,220000,48.34,48.4508,48.34,48.4398,4014,0
ILTB.US,60,20240419,160000,48.7,48.7,48.6296,48.6296,2075,0
ILTB.US,60,20240419,170000,48.6211,48.63,48.5,48.566,9401,0
ILTB.US,60,20240419,180000,48.56,48.6521,48.56,48.65,2680,0
ILTB.US,60,20240419,190000,48.6593,48.6593,48.54,48.56,16098,0
ILTB.US,60,20240419,200000,48.5597,48.5696,48.45,48.5,3755,0
ILTB.US,60,20240419,210000,48.5327,48.57,48.53,48.56,9988,0
ILTB.US,60,20240419,220000,48.5827,48.61,48.52,48.61,4237,0
ILTB.US,60,20240422,160000,48.49,48.51,48.41,48.455,12794,0
ILTB.US,60,20240422,170000,48.5005,48.5899,48.42,48.54,6773,0
ILTB.US,60,20240422,180000,48.52,48.575,48.51,48.57,5713,0
ILTB.US,60,20240422,190000,48.5785,48.6105,48.54,48.57,8027,0
ILTB.US,60,20240422,200000,48.5458,48.58,48.53,48.57,5917,0
ILTB.US,60,20240422,210000,48.55,48.61,48.54,48.57,136053,0
ILTB.US,60,20240422,220000,48.57,48.63,48.56,48.56,96557,0
ILTB.US,60,20240423,160000,48.51,48.79,48.42,48.79,4860,0
ILTB.US,60,20240423,170000,48.8049,48.855,48.72,48.74,9530,0
ILTB.US,60,20240423,180000,48.81,48.81,48.72,48.78,5494,0
ILTB.US,60,20240423,190000,48.75,48.85,48.74,48.81,7097,0
ILTB.US,60,20240423,200000,48.82,48.89,48.74,48.76,142767,0
ILTB.US,60,20240423,210000,48.74,48.8,48.66,48.69,13445,0
ILTB.US,60,20240423,220000,48.71,48.71,48.6,48.68,17520,0
ILTB.US,60,20240424,160000,48.5,48.5,48.28,48.325,23347,0
ILTB.US,60,20240424,170000,48.31,48.34,48.16,48.22,18558,0
ILTB.US,60,20240424,180000,48.23,48.3228,48.22,48.25,17934,0
ILTB.US,60,20240424,190000,48.24,48.3251,48.23,48.26,5772,0
ILTB.US,60,20240424,200000,48.31,48.31,48.22,48.24,63237,0
ILTB.US,60,20240424,210000,48.2997,48.3099,48.22,48.24,22839,0
ILTB.US,60,20240424,220000,48.25,48.33,48.24,48.31,37261,0
ILTB.US,60,20240425,160000,47.93,47.93,47.82,47.85,6692,0
ILTB.US,60,20240425,170000,47.83,47.98,47.81,47.98,16200,0
ILTB.US,60,20240425,180000,48.0299,48.0523,47.97,48.02,3481,0
ILTB.US,60,20240425,190000,48.0314,48.1121,47.99,48.05,3533,0
ILTB.US,60,20240425,200000,48.0753,48.109,48.01,48.109,5059,0
ILTB.US,60,20240425,210000,48.08,48.0899,48.02,48.03,4347,0
ILTB.US,60,20240425,220000,48.07,48.11,48.05,48.11,59538,0
ILTB.US,60,20240426,160000,48.36,48.43,48.36,48.43,1647,0
ILTB.US,60,20240426,170000,48.39,48.51,48.35,48.35,38745,0
ILTB.US,60,20240426,180000,48.35,48.38,48.3,48.31,9607,0
ILTB.US,60,20240426,190000,48.31,48.38,48.27,48.31,12099,0
ILTB.US,60,20240426,200000,48.3699,48.37,48.29,48.3,29278,0
ILTB.US,60,20240426,210000,48.3205,48.36,48.29,48.3378,35363,0
ILTB.US,60,20240426,220000,48.32,48.36,48.29,48.36,49077,0
ILTB.US,60,20240429,160000,48.545,48.545,48.5335,48.5335,300,0
ILTB.US,60,20240429,170000,48.48,48.69,48.47,48.65,11308,0
ILTB.US,60,20240429,180000,48.68,48.69,48.55,48.55,13278,0
ILTB.US,60,20240429,190000,48.55,48.679,48.54,48.63,3591,0
ILTB.US,60,20240429,200000,48.66,48.66,48.59,48.59,900,0
ILTB.US,60,20240429,210000,48.645,48.675,48.61,48.65,2431,0
ILTB.US,60,20240429,220000,48.63,48.7,48.52,48.7,23060,0
ILTB.US,60,20240430,160000,48.44,48.44,48.33,48.38,7262,0
ILTB.US,60,20240430,170000,48.39,48.5299,48.38,48.44,2946,0
ILTB.US,60,20240430,180000,48.4,48.47,48.34,48.43,20661,0
ILTB.US,60,20240430,190000,48.45,48.4569,48.35,48.4,6379,0
ILTB.US,60,20240430,200000,48.38,48.4243,48.37,48.39,14817,0
ILTB.US,60,20240430,210000,48.39,48.42,48.26,48.26,18757,0
ILTB.US,60,20240430,220000,48.27,48.31,48.22,48.27,112171,0
ILTB.US,60,20240501,160000,48.35,48.35,48.29,48.29,8130,0
ILTB.US,60,20240501,170000,48.38,48.38,48.2,48.24,4566,0
ILTB.US,60,20240501,180000,48.3,48.3,48.2273,48.25,1492,0
ILTB.US,60,20240501,190000,48.24,48.3027,48.22,48.28,11487,0
ILTB.US,60,20240501,200000,48.2991,48.35,48.21,48.35,17675,0
ILTB.US,60,20240501,210000,48.3,48.6984,48.3,48.655,5144,0
ILTB.US,60,20240501,220000,48.59,48.59,48.33,48.5,6649,0
ILTB.US,60,20240502,160000,48.34,48.41,48.2,48.41,7174,0
ILTB.US,60,20240502,170000,48.29,48.36,48.26,48.3562,5899,0
ILTB.US,60,20240502,180000,48.37,48.5492,48.35,48.52,4442,0
ILTB.US,60,20240502,190000,48.51,48.575,48.51,48.53,36647,0
ILTB.US,60,20240502,200000,48.54,48.6763,48.54,48.65,6524,0
ILTB.US,60,20240502,210000,48.64,48.71,48.62,48.67,2527,0
ILTB.US,60,20240502,220000,48.67,48.69,48.62,48.65,4975,0
ILTB.US,60,20240507,160000,49.61,49.61,49.54,49.57,5195,0
ILTB.US,60,20240507,170000,49.5772,49.67,49.5772,49.66,9678,0
ILTB.US,60,20240507,180000,49.6292,49.74,49.6292,49.71,7752,0
ILTB.US,60,20240507,190000,49.71,49.71,49.61,49.62,6792,0
ILTB.US,60,20240507,200000,49.63,49.6499,49.55,49.55,6029,0
ILTB.US,60,20240507,210000,49.55,49.579,49.45,49.45,6382,0
ILTB.US,60,20240507,220000,49.46,49.49,49.42,49.475,15764,0
ILTB.US,60,20240508,160000,49.27,49.32,49.26,49.27,3076,0
ILTB.US,60,20240508,170000,49.3,49.38,49.28,49.35,2663,0
ILTB.US,60,20240508,180000,49.31,49.38,49.29,49.36,2776,0
ILTB.US,60,20240508,190000,49.35,49.3789,49.32,49.37,4145,0
ILTB.US,60,20240508,200000,49.36,49.3735,49.31,49.33,2934,0
ILTB.US,60,20240508,210000,49.32,49.36,49.3,49.3,7158,0
ILTB.US,60,20240508,220000,49.295,49.2962,49.22,49.23,12536,0
ILTB.US,60,20240509,160000,49.17,49.17,49.12,49.12,3716,0
ILTB.US,60,20240509,170000,49.1,49.2599,49.1,49.21,4942,0
ILTB.US,60,20240509,180000,49.23,49.28,49.2,49.2,8585,0
ILTB.US,60,20240509,190000,49.18,49.2102,49.18,49.2,2161,0
ILTB.US,60,20240509,200000,49.3744,49.41,49.29,49.39,11127,0
ILTB.US,60,20240509,210000,49.41,49.48,49.39,49.48,8177,0
ILTB.US,60,20240509,220000,49.47,49.5,49.39,49.39,18101,0
ILTB.US,60,20240510,160000,49.29,49.3512,49.27,49.3001,2051,0
ILTB.US,60,20240510,170000,49.28,49.305,49.17,49.2075,1744,0
ILTB.US,60,20240510,180000,49.21,49.22,49.18,49.22,5451,0
ILTB.US,60,20240510,190000,49.19,49.195,49.14,49.1498,8332,0
ILTB.US,60,20240510,200000,49.17,49.22,49.15,49.19,5592,0
ILTB.US,60,20240510,210000,49.19,49.21,49.18,49.19,3175,0
ILTB.US,60,20240510,220000,49.19,49.22,49.175,49.2,5223,0
ILTB.US,60,20240513,160000,49.43,49.45,49.39,49.39,3911,0
ILTB.US,60,20240513,170000,49.37,49.41,49.36,49.39,11757,0
ILTB.US,60,20240513,180000,49.39,49.39,49.28,49.29,4691,0
ILTB.US,60,20240513,190000,49.3,49.37,49.3,49.35,4748,0
ILTB.US,60,20240513,200000,49.36,49.3995,49.35,49.38,2617,0
ILTB.US,60,20240513,210000,49.4,49.4,49.31,49.335,4178,0
ILTB.US,60,20240513,220000,49.32,49.32,49.25,49.27,18036,0
ILTB.US,60,20240514,160000,49.51,49.51,49.43,49.48,3578,0
ILTB.US,60,20240514,170000,49.47,49.4904,49.39,49.44,22502,0
ILTB.US,60,20240514,180000,49.44,49.44,49.34,49.37,11655,0
ILTB.US,60,20240514,190000,49.37,49.49,49.36,49.49,15869,0
ILTB.US,60,20240514,200000,49.47,49.485,49.44,49.485,6246,0
ILTB.US,60,20240514,210000,49.47,49.5497,49.47,49.53,7686,0
ILTB.US,60,20240514,220000,49.52,49.535,49.47,49.47,6936,0
ILTB.US,60,20240515,160000,50.05,50.05,49.86,49.94,28065,0
ILTB.US,60,20240515,170000,49.91,50.01,49.89,49.96,6018,0
ILTB.US,60,20240515,180000,50.01,50.09,50,50.0392,5921,0
ILTB.US,60,20240515,190000,50.04,50.2064,50.03,50.185,7762,0
ILTB.US,60,20240515,200000,50.16,50.2099,50.16,50.19,7627,0
ILTB.US,60,20240515,210000,50.18,50.18,50.06,50.09,11614,0
ILTB.US,60,20240515,220000,50.09,50.16,50.07,50.12,15452,0
ILTB.US,60,20240516,160000,50.3,50.3,50.12,50.13,2196,0
ILTB.US,60,20240516,170000,50.1336,50.2599,50.12,50.24,5156,0
ILTB.US,60,20240516,180000,50.246,50.2562,50.17,50.17,230547,0
ILTB.US,60,20240516,190000,50.13,50.16,50.1207,50.15,6048,0
ILTB.US,60,20240516,200000,50.095,50.1263,50.06,50.0993,3235,0
ILTB.US,60,20240516,210000,50.1048,50.1048,50.0742,50.075,3359,0
ILTB.US,60,20240516,220000,50.1,50.1,50.01,50.04,6876,0
