<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ITDC.US,60,20240411,190000,28.06,28.06,28.06,28.06,181,0
ITDC.US,60,20240411,220000,28.19,28.19,28.19,28.19,100,0
ITDC.US,60,20240412,170000,27.9823,27.9823,27.9823,27.9823,500,0
ITDC.US,60,20240415,160000,28.02,28.02,28.02,28.02,2042,0
ITDC.US,60,20240415,190000,27.855,27.855,27.85,27.85,400,0
ITDC.US,60,20240415,210000,27.685,27.685,27.685,27.685,100,0
ITDC.US,60,20240415,220000,27.68,27.68,27.64,27.64,2039,0
ITDC.US,60,20240416,160000,27.56,27.56,27.49,27.505,905,0
ITDC.US,60,20240416,180000,27.5144,27.5144,27.5144,27.5144,1085,0
ITDC.US,60,20240416,220000,27.53,27.53,27.53,27.53,100,0
ITDC.US,60,20240417,160000,27.65,27.65,27.6199,27.6199,1997,0
ITDC.US,60,20240418,220000,27.47,27.47,27.4584,27.4584,200,0
ITDC.US,60,20240419,180000,27.45,27.45,27.447,27.45,3648,0
ITDC.US,60,20240419,220000,27.37,27.37,27.37,27.37,100,0
ITDC.US,60,20240422,160000,27.47,27.47,27.47,27.47,318,0
ITDC.US,60,20240422,170000,27.4514,27.46,27.45,27.46,819,0
ITDC.US,60,20240422,190000,27.4889,27.4889,27.4889,27.4889,100,0
ITDC.US,60,20240422,210000,27.59,27.59,27.59,27.59,100,0
ITDC.US,60,20240423,200000,27.785,27.785,27.78,27.785,1100,0
ITDC.US,60,20240423,210000,27.785,27.785,27.785,27.785,100,0
ITDC.US,60,20240424,170000,27.74,27.74,27.74,27.74,180,0
ITDC.US,60,20240424,190000,27.689,27.689,27.689,27.689,232,0
ITDC.US,60,20240424,200000,27.73,27.74,27.73,27.735,1200,0
ITDC.US,60,20240424,220000,27.74,27.7401,27.734,27.734,3294,0
ITDC.US,60,20240425,160000,27.5,27.5,27.5,27.5,2200,0
ITDC.US,60,20240425,190000,27.55,27.56,27.55,27.555,700,0
ITDC.US,60,20240425,210000,27.61,27.63,27.61,27.63,12551,0
ITDC.US,60,20240425,220000,27.6401,27.65,27.63,27.65,800,0
ITDC.US,60,20240426,160000,27.8,27.8,27.77,27.78,4641,0
ITDC.US,60,20240426,220000,27.84,27.84,27.84,27.84,100,0
ITDC.US,60,20240429,170000,27.95,27.95,27.95,27.95,100,0
ITDC.US,60,20240429,180000,27.92,27.92,27.92,27.92,100,0
ITDC.US,60,20240429,200000,27.95,27.95,27.9499,27.9499,990,0
ITDC.US,60,20240430,160000,27.8538,27.8538,27.8538,27.8538,100,0
ITDC.US,60,20240430,220000,27.685,27.685,27.64,27.64,496,0
ITDC.US,60,20240501,160000,27.66,27.66,27.66,27.66,367,0
ITDC.US,60,20240501,170000,27.6179,27.6179,27.6179,27.6179,124,0
ITDC.US,60,20240501,190000,27.6137,27.6137,27.6137,27.6137,832,0
ITDC.US,60,20240501,210000,27.74,27.9,27.74,27.89,717,0
ITDC.US,60,20240501,220000,27.83,27.85,27.6466,27.6466,9179,0
ITDC.US,60,20240502,180000,27.8,27.8,27.8,27.8,100,0
ITDC.US,60,20240502,190000,27.8,27.8,27.7952,27.7952,1000,0
ITDC.US,60,20240502,210000,27.885,27.92,27.885,27.915,1517,0
ITDC.US,60,20240507,190000,28.4001,28.4001,28.4001,28.4001,150,0
ITDC.US,60,20240507,200000,28.4199,28.4199,28.4199,28.4199,500,0
ITDC.US,60,20240508,160000,28.29,28.29,28.29,28.29,100,0
ITDC.US,60,20240508,170000,28.33,28.33,28.32,28.32,952,0
ITDC.US,60,20240508,190000,28.311,28.3199,28.311,28.3199,519,0
ITDC.US,60,20240508,200000,28.31,28.315,28.31,28.315,2200,0
ITDC.US,60,20240508,220000,28.3101,28.3101,28.3101,28.3101,353,0
ITDC.US,60,20240509,160000,28.34,28.35,28.34,28.35,1790,0
ITDC.US,60,20240509,180000,28.3944,28.3944,28.3944,28.3944,2000,0
ITDC.US,60,20240509,210000,28.48,28.48,28.48,28.48,408,0
ITDC.US,60,20240513,200000,28.5,28.5,28.4963,28.4963,210,0
ITDC.US,60,20240513,210000,28.5,28.5,28.5,28.5,445,0
ITDC.US,60,20240515,180000,28.8502,28.8502,28.8502,28.8502,100,0
ITDC.US,60,20240515,190000,28.89,28.89,28.8805,28.8805,354,0
ITDC.US,60,20240515,200000,28.9,28.9,28.8905,28.9,800,0
ITDC.US,60,20240515,210000,28.9,28.9,28.89,28.89,1200,0
ITDC.US,60,20240515,220000,28.9,28.9,28.9,28.9,500,0
ITDC.US,60,20240516,160000,28.95,28.95,28.95,28.95,143,0
ITDC.US,60,20240516,170000,28.8897,28.8897,28.8897,28.8897,100,0
ITDC.US,60,20240516,180000,28.955,28.955,28.955,28.955,517,0
ITDC.US,60,20240516,190000,28.96,28.96,28.88,28.88,14606,0
ITDC.US,60,20240516,200000,28.9101,28.9101,28.9101,28.9101,200,0
ITDC.US,60,20240516,210000,28.915,28.915,28.91,28.91,200,0
ITDC.US,60,20240517,160000,28.8245,28.83,28.82,28.82,2085,0
ITDC.US,60,20240517,190000,28.8854,28.8854,28.8854,28.8854,380,0
ITDC.US,60,20240517,200000,28.89,28.89,28.89,28.89,100,0
ITDC.US,60,20240517,210000,28.885,28.885,28.88,28.88,200,0
ITDC.US,60,20240517,220000,28.86,28.86,28.86,28.86,200,0
ITDC.US,60,20240520,170000,28.92,28.92,28.92,28.92,433,0
ITDC.US,60,20240520,180000,28.92,28.92,28.92,28.92,100,0
ITDC.US,60,20240520,190000,28.915,28.915,28.9101,28.9101,250,0
ITDC.US,60,20240520,210000,28.915,28.915,28.91,28.91,200,0
ITDC.US,60,20240521,190000,28.885,28.885,28.8601,28.8601,1764,0
ITDC.US,60,20240522,170000,28.8299,28.83,28.8299,28.83,6673,0
ITDC.US,60,20240522,200000,28.845,28.845,28.805,28.805,315,0
ITDC.US,60,20240522,210000,28.805,28.805,28.805,28.805,100,0
ITDC.US,60,20240523,160000,28.835,28.85,28.835,28.84,6577,0
ITDC.US,60,20240523,190000,28.7601,28.7601,28.76,28.76,250,0
