<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JNUG.US,60,20240411,160000,39.79,40.302,39,39.44,221367,0
JNUG.US,60,20240411,170000,39.45,39.59,38.42,38.58,200023,0
JNUG.US,60,20240411,180000,38.58,39.375,38.58,39.375,91789,0
JNUG.US,60,20240411,190000,39.38,39.71,39.24,39.682,78364,0
JNUG.US,60,20240411,200000,39.702,40.1297,39.68,39.99,159048,0
JNUG.US,60,20240411,210000,39.95,40.52,39.93,40.3407,200783,0
JNUG.US,60,20240411,220000,40.34,40.65,40.23,40.52,158296,0
JNUG.US,60,20240412,160000,42.49,43.33,41.88,43.2401,342644,0
JNUG.US,60,20240412,170000,43.25,44,42.85,43.68,426359,0
JNUG.US,60,20240412,180000,43.69,43.96,41.21,41.92,819315,0
JNUG.US,60,20240412,190000,41.95,41.95,39.8,40.451,637087,0
JNUG.US,60,20240412,200000,40.47,40.67,39.64,39.93,303920,0
JNUG.US,60,20240412,210000,39.86,39.89,38.55,38.76,290693,0
JNUG.US,60,20240412,220000,38.77,39.05,38.34,39.05,379270,0
JNUG.US,60,20240415,160000,39.53,39.85,38.1,38.59,428294,0
JNUG.US,60,20240415,170000,38.59,38.64,36.8401,37.95,519195,0
JNUG.US,60,20240415,180000,37.95,37.96,37.37,37.88,150056,0
JNUG.US,60,20240415,190000,37.88,37.88,37.28,37.69,115737,0
JNUG.US,60,20240415,200000,37.6559,37.92,37.41,37.92,156450,0
JNUG.US,60,20240415,210000,37.899,37.92,37.22,37.85,176890,0
JNUG.US,60,20240415,220000,37.7693,38.6,37.67,38.1,349701,0
JNUG.US,60,20240416,160000,37.02,37.03,35.52,35.85,276931,0
JNUG.US,60,20240416,170000,35.86,36.33,35.4,36.29,290407,0
JNUG.US,60,20240416,180000,36.3211,37.18,36.32,36.63,267590,0
JNUG.US,60,20240416,190000,36.64,37.25,36.61,37.24,183370,0
JNUG.US,60,20240416,200000,37.255,37.26,36.2,36.52,179880,0
JNUG.US,60,20240416,210000,36.5375,37.27,36.4,37.25,165655,0
JNUG.US,60,20240416,220000,37.26,37.31,36.67,36.8,139638,0
JNUG.US,60,20240417,160000,38,39.19,37.98,38.97,389384,0
JNUG.US,60,20240417,170000,38.92,38.98,38.282,38.59,151483,0
JNUG.US,60,20240417,180000,38.62,39.01,38.18,38.18,166841,0
JNUG.US,60,20240417,190000,38.21,38.25,36.97,37.58,256209,0
JNUG.US,60,20240417,200000,37.55,38.35,37.45,38.29,143128,0
JNUG.US,60,20240417,210000,38.32,38.62,38.08,38.13,104837,0
JNUG.US,60,20240417,220000,38.1,38.11,37.65,37.89,235137,0
JNUG.US,60,20240418,160000,39.125,39.125,37.6,38.34,217482,0
JNUG.US,60,20240418,170000,38.35,38.62,37.87,38.3697,169968,0
