<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LOCT.US,60,20240411,180000,23.97,23.97,23.97,23.97,165,0
LOCT.US,60,20240411,190000,23.9806,23.9806,23.95,23.975,953,0
LOCT.US,60,20240411,200000,23.99,23.99,23.9881,23.9881,800,0
LOCT.US,60,20240411,220000,23.98,23.98,23.98,23.98,156,0
LOCT.US,60,20240412,180000,23.9601,23.9601,23.9601,23.9601,123,0
LOCT.US,60,20240412,190000,23.97,23.97,23.97,23.97,143,0
LOCT.US,60,20240412,200000,23.95,23.95,23.95,23.95,116,0
LOCT.US,60,20240412,220000,23.9658,23.9658,23.9658,23.9658,578,0
LOCT.US,60,20240415,160000,24.02,24.02,24.02,24.02,2540,0
LOCT.US,60,20240415,210000,23.98,23.98,23.98,23.98,500,0
LOCT.US,60,20240415,220000,23.97,23.97,23.97,23.97,1246,0
LOCT.US,60,20240416,170000,23.98,23.9999,23.965,23.965,775,0
LOCT.US,60,20240416,190000,23.99,23.99,23.99,23.99,354,0
LOCT.US,60,20240416,210000,23.975,23.975,23.975,23.975,225,0
LOCT.US,60,20240417,200000,23.98,23.98,23.98,23.98,382,0
LOCT.US,60,20240417,210000,23.98,23.98,23.97,23.97,784,0
LOCT.US,60,20240418,180000,23.99,23.99,23.99,23.99,395,0
LOCT.US,60,20240418,190000,23.99,23.99,23.9508,23.9508,900,0
LOCT.US,60,20240418,200000,23.99,23.99,23.99,23.99,395,0
LOCT.US,60,20240418,210000,23.99,23.99,23.99,23.99,107,0
LOCT.US,60,20240419,160000,23.98,23.98,23.98,23.98,461,0
LOCT.US,60,20240419,200000,23.99,23.99,23.99,23.99,281,0
LOCT.US,60,20240422,190000,24.005,24.005,24.005,24.005,163,0
LOCT.US,60,20240422,210000,24.04,24.04,24.03,24.03,499,0
LOCT.US,60,20240422,220000,24.03,24.03,24.03,24.03,242,0
LOCT.US,60,20240423,160000,24.04,24.04,24.04,24.04,429,0
LOCT.US,60,20240423,180000,24.05,24.05,24.05,24.05,555,0
LOCT.US,60,20240423,190000,24.02,24.03,24.02,24.03,1000,0
LOCT.US,60,20240423,220000,24.02,24.02,24.02,24.02,800,0
LOCT.US,60,20240424,160000,24.045,24.045,24.02,24.0367,700,0
LOCT.US,60,20240424,190000,24.04,24.04,24.04,24.04,482,0
LOCT.US,60,20240424,210000,24.05,24.05,24.0369,24.0369,531,0
LOCT.US,60,20240425,170000,24.03,24.03,24.03,24.03,275,0
LOCT.US,60,20240425,190000,24.0366,24.04,24.0366,24.04,829,0
LOCT.US,60,20240425,200000,24.03,24.03,24.03,24.03,559,0
LOCT.US,60,20240430,220000,24.04,24.04,23.92,23.9286,1606,0
LOCT.US,60,20240501,190000,23.94,23.94,23.94,23.94,887,0
LOCT.US,60,20240501,210000,23.94,23.94,23.94,23.94,191,0
LOCT.US,60,20240502,180000,23.91,23.925,23.91,23.925,424,0
LOCT.US,60,20240502,210000,23.93,23.93,23.93,23.93,119,0
LOCT.US,60,20240502,220000,23.9101,23.94,23.91,23.94,839,0
LOCT.US,60,20240507,170000,23.98,23.98,23.98,23.98,100,0
LOCT.US,60,20240507,210000,23.98,23.98,23.98,23.98,100,0
LOCT.US,60,20240507,220000,23.97,23.98,23.97,23.98,202,0
LOCT.US,60,20240508,170000,23.98,23.98,23.98,23.98,100,0
LOCT.US,60,20240508,190000,23.9999,23.9999,23.9999,23.9999,249,0
LOCT.US,60,20240510,160000,24,24,24,24,416,0
LOCT.US,60,20240510,170000,24,24,24,24,100,0
LOCT.US,60,20240510,180000,23.97,23.97,23.97,23.97,97740,0
LOCT.US,60,20240510,190000,23.99,23.99,23.99,23.99,706,0
LOCT.US,60,20240510,200000,23.96,23.985,23.96,23.96,1074,0
LOCT.US,60,20240510,220000,23.96,23.9601,23.96,23.96,7444,0
LOCT.US,60,20240513,170000,23.9711,23.9711,23.9711,23.9711,215,0
LOCT.US,60,20240513,190000,23.9703,23.9703,23.97,23.97,249,0
LOCT.US,60,20240514,220000,24,24.0099,23.99,23.99,1235,0
LOCT.US,60,20240515,180000,24,24,24,24,1200,0
LOCT.US,60,20240517,170000,24.02,24.02,24,24,1177,0
LOCT.US,60,20240517,220000,24,24,24,24,148,0
LOCT.US,60,20240520,180000,24.01,24.01,24.01,24.01,1211,0
LOCT.US,60,20240520,200000,24.01,24.01,24.01,24.01,211,0
LOCT.US,60,20240520,210000,24.01,24.01,24.01,24.01,100,0
LOCT.US,60,20240520,220000,24.01,24.01,24.01,24.01,206,0
LOCT.US,60,20240522,200000,24,24.02,24,24.02,821,0
LOCT.US,60,20240522,220000,24.02,24.02,24.02,24.02,154,0
LOCT.US,60,20240523,190000,24.01,24.01,24.01,24.01,181,0
LOCT.US,60,20240523,210000,24,24,24,24,626,0
LOCT.US,60,20240524,190000,24.0255,24.0255,24.0255,24.0255,1166,0
LOCT.US,60,20240528,160000,24.0465,24.0465,24.0465,24.0465,100,0
LOCT.US,60,20240528,220000,24.02,24.0201,24.02,24.0201,364,0
LOCT.US,60,20240529,160000,24.04,24.04,24.04,24.04,1705,0
LOCT.US,60,20240529,220000,24.04,24.04,24.04,24.04,178,0
LOCT.US,60,20240530,200000,24.02,24.02,24.02,24.02,822,0
LOCT.US,60,20240531,220000,24.04,24.0436,23.91,23.91,1328,0
LOCT.US,60,20240603,170000,23.98,23.98,23.94,23.94,1167,0
LOCT.US,60,20240603,190000,23.93,23.93,23.93,23.93,464,0
LOCT.US,60,20240603,220000,23.93,23.93,23.93,23.93,129,0
LOCT.US,60,20240604,170000,23.9499,23.9499,23.93,23.93,1106,0
LOCT.US,60,20240605,200000,23.9405,23.9405,23.94,23.94,231,0
LOCT.US,60,20240606,220000,23.94,23.94,23.94,23.94,200,0
LOCT.US,60,20240607,210000,23.95,23.95,23.95,23.95,465,0
LOCT.US,60,20240610,170000,23.93,23.9301,23.93,23.9301,668,0
LOCT.US,60,20240611,160000,23.955,23.955,23.955,23.955,275,0
LOCT.US,60,20240611,200000,23.9625,23.9625,23.9625,23.9625,285,0
LOCT.US,60,20240612,160000,23.97,23.97,23.97,23.97,1800,0
LOCT.US,60,20240613,170000,23.97,23.97,23.97,23.97,129,0
LOCT.US,60,20240613,180000,23.97,23.97,23.97,23.97,100,0
LOCT.US,60,20240613,220000,23.9823,23.99,23.95,23.99,2871,0
LOCT.US,60,20240614,210000,23.97,23.97,23.97,23.97,126,0
LOCT.US,60,20240618,190000,23.9909,23.9909,23.9909,23.9909,1882,0
LOCT.US,60,20240620,160000,23.99,23.99,23.98,23.98,416,0
LOCT.US,60,20240620,180000,23.9833,23.9833,23.9833,23.9833,609,0
LOCT.US,60,20240624,170000,24,24,24,24,100,0
LOCT.US,60,20240624,180000,24.0062,24.0062,24.0062,24.0062,489,0
LOCT.US,60,20240624,220000,24,24,24,24,898,0
LOCT.US,60,20240625,170000,24.01,24.01,24.01,24.01,435,0
LOCT.US,60,20240625,200000,24,24,24,24,2042,0
LOCT.US,60,20240625,210000,24.01,24.01,24.01,24.01,1040,0
LOCT.US,60,20240625,220000,24.01,24.01,24.01,24.01,150,0
LOCT.US,60,20240628,210000,23.892,23.892,23.892,23.892,1045,0
LOCT.US,60,20240701,160000,23.9,23.9,23.9,23.9,310,0
LOCT.US,60,20240701,190000,23.8799,23.8799,23.8799,23.8799,635,0
LOCT.US,60,20240702,180000,23.88,23.88,23.88,23.88,212,0
LOCT.US,60,20240702,210000,23.9,23.9,23.9,23.9,200,0
LOCT.US,60,20240705,160000,23.91,23.91,23.91,23.91,1210,0
LOCT.US,60,20240705,220000,23.917,23.917,23.917,23.917,117,0
LOCT.US,60,20240708,190000,23.9001,23.92,23.9,23.92,2496,0
LOCT.US,60,20240709,220000,23.93,23.93,23.93,23.93,229,0
LOCT.US,60,20240710,170000,23.93,23.93,23.93,23.93,1365,0
LOCT.US,60,20240710,190000,23.91,23.91,23.91,23.91,408,0
LOCT.US,60,20240711,220000,23.93,23.93,23.93,23.93,1481,0
LOCT.US,60,20240715,160000,23.94,23.94,23.94,23.94,3083,0
LOCT.US,60,20240716,170000,23.97,23.97,23.92,23.92,2506,0
LOCT.US,60,20240717,190000,23.945,23.945,23.945,23.945,204,0
LOCT.US,60,20240718,160000,23.95,23.97,23.95,23.9566,2396,0
LOCT.US,60,20240718,170000,23.93,23.9301,23.93,23.9301,834,0
LOCT.US,60,20240718,190000,23.93,23.9301,23.92,23.92,1318,0
LOCT.US,60,20240719,170000,23.95,23.95,23.95,23.95,2780,0
LOCT.US,60,20240719,210000,23.97,23.97,23.97,23.97,119,0
LOCT.US,60,20240723,180000,23.94,23.9401,23.94,23.9401,1250,0
LOCT.US,60,20240724,170000,23.9582,23.9582,23.9582,23.9582,148,0
LOCT.US,60,20240726,210000,23.96,23.99,23.96,23.99,300,0
LOCT.US,60,20240730,160000,24.01,24.01,23.97,23.994,2202,0
LOCT.US,60,20240730,190000,23.99,23.99,23.99,23.99,142,0
LOCT.US,60,20240730,220000,23.99,23.99,23.97,23.97,219,0
LOCT.US,60,20240731,200000,23.88,23.88,23.8654,23.8654,222,0
LOCT.US,60,20240801,210000,23.88,23.88,23.88,23.88,348,0
LOCT.US,60,20240802,160000,23.87,23.87,23.87,23.87,355,0
LOCT.US,60,20240802,170000,23.87,23.87,23.87,23.87,948,0
LOCT.US,60,20240805,190000,23.83,23.83,23.83,23.83,297,0
LOCT.US,60,20240805,220000,23.78,23.78,23.75,23.75,944,0
LOCT.US,60,20240807,160000,23.8557,23.8557,23.8557,23.8557,667,0
LOCT.US,60,20240808,170000,23.87,23.87,23.87,23.87,100,0
LOCT.US,60,20240808,180000,23.87,23.87,23.87,23.87,100,0
LOCT.US,60,20240808,190000,23.83,23.83,23.83,23.83,100,0
LOCT.US,60,20240808,210000,23.8302,23.8302,23.8302,23.8302,153,0
LOCT.US,60,20240808,220000,23.87,23.87,23.87,23.87,200,0
LOCT.US,60,20240812,160000,23.88,23.91,23.88,23.91,957,0
LOCT.US,60,20240812,170000,23.86,23.86,23.86,23.86,100,0
LOCT.US,60,20240812,200000,23.8801,23.8801,23.8801,23.8801,253,0
LOCT.US,60,20240814,210000,23.92,23.92,23.92,23.92,100,0
