<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MSTY.US,60,20240411,160000,37.3903,37.3903,36.2503,37.2305,15842.70755377647,0
MSTY.US,60,20240411,170000,37.1702,37.2505,36.5007,36.5204,19349.642818,0
MSTY.US,60,20240411,180000,36.5007,37.0009,36.3008,37.0009,16114.702532924,0
MSTY.US,60,20240411,190000,37.1403,37.1506,36.6756,36.7003,10057.814339196,0
MSTY.US,60,20240411,200000,36.7093,36.7205,36.5007,36.6604,13375.753092174,0
MSTY.US,60,20240411,210000,36.6906,36.7803,36.3573,36.5195,19567.638793934,0
MSTY.US,60,20240411,220000,36.5104,37.0009,36.3806,36.9908,16877.688448693,0
MSTY.US,60,20240412,160000,36.9908,36.9924,35.5807,36.1004,30231.441946965235,0
MSTY.US,60,20240412,170000,36.0905,36.3907,35.8305,36.0406,19278.64412859,0
MSTY.US,60,20240412,180000,35.9159,36.5104,35.8986,36.1762,13877.743825747,0
MSTY.US,60,20240412,190000,36.1474,36.3552,35.7507,35.8005,13133.757559256,0
MSTY.US,60,20240412,200000,35.7603,35.7603,34.7902,35.4008,25717.525270973,0
MSTY.US,60,20240412,210000,35.3304,35.4991,34.6905,35.2505,23664.563167337,0
MSTY.US,60,20240412,220000,35.3002,35.6406,35.1193,35.5405,25125.536198712,0
MSTY.US,60,20240415,160000,35.3909,35.9471,35.0004,35.5589,47934.11516696804,0
MSTY.US,60,20240415,170000,35.4008,35.6758,34.5607,34.8166,38347.292133574,0
MSTY.US,60,20240415,180000,34.6305,34.9508,34.3607,34.84,17629.674567511,0
MSTY.US,60,20240415,190000,35.093,35.1808,34.4907,34.5505,14026.741075353,0
MSTY.US,60,20240415,200000,34.4907,34.7104,33.4705,33.5848,35597.342895874,0
MSTY.US,60,20240415,210000,33.7003,33.7088,33.1008,33.4505,20834.615406358,0
MSTY.US,60,20240415,220000,33.2507,33.5204,32.7343,33.1705,53491.012590205,0
MSTY.US,60,20240416,160000,32.5004,32.7806,31.2906,31.9254,46734.13731778976,0
MSTY.US,60,20240416,170000,31.9606,31.9831,31.0102,31.1705,36911.318640724,0
MSTY.US,60,20240416,180000,31.3273,31.4155,30.7606,30.8889,17077.684756889,0
MSTY.US,60,20240416,190000,30.7807,31.2453,30.2206,31.2453,17268.681231217,0
MSTY.US,60,20240416,200000,31.2602,31.5349,30.9304,31.0054,12076.777070439,0
MSTY.US,60,20240416,210000,31.3205,31.3974,31.0001,31.3974,8278.8471777893,0
MSTY.US,60,20240416,220000,31.4048,31.6916,31.0001,31.1105,8943.8349025422,0
