<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NULG.US,60,20240411,160000,74.81,74.81,74.58,74.58,1318,0
NULG.US,60,20240411,170000,74.4,74.55,74.3768,74.55,2223,0
NULG.US,60,20240411,180000,74.5289,74.7191,74.5289,74.7191,1584,0
NULG.US,60,20240411,190000,74.83,74.89,74.8001,74.869,8107,0
NULG.US,60,20240411,200000,75.08,75.18,75.0602,75.16,9792,0
NULG.US,60,20240411,210000,75.315,75.35,75.26,75.2901,8338,0
NULG.US,60,20240411,220000,75.2501,75.3208,75.2,75.2,3271,0
NULG.US,60,20240412,160000,74.58,74.68,74.46,74.59,13506,0
NULG.US,60,20240412,170000,74.3688,74.5,74.15,74.15,1428,0
NULG.US,60,20240412,180000,74.245,74.44,74.245,74.37,2840,0
NULG.US,60,20240412,190000,74.3201,74.336,73.9473,73.9473,10649,0
NULG.US,60,20240412,200000,73.99,74.0522,73.8134,73.955,2104,0
NULG.US,60,20240412,210000,73.8801,74.03,73.81,73.8411,2676,0
NULG.US,60,20240412,220000,73.88,73.985,73.819,73.92,10622,0
NULG.US,60,20240415,160000,74.67,74.6801,74.49,74.608,8915,0
NULG.US,60,20240415,170000,74.3168,74.3792,74.07,74.07,11611,0
NULG.US,60,20240415,180000,74.005,74.235,74.005,74.235,5430,0
NULG.US,60,20240415,190000,74.23,74.244,73.75,73.79,4981,0
NULG.US,60,20240415,200000,73.8,73.8799,72.97,73.1399,14094,0
NULG.US,60,20240415,210000,72.97,73.175,72.94,72.94,13475,0
NULG.US,60,20240415,220000,72.95,72.9512,72.7255,72.81,14366,0
NULG.US,60,20240416,160000,72.85,72.9,72.6,72.78,1763,0
NULG.US,60,20240416,170000,72.8,72.93,72.71,72.77,4920,0
NULG.US,60,20240416,180000,72.8101,73.06,72.8101,73.01,2015,0
NULG.US,60,20240416,190000,72.95,73,72.9317,72.9899,7521,0
NULG.US,60,20240416,200000,72.97,73.005,72.6905,72.84,1741,0
NULG.US,60,20240416,210000,73.18,73.18,72.71,73.1599,20003,0
NULG.US,60,20240416,220000,73.05,73.1182,72.82,72.82,6935,0
NULG.US,60,20240417,160000,73.27,73.27,72.96,72.96,14696,0
NULG.US,60,20240417,170000,72.88,72.88,72.46,72.52,2198,0
