<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SDS.US,60,20240411,160000,117.333,118.103,117.287,117.926,288317.614027408,0
SDS.US,60,20240411,170000,117.88,119.024,117.88,118.498,362820.99173194,0
SDS.US,60,20240411,180000,118.498,118.566,117.47,117.562,200292.31301752,0
SDS.US,60,20240411,190000,117.515,117.801,117.379,117.583,217347.53505409,0
SDS.US,60,20240411,200000,117.583,117.721,116.271,116.316,677184.59630114,0
SDS.US,60,20240411,210000,116.326,116.363,115.641,115.983,499670.57414433,0
SDS.US,60,20240411,220000,115.963,116.305,115.687,116.28,386172.04891329,0
SDS.US,60,20240412,160000,117.972,118.108,117.379,117.606,241421.00414940668,0
SDS.US,60,20240412,170000,117.562,119.069,117.562,118.932,637018.31886081,0
SDS.US,60,20240412,180000,118.955,118.977,118.156,118.431,371896.64691875,0
SDS.US,60,20240412,190000,118.431,119.755,118.391,119.71,489158.40877367,0
SDS.US,60,20240412,200000,119.732,120.297,119.413,119.755,492501.36881162,0
SDS.US,60,20240412,210000,119.755,120.166,119.344,120.127,430469.76989791,0
SDS.US,60,20240412,220000,120.166,120.372,119.548,119.618,781671.35013667,0
SDS.US,60,20240415,160000,117.606,118.062,117.562,117.745,212143.41264422177,0
SDS.US,60,20240415,170000,117.745,119.527,117.687,119.527,578336.02460816,0
SDS.US,60,20240415,180000,119.503,119.663,118.818,118.932,313755.83343141,0
SDS.US,60,20240415,190000,118.932,120.257,118.809,120.025,233618.43040637,0
SDS.US,60,20240415,200000,120.03,122.404,119.792,121.765,786838.27992832,0
SDS.US,60,20240415,210000,121.743,122.634,121.674,122.315,724782.83398292,0
SDS.US,60,20240415,220000,122.315,123.038,122.223,122.59,740878.92402954,0
SDS.US,60,20240416,160000,122.451,123.411,122.315,122.681,300119.70691009687,0
SDS.US,60,20240416,170000,122.681,123.64,122.315,123.365,527088.53473835,0
SDS.US,60,20240416,180000,123.32,123.422,122.223,122.806,540743.47634888,0
SDS.US,60,20240416,190000,122.794,123.137,122.36,122.634,405158.66173619,0
SDS.US,60,20240416,200000,122.645,123.778,122.395,122.909,961961.9106339,0
SDS.US,60,20240416,210000,122.955,123.594,121.674,122.04,819508.932116,0
SDS.US,60,20240416,220000,122.018,123.229,122.018,123.137,516976.29940364,0
SDS.US,60,20240417,160000,121.949,122.451,121.857,122.315,169099.73923404946,0
SDS.US,60,20240417,170000,122.315,123.824,122.315,123.469,410136.12795501,0
SDS.US,60,20240417,180000,123.48,124.411,122.955,124.051,453180.02014529,0
SDS.US,60,20240417,190000,124.097,125.321,124.041,124.92,474263.20273544,0
SDS.US,60,20240417,200000,124.967,125.046,123.64,123.732,368206.26407057,0
