<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SEPZ.US,60,20240411,190000,35.61,35.61,35.61,35.61,135,0
SEPZ.US,60,20240411,220000,35.83,35.83,35.83,35.83,349,0
SEPZ.US,60,20240412,190000,35.37,35.42,35.37,35.42,644,0
SEPZ.US,60,20240412,200000,35.33,35.36,35.33,35.36,617,0
SEPZ.US,60,20240415,210000,35,35.1,35,35.1,2986,0
SEPZ.US,60,20240417,220000,34.83,34.83,34.83,34.83,160,0
SEPZ.US,60,20240418,200000,34.79,34.79,34.79,34.79,100,0
SEPZ.US,60,20240422,210000,34.52,34.92,34.52,34.92,638,0
SEPZ.US,60,20240422,220000,34.84,34.84,34.79,34.79,300,0
SEPZ.US,60,20240423,200000,35.04,35.04,35.04,35.04,398,0
SEPZ.US,60,20240424,180000,35,35,34.97,34.97,339,0
SEPZ.US,60,20240429,220000,35.22,35.22,35.22,35.22,102,0
SEPZ.US,60,20240430,200000,35.01,35.01,35.01,35.01,100,0
SEPZ.US,60,20240501,220000,35.03,35.12,35,35.12,669,0
SEPZ.US,60,20240510,190000,35.84,35.84,35.84,35.84,100,0
SEPZ.US,60,20240510,220000,35.87,35.8782,35.86,35.8782,397,0
SEPZ.US,60,20240514,190000,35.92,35.92,35.92,35.92,2815,0
SEPZ.US,60,20240514,220000,36.02,36.02,36.02,36.02,100,0
SEPZ.US,60,20240515,180000,36.2999,36.2999,36.2999,36.2999,104,0
SEPZ.US,60,20240520,210000,36.38,36.47,36.26,36.47,3048,0
SEPZ.US,60,20240523,220000,36.31,36.34,36.15,36.16,3371,0
SEPZ.US,60,20240528,190000,36.41,36.41,36.41,36.41,500,0
SEPZ.US,60,20240528,220000,36.31,36.31,36.31,36.31,100,0
SEPZ.US,60,20240529,200000,36.19,36.19,36.19,36.19,300,0
SEPZ.US,60,20240605,220000,36.14,36.66,35.99,36.66,1093,0
SEPZ.US,60,20240611,170000,36.66,36.66,36.62,36.62,430,0
SEPZ.US,60,20240611,210000,36.7,36.7,36.7,36.7,100,0
SEPZ.US,60,20240612,220000,37.02,37.02,37.02,37.02,100,0
SEPZ.US,60,20240621,160000,37.34,37.34,37.34,37.34,145,0
SEPZ.US,60,20240624,210000,37.36,37.36,37.36,37.36,337,0
SEPZ.US,60,20240625,220000,37.35,37.35,37.32,37.32,488,0
SEPZ.US,60,20240702,170000,37.4,37.4,37.4,37.4,208,0
SEPZ.US,60,20240709,220000,37.98,38.01,37.98,38.01,1210,0
SEPZ.US,60,20240718,180000,37.83,37.83,37.83,37.83,100,0
SEPZ.US,60,20240718,220000,37.7,37.72,37.7,37.72,2023,0
SEPZ.US,60,20240719,180000,37.64,37.64,37.64,37.64,100,0
SEPZ.US,60,20240719,190000,37.72,37.72,37.72,37.72,100,0
SEPZ.US,60,20240724,220000,37.54,37.97,37.16,37.16,8398,0
SEPZ.US,60,20240725,180000,37.2001,37.2001,37.2001,37.2001,192,0
SEPZ.US,60,20240801,190000,37.33,37.33,37.33,37.33,106,0
SEPZ.US,60,20240802,160000,36.74,36.7692,36.74,36.7692,318,0
SEPZ.US,60,20240805,170000,35.63,35.63,35.63,35.63,113,0
SEPZ.US,60,20240805,180000,35.81,35.81,35.81,35.81,100,0
SEPZ.US,60,20240808,210000,36.5,36.5,36.48,36.48,335,0
SEPZ.US,60,20240813,220000,37.1,37.12,37.1,37.12,1102,0
SEPZ.US,60,20240814,190000,37.16,37.16,37.16,37.16,387,0
SEPZ.US,60,20240821,170000,37.69,38.18,37.69,38.18,300,0
SEPZ.US,60,20240822,190000,38.11,38.11,38.11,38.11,178,0
SEPZ.US,60,20240823,160000,38.1599,38.1599,38.1599,38.1599,307,0
SEPZ.US,60,20240826,170000,38.26,38.26,38.16,38.1868,3660,0
SEPZ.US,60,20240826,210000,38.16,38.16,38.16,38.16,132,0
SEPZ.US,60,20240830,200000,38.11,38.13,38.11,38.13,692,0
SEPZ.US,60,20240830,220000,38.25,38.4,38.19,38.4,1649,0
SEPZ.US,60,20240903,170000,37.92,37.92,37.92,37.92,106,0
SEPZ.US,60,20240903,180000,37.86,37.885,37.85,37.885,3000,0
