<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TMSL.US,60,20240411,160000,30.47,30.47,30.3302,30.3302,2244,0
TMSL.US,60,20240411,180000,30.1601,30.31,30.1601,30.31,4390,0
TMSL.US,60,20240411,190000,30.295,30.295,30.2714,30.28,1738,0
TMSL.US,60,20240411,210000,30.42,30.4385,30.41,30.43,9708,0
TMSL.US,60,20240411,220000,30.3825,30.3825,30.3825,30.3825,272,0
TMSL.US,60,20240412,170000,30.04,30.04,29.9998,30.02,464,0
TMSL.US,60,20240412,200000,29.89,29.89,29.8014,29.88,1341,0
TMSL.US,60,20240412,210000,29.8286,29.84,29.8,29.8,2347,0
TMSL.US,60,20240412,220000,29.79,29.8472,29.73,29.8472,4884,0
TMSL.US,60,20240415,160000,30.11,30.11,30.11,30.11,116,0
TMSL.US,60,20240415,170000,29.83,29.8301,29.8198,29.8198,744,0
TMSL.US,60,20240415,180000,29.7216,29.82,29.7,29.82,1070,0
TMSL.US,60,20240415,190000,29.71,29.71,29.71,29.71,5800,0
TMSL.US,60,20240415,200000,29.65,29.65,29.48,29.48,4376,0
TMSL.US,60,20240415,210000,29.45,29.45,29.375,29.41,1011,0
TMSL.US,60,20240415,220000,29.38,29.4324,29.34,29.4324,7079,0
TMSL.US,60,20240416,160000,29.26,29.2601,29.26,29.2601,1800,0
TMSL.US,60,20240416,170000,29.22,29.22,29.16,29.1703,2434,0
TMSL.US,60,20240416,180000,29.24,29.2901,29.24,29.2901,3853,0
TMSL.US,60,20240416,220000,29.3968,29.3968,29.2833,29.35,11575,0
TMSL.US,60,20240417,160000,29.4238,29.4238,29.4238,29.4238,1607,0
TMSL.US,60,20240417,170000,29.3099,29.3099,29.25,29.25,4257,0
TMSL.US,60,20240417,190000,29.09,29.09,29.03,29.03,1909,0
TMSL.US,60,20240417,200000,29.0171,29.0171,29.0171,29.0171,344,0
TMSL.US,60,20240417,210000,29.19,29.19,29.14,29.14,518,0
TMSL.US,60,20240417,220000,29.0801,29.1,29.06,29.1,2233,0
TMSL.US,60,20240418,160000,29.21,29.21,29.21,29.21,517,0
TMSL.US,60,20240418,220000,28.9803,29.01,28.94,29.01,6411,0
TMSL.US,60,20240419,160000,29.1,29.1,29.0999,29.0999,208,0
TMSL.US,60,20240419,170000,29.01,29.01,29.01,29.01,644,0
TMSL.US,60,20240419,190000,28.91,28.9551,28.87,28.9551,2765,0
TMSL.US,60,20240419,200000,29.01,29.04,28.9987,29.04,2488,0
TMSL.US,60,20240419,210000,28.92,28.92,28.8605,28.8699,1466,0
TMSL.US,60,20240419,220000,28.89,28.9999,28.89,28.9999,744,0
TMSL.US,60,20240422,160000,29.06,29.06,29.0599,29.0599,210,0
TMSL.US,60,20240422,170000,29.11,29.11,29.11,29.11,100,0
TMSL.US,60,20240422,190000,29.13,29.13,29.13,29.13,175,0
TMSL.US,60,20240422,200000,29.278,29.37,29.278,29.37,750,0
TMSL.US,60,20240422,210000,29.35,29.35,29.35,29.35,100,0
TMSL.US,60,20240422,220000,29.3,29.3,29.3,29.3,100,0
TMSL.US,60,20240423,160000,29.34,29.34,29.34,29.34,100,0
