<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TSLZ.US,60,20240411,160000,788.138,808.862,774.256,808.472,4569.3737094123,0
TSLZ.US,60,20240411,170000,810.232,824.504,808.276,815.902,5422.79401068,0
TSLZ.US,60,20240411,180000,815.902,815.902,792.83,792.83,3195.6462809244,0
TSLZ.US,60,20240411,190000,793.644,794.198,785.986,791.61,2200.1427004454,0
TSLZ.US,60,20240411,200000,792.244,792.44,768.39,770.972,3699.2798483812,0
TSLZ.US,60,20240411,210000,770.15,774.256,763.894,774.256,2749.8587137514,0
TSLZ.US,60,20240411,220000,773.864,773.864,757.636,768.782,1945.6919034415,0
TSLZ.US,60,20240412,160000,789.702,793.222,778.752,785.792,7273.405706758605,0
TSLZ.US,60,20240412,170000,785.792,798.012,776.916,795.176,6645.334191742,0
TSLZ.US,60,20240412,180000,794.786,794.98,784.032,788.334,1573.8612915383,0
TSLZ.US,60,20240412,190000,788.724,803.584,788.528,799.086,1793.5840300165,0
TSLZ.US,60,20240412,200000,799.086,805.362,794.786,797.212,2705.8221034559,0
TSLZ.US,60,20240412,210000,799.086,801.432,794.004,801.432,1142.5991567973,0
TSLZ.US,60,20240412,220000,802.41,803.584,797.522,800.846,3615.6051742307,0
TSLZ.US,60,20240415,160000,809.254,858.522,804.756,856.276,9132.763349829735,0
TSLZ.US,60,20240415,170000,855.592,860.636,844.448,854.028,4747.975153259,0
TSLZ.US,60,20240415,180000,852.072,863.022,838.778,848.358,3909.2337220899,0
TSLZ.US,60,20240415,190000,849.14,867.322,843.47,864.39,2748.682358308,0
TSLZ.US,60,20240415,200000,865.52,880.618,861.458,872.602,5253.0408056034,0
TSLZ.US,60,20240415,210000,872.602,881.792,872.602,879.992,2225.1530400906,0
TSLZ.US,60,20240415,220000,882.768,891.372,879.25,890.98,4758.204331028,0
TSLZ.US,60,20240416,160000,942.988,974.468,931.454,962.932,13660.248576277982,0
TSLZ.US,60,20240416,170000,964.886,964.886,935.168,939.304,9568.6797604557,0
TSLZ.US,60,20240416,180000,938.688,945.124,926.76,942.23,4117.090614356,0
TSLZ.US,60,20240416,190000,943.184,946.294,928.324,932.04,4033.6205237609,0
TSLZ.US,60,20240416,200000,933.408,955.502,932.822,949.636,4815.948039534,0
TSLZ.US,60,20240416,210000,951.2,953.352,932.06,944.358,3070.2365614765,0
TSLZ.US,60,20240416,220000,943.184,947.682,932.626,938.882,2441.6024416826,0
TSLZ.US,60,20240417,160000,932.04,969.58,931.648,966.452,6164.1025235994,0
TSLZ.US,60,20240417,170000,967.82,977.596,956.284,966.452,9351.4120246421,0
TSLZ.US,60,20240417,180000,965.278,965.474,946.9,948.658,4715.4975138425,0
TSLZ.US,60,20240417,190000,949.44,965.864,944.944,952.374,3031.2633941766,0
TSLZ.US,60,20240417,200000,954.134,954.328,928.13,929.694,3066.758641035,0
TSLZ.US,60,20240417,210000,933.4,940.642,924.024,938.492,4288.6339255421,0
TSLZ.US,60,20240417,220000,940.056,959.412,938.492,958.24,4474.6515232714,0
TSLZ.US,60,20240418,160000,1008.88,1040.16,999.494,1022.76,6752.17795353921,0
TSLZ.US,60,20240418,170000,1025.69,1034.3,998.908,1000.86,8656.6462705716,0
TSLZ.US,60,20240418,180000,1003.01,1023.93,1003.01,1022.76,3179.0750129387,0
TSLZ.US,60,20240418,190000,1024.13,1030.29,1018.65,1026.67,1693.9006926576,0
TSLZ.US,60,20240418,200000,1023.74,1031.36,1014.55,1029.02,2371.174552743,0
TSLZ.US,60,20240418,210000,1026.08,1031.75,1015.53,1020.02,1721.6217644115,0
TSLZ.US,60,20240418,220000,1019.83,1027.06,1008.68,1027.06,2965.9500941216,0
TSLZ.US,60,20240419,160000,1041.53,1050.72,1013.18,1043.88,8837.70271708293,0
TSLZ.US,60,20240419,170000,1040.94,1047.79,1018.85,1029.41,6162.1078339344,0
TSLZ.US,60,20240419,180000,1023.93,1035.86,1016.5,1035.86,2282.3852897081,0
TSLZ.US,60,20240419,190000,1033.12,1054.43,1030.97,1042.31,3484.8251364541,0
TSLZ.US,60,20240419,200000,1042.31,1045.83,1030.37,1043.29,3180.5582437152,0
TSLZ.US,60,20240419,210000,1046.03,1070.27,1043.58,1064.41,2516.9914818401,0
TSLZ.US,60,20240419,220000,1063.92,1075.36,1060.59,1066.36,2711.6015888954,0
TSLZ.US,60,20240422,160000,1159.04,1185.76,1104.1,1117.59,19171.166953437885,0
TSLZ.US,60,20240422,170000,1122.48,1165.69,1109.57,1163.93,16187.162360554,0
TSLZ.US,60,20240422,180000,1164.51,1173.31,1142.81,1144.24,6176.5821204776,0
TSLZ.US,60,20240422,190000,1143.79,1145.94,1128.93,1141.05,4532.4975235551,0
TSLZ.US,60,20240422,200000,1141.83,1142.81,1119.35,1127.36,4883.7163422537,0
TSLZ.US,60,20240422,210000,1131.08,1144.76,1131.08,1138.7,4043.9008474188,0
TSLZ.US,60,20240422,220000,1137.63,1142.42,1130.88,1137.33,3711.0945487044,0
TSLZ.US,60,20240423,160000,1118.17,1152.98,1089.04,1091,11549.35545186714,0
TSLZ.US,60,20240423,170000,1092.76,1104.68,1073.4,1098.23,17227.878906772,0
TSLZ.US,60,20240423,180000,1097.45,1107.22,1079.07,1096.08,6066.2092923501,0
TSLZ.US,60,20240423,190000,1094.91,1096.08,1054.63,1080.05,7650.1974698797,0
TSLZ.US,60,20240423,200000,1079.85,1091.32,1073.4,1082.1,3307.9115069392,0
TSLZ.US,60,20240423,210000,1083.37,1090.61,1079.66,1083.18,1648.0739762524,0
TSLZ.US,60,20240423,220000,1082.59,1099.6,1082.59,1094.13,10572.059807817,0
TSLZ.US,60,20240424,160000,816.878,889.612,794.786,822.55,22387.425027566864,0
TSLZ.US,60,20240424,170000,822.744,844.448,744.146,835.844,32096.14223168,0
TSLZ.US,60,20240424,180000,833.89,872,818.052,862.434,16887.912183619,0
TSLZ.US,60,20240424,190000,863.412,900.952,858.524,868.3,20351.818651536,0
TSLZ.US,60,20240424,200000,868.322,878.664,831.738,834.46,9574.7661212282,0
TSLZ.US,60,20240424,210000,834.476,859.11,834.476,855.396,7407.0499143106,0
TSLZ.US,60,20240424,220000,855.396,859.906,825.522,829.588,14319.314499935,0
TSLZ.US,60,20240425,160000,867.128,871.038,805.734,826.85,15567.47877130803,0
TSLZ.US,60,20240425,170000,829.392,841.612,789.31,803.896,17092.393447222,0
TSLZ.US,60,20240425,180000,801.628,811.404,784.032,807.298,9691.2253101283,0
TSLZ.US,60,20240425,190000,806.516,825.678,804.562,807.69,12396.229079363,0
TSLZ.US,60,20240425,200000,805.742,814.32,791.462,791.462,8828.7521865351,0
TSLZ.US,60,20240425,210000,791.462,794.59,777.188,777.188,5136.0701578149,0
TSLZ.US,60,20240425,220000,776.404,776.406,744.536,748.642,10371.465631767,0
TSLZ.US,60,20240426,160000,758.614,774.646,742.384,767.706,11338.63438982574,0
TSLZ.US,60,20240426,170000,767.902,775.82,752.75,754.312,7838.2609031628,0
TSLZ.US,60,20240426,180000,752.748,757.05,733.884,738.672,8296.7326507694,0
TSLZ.US,60,20240426,190000,741.604,750.206,735.542,735.738,3040.2650706133,0
TSLZ.US,60,20240426,200000,735.542,756.464,735.348,755.876,2752.978612971,0
TSLZ.US,60,20240426,210000,755.78,783.836,753.922,776.602,11374.436512017,0
TSLZ.US,60,20240426,220000,776.7,778.948,763.536,767.804,8872.4307756087,0
TSLZ.US,60,20240429,160000,585.384,619.6,564.66,601.026,49632.63543174299,0
TSLZ.US,60,20240429,170000,601.026,615.886,568.374,574.794,37404.062576014,0
TSLZ.US,60,20240429,180000,575.022,582.648,514.248,515.042,52457.678602097,0
TSLZ.US,60,20240429,190000,514.218,527.976,492.318,511.088,58762.381174131,0
TSLZ.US,60,20240429,200000,510.304,540.202,506.866,533.768,33071.852353176,0
TSLZ.US,60,20240429,210000,532.594,551.56,530.264,540.806,22947.574802197,0
TSLZ.US,60,20240429,220000,541.588,559.946,523.992,532.398,19895.290447705,0
TSLZ.US,60,20240430,160000,572.872,573.262,550.582,560.26,21934.067868844784,0
TSLZ.US,60,20240430,170000,558.99,582.452,554.7,579.92,15286.738987438,0
TSLZ.US,60,20240430,180000,580.106,594.378,579.326,590.762,19590.256366634,0
TSLZ.US,60,20240430,190000,590.076,590.468,579.91,581.866,16180.206519671,0
TSLZ.US,60,20240430,200000,581.494,587.73,579.91,583.624,9565.4064235696,0
TSLZ.US,60,20240430,210000,583.722,588.904,578.736,587.536,4944.8868253123,0
TSLZ.US,60,20240430,220000,588.122,595.16,584.448,593.01,8082.2779388423,0
TSLZ.US,60,20240501,160000,601.026,610.802,588.512,595.356,16413.12489747126,0
TSLZ.US,60,20240501,170000,595.552,617.06,594.182,608.456,16811.807101018,0
TSLZ.US,60,20240501,180000,609.238,619.968,602.394,614.516,11404.561440547,0
TSLZ.US,60,20240501,190000,614.908,615.298,596.334,606.844,7541.8193314172,0
TSLZ.US,60,20240501,200000,609.628,615.104,606.304,607.086,4795.8988511068,0
TSLZ.US,60,20240501,210000,608.064,610.41,578.15,582.06,18924.234602094,0
TSLZ.US,60,20240501,220000,581.278,614.514,576.59,613.344,13572.635668686,0
TSLZ.US,60,20240502,160000,595.16,624.644,584.406,624.488,9520.244603719455,0
TSLZ.US,60,20240502,170000,625.466,641.108,616.57,617.254,19852.890505853,0
TSLZ.US,60,20240502,180000,616.766,624.39,611.584,613.148,9610.9774105305,0
TSLZ.US,60,20240502,190000,613.148,624.488,611.78,618.428,6729.5714706697,0
TSLZ.US,60,20240502,200000,615.69,616.668,610.606,611.192,2924.0616111575,0
TSLZ.US,60,20240502,210000,612.942,613.734,602.982,604.35,3420.6881918424,0
TSLZ.US,60,20240502,220000,604.958,615.104,604.74,613.54,4593.6168607248,0
TSLZ.US,60,20240503,160000,600.83,603.958,585.384,586.558,17676.019184832,0
TSLZ.US,60,20240503,170000,586.166,617.058,582.648,616.472,14728.123589473,0
TSLZ.US,60,20240503,180000,614.908,625.248,610.02,610.998,10715.83090136,0
TSLZ.US,60,20240503,190000,612.756,617.058,608.722,613.93,5494.9608598403,0
TSLZ.US,60,20240503,200000,614.712,615.886,604.838,608.846,4247.4614850219,0
TSLZ.US,60,20240503,210000,609.434,609.434,602.198,607.098,4054.0788792989,0
TSLZ.US,60,20240503,220000,608.162,609.042,601.222,606.696,5136.0701578149,0
TSLZ.US,60,20240506,160000,588.904,592.618,564.562,566.322,14185.20997938306,0
TSLZ.US,60,20240506,170000,566.176,590.664,565.248,590.468,11837.409097842,0
TSLZ.US,60,20240506,180000,592.618,598.484,589.882,594.182,9643.8642170578,0
TSLZ.US,60,20240506,190000,594.574,599.556,586.948,587.536,7561.8173739556,0
TSLZ.US,60,20240506,200000,587.34,589.882,579.518,580.496,5199.8490812046,0
TSLZ.US,60,20240506,210000,581.474,586.948,578.346,586.362,3529.9358104154,0
TSLZ.US,60,20240506,220000,586.948,590.858,582.06,582.452,6383.7741161887,0
